album_date_extract;album_type;album_id;album_name;album_release_date;album_popularity;album_label;album_image;artist_id;artist_name;tracks;available_markets
2020-11-24;album;0xOP50KOLI4Gu03bM18KoG;! ! ! ! ! Radical ! ! ! ! !;2020-11-22;0;Peak Records;https://i.scdn.co/image/ab67616d0000b2738c5e966a0132716a5dd7f70c;1ZJbPwe4zKnUDRT7yi9dBC;Sounds of Nature Noise;1 Beware of the Storm, 2 Distance Storm Aura, 3 Rolling Thunderstorm, 4 Rainstorm Shifting, 5 Light Rain, Heavy Thunder, 6 More Than Rain, 7 Puddle Reflections, 8 Delicate Pitter Patter, 9 Muffled Thunder Rumble, 10 Thunderclap Echoes, 11 Crack of Distant Thunder, 12 Storms at a Distance, 13 Total Cloud Coverage, 14 Thunder Breaks the Silence, 15 Sustained Rolling Thunder, 16 Furious Evening Thunderstorm, 17 Clear Droplets Fall, 18 Rainfall Saturates, 19 Continual Rain Drops, 20 Crackle Through the Pouring Rain, 21 Watching the Rainstorm, 22 Incessant Storms, 23 Dark Clouds Booming, 24 Drip Drip Stormy Night, 25 Lightning Storm Lights the Sky, 26 Rainstorm Repeat, 27 Here Comes the Rumble, 28 Rain Drops Increasing, 29 Storms Enclosing, 30 Booming Fills the Skies;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-25;album;0xOP50KOLI4Gu03bM18KoG;! ! ! ! ! Radical ! ! ! ! !;2020-11-22;0;Peak Records;https://i.scdn.co/image/ab67616d0000b2738c5e966a0132716a5dd7f70c;1ZJbPwe4zKnUDRT7yi9dBC;Sounds of Nature Noise;1 Beware of the Storm, 2 Distance Storm Aura, 3 Rolling Thunderstorm, 4 Rainstorm Shifting, 5 Light Rain, Heavy Thunder, 6 More Than Rain, 7 Puddle Reflections, 8 Delicate Pitter Patter, 9 Muffled Thunder Rumble, 10 Thunderclap Echoes, 11 Crack of Distant Thunder, 12 Storms at a Distance, 13 Total Cloud Coverage, 14 Thunder Breaks the Silence, 15 Sustained Rolling Thunder, 16 Furious Evening Thunderstorm, 17 Clear Droplets Fall, 18 Rainfall Saturates, 19 Continual Rain Drops, 20 Crackle Through the Pouring Rain, 21 Watching the Rainstorm, 22 Incessant Storms, 23 Dark Clouds Booming, 24 Drip Drip Stormy Night, 25 Lightning Storm Lights the Sky, 26 Rainstorm Repeat, 27 Here Comes the Rumble, 28 Rain Drops Increasing, 29 Storms Enclosing, 30 Booming Fills the Skies;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-26;album;0xOP50KOLI4Gu03bM18KoG;! ! ! ! ! Radical ! ! ! ! !;2020-11-22;0;Peak Records;https://i.scdn.co/image/ab67616d0000b2738c5e966a0132716a5dd7f70c;1ZJbPwe4zKnUDRT7yi9dBC;Sounds of Nature Noise;1 Beware of the Storm, 2 Distance Storm Aura, 3 Rolling Thunderstorm, 4 Rainstorm Shifting, 5 Light Rain, Heavy Thunder, 6 More Than Rain, 7 Puddle Reflections, 8 Delicate Pitter Patter, 9 Muffled Thunder Rumble, 10 Thunderclap Echoes, 11 Crack of Distant Thunder, 12 Storms at a Distance, 13 Total Cloud Coverage, 14 Thunder Breaks the Silence, 15 Sustained Rolling Thunder, 16 Furious Evening Thunderstorm, 17 Clear Droplets Fall, 18 Rainfall Saturates, 19 Continual Rain Drops, 20 Crackle Through the Pouring Rain, 21 Watching the Rainstorm, 22 Incessant Storms, 23 Dark Clouds Booming, 24 Drip Drip Stormy Night, 25 Lightning Storm Lights the Sky, 26 Rainstorm Repeat, 27 Here Comes the Rumble, 28 Rain Drops Increasing, 29 Storms Enclosing, 30 Booming Fills the Skies;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-27;album;0xOP50KOLI4Gu03bM18KoG;! ! ! ! ! Radical ! ! ! ! !;2020-11-22;0;Peak Records;https://i.scdn.co/image/ab67616d0000b2738c5e966a0132716a5dd7f70c;1ZJbPwe4zKnUDRT7yi9dBC;Sounds of Nature Noise;1 Beware of the Storm, 2 Distance Storm Aura, 3 Rolling Thunderstorm, 4 Rainstorm Shifting, 5 Light Rain, Heavy Thunder, 6 More Than Rain, 7 Puddle Reflections, 8 Delicate Pitter Patter, 9 Muffled Thunder Rumble, 10 Thunderclap Echoes, 11 Crack of Distant Thunder, 12 Storms at a Distance, 13 Total Cloud Coverage, 14 Thunder Breaks the Silence, 15 Sustained Rolling Thunder, 16 Furious Evening Thunderstorm, 17 Clear Droplets Fall, 18 Rainfall Saturates, 19 Continual Rain Drops, 20 Crackle Through the Pouring Rain, 21 Watching the Rainstorm, 22 Incessant Storms, 23 Dark Clouds Booming, 24 Drip Drip Stormy Night, 25 Lightning Storm Lights the Sky, 26 Rainstorm Repeat, 27 Here Comes the Rumble, 28 Rain Drops Increasing, 29 Storms Enclosing, 30 Booming Fills the Skies;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-28;album;0xOP50KOLI4Gu03bM18KoG;! ! ! ! ! Radical ! ! ! ! !;2020-11-22;0;Peak Records;https://i.scdn.co/image/ab67616d0000b2738c5e966a0132716a5dd7f70c;1ZJbPwe4zKnUDRT7yi9dBC;Sounds of Nature Noise;1 Beware of the Storm, 2 Distance Storm Aura, 3 Rolling Thunderstorm, 4 Rainstorm Shifting, 5 Light Rain, Heavy Thunder, 6 More Than Rain, 7 Puddle Reflections, 8 Delicate Pitter Patter, 9 Muffled Thunder Rumble, 10 Thunderclap Echoes, 11 Crack of Distant Thunder, 12 Storms at a Distance, 13 Total Cloud Coverage, 14 Thunder Breaks the Silence, 15 Sustained Rolling Thunder, 16 Furious Evening Thunderstorm, 17 Clear Droplets Fall, 18 Rainfall Saturates, 19 Continual Rain Drops, 20 Crackle Through the Pouring Rain, 21 Watching the Rainstorm, 22 Incessant Storms, 23 Dark Clouds Booming, 24 Drip Drip Stormy Night, 25 Lightning Storm Lights the Sky, 26 Rainstorm Repeat, 27 Here Comes the Rumble, 28 Rain Drops Increasing, 29 Storms Enclosing, 30 Booming Fills the Skies;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-29;album;0xOP50KOLI4Gu03bM18KoG;! ! ! ! ! Radical ! ! ! ! !;2020-11-22;0;Peak Records;https://i.scdn.co/image/ab67616d0000b2738c5e966a0132716a5dd7f70c;1ZJbPwe4zKnUDRT7yi9dBC;Sounds of Nature Noise;1 Beware of the Storm, 2 Distance Storm Aura, 3 Rolling Thunderstorm, 4 Rainstorm Shifting, 5 Light Rain, Heavy Thunder, 6 More Than Rain, 7 Puddle Reflections, 8 Delicate Pitter Patter, 9 Muffled Thunder Rumble, 10 Thunderclap Echoes, 11 Crack of Distant Thunder, 12 Storms at a Distance, 13 Total Cloud Coverage, 14 Thunder Breaks the Silence, 15 Sustained Rolling Thunder, 16 Furious Evening Thunderstorm, 17 Clear Droplets Fall, 18 Rainfall Saturates, 19 Continual Rain Drops, 20 Crackle Through the Pouring Rain, 21 Watching the Rainstorm, 22 Incessant Storms, 23 Dark Clouds Booming, 24 Drip Drip Stormy Night, 25 Lightning Storm Lights the Sky, 26 Rainstorm Repeat, 27 Here Comes the Rumble, 28 Rain Drops Increasing, 29 Storms Enclosing, 30 Booming Fills the Skies;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-30;album;0xOP50KOLI4Gu03bM18KoG;! ! ! ! ! Radical ! ! ! ! !;2020-11-22;0;Peak Records;https://i.scdn.co/image/ab67616d0000b2738c5e966a0132716a5dd7f70c;1ZJbPwe4zKnUDRT7yi9dBC;Sounds of Nature Noise;1 Beware of the Storm, 2 Distance Storm Aura, 3 Rolling Thunderstorm, 4 Rainstorm Shifting, 5 Light Rain, Heavy Thunder, 6 More Than Rain, 7 Puddle Reflections, 8 Delicate Pitter Patter, 9 Muffled Thunder Rumble, 10 Thunderclap Echoes, 11 Crack of Distant Thunder, 12 Storms at a Distance, 13 Total Cloud Coverage, 14 Thunder Breaks the Silence, 15 Sustained Rolling Thunder, 16 Furious Evening Thunderstorm, 17 Clear Droplets Fall, 18 Rainfall Saturates, 19 Continual Rain Drops, 20 Crackle Through the Pouring Rain, 21 Watching the Rainstorm, 22 Incessant Storms, 23 Dark Clouds Booming, 24 Drip Drip Stormy Night, 25 Lightning Storm Lights the Sky, 26 Rainstorm Repeat, 27 Here Comes the Rumble, 28 Rain Drops Increasing, 29 Storms Enclosing, 30 Booming Fills the Skies;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-01;album;0xOP50KOLI4Gu03bM18KoG;! ! ! ! ! Radical ! ! ! ! !;2020-11-22;0;Peak Records;https://i.scdn.co/image/ab67616d0000b2738c5e966a0132716a5dd7f70c;1ZJbPwe4zKnUDRT7yi9dBC;Sounds of Nature Noise;1 Beware of the Storm, 2 Distance Storm Aura, 3 Rolling Thunderstorm, 4 Rainstorm Shifting, 5 Light Rain, Heavy Thunder, 6 More Than Rain, 7 Puddle Reflections, 8 Delicate Pitter Patter, 9 Muffled Thunder Rumble, 10 Thunderclap Echoes, 11 Crack of Distant Thunder, 12 Storms at a Distance, 13 Total Cloud Coverage, 14 Thunder Breaks the Silence, 15 Sustained Rolling Thunder, 16 Furious Evening Thunderstorm, 17 Clear Droplets Fall, 18 Rainfall Saturates, 19 Continual Rain Drops, 20 Crackle Through the Pouring Rain, 21 Watching the Rainstorm, 22 Incessant Storms, 23 Dark Clouds Booming, 24 Drip Drip Stormy Night, 25 Lightning Storm Lights the Sky, 26 Rainstorm Repeat, 27 Here Comes the Rumble, 28 Rain Drops Increasing, 29 Storms Enclosing, 30 Booming Fills the Skies;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-02;album;0xOP50KOLI4Gu03bM18KoG;! ! ! ! ! Radical ! ! ! ! !;2020-11-22;0;Peak Records;https://i.scdn.co/image/ab67616d0000b2738c5e966a0132716a5dd7f70c;1ZJbPwe4zKnUDRT7yi9dBC;Sounds of Nature Noise;1 Beware of the Storm, 2 Distance Storm Aura, 3 Rolling Thunderstorm, 4 Rainstorm Shifting, 5 Light Rain, Heavy Thunder, 6 More Than Rain, 7 Puddle Reflections, 8 Delicate Pitter Patter, 9 Muffled Thunder Rumble, 10 Thunderclap Echoes, 11 Crack of Distant Thunder, 12 Storms at a Distance, 13 Total Cloud Coverage, 14 Thunder Breaks the Silence, 15 Sustained Rolling Thunder, 16 Furious Evening Thunderstorm, 17 Clear Droplets Fall, 18 Rainfall Saturates, 19 Continual Rain Drops, 20 Crackle Through the Pouring Rain, 21 Watching the Rainstorm, 22 Incessant Storms, 23 Dark Clouds Booming, 24 Drip Drip Stormy Night, 25 Lightning Storm Lights the Sky, 26 Rainstorm Repeat, 27 Here Comes the Rumble, 28 Rain Drops Increasing, 29 Storms Enclosing, 30 Booming Fills the Skies;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-03;album;0xOP50KOLI4Gu03bM18KoG;! ! ! ! ! Radical ! ! ! ! !;2020-11-22;0;Peak Records;https://i.scdn.co/image/ab67616d0000b2738c5e966a0132716a5dd7f70c;1ZJbPwe4zKnUDRT7yi9dBC;Sounds of Nature Noise;1 Beware of the Storm, 2 Distance Storm Aura, 3 Rolling Thunderstorm, 4 Rainstorm Shifting, 5 Light Rain, Heavy Thunder, 6 More Than Rain, 7 Puddle Reflections, 8 Delicate Pitter Patter, 9 Muffled Thunder Rumble, 10 Thunderclap Echoes, 11 Crack of Distant Thunder, 12 Storms at a Distance, 13 Total Cloud Coverage, 14 Thunder Breaks the Silence, 15 Sustained Rolling Thunder, 16 Furious Evening Thunderstorm, 17 Clear Droplets Fall, 18 Rainfall Saturates, 19 Continual Rain Drops, 20 Crackle Through the Pouring Rain, 21 Watching the Rainstorm, 22 Incessant Storms, 23 Dark Clouds Booming, 24 Drip Drip Stormy Night, 25 Lightning Storm Lights the Sky, 26 Rainstorm Repeat, 27 Here Comes the Rumble, 28 Rain Drops Increasing, 29 Storms Enclosing, 30 Booming Fills the Skies;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
