album_date_extract;album_type;album_id;album_name;album_release_date;album_popularity;album_label;album_image;artist_id;artist_name;tracks;available_markets
2020-11-30;single;04AMym1oI2ibxAsr7BVb4t;Loving You Is A Losing Game;2020-11-23;23;Universal Music, a division of Universal International Music BV;https://i.scdn.co/image/ab67616d0000b2733208c73b33c710160dd9882c;3klZnJvYGIbWritVwQD434;Duncan Laurence;1 Arcade, 2 Beautiful, 3 Someone Else, 4 Yet, 5 Love Don’t Hate It, 6 Last Night;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-01;single;04AMym1oI2ibxAsr7BVb4t;Loving You Is A Losing Game;2020-11-23;24;Universal Music, a division of Universal International Music BV;https://i.scdn.co/image/ab67616d0000b2733208c73b33c710160dd9882c;3klZnJvYGIbWritVwQD434;Duncan Laurence;1 Arcade, 2 Beautiful, 3 Someone Else, 4 Yet, 5 Love Don’t Hate It, 6 Last Night;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-02;single;04AMym1oI2ibxAsr7BVb4t;Loving You Is A Losing Game;2020-11-23;25;Universal Music, a division of Universal International Music BV;https://i.scdn.co/image/ab67616d0000b2733208c73b33c710160dd9882c;3klZnJvYGIbWritVwQD434;Duncan Laurence;1 Arcade, 2 Beautiful, 3 Someone Else, 4 Yet, 5 Love Don’t Hate It, 6 Last Night;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-03;single;04AMym1oI2ibxAsr7BVb4t;Loving You Is A Losing Game;2020-11-23;26;Universal Music, a division of Universal International Music BV;https://i.scdn.co/image/ab67616d0000b2733208c73b33c710160dd9882c;3klZnJvYGIbWritVwQD434;Duncan Laurence;1 Arcade, 2 Beautiful, 3 Someone Else, 4 Yet, 5 Love Don’t Hate It, 6 Last Night;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-04;single;04AMym1oI2ibxAsr7BVb4t;Loving You Is A Losing Game;2020-11-23;28;Universal Music, a division of Universal International Music BV;https://i.scdn.co/image/ab67616d0000b2733208c73b33c710160dd9882c;3klZnJvYGIbWritVwQD434;Duncan Laurence;1 Arcade, 2 Beautiful, 3 Someone Else, 4 Yet, 5 Love Don’t Hate It, 6 Last Night;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-05;single;04AMym1oI2ibxAsr7BVb4t;Loving You Is A Losing Game;2020-11-23;29;Universal Music, a division of Universal International Music BV;https://i.scdn.co/image/ab67616d0000b2733208c73b33c710160dd9882c;3klZnJvYGIbWritVwQD434;Duncan Laurence;1 Arcade, 2 Beautiful, 3 Someone Else, 4 Yet, 5 Love Don’t Hate It, 6 Last Night;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-06;single;04AMym1oI2ibxAsr7BVb4t;Loving You Is A Losing Game;2020-11-23;30;Universal Music, a division of Universal International Music BV;https://i.scdn.co/image/ab67616d0000b2733208c73b33c710160dd9882c;3klZnJvYGIbWritVwQD434;Duncan Laurence;1 Arcade, 2 Beautiful, 3 Someone Else, 4 Yet, 5 Love Don’t Hate It, 6 Last Night;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-07;single;04AMym1oI2ibxAsr7BVb4t;Loving You Is A Losing Game;2020-11-23;31;Universal Music, a division of Universal International Music BV;https://i.scdn.co/image/ab67616d0000b2733208c73b33c710160dd9882c;3klZnJvYGIbWritVwQD434;Duncan Laurence;1 Arcade, 2 Beautiful, 3 Someone Else, 4 Yet, 5 Love Don’t Hate It, 6 Last Night;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-08;single;04AMym1oI2ibxAsr7BVb4t;Loving You Is A Losing Game;2020-11-23;32;Universal Music, a division of Universal International Music BV;https://i.scdn.co/image/ab67616d0000b2733208c73b33c710160dd9882c;3klZnJvYGIbWritVwQD434;Duncan Laurence;1 Arcade, 2 Beautiful, 3 Someone Else, 4 Yet, 5 Love Don’t Hate It, 6 Last Night;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-09;single;04AMym1oI2ibxAsr7BVb4t;Loving You Is A Losing Game;2020-11-23;33;Universal Music, a division of Universal International Music BV;https://i.scdn.co/image/ab67616d0000b2733208c73b33c710160dd9882c;3klZnJvYGIbWritVwQD434;Duncan Laurence;1 Arcade, 2 Beautiful, 3 Someone Else, 4 Yet, 5 Love Don’t Hate It, 6 Last Night;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
