album_date_extract;album_type;album_id;album_name;album_release_date;album_popularity;album_label;album_image;artist_id;artist_name;tracks;available_markets
2020-11-30;single;07qcNOZZhCL56ZS01wNUb8;The Beetles;2020-11-24;15;Fuji Apple Records;https://i.scdn.co/image/ab67616d0000b2732bd958280b23549ffb036d19;7jOY91ZU7kn86slH3fBbaD;Louie Zong;1 Pest! (Weevil), 2 Ladybird, 3 Something True (Whirligig), 4 Born Of Dung, 5 Benjamin Bombardier's Exploding Ass;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-01;single;07qcNOZZhCL56ZS01wNUb8;The Beetles;2020-11-24;18;Fuji Apple Records;https://i.scdn.co/image/ab67616d0000b2732bd958280b23549ffb036d19;7jOY91ZU7kn86slH3fBbaD;Louie Zong;1 Pest! (Weevil), 2 Ladybird, 3 Something True (Whirligig), 4 Born Of Dung, 5 Benjamin Bombardier's Exploding Ass;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-02;single;07qcNOZZhCL56ZS01wNUb8;The Beetles;2020-11-24;20;Fuji Apple Records;https://i.scdn.co/image/ab67616d0000b2732bd958280b23549ffb036d19;7jOY91ZU7kn86slH3fBbaD;Louie Zong;1 Pest! (Weevil), 2 Ladybird, 3 Something True (Whirligig), 4 Born Of Dung, 5 Benjamin Bombardier's Exploding Ass;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-03;single;07qcNOZZhCL56ZS01wNUb8;The Beetles;2020-11-24;21;Fuji Apple Records;https://i.scdn.co/image/ab67616d0000b2732bd958280b23549ffb036d19;7jOY91ZU7kn86slH3fBbaD;Louie Zong;1 Pest! (Weevil), 2 Ladybird, 3 Something True (Whirligig), 4 Born Of Dung, 5 Benjamin Bombardier's Exploding Ass;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-04;single;07qcNOZZhCL56ZS01wNUb8;The Beetles;2020-11-24;22;Fuji Apple Records;https://i.scdn.co/image/ab67616d0000b2732bd958280b23549ffb036d19;7jOY91ZU7kn86slH3fBbaD;Louie Zong;1 Pest! (Weevil), 2 Ladybird, 3 Something True (Whirligig), 4 Born Of Dung, 5 Benjamin Bombardier's Exploding Ass;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-05;single;07qcNOZZhCL56ZS01wNUb8;The Beetles;2020-11-24;23;Fuji Apple Records;https://i.scdn.co/image/ab67616d0000b2732bd958280b23549ffb036d19;7jOY91ZU7kn86slH3fBbaD;Louie Zong;1 Pest! (Weevil), 2 Ladybird, 3 Something True (Whirligig), 4 Born Of Dung, 5 Benjamin Bombardier's Exploding Ass;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-06;single;07qcNOZZhCL56ZS01wNUb8;The Beetles;2020-11-24;23;Fuji Apple Records;https://i.scdn.co/image/ab67616d0000b2732bd958280b23549ffb036d19;7jOY91ZU7kn86slH3fBbaD;Louie Zong;1 Pest! (Weevil), 2 Ladybird, 3 Something True (Whirligig), 4 Born Of Dung, 5 Benjamin Bombardier's Exploding Ass;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-07;single;07qcNOZZhCL56ZS01wNUb8;The Beetles;2020-11-24;24;Fuji Apple Records;https://i.scdn.co/image/ab67616d0000b2732bd958280b23549ffb036d19;7jOY91ZU7kn86slH3fBbaD;Louie Zong;1 Pest! (Weevil), 2 Ladybird, 3 Something True (Whirligig), 4 Born Of Dung, 5 Benjamin Bombardier's Exploding Ass;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-08;single;07qcNOZZhCL56ZS01wNUb8;The Beetles;2020-11-24;25;Fuji Apple Records;https://i.scdn.co/image/ab67616d0000b2732bd958280b23549ffb036d19;7jOY91ZU7kn86slH3fBbaD;Louie Zong;1 Pest! (Weevil), 2 Ladybird, 3 Something True (Whirligig), 4 Born Of Dung, 5 Benjamin Bombardier's Exploding Ass;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-09;single;07qcNOZZhCL56ZS01wNUb8;The Beetles;2020-11-24;25;Fuji Apple Records;https://i.scdn.co/image/ab67616d0000b2732bd958280b23549ffb036d19;7jOY91ZU7kn86slH3fBbaD;Louie Zong;1 Pest! (Weevil), 2 Ladybird, 3 Something True (Whirligig), 4 Born Of Dung, 5 Benjamin Bombardier's Exploding Ass;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
