album_date_extract;album_type;album_id;album_name;album_release_date;album_popularity;album_label;album_image;artist_id;artist_name;tracks;available_markets
2020-11-24;single;0Iz6mus3Sp2LvyoRNieBbN;Winter Night;2020-11-22;0;Derek Fiechter & Brandon Fiechter;https://i.scdn.co/image/ab67616d0000b27332e74acf8fbfe8df3c822565;01Er12nK5rrnHx8usFPJAs;Derek Fiechter;1 Spooky Woods of Winterdeep, 2 Windwatcher Woods, 3 Frosthelm Castle, 4 Arctic King of Blizzards, 5 Winter Carnival, 6 The Northern Peaks;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-25;single;0Iz6mus3Sp2LvyoRNieBbN;Winter Night;2020-11-22;4;Derek Fiechter & Brandon Fiechter;https://i.scdn.co/image/ab67616d0000b27332e74acf8fbfe8df3c822565;01Er12nK5rrnHx8usFPJAs;Derek Fiechter;1 Spooky Woods of Winterdeep, 2 Windwatcher Woods, 3 Frosthelm Castle, 4 Arctic King of Blizzards, 5 Winter Carnival, 6 The Northern Peaks;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-26;single;0Iz6mus3Sp2LvyoRNieBbN;Winter Night;2020-11-22;5;Derek Fiechter & Brandon Fiechter;https://i.scdn.co/image/ab67616d0000b27332e74acf8fbfe8df3c822565;01Er12nK5rrnHx8usFPJAs;Derek Fiechter;1 Spooky Woods of Winterdeep, 2 Windwatcher Woods, 3 Frosthelm Castle, 4 Arctic King of Blizzards, 5 Winter Carnival, 6 The Northern Peaks;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-27;single;0Iz6mus3Sp2LvyoRNieBbN;Winter Night;2020-11-22;7;Derek Fiechter & Brandon Fiechter;https://i.scdn.co/image/ab67616d0000b27332e74acf8fbfe8df3c822565;01Er12nK5rrnHx8usFPJAs;Derek Fiechter;1 Spooky Woods of Winterdeep, 2 Windwatcher Woods, 3 Frosthelm Castle, 4 Arctic King of Blizzards, 5 Winter Carnival, 6 The Northern Peaks;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-28;single;0Iz6mus3Sp2LvyoRNieBbN;Winter Night;2020-11-22;9;Derek Fiechter & Brandon Fiechter;https://i.scdn.co/image/ab67616d0000b27332e74acf8fbfe8df3c822565;01Er12nK5rrnHx8usFPJAs;Derek Fiechter;1 Spooky Woods of Winterdeep, 2 Windwatcher Woods, 3 Frosthelm Castle, 4 Arctic King of Blizzards, 5 Winter Carnival, 6 The Northern Peaks;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-29;single;0Iz6mus3Sp2LvyoRNieBbN;Winter Night;2020-11-22;12;Derek Fiechter & Brandon Fiechter;https://i.scdn.co/image/ab67616d0000b27332e74acf8fbfe8df3c822565;01Er12nK5rrnHx8usFPJAs;Derek Fiechter;1 Spooky Woods of Winterdeep, 2 Windwatcher Woods, 3 Frosthelm Castle, 4 Arctic King of Blizzards, 5 Winter Carnival, 6 The Northern Peaks;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-30;single;0Iz6mus3Sp2LvyoRNieBbN;Winter Night;2020-11-22;19;Derek Fiechter & Brandon Fiechter;https://i.scdn.co/image/ab67616d0000b27332e74acf8fbfe8df3c822565;01Er12nK5rrnHx8usFPJAs;Derek Fiechter;1 Spooky Woods of Winterdeep, 2 Windwatcher Woods, 3 Frosthelm Castle, 4 Arctic King of Blizzards, 5 Winter Carnival, 6 The Northern Peaks;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-01;single;0Iz6mus3Sp2LvyoRNieBbN;Winter Night;2020-11-22;21;Derek Fiechter & Brandon Fiechter;https://i.scdn.co/image/ab67616d0000b27332e74acf8fbfe8df3c822565;01Er12nK5rrnHx8usFPJAs;Derek Fiechter;1 Spooky Woods of Winterdeep, 2 Windwatcher Woods, 3 Frosthelm Castle, 4 Arctic King of Blizzards, 5 Winter Carnival, 6 The Northern Peaks;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-02;single;0Iz6mus3Sp2LvyoRNieBbN;Winter Night;2020-11-22;22;Derek Fiechter & Brandon Fiechter;https://i.scdn.co/image/ab67616d0000b27332e74acf8fbfe8df3c822565;01Er12nK5rrnHx8usFPJAs;Derek Fiechter;1 Spooky Woods of Winterdeep, 2 Windwatcher Woods, 3 Frosthelm Castle, 4 Arctic King of Blizzards, 5 Winter Carnival, 6 The Northern Peaks;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-03;single;0Iz6mus3Sp2LvyoRNieBbN;Winter Night;2020-11-22;23;Derek Fiechter & Brandon Fiechter;https://i.scdn.co/image/ab67616d0000b27332e74acf8fbfe8df3c822565;01Er12nK5rrnHx8usFPJAs;Derek Fiechter;1 Spooky Woods of Winterdeep, 2 Windwatcher Woods, 3 Frosthelm Castle, 4 Arctic King of Blizzards, 5 Winter Carnival, 6 The Northern Peaks;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
