album_date_extract;album_type;album_id;album_name;album_release_date;album_popularity;album_label;album_image;artist_id;artist_name;tracks;available_markets
2020-11-24;single;0NkcRkzkS6cfw82AqNfamP;5 Little Ducks (Went Swimming);2020-11-20;17;Moonbug Entertainment;https://i.scdn.co/image/ab67616d0000b273259432ed10e82e95cfc4419b;0lFDQOEK5OwsyPXb1aWJzY;Little Baby Bum Nursery Rhyme Friends;1 5 Little Ducks (Went Swimming);AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-25;single;0NkcRkzkS6cfw82AqNfamP;5 Little Ducks (Went Swimming);2020-11-20;21;Moonbug Entertainment;https://i.scdn.co/image/ab67616d0000b273259432ed10e82e95cfc4419b;0lFDQOEK5OwsyPXb1aWJzY;Little Baby Bum Nursery Rhyme Friends;1 5 Little Ducks (Went Swimming);AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-26;single;0NkcRkzkS6cfw82AqNfamP;5 Little Ducks (Went Swimming);2020-11-20;23;Moonbug Entertainment;https://i.scdn.co/image/ab67616d0000b273259432ed10e82e95cfc4419b;0lFDQOEK5OwsyPXb1aWJzY;Little Baby Bum Nursery Rhyme Friends;1 5 Little Ducks (Went Swimming);AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-27;single;0NkcRkzkS6cfw82AqNfamP;5 Little Ducks (Went Swimming);2020-11-20;25;Moonbug Entertainment;https://i.scdn.co/image/ab67616d0000b273259432ed10e82e95cfc4419b;0lFDQOEK5OwsyPXb1aWJzY;Little Baby Bum Nursery Rhyme Friends;1 5 Little Ducks (Went Swimming);AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-28;single;0NkcRkzkS6cfw82AqNfamP;5 Little Ducks (Went Swimming);2020-11-20;26;Moonbug Entertainment;https://i.scdn.co/image/ab67616d0000b273259432ed10e82e95cfc4419b;0lFDQOEK5OwsyPXb1aWJzY;Little Baby Bum Nursery Rhyme Friends;1 5 Little Ducks (Went Swimming);AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-29;single;0NkcRkzkS6cfw82AqNfamP;5 Little Ducks (Went Swimming);2020-11-20;27;Moonbug Entertainment;https://i.scdn.co/image/ab67616d0000b273259432ed10e82e95cfc4419b;0lFDQOEK5OwsyPXb1aWJzY;Little Baby Bum Nursery Rhyme Friends;1 5 Little Ducks (Went Swimming);AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-30;single;0NkcRkzkS6cfw82AqNfamP;5 Little Ducks (Went Swimming);2020-11-20;28;Moonbug Entertainment;https://i.scdn.co/image/ab67616d0000b273259432ed10e82e95cfc4419b;0lFDQOEK5OwsyPXb1aWJzY;Little Baby Bum Nursery Rhyme Friends;1 5 Little Ducks (Went Swimming);AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-01;single;0NkcRkzkS6cfw82AqNfamP;5 Little Ducks (Went Swimming);2020-11-20;29;Moonbug Entertainment;https://i.scdn.co/image/ab67616d0000b273259432ed10e82e95cfc4419b;0lFDQOEK5OwsyPXb1aWJzY;Little Baby Bum Nursery Rhyme Friends;1 5 Little Ducks (Went Swimming);AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-02;single;0NkcRkzkS6cfw82AqNfamP;5 Little Ducks (Went Swimming);2020-11-20;29;Moonbug Entertainment;https://i.scdn.co/image/ab67616d0000b273259432ed10e82e95cfc4419b;0lFDQOEK5OwsyPXb1aWJzY;Little Baby Bum Nursery Rhyme Friends;1 5 Little Ducks (Went Swimming);AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-03;single;0NkcRkzkS6cfw82AqNfamP;5 Little Ducks (Went Swimming);2020-11-20;30;Moonbug Entertainment;https://i.scdn.co/image/ab67616d0000b273259432ed10e82e95cfc4419b;0lFDQOEK5OwsyPXb1aWJzY;Little Baby Bum Nursery Rhyme Friends;1 5 Little Ducks (Went Swimming);AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-04;single;0NkcRkzkS6cfw82AqNfamP;5 Little Ducks (Went Swimming);2020-11-20;30;Moonbug Entertainment;https://i.scdn.co/image/ab67616d0000b273259432ed10e82e95cfc4419b;0lFDQOEK5OwsyPXb1aWJzY;Little Baby Bum Nursery Rhyme Friends;1 5 Little Ducks (Went Swimming);AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-05;single;0NkcRkzkS6cfw82AqNfamP;5 Little Ducks (Went Swimming);2020-11-20;31;Moonbug Entertainment;https://i.scdn.co/image/ab67616d0000b273259432ed10e82e95cfc4419b;0lFDQOEK5OwsyPXb1aWJzY;Little Baby Bum Nursery Rhyme Friends;1 5 Little Ducks (Went Swimming);AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
