album_date_extract;album_type;album_id;album_name;album_release_date;album_popularity;album_label;album_image;artist_id;artist_name;tracks;available_markets
2020-11-24;album;0isNJzCI4Zng8GpQjGGXyv;Rap Việt Tập 16;2020-11-16;59;WM Vietnam;https://i.scdn.co/image/ab67616d0000b273a638857d5dbb2ac1f1dc39f0;1cPpd989kghzlZqfpP4KwL;RAP VIỆT;1 Anh Chồng Quốc Dân Của Em (feat. Lăng LD & Rhymastic), 2 Dân Chơi Xóm (feat. RPT MCK & JustaTee), 3 Tèn Tèn Girls! (feat. Tlinh & Suboi), 4 What Love Is… (feat. RPT Gonzo, Thành Draw & Binz), 5 Ala Ela (feat. Gducky, Ricky Star & Karik), 6 Chim Sẻ Và Dâu Tây (feat. Dế Choắt & Wowy), 7 Chúng Ta Đều Là Người Chiến Thắng (feat. R.I.C, Đạt Dope, Yuno Bigboi, Lor, Tony D. & Tez);AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-25;album;0isNJzCI4Zng8GpQjGGXyv;Rap Việt Tập 16;2020-11-16;60;WM Vietnam;https://i.scdn.co/image/ab67616d0000b273a638857d5dbb2ac1f1dc39f0;1cPpd989kghzlZqfpP4KwL;RAP VIỆT;1 Anh Chồng Quốc Dân Của Em (feat. Lăng LD & Rhymastic), 2 Dân Chơi Xóm (feat. RPT MCK & JustaTee), 3 Tèn Tèn Girls! (feat. Tlinh & Suboi), 4 What Love Is… (feat. RPT Gonzo, Thành Draw & Binz), 5 Ala Ela (feat. Gducky, Ricky Star & Karik), 6 Chim Sẻ Và Dâu Tây (feat. Dế Choắt & Wowy), 7 Chúng Ta Đều Là Người Chiến Thắng (feat. R.I.C, Đạt Dope, Yuno Bigboi, Lor, Tony D. & Tez);AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-26;album;0isNJzCI4Zng8GpQjGGXyv;Rap Việt Tập 16;2020-11-16;60;WM Vietnam;https://i.scdn.co/image/ab67616d0000b273a638857d5dbb2ac1f1dc39f0;1cPpd989kghzlZqfpP4KwL;RAP VIỆT;1 Anh Chồng Quốc Dân Của Em (feat. Lăng LD & Rhymastic), 2 Dân Chơi Xóm (feat. RPT MCK & JustaTee), 3 Tèn Tèn Girls! (feat. Tlinh & Suboi), 4 What Love Is… (feat. RPT Gonzo, Thành Draw & Binz), 5 Ala Ela (feat. Gducky, Ricky Star & Karik), 6 Chim Sẻ Và Dâu Tây (feat. Dế Choắt & Wowy), 7 Chúng Ta Đều Là Người Chiến Thắng (feat. R.I.C, Đạt Dope, Yuno Bigboi, Lor, Tony D. & Tez);AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-27;album;0isNJzCI4Zng8GpQjGGXyv;Rap Việt Tập 16;2020-11-16;61;WM Vietnam;https://i.scdn.co/image/ab67616d0000b273a638857d5dbb2ac1f1dc39f0;1cPpd989kghzlZqfpP4KwL;RAP VIỆT;1 Anh Chồng Quốc Dân Của Em (feat. Lăng LD & Rhymastic), 2 Dân Chơi Xóm (feat. RPT MCK & JustaTee), 3 Tèn Tèn Girls! (feat. Tlinh & Suboi), 4 What Love Is… (feat. RPT Gonzo, Thành Draw & Binz), 5 Ala Ela (feat. Gducky, Ricky Star & Karik), 6 Chim Sẻ Và Dâu Tây (feat. Dế Choắt & Wowy), 7 Chúng Ta Đều Là Người Chiến Thắng (feat. R.I.C, Đạt Dope, Yuno Bigboi, Lor, Tony D. & Tez);AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-28;album;0isNJzCI4Zng8GpQjGGXyv;Rap Việt Tập 16;2020-11-16;61;WM Vietnam;https://i.scdn.co/image/ab67616d0000b273a638857d5dbb2ac1f1dc39f0;1cPpd989kghzlZqfpP4KwL;RAP VIỆT;1 Anh Chồng Quốc Dân Của Em (feat. Lăng LD & Rhymastic), 2 Dân Chơi Xóm (feat. RPT MCK & JustaTee), 3 Tèn Tèn Girls! (feat. Tlinh & Suboi), 4 What Love Is… (feat. RPT Gonzo, Thành Draw & Binz), 5 Ala Ela (feat. Gducky, Ricky Star & Karik), 6 Chim Sẻ Và Dâu Tây (feat. Dế Choắt & Wowy), 7 Chúng Ta Đều Là Người Chiến Thắng (feat. R.I.C, Đạt Dope, Yuno Bigboi, Lor, Tony D. & Tez);AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-29;album;0isNJzCI4Zng8GpQjGGXyv;Rap Việt Tập 16;2020-11-16;61;WM Vietnam;https://i.scdn.co/image/ab67616d0000b273a638857d5dbb2ac1f1dc39f0;1cPpd989kghzlZqfpP4KwL;RAP VIỆT;1 Anh Chồng Quốc Dân Của Em (feat. Lăng LD & Rhymastic), 2 Dân Chơi Xóm (feat. RPT MCK & JustaTee), 3 Tèn Tèn Girls! (feat. Tlinh & Suboi), 4 What Love Is… (feat. RPT Gonzo, Thành Draw & Binz), 5 Ala Ela (feat. Gducky, Ricky Star & Karik), 6 Chim Sẻ Và Dâu Tây (feat. Dế Choắt & Wowy), 7 Chúng Ta Đều Là Người Chiến Thắng (feat. R.I.C, Đạt Dope, Yuno Bigboi, Lor, Tony D. & Tez);AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-30;album;0isNJzCI4Zng8GpQjGGXyv;Rap Việt Tập 16;2020-11-16;62;WM Vietnam;https://i.scdn.co/image/ab67616d0000b273a638857d5dbb2ac1f1dc39f0;1cPpd989kghzlZqfpP4KwL;RAP VIỆT;1 Anh Chồng Quốc Dân Của Em (feat. Lăng LD & Rhymastic), 2 Dân Chơi Xóm (feat. RPT MCK & JustaTee), 3 Tèn Tèn Girls! (feat. Tlinh & Suboi), 4 What Love Is… (feat. RPT Gonzo, Thành Draw & Binz), 5 Ala Ela (feat. Gducky, Ricky Star & Karik), 6 Chim Sẻ Và Dâu Tây (feat. Dế Choắt & Wowy), 7 Chúng Ta Đều Là Người Chiến Thắng (feat. R.I.C, Đạt Dope, Yuno Bigboi, Lor, Tony D. & Tez);AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-01;album;0isNJzCI4Zng8GpQjGGXyv;Rap Việt Tập 16;2020-11-16;62;WM Vietnam;https://i.scdn.co/image/ab67616d0000b273a638857d5dbb2ac1f1dc39f0;1cPpd989kghzlZqfpP4KwL;RAP VIỆT;1 Anh Chồng Quốc Dân Của Em (feat. Lăng LD & Rhymastic), 2 Dân Chơi Xóm (feat. RPT MCK & JustaTee), 3 Tèn Tèn Girls! (feat. Tlinh & Suboi), 4 What Love Is… (feat. RPT Gonzo, Thành Draw & Binz), 5 Ala Ela (feat. Gducky, Ricky Star & Karik), 6 Chim Sẻ Và Dâu Tây (feat. Dế Choắt & Wowy), 7 Chúng Ta Đều Là Người Chiến Thắng (feat. R.I.C, Đạt Dope, Yuno Bigboi, Lor, Tony D. & Tez);AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-02;album;0isNJzCI4Zng8GpQjGGXyv;Rap Việt Tập 16;2020-11-16;62;WM Vietnam;https://i.scdn.co/image/ab67616d0000b273a638857d5dbb2ac1f1dc39f0;1cPpd989kghzlZqfpP4KwL;RAP VIỆT;1 Anh Chồng Quốc Dân Của Em (feat. Lăng LD & Rhymastic), 2 Dân Chơi Xóm (feat. RPT MCK & JustaTee), 3 Tèn Tèn Girls! (feat. Tlinh & Suboi), 4 What Love Is… (feat. RPT Gonzo, Thành Draw & Binz), 5 Ala Ela (feat. Gducky, Ricky Star & Karik), 6 Chim Sẻ Và Dâu Tây (feat. Dế Choắt & Wowy), 7 Chúng Ta Đều Là Người Chiến Thắng (feat. R.I.C, Đạt Dope, Yuno Bigboi, Lor, Tony D. & Tez);AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-03;album;0isNJzCI4Zng8GpQjGGXyv;Rap Việt Tập 16;2020-11-16;62;WM Vietnam;https://i.scdn.co/image/ab67616d0000b273a638857d5dbb2ac1f1dc39f0;1cPpd989kghzlZqfpP4KwL;RAP VIỆT;1 Anh Chồng Quốc Dân Của Em (feat. Lăng LD & Rhymastic), 2 Dân Chơi Xóm (feat. RPT MCK & JustaTee), 3 Tèn Tèn Girls! (feat. Tlinh & Suboi), 4 What Love Is… (feat. RPT Gonzo, Thành Draw & Binz), 5 Ala Ela (feat. Gducky, Ricky Star & Karik), 6 Chim Sẻ Và Dâu Tây (feat. Dế Choắt & Wowy), 7 Chúng Ta Đều Là Người Chiến Thắng (feat. R.I.C, Đạt Dope, Yuno Bigboi, Lor, Tony D. & Tez);AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
