album_date_extract;album_type;album_id;album_name;album_release_date;album_popularity;album_label;album_image;artist_id;artist_name;tracks;available_markets
2020-11-24;album;0oCDrLbb3lxDiYcti6Jquv;Christmas Acoustic Sessions;2020-11-20;39;Fair Trade/Columbia;https://i.scdn.co/image/ab67616d0000b273db00971e4749af6558e73985;5d1JhBfyb58upMXCZOdbQu;Phil Wickham;1 Joy To The World (Joyful, Joyful), 2 Christmas (Baby Please Come Home), 3 Face Of God, 4 Away In A Manger (Forever Amen), 5 Carol Of The Bells, 6 This Year For Christmas, 7 Hark The Herald Angels Sing, 8 The Christmas Waltz, 9 Angels We Have Heard On High, 10 Star Of Wonder, 11 What Child Is This, 12 White Christmas;CA, US
2020-11-25;album;0oCDrLbb3lxDiYcti6Jquv;Christmas Acoustic Sessions;2020-11-20;42;Fair Trade/Columbia;https://i.scdn.co/image/ab67616d0000b273db00971e4749af6558e73985;5d1JhBfyb58upMXCZOdbQu;Phil Wickham;1 Joy To The World (Joyful, Joyful), 2 Christmas (Baby Please Come Home), 3 Face Of God, 4 Away In A Manger (Forever Amen), 5 Carol Of The Bells, 6 This Year For Christmas, 7 Hark The Herald Angels Sing, 8 The Christmas Waltz, 9 Angels We Have Heard On High, 10 Star Of Wonder, 11 What Child Is This, 12 White Christmas;CA, US
2020-11-26;album;0oCDrLbb3lxDiYcti6Jquv;Christmas Acoustic Sessions;2020-11-20;44;Fair Trade/Columbia;https://i.scdn.co/image/ab67616d0000b273db00971e4749af6558e73985;5d1JhBfyb58upMXCZOdbQu;Phil Wickham;1 Joy To The World (Joyful, Joyful), 2 Christmas (Baby Please Come Home), 3 Face Of God, 4 Away In A Manger (Forever Amen), 5 Carol Of The Bells, 6 This Year For Christmas, 7 Hark The Herald Angels Sing, 8 The Christmas Waltz, 9 Angels We Have Heard On High, 10 Star Of Wonder, 11 What Child Is This, 12 White Christmas;CA, US
2020-11-27;album;0oCDrLbb3lxDiYcti6Jquv;Christmas Acoustic Sessions;2020-11-20;46;Fair Trade/Columbia;https://i.scdn.co/image/ab67616d0000b273db00971e4749af6558e73985;5d1JhBfyb58upMXCZOdbQu;Phil Wickham;1 Joy To The World (Joyful, Joyful), 2 Christmas (Baby Please Come Home), 3 Face Of God, 4 Away In A Manger (Forever Amen), 5 Carol Of The Bells, 6 This Year For Christmas, 7 Hark The Herald Angels Sing, 8 The Christmas Waltz, 9 Angels We Have Heard On High, 10 Star Of Wonder, 11 What Child Is This, 12 White Christmas;CA, US
2020-11-28;album;0oCDrLbb3lxDiYcti6Jquv;Christmas Acoustic Sessions;2020-11-20;48;Fair Trade/Columbia;https://i.scdn.co/image/ab67616d0000b273db00971e4749af6558e73985;5d1JhBfyb58upMXCZOdbQu;Phil Wickham;1 Joy To The World (Joyful, Joyful), 2 Christmas (Baby Please Come Home), 3 Face Of God, 4 Away In A Manger (Forever Amen), 5 Carol Of The Bells, 6 This Year For Christmas, 7 Hark The Herald Angels Sing, 8 The Christmas Waltz, 9 Angels We Have Heard On High, 10 Star Of Wonder, 11 What Child Is This, 12 White Christmas;CA, US
2020-11-29;album;0oCDrLbb3lxDiYcti6Jquv;Christmas Acoustic Sessions;2020-11-20;49;Fair Trade/Columbia;https://i.scdn.co/image/ab67616d0000b273db00971e4749af6558e73985;5d1JhBfyb58upMXCZOdbQu;Phil Wickham;1 Joy To The World (Joyful, Joyful), 2 Christmas (Baby Please Come Home), 3 Face Of God, 4 Away In A Manger (Forever Amen), 5 Carol Of The Bells, 6 This Year For Christmas, 7 Hark The Herald Angels Sing, 8 The Christmas Waltz, 9 Angels We Have Heard On High, 10 Star Of Wonder, 11 What Child Is This, 12 White Christmas;CA, US
2020-11-30;album;0oCDrLbb3lxDiYcti6Jquv;Christmas Acoustic Sessions;2020-11-20;50;Fair Trade/Columbia;https://i.scdn.co/image/ab67616d0000b273db00971e4749af6558e73985;5d1JhBfyb58upMXCZOdbQu;Phil Wickham;1 Joy To The World (Joyful, Joyful), 2 Christmas (Baby Please Come Home), 3 Face Of God, 4 Away In A Manger (Forever Amen), 5 Carol Of The Bells, 6 This Year For Christmas, 7 Hark The Herald Angels Sing, 8 The Christmas Waltz, 9 Angels We Have Heard On High, 10 Star Of Wonder, 11 What Child Is This, 12 White Christmas;CA, US
2020-12-01;album;0oCDrLbb3lxDiYcti6Jquv;Christmas Acoustic Sessions;2020-11-20;50;Fair Trade/Columbia;https://i.scdn.co/image/ab67616d0000b273db00971e4749af6558e73985;5d1JhBfyb58upMXCZOdbQu;Phil Wickham;1 Joy To The World (Joyful, Joyful), 2 Christmas (Baby Please Come Home), 3 Face Of God, 4 Away In A Manger (Forever Amen), 5 Carol Of The Bells, 6 This Year For Christmas, 7 Hark The Herald Angels Sing, 8 The Christmas Waltz, 9 Angels We Have Heard On High, 10 Star Of Wonder, 11 What Child Is This, 12 White Christmas;CA, US
2020-12-02;album;0oCDrLbb3lxDiYcti6Jquv;Christmas Acoustic Sessions;2020-11-20;51;Fair Trade/Columbia;https://i.scdn.co/image/ab67616d0000b273db00971e4749af6558e73985;5d1JhBfyb58upMXCZOdbQu;Phil Wickham;1 Joy To The World (Joyful, Joyful), 2 Christmas (Baby Please Come Home), 3 Face Of God, 4 Away In A Manger (Forever Amen), 5 Carol Of The Bells, 6 This Year For Christmas, 7 Hark The Herald Angels Sing, 8 The Christmas Waltz, 9 Angels We Have Heard On High, 10 Star Of Wonder, 11 What Child Is This, 12 White Christmas;CA, US
2020-12-03;album;0oCDrLbb3lxDiYcti6Jquv;Christmas Acoustic Sessions;2020-11-20;52;Fair Trade/Columbia;https://i.scdn.co/image/ab67616d0000b273db00971e4749af6558e73985;5d1JhBfyb58upMXCZOdbQu;Phil Wickham;1 Joy To The World (Joyful, Joyful), 2 Christmas (Baby Please Come Home), 3 Face Of God, 4 Away In A Manger (Forever Amen), 5 Carol Of The Bells, 6 This Year For Christmas, 7 Hark The Herald Angels Sing, 8 The Christmas Waltz, 9 Angels We Have Heard On High, 10 Star Of Wonder, 11 What Child Is This, 12 White Christmas;CA, US
