album_date_extract;album_type;album_id;album_name;album_release_date;album_popularity;album_label;album_image;artist_id;artist_name;tracks;available_markets
2020-11-30;single;0oZdoguy4BOsAvmnMS7LVQ;Different Addy;2020-11-25;7;#BOYZ Entertainment LLC;https://i.scdn.co/image/ab67616d0000b273d2805cf2ee98a370d0c1fcb3;6O1vRHWVGKJTnWuJmItnsx;Rio Da Yung Og;1 Different Addy;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-01;single;0oZdoguy4BOsAvmnMS7LVQ;Different Addy;2020-11-25;10;#BOYZ Entertainment LLC;https://i.scdn.co/image/ab67616d0000b273d2805cf2ee98a370d0c1fcb3;6O1vRHWVGKJTnWuJmItnsx;Rio Da Yung Og;1 Different Addy;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-02;single;0oZdoguy4BOsAvmnMS7LVQ;Different Addy;2020-11-25;12;#BOYZ Entertainment LLC;https://i.scdn.co/image/ab67616d0000b273d2805cf2ee98a370d0c1fcb3;6O1vRHWVGKJTnWuJmItnsx;Rio Da Yung Og;1 Different Addy;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-03;single;0oZdoguy4BOsAvmnMS7LVQ;Different Addy;2020-11-25;13;#BOYZ Entertainment LLC;https://i.scdn.co/image/ab67616d0000b273d2805cf2ee98a370d0c1fcb3;6O1vRHWVGKJTnWuJmItnsx;Rio Da Yung Og;1 Different Addy;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-04;single;0oZdoguy4BOsAvmnMS7LVQ;Different Addy;2020-11-25;15;#BOYZ Entertainment LLC;https://i.scdn.co/image/ab67616d0000b273d2805cf2ee98a370d0c1fcb3;6O1vRHWVGKJTnWuJmItnsx;Rio Da Yung Og;1 Different Addy;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-05;single;0oZdoguy4BOsAvmnMS7LVQ;Different Addy;2020-11-25;15;#BOYZ Entertainment LLC;https://i.scdn.co/image/ab67616d0000b273d2805cf2ee98a370d0c1fcb3;6O1vRHWVGKJTnWuJmItnsx;Rio Da Yung Og;1 Different Addy;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-06;single;0oZdoguy4BOsAvmnMS7LVQ;Different Addy;2020-11-25;16;#BOYZ Entertainment LLC;https://i.scdn.co/image/ab67616d0000b273d2805cf2ee98a370d0c1fcb3;6O1vRHWVGKJTnWuJmItnsx;Rio Da Yung Og;1 Different Addy;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-07;single;0oZdoguy4BOsAvmnMS7LVQ;Different Addy;2020-11-25;17;#BOYZ Entertainment LLC;https://i.scdn.co/image/ab67616d0000b273d2805cf2ee98a370d0c1fcb3;6O1vRHWVGKJTnWuJmItnsx;Rio Da Yung Og;1 Different Addy;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-08;single;0oZdoguy4BOsAvmnMS7LVQ;Different Addy;2020-11-25;17;#BOYZ Entertainment LLC;https://i.scdn.co/image/ab67616d0000b273d2805cf2ee98a370d0c1fcb3;6O1vRHWVGKJTnWuJmItnsx;Rio Da Yung Og;1 Different Addy;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-09;single;0oZdoguy4BOsAvmnMS7LVQ;Different Addy;2020-11-25;18;#BOYZ Entertainment LLC;https://i.scdn.co/image/ab67616d0000b273d2805cf2ee98a370d0c1fcb3;6O1vRHWVGKJTnWuJmItnsx;Rio Da Yung Og;1 Different Addy;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
