album_date_extract;album_type;album_id;album_name;album_release_date;album_popularity;album_label;album_image;artist_id;artist_name;tracks;available_markets
2020-11-30;album;10MU6UqvG493jxdVbiHjJ6;Things I Chose To Remember;2020-11-27;36;Decca (UMO);https://i.scdn.co/image/ab67616d0000b2732403daff84b87cb880e1d919;4T2k9bgIoC8bbqjqiEl9vZ;Rhys Lewis;1 Better Than Today, 2 No Right To Love You, 3 When Was The Last Time?, 4 Under The Sun, 5 What If, 6 Lonely Place, 7 Good People, 8 Some Days, 9 Be Your Man, 10 Hold On To Happiness, 11 What Wild Things Were, 1 No Right To Love You - Acoustic, 2 End Like This, 3 Be Your Man - Acoustic, 4 Things You Can't Change, 5 Reason To Hate You, 6 Could've Been, 7 Under The Sun - Acoustic, 8 Lonely Place - Acoustic;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-01;album;10MU6UqvG493jxdVbiHjJ6;Things I Chose To Remember;2020-11-27;39;Decca (UMO);https://i.scdn.co/image/ab67616d0000b2732403daff84b87cb880e1d919;4T2k9bgIoC8bbqjqiEl9vZ;Rhys Lewis;1 Better Than Today, 2 No Right To Love You, 3 When Was The Last Time?, 4 Under The Sun, 5 What If, 6 Lonely Place, 7 Good People, 8 Some Days, 9 Be Your Man, 10 Hold On To Happiness, 11 What Wild Things Were, 1 No Right To Love You - Acoustic, 2 End Like This, 3 Be Your Man - Acoustic, 4 Things You Can't Change, 5 Reason To Hate You, 6 Could've Been, 7 Under The Sun - Acoustic, 8 Lonely Place - Acoustic;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-02;album;10MU6UqvG493jxdVbiHjJ6;Things I Chose To Remember;2020-11-27;41;Decca (UMO);https://i.scdn.co/image/ab67616d0000b2732403daff84b87cb880e1d919;4T2k9bgIoC8bbqjqiEl9vZ;Rhys Lewis;1 Better Than Today, 2 No Right To Love You, 3 When Was The Last Time?, 4 Under The Sun, 5 What If, 6 Lonely Place, 7 Good People, 8 Some Days, 9 Be Your Man, 10 Hold On To Happiness, 11 What Wild Things Were, 1 No Right To Love You - Acoustic, 2 End Like This, 3 Be Your Man - Acoustic, 4 Things You Can't Change, 5 Reason To Hate You, 6 Could've Been, 7 Under The Sun - Acoustic, 8 Lonely Place - Acoustic;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-03;album;10MU6UqvG493jxdVbiHjJ6;Things I Chose To Remember;2020-11-27;42;Decca (UMO);https://i.scdn.co/image/ab67616d0000b2732403daff84b87cb880e1d919;4T2k9bgIoC8bbqjqiEl9vZ;Rhys Lewis;1 Better Than Today, 2 No Right To Love You, 3 When Was The Last Time?, 4 Under The Sun, 5 What If, 6 Lonely Place, 7 Good People, 8 Some Days, 9 Be Your Man, 10 Hold On To Happiness, 11 What Wild Things Were, 1 No Right To Love You - Acoustic, 2 End Like This, 3 Be Your Man - Acoustic, 4 Things You Can't Change, 5 Reason To Hate You, 6 Could've Been, 7 Under The Sun - Acoustic, 8 Lonely Place - Acoustic;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-04;album;10MU6UqvG493jxdVbiHjJ6;Things I Chose To Remember;2020-11-27;43;Decca (UMO);https://i.scdn.co/image/ab67616d0000b2732403daff84b87cb880e1d919;4T2k9bgIoC8bbqjqiEl9vZ;Rhys Lewis;1 Better Than Today, 2 No Right To Love You, 3 When Was The Last Time?, 4 Under The Sun, 5 What If, 6 Lonely Place, 7 Good People, 8 Some Days, 9 Be Your Man, 10 Hold On To Happiness, 11 What Wild Things Were, 1 No Right To Love You - Acoustic, 2 End Like This, 3 Be Your Man - Acoustic, 4 Things You Can't Change, 5 Reason To Hate You, 6 Could've Been, 7 Under The Sun - Acoustic, 8 Lonely Place - Acoustic;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-05;album;10MU6UqvG493jxdVbiHjJ6;Things I Chose To Remember;2020-11-27;44;Decca (UMO);https://i.scdn.co/image/ab67616d0000b2732403daff84b87cb880e1d919;4T2k9bgIoC8bbqjqiEl9vZ;Rhys Lewis;1 Better Than Today, 2 No Right To Love You, 3 When Was The Last Time?, 4 Under The Sun, 5 What If, 6 Lonely Place, 7 Good People, 8 Some Days, 9 Be Your Man, 10 Hold On To Happiness, 11 What Wild Things Were, 1 No Right To Love You - Acoustic, 2 End Like This, 3 Be Your Man - Acoustic, 4 Things You Can't Change, 5 Reason To Hate You, 6 Could've Been, 7 Under The Sun - Acoustic, 8 Lonely Place - Acoustic;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-06;album;10MU6UqvG493jxdVbiHjJ6;Things I Chose To Remember;2020-11-27;44;Decca (UMO);https://i.scdn.co/image/ab67616d0000b2732403daff84b87cb880e1d919;4T2k9bgIoC8bbqjqiEl9vZ;Rhys Lewis;1 Better Than Today, 2 No Right To Love You, 3 When Was The Last Time?, 4 Under The Sun, 5 What If, 6 Lonely Place, 7 Good People, 8 Some Days, 9 Be Your Man, 10 Hold On To Happiness, 11 What Wild Things Were, 1 No Right To Love You - Acoustic, 2 End Like This, 3 Be Your Man - Acoustic, 4 Things You Can't Change, 5 Reason To Hate You, 6 Could've Been, 7 Under The Sun - Acoustic, 8 Lonely Place - Acoustic;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-07;album;10MU6UqvG493jxdVbiHjJ6;Things I Chose To Remember;2020-11-27;45;Decca (UMO);https://i.scdn.co/image/ab67616d0000b2732403daff84b87cb880e1d919;4T2k9bgIoC8bbqjqiEl9vZ;Rhys Lewis;1 Better Than Today, 2 No Right To Love You, 3 When Was The Last Time?, 4 Under The Sun, 5 What If, 6 Lonely Place, 7 Good People, 8 Some Days, 9 Be Your Man, 10 Hold On To Happiness, 11 What Wild Things Were, 1 No Right To Love You - Acoustic, 2 End Like This, 3 Be Your Man - Acoustic, 4 Things You Can't Change, 5 Reason To Hate You, 6 Could've Been, 7 Under The Sun - Acoustic, 8 Lonely Place - Acoustic;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-08;album;10MU6UqvG493jxdVbiHjJ6;Things I Chose To Remember;2020-11-27;45;Decca (UMO);https://i.scdn.co/image/ab67616d0000b2732403daff84b87cb880e1d919;4T2k9bgIoC8bbqjqiEl9vZ;Rhys Lewis;1 Better Than Today, 2 No Right To Love You, 3 When Was The Last Time?, 4 Under The Sun, 5 What If, 6 Lonely Place, 7 Good People, 8 Some Days, 9 Be Your Man, 10 Hold On To Happiness, 11 What Wild Things Were, 1 No Right To Love You - Acoustic, 2 End Like This, 3 Be Your Man - Acoustic, 4 Things You Can't Change, 5 Reason To Hate You, 6 Could've Been, 7 Under The Sun - Acoustic, 8 Lonely Place - Acoustic;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-09;album;10MU6UqvG493jxdVbiHjJ6;Things I Chose To Remember;2020-11-27;45;Decca (UMO);https://i.scdn.co/image/ab67616d0000b2732403daff84b87cb880e1d919;4T2k9bgIoC8bbqjqiEl9vZ;Rhys Lewis;1 Better Than Today, 2 No Right To Love You, 3 When Was The Last Time?, 4 Under The Sun, 5 What If, 6 Lonely Place, 7 Good People, 8 Some Days, 9 Be Your Man, 10 Hold On To Happiness, 11 What Wild Things Were, 1 No Right To Love You - Acoustic, 2 End Like This, 3 Be Your Man - Acoustic, 4 Things You Can't Change, 5 Reason To Hate You, 6 Could've Been, 7 Under The Sun - Acoustic, 8 Lonely Place - Acoustic;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
