album_date_extract;album_type;album_id;album_name;album_release_date;album_popularity;album_label;album_image;artist_id;artist_name;tracks;available_markets
2020-11-24;album;13j0Kg7NR6uwvE1TEXlNQi;If You Wanted It Too;2020-11-20;48;Jake Scott;https://i.scdn.co/image/ab67616d0000b2734ec11e02cf72d691bfc475c5;0DxPHf2flBAcV2SnZPg3SV;Jake Scott;1 If You Wanted It Too, 2 We Haven't Looked at Our Phones, 3 Keep in Touch, 4 2014, 5 CWJBHN, 6 Learning to Love You, 7 Like No One Does, 8 Open Eyes, 9 Maybe;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-25;album;13j0Kg7NR6uwvE1TEXlNQi;If You Wanted It Too;2020-11-20;50;Jake Scott;https://i.scdn.co/image/ab67616d0000b2734ec11e02cf72d691bfc475c5;0DxPHf2flBAcV2SnZPg3SV;Jake Scott;1 If You Wanted It Too, 2 We Haven't Looked at Our Phones, 3 Keep in Touch, 4 2014, 5 CWJBHN, 6 Learning to Love You, 7 Like No One Does, 8 Open Eyes, 9 Maybe;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-26;album;13j0Kg7NR6uwvE1TEXlNQi;If You Wanted It Too;2020-11-20;51;Jake Scott;https://i.scdn.co/image/ab67616d0000b2734ec11e02cf72d691bfc475c5;0DxPHf2flBAcV2SnZPg3SV;Jake Scott;1 If You Wanted It Too, 2 We Haven't Looked at Our Phones, 3 Keep in Touch, 4 2014, 5 CWJBHN, 6 Learning to Love You, 7 Like No One Does, 8 Open Eyes, 9 Maybe;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-27;album;13j0Kg7NR6uwvE1TEXlNQi;If You Wanted It Too;2020-11-20;52;Jake Scott;https://i.scdn.co/image/ab67616d0000b2734ec11e02cf72d691bfc475c5;0DxPHf2flBAcV2SnZPg3SV;Jake Scott;1 If You Wanted It Too, 2 We Haven't Looked at Our Phones, 3 Keep in Touch, 4 2014, 5 CWJBHN, 6 Learning to Love You, 7 Like No One Does, 8 Open Eyes, 9 Maybe;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-28;album;13j0Kg7NR6uwvE1TEXlNQi;If You Wanted It Too;2020-11-20;53;Jake Scott;https://i.scdn.co/image/ab67616d0000b2734ec11e02cf72d691bfc475c5;0DxPHf2flBAcV2SnZPg3SV;Jake Scott;1 If You Wanted It Too, 2 We Haven't Looked at Our Phones, 3 Keep in Touch, 4 2014, 5 CWJBHN, 6 Learning to Love You, 7 Like No One Does, 8 Open Eyes, 9 Maybe;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-29;album;13j0Kg7NR6uwvE1TEXlNQi;If You Wanted It Too;2020-11-20;54;Jake Scott;https://i.scdn.co/image/ab67616d0000b2734ec11e02cf72d691bfc475c5;0DxPHf2flBAcV2SnZPg3SV;Jake Scott;1 If You Wanted It Too, 2 We Haven't Looked at Our Phones, 3 Keep in Touch, 4 2014, 5 CWJBHN, 6 Learning to Love You, 7 Like No One Does, 8 Open Eyes, 9 Maybe;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-30;album;13j0Kg7NR6uwvE1TEXlNQi;If You Wanted It Too;2020-11-20;54;Jake Scott;https://i.scdn.co/image/ab67616d0000b2734ec11e02cf72d691bfc475c5;0DxPHf2flBAcV2SnZPg3SV;Jake Scott;1 If You Wanted It Too, 2 We Haven't Looked at Our Phones, 3 Keep in Touch, 4 2014, 5 CWJBHN, 6 Learning to Love You, 7 Like No One Does, 8 Open Eyes, 9 Maybe;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-01;album;13j0Kg7NR6uwvE1TEXlNQi;If You Wanted It Too;2020-11-20;54;Jake Scott;https://i.scdn.co/image/ab67616d0000b2734ec11e02cf72d691bfc475c5;0DxPHf2flBAcV2SnZPg3SV;Jake Scott;1 If You Wanted It Too, 2 We Haven't Looked at Our Phones, 3 Keep in Touch, 4 2014, 5 CWJBHN, 6 Learning to Love You, 7 Like No One Does, 8 Open Eyes, 9 Maybe;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-02;album;13j0Kg7NR6uwvE1TEXlNQi;If You Wanted It Too;2020-11-20;55;Jake Scott;https://i.scdn.co/image/ab67616d0000b2734ec11e02cf72d691bfc475c5;0DxPHf2flBAcV2SnZPg3SV;Jake Scott;1 If You Wanted It Too, 2 We Haven't Looked at Our Phones, 3 Keep in Touch, 4 2014, 5 CWJBHN, 6 Learning to Love You, 7 Like No One Does, 8 Open Eyes, 9 Maybe;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-03;album;13j0Kg7NR6uwvE1TEXlNQi;If You Wanted It Too;2020-11-20;55;Jake Scott;https://i.scdn.co/image/ab67616d0000b2734ec11e02cf72d691bfc475c5;0DxPHf2flBAcV2SnZPg3SV;Jake Scott;1 If You Wanted It Too, 2 We Haven't Looked at Our Phones, 3 Keep in Touch, 4 2014, 5 CWJBHN, 6 Learning to Love You, 7 Like No One Does, 8 Open Eyes, 9 Maybe;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
