album_date_extract;album_type;album_id;album_name;album_release_date;album_popularity;album_label;album_image;artist_id;artist_name;tracks;available_markets
2020-11-24;album;1GNRLq1yUgvtmNCD6Ug7LP;The Moon;2020-11-17;0;Around the Corner Records;https://i.scdn.co/image/ab67616d0000b2737773f96349b7b61c2793d246;4eYxL9XWc2ZazbttqEvxJo;Hjortur;1 Clavius, 2 Theophilus, 3 Aristoteles, 4 Moretus, 5 Langrenus, 6 Copernicus, 7 Maginus, 8 Plinius, 9 Stadius, 10 Petavius, 11 Russell, 12 Wargentin;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-25;album;1GNRLq1yUgvtmNCD6Ug7LP;The Moon;2020-11-17;0;Around the Corner Records;https://i.scdn.co/image/ab67616d0000b2737773f96349b7b61c2793d246;4eYxL9XWc2ZazbttqEvxJo;Hjortur;1 Clavius, 2 Theophilus, 3 Aristoteles, 4 Moretus, 5 Langrenus, 6 Copernicus, 7 Maginus, 8 Plinius, 9 Stadius, 10 Petavius, 11 Russell, 12 Wargentin;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-26;album;1GNRLq1yUgvtmNCD6Ug7LP;The Moon;2020-11-17;0;Around the Corner Records;https://i.scdn.co/image/ab67616d0000b2737773f96349b7b61c2793d246;4eYxL9XWc2ZazbttqEvxJo;Hjortur;1 Clavius, 2 Theophilus, 3 Aristoteles, 4 Moretus, 5 Langrenus, 6 Copernicus, 7 Maginus, 8 Plinius, 9 Stadius, 10 Petavius, 11 Russell, 12 Wargentin;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-27;album;1GNRLq1yUgvtmNCD6Ug7LP;The Moon;2020-11-17;0;Around the Corner Records;https://i.scdn.co/image/ab67616d0000b2737773f96349b7b61c2793d246;4eYxL9XWc2ZazbttqEvxJo;Hjortur;1 Clavius, 2 Theophilus, 3 Aristoteles, 4 Moretus, 5 Langrenus, 6 Copernicus, 7 Maginus, 8 Plinius, 9 Stadius, 10 Petavius, 11 Russell, 12 Wargentin;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-28;album;1GNRLq1yUgvtmNCD6Ug7LP;The Moon;2020-11-17;0;Around the Corner Records;https://i.scdn.co/image/ab67616d0000b2737773f96349b7b61c2793d246;4eYxL9XWc2ZazbttqEvxJo;Hjortur;1 Clavius, 2 Theophilus, 3 Aristoteles, 4 Moretus, 5 Langrenus, 6 Copernicus, 7 Maginus, 8 Plinius, 9 Stadius, 10 Petavius, 11 Russell, 12 Wargentin;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-29;album;1GNRLq1yUgvtmNCD6Ug7LP;The Moon;2020-11-17;0;Around the Corner Records;https://i.scdn.co/image/ab67616d0000b2737773f96349b7b61c2793d246;4eYxL9XWc2ZazbttqEvxJo;Hjortur;1 Clavius, 2 Theophilus, 3 Aristoteles, 4 Moretus, 5 Langrenus, 6 Copernicus, 7 Maginus, 8 Plinius, 9 Stadius, 10 Petavius, 11 Russell, 12 Wargentin;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-30;album;1GNRLq1yUgvtmNCD6Ug7LP;The Moon;2020-11-17;0;Around the Corner Records;https://i.scdn.co/image/ab67616d0000b2737773f96349b7b61c2793d246;4eYxL9XWc2ZazbttqEvxJo;Hjortur;1 Clavius, 2 Theophilus, 3 Aristoteles, 4 Moretus, 5 Langrenus, 6 Copernicus, 7 Maginus, 8 Plinius, 9 Stadius, 10 Petavius, 11 Russell, 12 Wargentin;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-01;album;1GNRLq1yUgvtmNCD6Ug7LP;The Moon;2020-11-17;0;Around the Corner Records;https://i.scdn.co/image/ab67616d0000b2737773f96349b7b61c2793d246;4eYxL9XWc2ZazbttqEvxJo;Hjortur;1 Clavius, 2 Theophilus, 3 Aristoteles, 4 Moretus, 5 Langrenus, 6 Copernicus, 7 Maginus, 8 Plinius, 9 Stadius, 10 Petavius, 11 Russell, 12 Wargentin;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-02;album;1GNRLq1yUgvtmNCD6Ug7LP;The Moon;2020-11-17;0;Around the Corner Records;https://i.scdn.co/image/ab67616d0000b2737773f96349b7b61c2793d246;4eYxL9XWc2ZazbttqEvxJo;Hjortur;1 Clavius, 2 Theophilus, 3 Aristoteles, 4 Moretus, 5 Langrenus, 6 Copernicus, 7 Maginus, 8 Plinius, 9 Stadius, 10 Petavius, 11 Russell, 12 Wargentin;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-03;album;1GNRLq1yUgvtmNCD6Ug7LP;The Moon;2020-11-17;0;Around the Corner Records;https://i.scdn.co/image/ab67616d0000b2737773f96349b7b61c2793d246;4eYxL9XWc2ZazbttqEvxJo;Hjortur;1 Clavius, 2 Theophilus, 3 Aristoteles, 4 Moretus, 5 Langrenus, 6 Copernicus, 7 Maginus, 8 Plinius, 9 Stadius, 10 Petavius, 11 Russell, 12 Wargentin;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-04;album;1GNRLq1yUgvtmNCD6Ug7LP;The Moon;2020-11-17;0;Around the Corner Records;https://i.scdn.co/image/ab67616d0000b2737773f96349b7b61c2793d246;4eYxL9XWc2ZazbttqEvxJo;Hjortur;1 Clavius, 2 Theophilus, 3 Aristoteles, 4 Moretus, 5 Langrenus, 6 Copernicus, 7 Maginus, 8 Plinius, 9 Stadius, 10 Petavius, 11 Russell, 12 Wargentin;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
