album_date_extract;album_type;album_id;album_name;album_release_date;album_popularity;album_label;album_image;artist_id;artist_name;tracks;available_markets
2020-11-24;single;1TFeTu8yjVVRcC6KzxZ0D9;Delta Tour EP;2020-11-20;50;Glassnote Entertainment Group LLC;https://i.scdn.co/image/ab67616d0000b2734168f44ad6e2c79d64d1dc6a;3gd8FJtBJtkRxdfbTu19U2;Mumford & Sons;1 Slip Away - Live From Manchester, 2 Blood (with Gang of Youths) - Live From Stockholm, 3 Blind Leading the Blind - Live From Austin, 4 Hurt - Live From Werchter, 5 Awake My Soul (with The Milk Carton Kids) - Live From Denver, 6 With a Little Help from My Friends - Live From London;CA, US
2020-11-25;single;1TFeTu8yjVVRcC6KzxZ0D9;Delta Tour EP;2020-11-20;52;Glassnote Entertainment Group LLC;https://i.scdn.co/image/ab67616d0000b2734168f44ad6e2c79d64d1dc6a;3gd8FJtBJtkRxdfbTu19U2;Mumford & Sons;1 Slip Away - Live From Manchester, 2 Blood (with Gang of Youths) - Live From Stockholm, 3 Blind Leading the Blind - Live From Austin, 4 Hurt - Live From Werchter, 5 Awake My Soul (with The Milk Carton Kids) - Live From Denver, 6 With a Little Help from My Friends - Live From London;CA, US
2020-11-26;single;1TFeTu8yjVVRcC6KzxZ0D9;Delta Tour EP;2020-11-20;52;Glassnote Entertainment Group LLC;https://i.scdn.co/image/ab67616d0000b2734168f44ad6e2c79d64d1dc6a;3gd8FJtBJtkRxdfbTu19U2;Mumford & Sons;1 Slip Away - Live From Manchester, 2 Blood (with Gang of Youths) - Live From Stockholm, 3 Blind Leading the Blind - Live From Austin, 4 Hurt - Live From Werchter, 5 Awake My Soul (with The Milk Carton Kids) - Live From Denver, 6 With a Little Help from My Friends - Live From London;CA, US
2020-11-27;single;1TFeTu8yjVVRcC6KzxZ0D9;Delta Tour EP;2020-11-20;53;Glassnote Entertainment Group LLC;https://i.scdn.co/image/ab67616d0000b2734168f44ad6e2c79d64d1dc6a;3gd8FJtBJtkRxdfbTu19U2;Mumford & Sons;1 Slip Away - Live From Manchester, 2 Blood (with Gang of Youths) - Live From Stockholm, 3 Blind Leading the Blind - Live From Austin, 4 Hurt - Live From Werchter, 5 Awake My Soul (with The Milk Carton Kids) - Live From Denver, 6 With a Little Help from My Friends - Live From London;CA, US
2020-11-28;single;1TFeTu8yjVVRcC6KzxZ0D9;Delta Tour EP;2020-11-20;54;Glassnote Entertainment Group LLC;https://i.scdn.co/image/ab67616d0000b2734168f44ad6e2c79d64d1dc6a;3gd8FJtBJtkRxdfbTu19U2;Mumford & Sons;1 Slip Away - Live From Manchester, 2 Blood (with Gang of Youths) - Live From Stockholm, 3 Blind Leading the Blind - Live From Austin, 4 Hurt - Live From Werchter, 5 Awake My Soul (with The Milk Carton Kids) - Live From Denver, 6 With a Little Help from My Friends - Live From London;CA, US
2020-11-29;single;1TFeTu8yjVVRcC6KzxZ0D9;Delta Tour EP;2020-11-20;54;Glassnote Entertainment Group LLC;https://i.scdn.co/image/ab67616d0000b2734168f44ad6e2c79d64d1dc6a;3gd8FJtBJtkRxdfbTu19U2;Mumford & Sons;1 Slip Away - Live From Manchester, 2 Blood (with Gang of Youths) - Live From Stockholm, 3 Blind Leading the Blind - Live From Austin, 4 Hurt - Live From Werchter, 5 Awake My Soul (with The Milk Carton Kids) - Live From Denver, 6 With a Little Help from My Friends - Live From London;CA, US
2020-11-30;single;1TFeTu8yjVVRcC6KzxZ0D9;Delta Tour EP;2020-11-20;54;Glassnote Entertainment Group LLC;https://i.scdn.co/image/ab67616d0000b2734168f44ad6e2c79d64d1dc6a;3gd8FJtBJtkRxdfbTu19U2;Mumford & Sons;1 Slip Away - Live From Manchester, 2 Blood (with Gang of Youths) - Live From Stockholm, 3 Blind Leading the Blind - Live From Austin, 4 Hurt - Live From Werchter, 5 Awake My Soul (with The Milk Carton Kids) - Live From Denver, 6 With a Little Help from My Friends - Live From London;CA, US
2020-12-01;single;1TFeTu8yjVVRcC6KzxZ0D9;Delta Tour EP;2020-11-20;55;Glassnote Entertainment Group LLC;https://i.scdn.co/image/ab67616d0000b2734168f44ad6e2c79d64d1dc6a;3gd8FJtBJtkRxdfbTu19U2;Mumford & Sons;1 Slip Away - Live From Manchester, 2 Blood (with Gang of Youths) - Live From Stockholm, 3 Blind Leading the Blind - Live From Austin, 4 Hurt - Live From Werchter, 5 Awake My Soul (with The Milk Carton Kids) - Live From Denver, 6 With a Little Help from My Friends - Live From London;CA, US
2020-12-02;single;1TFeTu8yjVVRcC6KzxZ0D9;Delta Tour EP;2020-11-20;55;Glassnote Entertainment Group LLC;https://i.scdn.co/image/ab67616d0000b2734168f44ad6e2c79d64d1dc6a;3gd8FJtBJtkRxdfbTu19U2;Mumford & Sons;1 Slip Away - Live From Manchester, 2 Blood (with Gang of Youths) - Live From Stockholm, 3 Blind Leading the Blind - Live From Austin, 4 Hurt - Live From Werchter, 5 Awake My Soul (with The Milk Carton Kids) - Live From Denver, 6 With a Little Help from My Friends - Live From London;CA, US
2020-12-03;single;1TFeTu8yjVVRcC6KzxZ0D9;Delta Tour EP;2020-11-20;55;Glassnote Entertainment Group LLC;https://i.scdn.co/image/ab67616d0000b2734168f44ad6e2c79d64d1dc6a;3gd8FJtBJtkRxdfbTu19U2;Mumford & Sons;1 Slip Away - Live From Manchester, 2 Blood (with Gang of Youths) - Live From Stockholm, 3 Blind Leading the Blind - Live From Austin, 4 Hurt - Live From Werchter, 5 Awake My Soul (with The Milk Carton Kids) - Live From Denver, 6 With a Little Help from My Friends - Live From London;CA, US
2020-12-04;single;1TFeTu8yjVVRcC6KzxZ0D9;Delta Tour EP;2020-11-20;55;Glassnote Entertainment Group LLC;https://i.scdn.co/image/ab67616d0000b2734168f44ad6e2c79d64d1dc6a;3gd8FJtBJtkRxdfbTu19U2;Mumford & Sons;1 Slip Away - Live From Manchester, 2 Blood (with Gang of Youths) - Live From Stockholm, 3 Blind Leading the Blind - Live From Austin, 4 Hurt - Live From Werchter, 5 Awake My Soul (with The Milk Carton Kids) - Live From Denver, 6 With a Little Help from My Friends - Live From London;CA, US
