album_date_extract;album_type;album_id;album_name;album_release_date;album_popularity;album_label;album_image;artist_id;artist_name;tracks;available_markets
2020-11-30;single;1dr4LxgdBMYyzTz3gtFWSM;King With No Conscience (Jaden Yuki Rap);2020-11-23;27;864037 Records DK;https://i.scdn.co/image/ab67616d0000b273122617c5b20906c8ef33762f;6cd3XfCAc3e596RQW8P94H;Rustage;1 King With No Conscience (Jaden Yuki Rap);AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-01;single;1dr4LxgdBMYyzTz3gtFWSM;King With No Conscience (Jaden Yuki Rap);2020-11-23;27;864037 Records DK;https://i.scdn.co/image/ab67616d0000b273122617c5b20906c8ef33762f;6cd3XfCAc3e596RQW8P94H;Rustage;1 King With No Conscience (Jaden Yuki Rap);AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-02;single;1dr4LxgdBMYyzTz3gtFWSM;King With No Conscience (Jaden Yuki Rap);2020-11-23;28;864037 Records DK;https://i.scdn.co/image/ab67616d0000b273122617c5b20906c8ef33762f;6cd3XfCAc3e596RQW8P94H;Rustage;1 King With No Conscience (Jaden Yuki Rap);AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-03;single;1dr4LxgdBMYyzTz3gtFWSM;King With No Conscience (Jaden Yuki Rap);2020-11-23;28;864037 Records DK;https://i.scdn.co/image/ab67616d0000b273122617c5b20906c8ef33762f;6cd3XfCAc3e596RQW8P94H;Rustage;1 King With No Conscience (Jaden Yuki Rap);AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-04;single;1dr4LxgdBMYyzTz3gtFWSM;King With No Conscience (Jaden Yuki Rap);2020-11-23;29;864037 Records DK;https://i.scdn.co/image/ab67616d0000b273122617c5b20906c8ef33762f;6cd3XfCAc3e596RQW8P94H;Rustage;1 King With No Conscience (Jaden Yuki Rap);AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-05;single;1dr4LxgdBMYyzTz3gtFWSM;King With No Conscience (Jaden Yuki Rap);2020-11-23;29;864037 Records DK;https://i.scdn.co/image/ab67616d0000b273122617c5b20906c8ef33762f;6cd3XfCAc3e596RQW8P94H;Rustage;1 King With No Conscience (Jaden Yuki Rap);AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-06;single;1dr4LxgdBMYyzTz3gtFWSM;King With No Conscience (Jaden Yuki Rap);2020-11-23;29;864037 Records DK;https://i.scdn.co/image/ab67616d0000b273122617c5b20906c8ef33762f;6cd3XfCAc3e596RQW8P94H;Rustage;1 King With No Conscience (Jaden Yuki Rap);AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-07;single;1dr4LxgdBMYyzTz3gtFWSM;King With No Conscience (Jaden Yuki Rap);2020-11-23;29;864037 Records DK;https://i.scdn.co/image/ab67616d0000b273122617c5b20906c8ef33762f;6cd3XfCAc3e596RQW8P94H;Rustage;1 King With No Conscience (Jaden Yuki Rap);AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-08;single;1dr4LxgdBMYyzTz3gtFWSM;King With No Conscience (Jaden Yuki Rap);2020-11-23;29;864037 Records DK;https://i.scdn.co/image/ab67616d0000b273122617c5b20906c8ef33762f;6cd3XfCAc3e596RQW8P94H;Rustage;1 King With No Conscience (Jaden Yuki Rap);AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-09;single;1dr4LxgdBMYyzTz3gtFWSM;King With No Conscience (Jaden Yuki Rap);2020-11-23;29;864037 Records DK;https://i.scdn.co/image/ab67616d0000b273122617c5b20906c8ef33762f;6cd3XfCAc3e596RQW8P94H;Rustage;1 King With No Conscience (Jaden Yuki Rap);AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
