album_date_extract;album_type;album_id;album_name;album_release_date;album_popularity;album_label;album_image;artist_id;artist_name;tracks;available_markets
2020-11-30;album;1e5WLWoPFVuqU7migvfZNx;Welcome To 4 Vegas;2020-11-27;22;Billion Dollar Baby/Interscope Records;https://i.scdn.co/image/ab67616d0000b273f36b6f0a60a4c93a1602f25c;44IvvHRk2XF243QLA2VOa8;Stunna 4 Vegas;1 Welcome To 4 Vegas, 2 Hard, 3 Choppa Town, 4 4 The Trill, 5 Gangsta Party, 6 Drake, 7 Gun Smoke, 8 Rich Off Words (feat. DaBaby), 9 Play U Lay (feat. Ola Runt), 10 Covid-19, 11 Go Dumb, 12 GTA, 13 Murda (with Murda Beatz feat. Toosii);AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-01;album;1e5WLWoPFVuqU7migvfZNx;Welcome To 4 Vegas;2020-11-27;26;Billion Dollar Baby/Interscope Records;https://i.scdn.co/image/ab67616d0000b273f36b6f0a60a4c93a1602f25c;44IvvHRk2XF243QLA2VOa8;Stunna 4 Vegas;1 Welcome To 4 Vegas, 2 Hard, 3 Choppa Town, 4 4 The Trill, 5 Gangsta Party, 6 Drake, 7 Gun Smoke, 8 Rich Off Words (feat. DaBaby), 9 Play U Lay (feat. Ola Runt), 10 Covid-19, 11 Go Dumb, 12 GTA, 13 Murda (with Murda Beatz feat. Toosii);AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-02;album;1e5WLWoPFVuqU7migvfZNx;Welcome To 4 Vegas;2020-11-27;28;Billion Dollar Baby/Interscope Records;https://i.scdn.co/image/ab67616d0000b273f36b6f0a60a4c93a1602f25c;44IvvHRk2XF243QLA2VOa8;Stunna 4 Vegas;1 Welcome To 4 Vegas, 2 Hard, 3 Choppa Town, 4 4 The Trill, 5 Gangsta Party, 6 Drake, 7 Gun Smoke, 8 Rich Off Words (feat. DaBaby), 9 Play U Lay (feat. Ola Runt), 10 Covid-19, 11 Go Dumb, 12 GTA, 13 Murda (with Murda Beatz feat. Toosii);AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-03;album;1e5WLWoPFVuqU7migvfZNx;Welcome To 4 Vegas;2020-11-27;29;Billion Dollar Baby/Interscope Records;https://i.scdn.co/image/ab67616d0000b273f36b6f0a60a4c93a1602f25c;44IvvHRk2XF243QLA2VOa8;Stunna 4 Vegas;1 Welcome To 4 Vegas, 2 Hard, 3 Choppa Town, 4 4 The Trill, 5 Gangsta Party, 6 Drake, 7 Gun Smoke, 8 Rich Off Words (feat. DaBaby), 9 Play U Lay (feat. Ola Runt), 10 Covid-19, 11 Go Dumb, 12 GTA, 13 Murda (with Murda Beatz feat. Toosii);AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-04;album;1e5WLWoPFVuqU7migvfZNx;Welcome To 4 Vegas;2020-11-27;29;Billion Dollar Baby/Interscope Records;https://i.scdn.co/image/ab67616d0000b273f36b6f0a60a4c93a1602f25c;44IvvHRk2XF243QLA2VOa8;Stunna 4 Vegas;1 Welcome To 4 Vegas, 2 Hard, 3 Choppa Town, 4 4 The Trill, 5 Gangsta Party, 6 Drake, 7 Gun Smoke, 8 Rich Off Words (feat. DaBaby), 9 Play U Lay (feat. Ola Runt), 10 Covid-19, 11 Go Dumb, 12 GTA, 13 Murda (with Murda Beatz feat. Toosii);AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-05;album;1e5WLWoPFVuqU7migvfZNx;Welcome To 4 Vegas;2020-11-27;30;Billion Dollar Baby/Interscope Records;https://i.scdn.co/image/ab67616d0000b273f36b6f0a60a4c93a1602f25c;44IvvHRk2XF243QLA2VOa8;Stunna 4 Vegas;1 Welcome To 4 Vegas, 2 Hard, 3 Choppa Town, 4 4 The Trill, 5 Gangsta Party, 6 Drake, 7 Gun Smoke, 8 Rich Off Words (feat. DaBaby), 9 Play U Lay (feat. Ola Runt), 10 Covid-19, 11 Go Dumb, 12 GTA, 13 Murda (with Murda Beatz feat. Toosii);AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-06;album;1e5WLWoPFVuqU7migvfZNx;Welcome To 4 Vegas;2020-11-27;30;Billion Dollar Baby/Interscope Records;https://i.scdn.co/image/ab67616d0000b273f36b6f0a60a4c93a1602f25c;44IvvHRk2XF243QLA2VOa8;Stunna 4 Vegas;1 Welcome To 4 Vegas, 2 Hard, 3 Choppa Town, 4 4 The Trill, 5 Gangsta Party, 6 Drake, 7 Gun Smoke, 8 Rich Off Words (feat. DaBaby), 9 Play U Lay (feat. Ola Runt), 10 Covid-19, 11 Go Dumb, 12 GTA, 13 Murda (with Murda Beatz feat. Toosii);AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-07;album;1e5WLWoPFVuqU7migvfZNx;Welcome To 4 Vegas;2020-11-27;30;Billion Dollar Baby/Interscope Records;https://i.scdn.co/image/ab67616d0000b273f36b6f0a60a4c93a1602f25c;44IvvHRk2XF243QLA2VOa8;Stunna 4 Vegas;1 Welcome To 4 Vegas, 2 Hard, 3 Choppa Town, 4 4 The Trill, 5 Gangsta Party, 6 Drake, 7 Gun Smoke, 8 Rich Off Words (feat. DaBaby), 9 Play U Lay (feat. Ola Runt), 10 Covid-19, 11 Go Dumb, 12 GTA, 13 Murda (with Murda Beatz feat. Toosii);AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-08;album;1e5WLWoPFVuqU7migvfZNx;Welcome To 4 Vegas;2020-11-27;31;Billion Dollar Baby/Interscope Records;https://i.scdn.co/image/ab67616d0000b273f36b6f0a60a4c93a1602f25c;44IvvHRk2XF243QLA2VOa8;Stunna 4 Vegas;1 Welcome To 4 Vegas, 2 Hard, 3 Choppa Town, 4 4 The Trill, 5 Gangsta Party, 6 Drake, 7 Gun Smoke, 8 Rich Off Words (feat. DaBaby), 9 Play U Lay (feat. Ola Runt), 10 Covid-19, 11 Go Dumb, 12 GTA, 13 Murda (with Murda Beatz feat. Toosii);AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-09;album;1e5WLWoPFVuqU7migvfZNx;Welcome To 4 Vegas;2020-11-27;31;Billion Dollar Baby/Interscope Records;https://i.scdn.co/image/ab67616d0000b273f36b6f0a60a4c93a1602f25c;44IvvHRk2XF243QLA2VOa8;Stunna 4 Vegas;1 Welcome To 4 Vegas, 2 Hard, 3 Choppa Town, 4 4 The Trill, 5 Gangsta Party, 6 Drake, 7 Gun Smoke, 8 Rich Off Words (feat. DaBaby), 9 Play U Lay (feat. Ola Runt), 10 Covid-19, 11 Go Dumb, 12 GTA, 13 Murda (with Murda Beatz feat. Toosii);AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
