album_date_extract;album_type;album_id;album_name;album_release_date;album_popularity;album_label;album_image;artist_id;artist_name;tracks;available_markets
2020-11-24;album;1hAwIGnY0IezczbIi7Sncv;EDDLF (El Demonio De La Fama);2020-11-20;30;La Corporacion;https://i.scdn.co/image/ab67616d0000b273b9b9da161f940c7fc00665ab;1xFn1xod58AGaSZjrxdiXA;El Chacal;1 INTRO - Yo Soy Un Palo!, 2 PENSANDO EN TI, 3 CUPIDO, 4 MAMI, 5 AMORES PERROS, 6 LA DE LOS DOLARE$, 7 INFIELES, 8 TE ODIO MI AMOR, 9 PA’ LA CALLE, 10 SANTA DIABLA, 11 SI YO PUDIERA, 12 TRECE, 13 AMEN;AR, BO, BR, CA, CL, CO, CR, DO, EC, ES, GT, HN, MX, NI, PA, PE, PY, SV, US, UY
2020-11-25;album;1hAwIGnY0IezczbIi7Sncv;EDDLF (El Demonio De La Fama);2020-11-20;33;La Corporacion;https://i.scdn.co/image/ab67616d0000b273b9b9da161f940c7fc00665ab;1xFn1xod58AGaSZjrxdiXA;El Chacal;1 INTRO - Yo Soy Un Palo!, 2 PENSANDO EN TI, 3 CUPIDO, 4 MAMI, 5 AMORES PERROS, 6 LA DE LOS DOLARE$, 7 INFIELES, 8 TE ODIO MI AMOR, 9 PA’ LA CALLE, 10 SANTA DIABLA, 11 SI YO PUDIERA, 12 TRECE, 13 AMEN;AR, BO, BR, CA, CL, CO, CR, DO, EC, ES, GT, HN, MX, NI, PA, PE, PY, SV, US, UY
2020-11-26;album;1hAwIGnY0IezczbIi7Sncv;EDDLF (El Demonio De La Fama);2020-11-20;34;La Corporacion;https://i.scdn.co/image/ab67616d0000b273b9b9da161f940c7fc00665ab;1xFn1xod58AGaSZjrxdiXA;El Chacal;1 INTRO - Yo Soy Un Palo!, 2 PENSANDO EN TI, 3 CUPIDO, 4 MAMI, 5 AMORES PERROS, 6 LA DE LOS DOLARE$, 7 INFIELES, 8 TE ODIO MI AMOR, 9 PA’ LA CALLE, 10 SANTA DIABLA, 11 SI YO PUDIERA, 12 TRECE, 13 AMEN;AR, BO, BR, CA, CL, CO, CR, DO, EC, ES, GT, HN, MX, NI, PA, PE, PY, SV, US, UY
2020-11-27;album;1hAwIGnY0IezczbIi7Sncv;EDDLF (El Demonio De La Fama);2020-11-20;36;La Corporacion;https://i.scdn.co/image/ab67616d0000b273b9b9da161f940c7fc00665ab;1xFn1xod58AGaSZjrxdiXA;El Chacal;1 INTRO - Yo Soy Un Palo!, 2 PENSANDO EN TI, 3 CUPIDO, 4 MAMI, 5 AMORES PERROS, 6 LA DE LOS DOLARE$, 7 INFIELES, 8 TE ODIO MI AMOR, 9 PA’ LA CALLE, 10 SANTA DIABLA, 11 SI YO PUDIERA, 12 TRECE, 13 AMEN;AR, BO, BR, CA, CL, CO, CR, DO, EC, ES, GT, HN, MX, NI, PA, PE, PY, SV, US, UY
2020-11-28;album;1hAwIGnY0IezczbIi7Sncv;EDDLF (El Demonio De La Fama);2020-11-20;37;La Corporacion;https://i.scdn.co/image/ab67616d0000b273b9b9da161f940c7fc00665ab;1xFn1xod58AGaSZjrxdiXA;El Chacal;1 INTRO - Yo Soy Un Palo!, 2 PENSANDO EN TI, 3 CUPIDO, 4 MAMI, 5 AMORES PERROS, 6 LA DE LOS DOLARE$, 7 INFIELES, 8 TE ODIO MI AMOR, 9 PA’ LA CALLE, 10 SANTA DIABLA, 11 SI YO PUDIERA, 12 TRECE, 13 AMEN;AR, BO, BR, CA, CL, CO, CR, DO, EC, ES, GT, HN, MX, NI, PA, PE, PY, SV, US, UY
2020-11-29;album;1hAwIGnY0IezczbIi7Sncv;EDDLF (El Demonio De La Fama);2020-11-20;38;La Corporacion;https://i.scdn.co/image/ab67616d0000b273b9b9da161f940c7fc00665ab;1xFn1xod58AGaSZjrxdiXA;El Chacal;1 INTRO - Yo Soy Un Palo!, 2 PENSANDO EN TI, 3 CUPIDO, 4 MAMI, 5 AMORES PERROS, 6 LA DE LOS DOLARE$, 7 INFIELES, 8 TE ODIO MI AMOR, 9 PA’ LA CALLE, 10 SANTA DIABLA, 11 SI YO PUDIERA, 12 TRECE, 13 AMEN;AR, BO, BR, CA, CL, CO, CR, DO, EC, ES, GT, HN, MX, NI, PA, PE, PY, SV, US, UY
2020-11-30;album;1hAwIGnY0IezczbIi7Sncv;EDDLF (El Demonio De La Fama);2020-11-20;38;La Corporacion;https://i.scdn.co/image/ab67616d0000b273b9b9da161f940c7fc00665ab;1xFn1xod58AGaSZjrxdiXA;El Chacal;1 INTRO - Yo Soy Un Palo!, 2 PENSANDO EN TI, 3 CUPIDO, 4 MAMI, 5 AMORES PERROS, 6 LA DE LOS DOLARE$, 7 INFIELES, 8 TE ODIO MI AMOR, 9 PA’ LA CALLE, 10 SANTA DIABLA, 11 SI YO PUDIERA, 12 TRECE, 13 AMEN;AR, BO, BR, CA, CL, CO, CR, DO, EC, ES, GT, HN, MX, NI, PA, PE, PY, SV, US, UY
2020-12-01;album;1hAwIGnY0IezczbIi7Sncv;EDDLF (El Demonio De La Fama);2020-11-20;39;La Corporacion;https://i.scdn.co/image/ab67616d0000b273b9b9da161f940c7fc00665ab;1xFn1xod58AGaSZjrxdiXA;El Chacal;1 INTRO - Yo Soy Un Palo!, 2 PENSANDO EN TI, 3 CUPIDO, 4 MAMI, 5 AMORES PERROS, 6 LA DE LOS DOLARE$, 7 INFIELES, 8 TE ODIO MI AMOR, 9 PA’ LA CALLE, 10 SANTA DIABLA, 11 SI YO PUDIERA, 12 TRECE, 13 AMEN;AR, BO, BR, CA, CL, CO, CR, DO, EC, ES, GT, HN, MX, NI, PA, PE, PY, SV, US, UY
2020-12-02;album;1hAwIGnY0IezczbIi7Sncv;EDDLF (El Demonio De La Fama);2020-11-20;39;La Corporacion;https://i.scdn.co/image/ab67616d0000b273b9b9da161f940c7fc00665ab;1xFn1xod58AGaSZjrxdiXA;El Chacal;1 INTRO - Yo Soy Un Palo!, 2 PENSANDO EN TI, 3 CUPIDO, 4 MAMI, 5 AMORES PERROS, 6 LA DE LOS DOLARE$, 7 INFIELES, 8 TE ODIO MI AMOR, 9 PA’ LA CALLE, 10 SANTA DIABLA, 11 SI YO PUDIERA, 12 TRECE, 13 AMEN;AR, BO, BR, CA, CL, CO, CR, DO, EC, ES, GT, HN, MX, NI, PA, PE, PY, SV, US, UY
2020-12-03;album;1hAwIGnY0IezczbIi7Sncv;EDDLF (El Demonio De La Fama);2020-11-20;39;La Corporacion;https://i.scdn.co/image/ab67616d0000b273b9b9da161f940c7fc00665ab;1xFn1xod58AGaSZjrxdiXA;El Chacal;1 INTRO - Yo Soy Un Palo!, 2 PENSANDO EN TI, 3 CUPIDO, 4 MAMI, 5 AMORES PERROS, 6 LA DE LOS DOLARE$, 7 INFIELES, 8 TE ODIO MI AMOR, 9 PA’ LA CALLE, 10 SANTA DIABLA, 11 SI YO PUDIERA, 12 TRECE, 13 AMEN;AR, BO, BR, CA, CL, CO, CR, DO, EC, ES, GT, HN, MX, NI, PA, PE, PY, SV, US, UY
2020-12-04;album;1hAwIGnY0IezczbIi7Sncv;EDDLF (El Demonio De La Fama);2020-11-20;39;La Corporacion;https://i.scdn.co/image/ab67616d0000b273b9b9da161f940c7fc00665ab;1xFn1xod58AGaSZjrxdiXA;El Chacal;1 INTRO - Yo Soy Un Palo!, 2 PENSANDO EN TI, 3 CUPIDO, 4 MAMI, 5 AMORES PERROS, 6 LA DE LOS DOLARE$, 7 INFIELES, 8 TE ODIO MI AMOR, 9 PA’ LA CALLE, 10 SANTA DIABLA, 11 SI YO PUDIERA, 12 TRECE, 13 AMEN;AR, BO, BR, CA, CL, CO, CR, DO, EC, ES, GT, HN, MX, NI, PA, PE, PY, SV, US, UY
2020-12-05;album;1hAwIGnY0IezczbIi7Sncv;EDDLF (El Demonio De La Fama);2020-11-20;39;La Corporacion;https://i.scdn.co/image/ab67616d0000b273b9b9da161f940c7fc00665ab;1xFn1xod58AGaSZjrxdiXA;El Chacal;1 INTRO - Yo Soy Un Palo!, 2 PENSANDO EN TI, 3 CUPIDO, 4 MAMI, 5 AMORES PERROS, 6 LA DE LOS DOLARE$, 7 INFIELES, 8 TE ODIO MI AMOR, 9 PA’ LA CALLE, 10 SANTA DIABLA, 11 SI YO PUDIERA, 12 TRECE, 13 AMEN;AR, BO, BR, CA, CL, CO, CR, DO, EC, ES, GT, HN, MX, NI, PA, PE, PY, SV, US, UY
2020-12-06;album;1hAwIGnY0IezczbIi7Sncv;EDDLF (El Demonio De La Fama);2020-11-20;40;La Corporacion;https://i.scdn.co/image/ab67616d0000b273b9b9da161f940c7fc00665ab;1xFn1xod58AGaSZjrxdiXA;El Chacal;1 INTRO - Yo Soy Un Palo!, 2 PENSANDO EN TI, 3 CUPIDO, 4 MAMI, 5 AMORES PERROS, 6 LA DE LOS DOLARE$, 7 INFIELES, 8 TE ODIO MI AMOR, 9 PA’ LA CALLE, 10 SANTA DIABLA, 11 SI YO PUDIERA, 12 TRECE, 13 AMEN;AR, BO, BR, CA, CL, CO, CR, DO, EC, ES, GT, HN, MX, NI, PA, PE, PY, SV, US, UY
2020-12-07;album;1hAwIGnY0IezczbIi7Sncv;EDDLF (El Demonio De La Fama);2020-11-20;40;La Corporacion;https://i.scdn.co/image/ab67616d0000b273b9b9da161f940c7fc00665ab;1xFn1xod58AGaSZjrxdiXA;El Chacal;1 INTRO - Yo Soy Un Palo!, 2 PENSANDO EN TI, 3 CUPIDO, 4 MAMI, 5 AMORES PERROS, 6 LA DE LOS DOLARE$, 7 INFIELES, 8 TE ODIO MI AMOR, 9 PA’ LA CALLE, 10 SANTA DIABLA, 11 SI YO PUDIERA, 12 TRECE, 13 AMEN;AR, BO, BR, CA, CL, CO, CR, DO, EC, ES, GT, HN, MX, NI, PA, PE, PY, SV, US, UY
2020-12-08;album;1hAwIGnY0IezczbIi7Sncv;EDDLF (El Demonio De La Fama);2020-11-20;40;La Corporacion;https://i.scdn.co/image/ab67616d0000b273b9b9da161f940c7fc00665ab;1xFn1xod58AGaSZjrxdiXA;El Chacal;1 INTRO - Yo Soy Un Palo!, 2 PENSANDO EN TI, 3 CUPIDO, 4 MAMI, 5 AMORES PERROS, 6 LA DE LOS DOLARE$, 7 INFIELES, 8 TE ODIO MI AMOR, 9 PA’ LA CALLE, 10 SANTA DIABLA, 11 SI YO PUDIERA, 12 TRECE, 13 AMEN;AR, BO, BR, CA, CL, CO, CR, DO, EC, ES, GT, HN, MX, NI, PA, PE, PY, SV, US, UY
2020-12-09;album;1hAwIGnY0IezczbIi7Sncv;EDDLF (El Demonio De La Fama);2020-11-20;40;La Corporacion;https://i.scdn.co/image/ab67616d0000b273b9b9da161f940c7fc00665ab;1xFn1xod58AGaSZjrxdiXA;El Chacal;1 INTRO - Yo Soy Un Palo!, 2 PENSANDO EN TI, 3 CUPIDO, 4 MAMI, 5 AMORES PERROS, 6 LA DE LOS DOLARE$, 7 INFIELES, 8 TE ODIO MI AMOR, 9 PA’ LA CALLE, 10 SANTA DIABLA, 11 SI YO PUDIERA, 12 TRECE, 13 AMEN;AR, BO, BR, CA, CL, CO, CR, DO, EC, ES, GT, HN, MX, NI, PA, PE, PY, SV, US, UY
