album_date_extract;album_type;album_id;album_name;album_release_date;album_popularity;album_label;album_image;artist_id;artist_name;tracks;available_markets
2020-11-30;album;1soZtpGi4Odt8n8eWL0KdZ;Amor Y Lujuria;2020-11-25;34;La Empresa Music;https://i.scdn.co/image/ab67616d0000b273501135dbf51c3cf808d40213;5hkcGbdTv8nC62vVT7RJmZ;LDNE;1 Es Tiempo, 2 Tierno Corazon (Pendeja), 3 Romantico, 4 Sin Amor, 5 Lujuria, 6 Cosas Indecentes, 7 Pasion, 8 Una Noches Mas, 9 Si Paredes Hablaran;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-01;album;1soZtpGi4Odt8n8eWL0KdZ;Amor Y Lujuria;2020-11-25;36;La Empresa Music;https://i.scdn.co/image/ab67616d0000b273501135dbf51c3cf808d40213;5hkcGbdTv8nC62vVT7RJmZ;LDNE;1 Es Tiempo, 2 Tierno Corazon (Pendeja), 3 Romantico, 4 Sin Amor, 5 Lujuria, 6 Cosas Indecentes, 7 Pasion, 8 Una Noches Mas, 9 Si Paredes Hablaran;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-02;album;1soZtpGi4Odt8n8eWL0KdZ;Amor Y Lujuria;2020-11-25;38;La Empresa Music;https://i.scdn.co/image/ab67616d0000b273501135dbf51c3cf808d40213;5hkcGbdTv8nC62vVT7RJmZ;LDNE;1 Es Tiempo, 2 Tierno Corazon (Pendeja), 3 Romantico, 4 Sin Amor, 5 Lujuria, 6 Cosas Indecentes, 7 Pasion, 8 Una Noches Mas, 9 Si Paredes Hablaran;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-03;album;1soZtpGi4Odt8n8eWL0KdZ;Amor Y Lujuria;2020-11-25;40;La Empresa Music;https://i.scdn.co/image/ab67616d0000b273501135dbf51c3cf808d40213;5hkcGbdTv8nC62vVT7RJmZ;LDNE;1 Es Tiempo, 2 Tierno Corazon (Pendeja), 3 Romantico, 4 Sin Amor, 5 Lujuria, 6 Cosas Indecentes, 7 Pasion, 8 Una Noches Mas, 9 Si Paredes Hablaran;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-04;album;1soZtpGi4Odt8n8eWL0KdZ;Amor Y Lujuria;2020-11-25;41;La Empresa Music;https://i.scdn.co/image/ab67616d0000b273501135dbf51c3cf808d40213;5hkcGbdTv8nC62vVT7RJmZ;LDNE;1 Es Tiempo, 2 Tierno Corazon (Pendeja), 3 Romantico, 4 Sin Amor, 5 Lujuria, 6 Cosas Indecentes, 7 Pasion, 8 Una Noches Mas, 9 Si Paredes Hablaran;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-05;album;1soZtpGi4Odt8n8eWL0KdZ;Amor Y Lujuria;2020-11-25;42;La Empresa Music;https://i.scdn.co/image/ab67616d0000b273501135dbf51c3cf808d40213;5hkcGbdTv8nC62vVT7RJmZ;LDNE;1 Es Tiempo, 2 Tierno Corazon (Pendeja), 3 Romantico, 4 Sin Amor, 5 Lujuria, 6 Cosas Indecentes, 7 Pasion, 8 Una Noches Mas, 9 Si Paredes Hablaran;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-06;album;1soZtpGi4Odt8n8eWL0KdZ;Amor Y Lujuria;2020-11-25;43;La Empresa Music;https://i.scdn.co/image/ab67616d0000b273501135dbf51c3cf808d40213;5hkcGbdTv8nC62vVT7RJmZ;LDNE;1 Es Tiempo, 2 Tierno Corazon (Pendeja), 3 Romantico, 4 Sin Amor, 5 Lujuria, 6 Cosas Indecentes, 7 Pasion, 8 Una Noches Mas, 9 Si Paredes Hablaran;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-07;album;1soZtpGi4Odt8n8eWL0KdZ;Amor Y Lujuria;2020-11-25;43;La Empresa Music;https://i.scdn.co/image/ab67616d0000b273501135dbf51c3cf808d40213;5hkcGbdTv8nC62vVT7RJmZ;LDNE;1 Es Tiempo, 2 Tierno Corazon (Pendeja), 3 Romantico, 4 Sin Amor, 5 Lujuria, 6 Cosas Indecentes, 7 Pasion, 8 Una Noches Mas, 9 Si Paredes Hablaran;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-08;album;1soZtpGi4Odt8n8eWL0KdZ;Amor Y Lujuria;2020-11-25;44;La Empresa Music;https://i.scdn.co/image/ab67616d0000b273501135dbf51c3cf808d40213;5hkcGbdTv8nC62vVT7RJmZ;LDNE;1 Es Tiempo, 2 Tierno Corazon (Pendeja), 3 Romantico, 4 Sin Amor, 5 Lujuria, 6 Cosas Indecentes, 7 Pasion, 8 Una Noches Mas, 9 Si Paredes Hablaran;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-09;album;1soZtpGi4Odt8n8eWL0KdZ;Amor Y Lujuria;2020-11-25;44;La Empresa Music;https://i.scdn.co/image/ab67616d0000b273501135dbf51c3cf808d40213;5hkcGbdTv8nC62vVT7RJmZ;LDNE;1 Es Tiempo, 2 Tierno Corazon (Pendeja), 3 Romantico, 4 Sin Amor, 5 Lujuria, 6 Cosas Indecentes, 7 Pasion, 8 Una Noches Mas, 9 Si Paredes Hablaran;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
