album_date_extract;album_type;album_id;album_name;album_release_date;album_popularity;album_label;album_image;artist_id;artist_name;tracks;available_markets
2020-11-30;album;1wYxighrXciRyM6KjF5Gv2;Christmas Blues;2020-11-27;52;SC Entertainment/Atlantic Records;https://i.scdn.co/image/ab67616d0000b273e81f122a9c8a33d8ec607bda;30DhU7BDmF4PH0JVhu8ZRg;Sabrina Claudio;1 I Just Melt, 2 The Christmas Song, 3 Christmas Blues, 4 Oh Holy Night, 5 Winter Time, 6 Have Yourself A Merry Little Christmas, 7 Short Red Silk Lingerie, 8 Warm December;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-01;album;1wYxighrXciRyM6KjF5Gv2;Christmas Blues;2020-11-27;57;SC Entertainment/Atlantic Records;https://i.scdn.co/image/ab67616d0000b273e81f122a9c8a33d8ec607bda;30DhU7BDmF4PH0JVhu8ZRg;Sabrina Claudio;1 I Just Melt, 2 The Christmas Song, 3 Christmas Blues, 4 Oh Holy Night, 5 Winter Time, 6 Have Yourself A Merry Little Christmas, 7 Short Red Silk Lingerie, 8 Warm December;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-02;album;1wYxighrXciRyM6KjF5Gv2;Christmas Blues;2020-11-27;59;SC Entertainment/Atlantic Records;https://i.scdn.co/image/ab67616d0000b273e81f122a9c8a33d8ec607bda;30DhU7BDmF4PH0JVhu8ZRg;Sabrina Claudio;1 I Just Melt, 2 The Christmas Song, 3 Christmas Blues, 4 Oh Holy Night, 5 Winter Time, 6 Have Yourself A Merry Little Christmas, 7 Short Red Silk Lingerie, 8 Warm December;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-03;album;1wYxighrXciRyM6KjF5Gv2;Christmas Blues;2020-11-27;61;SC Entertainment/Atlantic Records;https://i.scdn.co/image/ab67616d0000b273e81f122a9c8a33d8ec607bda;30DhU7BDmF4PH0JVhu8ZRg;Sabrina Claudio;1 I Just Melt, 2 The Christmas Song, 3 Christmas Blues, 4 Oh Holy Night, 5 Winter Time, 6 Have Yourself A Merry Little Christmas, 7 Short Red Silk Lingerie, 8 Warm December;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-04;album;1wYxighrXciRyM6KjF5Gv2;Christmas Blues;2020-11-27;62;SC Entertainment/Atlantic Records;https://i.scdn.co/image/ab67616d0000b273e81f122a9c8a33d8ec607bda;30DhU7BDmF4PH0JVhu8ZRg;Sabrina Claudio;1 I Just Melt, 2 The Christmas Song, 3 Christmas Blues, 4 Oh Holy Night, 5 Winter Time, 6 Have Yourself A Merry Little Christmas, 7 Short Red Silk Lingerie, 8 Warm December;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-05;album;1wYxighrXciRyM6KjF5Gv2;Christmas Blues;2020-11-27;63;SC Entertainment/Atlantic Records;https://i.scdn.co/image/ab67616d0000b273e81f122a9c8a33d8ec607bda;30DhU7BDmF4PH0JVhu8ZRg;Sabrina Claudio;1 I Just Melt, 2 The Christmas Song, 3 Christmas Blues, 4 Oh Holy Night, 5 Winter Time, 6 Have Yourself A Merry Little Christmas, 7 Short Red Silk Lingerie, 8 Warm December;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-06;album;1wYxighrXciRyM6KjF5Gv2;Christmas Blues;2020-11-27;64;SC Entertainment/Atlantic Records;https://i.scdn.co/image/ab67616d0000b273e81f122a9c8a33d8ec607bda;30DhU7BDmF4PH0JVhu8ZRg;Sabrina Claudio;1 I Just Melt, 2 The Christmas Song, 3 Christmas Blues, 4 Oh Holy Night, 5 Winter Time, 6 Have Yourself A Merry Little Christmas, 7 Short Red Silk Lingerie, 8 Warm December;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-07;album;1wYxighrXciRyM6KjF5Gv2;Christmas Blues;2020-11-27;65;SC Entertainment/Atlantic Records;https://i.scdn.co/image/ab67616d0000b273e81f122a9c8a33d8ec607bda;30DhU7BDmF4PH0JVhu8ZRg;Sabrina Claudio;1 I Just Melt, 2 The Christmas Song, 3 Christmas Blues, 4 Oh Holy Night, 5 Winter Time, 6 Have Yourself A Merry Little Christmas, 7 Short Red Silk Lingerie, 8 Warm December;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-08;album;1wYxighrXciRyM6KjF5Gv2;Christmas Blues;2020-11-27;65;SC Entertainment/Atlantic Records;https://i.scdn.co/image/ab67616d0000b273e81f122a9c8a33d8ec607bda;30DhU7BDmF4PH0JVhu8ZRg;Sabrina Claudio;1 I Just Melt, 2 The Christmas Song, 3 Christmas Blues, 4 Oh Holy Night, 5 Winter Time, 6 Have Yourself A Merry Little Christmas, 7 Short Red Silk Lingerie, 8 Warm December;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-09;album;1wYxighrXciRyM6KjF5Gv2;Christmas Blues;2020-11-27;65;SC Entertainment/Atlantic Records;https://i.scdn.co/image/ab67616d0000b273e81f122a9c8a33d8ec607bda;30DhU7BDmF4PH0JVhu8ZRg;Sabrina Claudio;1 I Just Melt, 2 The Christmas Song, 3 Christmas Blues, 4 Oh Holy Night, 5 Winter Time, 6 Have Yourself A Merry Little Christmas, 7 Short Red Silk Lingerie, 8 Warm December;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
