album_date_extract;album_type;album_id;album_name;album_release_date;album_popularity;album_label;album_image;artist_id;artist_name;tracks;available_markets
2020-11-24;album;5fplCfOiYRgOM7kidmbZFR;2 Hours of Serene Piano Sleep;2020-11-21;40;One Hour at the Spa;https://i.scdn.co/image/ab67616d0000b273639af078f2c64ad5f16d6d7b;2KdMPnVQXKJ4Tys6SX6R3R;Spa Music Hour;1 Zen Ocean Waves, 2 Soft Piano Therapy, 3 Relaxing Moment, 4 At The Spa, 5 Written in the Sunset, 6 Calm Water Piano, 7 Classic Spa Ambience, 8 Deep Massage Relaxation, 9 Journey Inward, 10 Beach Escape, 11 Piano on the Beach, 12 Spa Passion, 13 Quick Stress Relief, 14 Calm Palette, 15 Day to Yourself, 16 Deep Tissue Mood, 17 Today's Reflection, 18 Quiet Evening, 19 Tranquil Spa, 20 Piano Soft Waves, 21 Ocean Wave Lullaby, 22 Aqua Water, 23 Spa Tranquility, 24 Koto Relaxation, 25 Ocean in a Box, 26 Alone at the Spa, 27 Relaxing Meditation Background, 28 Surrounding Mist, 29 Spa Symphony, 30 Sleepy Piano, 31 Enchanted Piano, 32 Blissful Massage, 33 Spa Nap, 34 Calming Shores, 35 Hotel Spa Trip, 36 Connect With Yourself, 37 Ocean Wave Piano, 38 Healing with Spa Piano, 39 Far East Massage, 40 Peaceful Spa, 41 Embracing the Sunset, 42 Welcome Meditation, 43 Piano Breeze, 44 Summer Ocean Breeze, 45 Spa Falls, 46 Calm Reiki Healing, 47 Spa White Noise, 48 Signature Spa Sound, 49 Spa Paradise, 50 Drift Away;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-25;album;5fplCfOiYRgOM7kidmbZFR;2 Hours of Serene Piano Sleep;2020-11-21;40;One Hour at the Spa;https://i.scdn.co/image/ab67616d0000b273639af078f2c64ad5f16d6d7b;2KdMPnVQXKJ4Tys6SX6R3R;Spa Music Hour;1 Zen Ocean Waves, 2 Soft Piano Therapy, 3 Relaxing Moment, 4 At The Spa, 5 Written in the Sunset, 6 Calm Water Piano, 7 Classic Spa Ambience, 8 Deep Massage Relaxation, 9 Journey Inward, 10 Beach Escape, 11 Piano on the Beach, 12 Spa Passion, 13 Quick Stress Relief, 14 Calm Palette, 15 Day to Yourself, 16 Deep Tissue Mood, 17 Today's Reflection, 18 Quiet Evening, 19 Tranquil Spa, 20 Piano Soft Waves, 21 Ocean Wave Lullaby, 22 Aqua Water, 23 Spa Tranquility, 24 Koto Relaxation, 25 Ocean in a Box, 26 Alone at the Spa, 27 Relaxing Meditation Background, 28 Surrounding Mist, 29 Spa Symphony, 30 Sleepy Piano, 31 Enchanted Piano, 32 Blissful Massage, 33 Spa Nap, 34 Calming Shores, 35 Hotel Spa Trip, 36 Connect With Yourself, 37 Ocean Wave Piano, 38 Healing with Spa Piano, 39 Far East Massage, 40 Peaceful Spa, 41 Embracing the Sunset, 42 Welcome Meditation, 43 Piano Breeze, 44 Summer Ocean Breeze, 45 Spa Falls, 46 Calm Reiki Healing, 47 Spa White Noise, 48 Signature Spa Sound, 49 Spa Paradise, 50 Drift Away;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-26;album;5fplCfOiYRgOM7kidmbZFR;2 Hours of Serene Piano Sleep;2020-11-21;39;One Hour at the Spa;https://i.scdn.co/image/ab67616d0000b273639af078f2c64ad5f16d6d7b;2KdMPnVQXKJ4Tys6SX6R3R;Spa Music Hour;1 Zen Ocean Waves, 2 Soft Piano Therapy, 3 Relaxing Moment, 4 At The Spa, 5 Written in the Sunset, 6 Calm Water Piano, 7 Classic Spa Ambience, 8 Deep Massage Relaxation, 9 Journey Inward, 10 Beach Escape, 11 Piano on the Beach, 12 Spa Passion, 13 Quick Stress Relief, 14 Calm Palette, 15 Day to Yourself, 16 Deep Tissue Mood, 17 Today's Reflection, 18 Quiet Evening, 19 Tranquil Spa, 20 Piano Soft Waves, 21 Ocean Wave Lullaby, 22 Aqua Water, 23 Spa Tranquility, 24 Koto Relaxation, 25 Ocean in a Box, 26 Alone at the Spa, 27 Relaxing Meditation Background, 28 Surrounding Mist, 29 Spa Symphony, 30 Sleepy Piano, 31 Enchanted Piano, 32 Blissful Massage, 33 Spa Nap, 34 Calming Shores, 35 Hotel Spa Trip, 36 Connect With Yourself, 37 Ocean Wave Piano, 38 Healing with Spa Piano, 39 Far East Massage, 40 Peaceful Spa, 41 Embracing the Sunset, 42 Welcome Meditation, 43 Piano Breeze, 44 Summer Ocean Breeze, 45 Spa Falls, 46 Calm Reiki Healing, 47 Spa White Noise, 48 Signature Spa Sound, 49 Spa Paradise, 50 Drift Away;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-27;album;5fplCfOiYRgOM7kidmbZFR;2 Hours of Serene Piano Sleep;2020-11-21;39;One Hour at the Spa;https://i.scdn.co/image/ab67616d0000b273639af078f2c64ad5f16d6d7b;2KdMPnVQXKJ4Tys6SX6R3R;Spa Music Hour;1 Zen Ocean Waves, 2 Soft Piano Therapy, 3 Relaxing Moment, 4 At The Spa, 5 Written in the Sunset, 6 Calm Water Piano, 7 Classic Spa Ambience, 8 Deep Massage Relaxation, 9 Journey Inward, 10 Beach Escape, 11 Piano on the Beach, 12 Spa Passion, 13 Quick Stress Relief, 14 Calm Palette, 15 Day to Yourself, 16 Deep Tissue Mood, 17 Today's Reflection, 18 Quiet Evening, 19 Tranquil Spa, 20 Piano Soft Waves, 21 Ocean Wave Lullaby, 22 Aqua Water, 23 Spa Tranquility, 24 Koto Relaxation, 25 Ocean in a Box, 26 Alone at the Spa, 27 Relaxing Meditation Background, 28 Surrounding Mist, 29 Spa Symphony, 30 Sleepy Piano, 31 Enchanted Piano, 32 Blissful Massage, 33 Spa Nap, 34 Calming Shores, 35 Hotel Spa Trip, 36 Connect With Yourself, 37 Ocean Wave Piano, 38 Healing with Spa Piano, 39 Far East Massage, 40 Peaceful Spa, 41 Embracing the Sunset, 42 Welcome Meditation, 43 Piano Breeze, 44 Summer Ocean Breeze, 45 Spa Falls, 46 Calm Reiki Healing, 47 Spa White Noise, 48 Signature Spa Sound, 49 Spa Paradise, 50 Drift Away;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-28;album;5fplCfOiYRgOM7kidmbZFR;2 Hours of Serene Piano Sleep;2020-11-28;39;One Hour at the Spa;https://i.scdn.co/image/ab67616d0000b273639af078f2c64ad5f16d6d7b;2KdMPnVQXKJ4Tys6SX6R3R;Spa Music Hour;1 Zen Ocean Waves, 2 Soft Piano Therapy, 3 Relaxing Moment, 4 At The Spa, 5 Written in the Sunset, 6 Calm Water Piano, 7 Classic Spa Ambience, 8 Deep Massage Relaxation, 9 Journey Inward, 10 Beach Escape, 11 Piano on the Beach, 12 Spa Passion, 13 Quick Stress Relief, 14 Calm Palette, 15 Day to Yourself, 16 Deep Tissue Mood, 17 Today's Reflection, 18 Quiet Evening, 19 Tranquil Spa, 20 Piano Soft Waves, 21 Ocean Wave Lullaby, 22 Aqua Water, 23 Spa Tranquility, 24 Koto Relaxation, 25 Ocean in a Box, 26 Alone at the Spa, 27 Relaxing Meditation Background, 28 Surrounding Mist, 29 Spa Symphony, 30 Sleepy Piano, 31 Enchanted Piano, 32 Blissful Massage, 33 Spa Nap, 34 Calming Shores, 35 Hotel Spa Trip, 36 Connect With Yourself, 37 Ocean Wave Piano, 38 Healing with Spa Piano, 39 Far East Massage, 40 Peaceful Spa, 41 Embracing the Sunset, 42 Welcome Meditation, 43 Piano Breeze, 44 Summer Ocean Breeze, 45 Spa Falls, 46 Calm Reiki Healing, 47 Spa White Noise, 48 Signature Spa Sound, 49 Spa Paradise, 50 Drift Away;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-29;album;5fplCfOiYRgOM7kidmbZFR;2 Hours of Serene Piano Sleep;2020-11-28;38;One Hour at the Spa;https://i.scdn.co/image/ab67616d0000b273639af078f2c64ad5f16d6d7b;2KdMPnVQXKJ4Tys6SX6R3R;Spa Music Hour;1 Zen Ocean Waves, 2 Soft Piano Therapy, 3 Relaxing Moment, 4 At The Spa, 5 Written in the Sunset, 6 Calm Water Piano, 7 Classic Spa Ambience, 8 Deep Massage Relaxation, 9 Journey Inward, 10 Beach Escape, 11 Piano on the Beach, 12 Spa Passion, 13 Quick Stress Relief, 14 Calm Palette, 15 Day to Yourself, 16 Deep Tissue Mood, 17 Today's Reflection, 18 Quiet Evening, 19 Tranquil Spa, 20 Piano Soft Waves, 21 Ocean Wave Lullaby, 22 Aqua Water, 23 Spa Tranquility, 24 Koto Relaxation, 25 Ocean in a Box, 26 Alone at the Spa, 27 Relaxing Meditation Background, 28 Surrounding Mist, 29 Spa Symphony, 30 Sleepy Piano, 31 Enchanted Piano, 32 Blissful Massage, 33 Spa Nap, 34 Calming Shores, 35 Hotel Spa Trip, 36 Connect With Yourself, 37 Ocean Wave Piano, 38 Healing with Spa Piano, 39 Far East Massage, 40 Peaceful Spa, 41 Embracing the Sunset, 42 Welcome Meditation, 43 Piano Breeze, 44 Summer Ocean Breeze, 45 Spa Falls, 46 Calm Reiki Healing, 47 Spa White Noise, 48 Signature Spa Sound, 49 Spa Paradise, 50 Drift Away;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-30;album;5fplCfOiYRgOM7kidmbZFR;2 Hours of Serene Piano Sleep;2020-11-28;38;One Hour at the Spa;https://i.scdn.co/image/ab67616d0000b273639af078f2c64ad5f16d6d7b;2KdMPnVQXKJ4Tys6SX6R3R;Spa Music Hour;1 Zen Ocean Waves, 2 Soft Piano Therapy, 3 Relaxing Moment, 4 At The Spa, 5 Written in the Sunset, 6 Calm Water Piano, 7 Classic Spa Ambience, 8 Deep Massage Relaxation, 9 Journey Inward, 10 Beach Escape, 11 Piano on the Beach, 12 Spa Passion, 13 Quick Stress Relief, 14 Calm Palette, 15 Day to Yourself, 16 Deep Tissue Mood, 17 Today's Reflection, 18 Quiet Evening, 19 Tranquil Spa, 20 Piano Soft Waves, 21 Ocean Wave Lullaby, 22 Aqua Water, 23 Spa Tranquility, 24 Koto Relaxation, 25 Ocean in a Box, 26 Alone at the Spa, 27 Relaxing Meditation Background, 28 Surrounding Mist, 29 Spa Symphony, 30 Sleepy Piano, 31 Enchanted Piano, 32 Blissful Massage, 33 Spa Nap, 34 Calming Shores, 35 Hotel Spa Trip, 36 Connect With Yourself, 37 Ocean Wave Piano, 38 Healing with Spa Piano, 39 Far East Massage, 40 Peaceful Spa, 41 Embracing the Sunset, 42 Welcome Meditation, 43 Piano Breeze, 44 Summer Ocean Breeze, 45 Spa Falls, 46 Calm Reiki Healing, 47 Spa White Noise, 48 Signature Spa Sound, 49 Spa Paradise, 50 Drift Away;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-01;album;5fplCfOiYRgOM7kidmbZFR;2 Hours of Serene Piano Sleep;2020-11-28;39;One Hour at the Spa;https://i.scdn.co/image/ab67616d0000b273639af078f2c64ad5f16d6d7b;2KdMPnVQXKJ4Tys6SX6R3R;Spa Music Hour;1 Zen Ocean Waves, 2 Soft Piano Therapy, 3 Relaxing Moment, 4 At The Spa, 5 Written in the Sunset, 6 Calm Water Piano, 7 Classic Spa Ambience, 8 Deep Massage Relaxation, 9 Journey Inward, 10 Beach Escape, 11 Piano on the Beach, 12 Spa Passion, 13 Quick Stress Relief, 14 Calm Palette, 15 Day to Yourself, 16 Deep Tissue Mood, 17 Today's Reflection, 18 Quiet Evening, 19 Tranquil Spa, 20 Piano Soft Waves, 21 Ocean Wave Lullaby, 22 Aqua Water, 23 Spa Tranquility, 24 Koto Relaxation, 25 Ocean in a Box, 26 Alone at the Spa, 27 Relaxing Meditation Background, 28 Surrounding Mist, 29 Spa Symphony, 30 Sleepy Piano, 31 Enchanted Piano, 32 Blissful Massage, 33 Spa Nap, 34 Calming Shores, 35 Hotel Spa Trip, 36 Connect With Yourself, 37 Ocean Wave Piano, 38 Healing with Spa Piano, 39 Far East Massage, 40 Peaceful Spa, 41 Embracing the Sunset, 42 Welcome Meditation, 43 Piano Breeze, 44 Summer Ocean Breeze, 45 Spa Falls, 46 Calm Reiki Healing, 47 Spa White Noise, 48 Signature Spa Sound, 49 Spa Paradise, 50 Drift Away;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-02;album;5fplCfOiYRgOM7kidmbZFR;2 Hours of Serene Piano Sleep;2020-11-28;38;One Hour at the Spa;https://i.scdn.co/image/ab67616d0000b273639af078f2c64ad5f16d6d7b;2KdMPnVQXKJ4Tys6SX6R3R;Spa Music Hour;1 Zen Ocean Waves, 2 Soft Piano Therapy, 3 Relaxing Moment, 4 At The Spa, 5 Written in the Sunset, 6 Calm Water Piano, 7 Classic Spa Ambience, 8 Deep Massage Relaxation, 9 Journey Inward, 10 Beach Escape, 11 Piano on the Beach, 12 Spa Passion, 13 Quick Stress Relief, 14 Calm Palette, 15 Day to Yourself, 16 Deep Tissue Mood, 17 Today's Reflection, 18 Quiet Evening, 19 Tranquil Spa, 20 Piano Soft Waves, 21 Ocean Wave Lullaby, 22 Aqua Water, 23 Spa Tranquility, 24 Koto Relaxation, 25 Ocean in a Box, 26 Alone at the Spa, 27 Relaxing Meditation Background, 28 Surrounding Mist, 29 Spa Symphony, 30 Sleepy Piano, 31 Enchanted Piano, 32 Blissful Massage, 33 Spa Nap, 34 Calming Shores, 35 Hotel Spa Trip, 36 Connect With Yourself, 37 Ocean Wave Piano, 38 Healing with Spa Piano, 39 Far East Massage, 40 Peaceful Spa, 41 Embracing the Sunset, 42 Welcome Meditation, 43 Piano Breeze, 44 Summer Ocean Breeze, 45 Spa Falls, 46 Calm Reiki Healing, 47 Spa White Noise, 48 Signature Spa Sound, 49 Spa Paradise, 50 Drift Away;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-03;album;5fplCfOiYRgOM7kidmbZFR;2 Hours of Serene Piano Sleep;2020-11-28;38;One Hour at the Spa;https://i.scdn.co/image/ab67616d0000b273639af078f2c64ad5f16d6d7b;2KdMPnVQXKJ4Tys6SX6R3R;Spa Music Hour;1 Zen Ocean Waves, 2 Soft Piano Therapy, 3 Relaxing Moment, 4 At The Spa, 5 Written in the Sunset, 6 Calm Water Piano, 7 Classic Spa Ambience, 8 Deep Massage Relaxation, 9 Journey Inward, 10 Beach Escape, 11 Piano on the Beach, 12 Spa Passion, 13 Quick Stress Relief, 14 Calm Palette, 15 Day to Yourself, 16 Deep Tissue Mood, 17 Today's Reflection, 18 Quiet Evening, 19 Tranquil Spa, 20 Piano Soft Waves, 21 Ocean Wave Lullaby, 22 Aqua Water, 23 Spa Tranquility, 24 Koto Relaxation, 25 Ocean in a Box, 26 Alone at the Spa, 27 Relaxing Meditation Background, 28 Surrounding Mist, 29 Spa Symphony, 30 Sleepy Piano, 31 Enchanted Piano, 32 Blissful Massage, 33 Spa Nap, 34 Calming Shores, 35 Hotel Spa Trip, 36 Connect With Yourself, 37 Ocean Wave Piano, 38 Healing with Spa Piano, 39 Far East Massage, 40 Peaceful Spa, 41 Embracing the Sunset, 42 Welcome Meditation, 43 Piano Breeze, 44 Summer Ocean Breeze, 45 Spa Falls, 46 Calm Reiki Healing, 47 Spa White Noise, 48 Signature Spa Sound, 49 Spa Paradise, 50 Drift Away;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
