album_date_extract;album_type;album_id;album_name;album_release_date;album_popularity;album_label;album_image;artist_id;artist_name;tracks;available_markets
2020-11-30;single;23fzDJoRIOWpYrTn7OP9x8;I'll Be The One (Remixes);2020-11-27;23;Enhanced Recordings;https://i.scdn.co/image/ab67616d0000b273d8f1a218a2d4b0c22634351c;3PlRvQnVE3XAbtHUNc4nic;GATTÜSO;1 I'll Be The One - DubVision Remix, 2 I'll Be The One - Andy Bianchini Remix, 3 I'll Be The One - Blonde Maze Remix, 4 I'll Be The One;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-01;single;23fzDJoRIOWpYrTn7OP9x8;I'll Be The One (Remixes);2020-11-27;27;Enhanced Recordings;https://i.scdn.co/image/ab67616d0000b273d8f1a218a2d4b0c22634351c;3PlRvQnVE3XAbtHUNc4nic;GATTÜSO;1 I'll Be The One - DubVision Remix, 2 I'll Be The One - Andy Bianchini Remix, 3 I'll Be The One - Blonde Maze Remix, 4 I'll Be The One;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-02;single;23fzDJoRIOWpYrTn7OP9x8;I'll Be The One (Remixes);2020-11-27;29;Enhanced Recordings;https://i.scdn.co/image/ab67616d0000b273d8f1a218a2d4b0c22634351c;3PlRvQnVE3XAbtHUNc4nic;GATTÜSO;1 I'll Be The One - DubVision Remix, 2 I'll Be The One - Andy Bianchini Remix, 3 I'll Be The One - Blonde Maze Remix, 4 I'll Be The One;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-03;single;23fzDJoRIOWpYrTn7OP9x8;I'll Be The One (Remixes);2020-11-27;31;Enhanced Recordings;https://i.scdn.co/image/ab67616d0000b273d8f1a218a2d4b0c22634351c;3PlRvQnVE3XAbtHUNc4nic;GATTÜSO;1 I'll Be The One - DubVision Remix, 2 I'll Be The One - Andy Bianchini Remix, 3 I'll Be The One - Blonde Maze Remix, 4 I'll Be The One;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-04;single;23fzDJoRIOWpYrTn7OP9x8;I'll Be The One (Remixes);2020-11-27;32;Enhanced Recordings;https://i.scdn.co/image/ab67616d0000b273d8f1a218a2d4b0c22634351c;3PlRvQnVE3XAbtHUNc4nic;GATTÜSO;1 I'll Be The One - DubVision Remix, 2 I'll Be The One - Andy Bianchini Remix, 3 I'll Be The One - Blonde Maze Remix, 4 I'll Be The One;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-05;single;23fzDJoRIOWpYrTn7OP9x8;I'll Be The One (Remixes);2020-11-27;33;Enhanced Recordings;https://i.scdn.co/image/ab67616d0000b273d8f1a218a2d4b0c22634351c;3PlRvQnVE3XAbtHUNc4nic;GATTÜSO;1 I'll Be The One - DubVision Remix, 2 I'll Be The One - Andy Bianchini Remix, 3 I'll Be The One - Blonde Maze Remix, 4 I'll Be The One;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-06;single;23fzDJoRIOWpYrTn7OP9x8;I'll Be The One (Remixes);2020-11-27;33;Enhanced Recordings;https://i.scdn.co/image/ab67616d0000b273d8f1a218a2d4b0c22634351c;3PlRvQnVE3XAbtHUNc4nic;GATTÜSO;1 I'll Be The One - DubVision Remix, 2 I'll Be The One - Andy Bianchini Remix, 3 I'll Be The One - Blonde Maze Remix, 4 I'll Be The One;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-07;single;23fzDJoRIOWpYrTn7OP9x8;I'll Be The One (Remixes);2020-11-27;35;Enhanced Recordings;https://i.scdn.co/image/ab67616d0000b273d8f1a218a2d4b0c22634351c;3PlRvQnVE3XAbtHUNc4nic;GATTÜSO;1 I'll Be The One - DubVision Remix, 2 I'll Be The One - Andy Bianchini Remix, 3 I'll Be The One - Blonde Maze Remix, 4 I'll Be The One;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-08;single;23fzDJoRIOWpYrTn7OP9x8;I'll Be The One (Remixes);2020-11-27;36;Enhanced Recordings;https://i.scdn.co/image/ab67616d0000b273d8f1a218a2d4b0c22634351c;3PlRvQnVE3XAbtHUNc4nic;GATTÜSO;1 I'll Be The One - DubVision Remix, 2 I'll Be The One - Andy Bianchini Remix, 3 I'll Be The One - Blonde Maze Remix, 4 I'll Be The One;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-09;single;23fzDJoRIOWpYrTn7OP9x8;I'll Be The One (Remixes);2020-11-27;36;Enhanced Recordings;https://i.scdn.co/image/ab67616d0000b273d8f1a218a2d4b0c22634351c;3PlRvQnVE3XAbtHUNc4nic;GATTÜSO;1 I'll Be The One - DubVision Remix, 2 I'll Be The One - Andy Bianchini Remix, 3 I'll Be The One - Blonde Maze Remix, 4 I'll Be The One;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
