album_date_extract;album_type;album_id;album_name;album_release_date;album_popularity;album_label;album_image;artist_id;artist_name;tracks;available_markets
2020-11-24;single;2EaPPTtyzX6gFRjaIISjHv;Alligator Remixes;2020-11-20;7;Effective Records;https://i.scdn.co/image/ab67616d0000b2735b58a59f780b962c22874456;3LVYHgfHgCTy3QSRt5kKQg;Rasster;1 Alligator (Honso Remix), 2 Alligator (Jakonda & Nejtrino Remix), 3 Alligator (Tekraw Remix), 4 Alligator (TRITICUM Remix), 5 Alligator (Relyve Remix);AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, UA, US, UY, VN, XK, ZA
2020-11-25;single;2EaPPTtyzX6gFRjaIISjHv;Alligator Remixes;2020-11-20;8;Effective Records;https://i.scdn.co/image/ab67616d0000b2735b58a59f780b962c22874456;3LVYHgfHgCTy3QSRt5kKQg;Rasster;1 Alligator (Honso Remix), 2 Alligator (Jakonda & Nejtrino Remix), 3 Alligator (Tekraw Remix), 4 Alligator (TRITICUM Remix), 5 Alligator (Relyve Remix);AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, UA, US, UY, VN, XK, ZA
2020-11-26;single;2EaPPTtyzX6gFRjaIISjHv;Alligator Remixes;2020-11-20;9;Effective Records;https://i.scdn.co/image/ab67616d0000b2735b58a59f780b962c22874456;3LVYHgfHgCTy3QSRt5kKQg;Rasster;1 Alligator (Honso Remix), 2 Alligator (Jakonda & Nejtrino Remix), 3 Alligator (Tekraw Remix), 4 Alligator (TRITICUM Remix), 5 Alligator (Relyve Remix);AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, UA, US, UY, VN, XK, ZA
2020-11-27;single;2EaPPTtyzX6gFRjaIISjHv;Alligator Remixes;2020-11-20;9;Effective Records;https://i.scdn.co/image/ab67616d0000b2735b58a59f780b962c22874456;3LVYHgfHgCTy3QSRt5kKQg;Rasster;1 Alligator (Honso Remix), 2 Alligator (Jakonda & Nejtrino Remix), 3 Alligator (Tekraw Remix), 4 Alligator (TRITICUM Remix), 5 Alligator (Relyve Remix);AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, UA, US, UY, VN, XK, ZA
2020-11-28;single;2EaPPTtyzX6gFRjaIISjHv;Alligator Remixes;2020-11-20;10;Effective Records;https://i.scdn.co/image/ab67616d0000b2735b58a59f780b962c22874456;3LVYHgfHgCTy3QSRt5kKQg;Rasster;1 Alligator (Honso Remix), 2 Alligator (Jakonda & Nejtrino Remix), 3 Alligator (Tekraw Remix), 4 Alligator (TRITICUM Remix), 5 Alligator (Relyve Remix);AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, UA, US, UY, VN, XK, ZA
2020-11-29;single;2EaPPTtyzX6gFRjaIISjHv;Alligator Remixes;2020-11-20;10;Effective Records;https://i.scdn.co/image/ab67616d0000b2735b58a59f780b962c22874456;3LVYHgfHgCTy3QSRt5kKQg;Rasster;1 Alligator (Honso Remix), 2 Alligator (Jakonda & Nejtrino Remix), 3 Alligator (Tekraw Remix), 4 Alligator (TRITICUM Remix), 5 Alligator (Relyve Remix);AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, UA, US, UY, VN, XK, ZA
2020-11-30;single;2EaPPTtyzX6gFRjaIISjHv;Alligator Remixes;2020-11-20;11;Effective Records;https://i.scdn.co/image/ab67616d0000b2735b58a59f780b962c22874456;3LVYHgfHgCTy3QSRt5kKQg;Rasster;1 Alligator (Honso Remix), 2 Alligator (Jakonda & Nejtrino Remix), 3 Alligator (Tekraw Remix), 4 Alligator (TRITICUM Remix), 5 Alligator (Relyve Remix);AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, UA, US, UY, VN, XK, ZA
2020-12-01;single;2EaPPTtyzX6gFRjaIISjHv;Alligator Remixes;2020-11-20;11;Effective Records;https://i.scdn.co/image/ab67616d0000b2735b58a59f780b962c22874456;3LVYHgfHgCTy3QSRt5kKQg;Rasster;1 Alligator (Honso Remix), 2 Alligator (Jakonda & Nejtrino Remix), 3 Alligator (Tekraw Remix), 4 Alligator (TRITICUM Remix), 5 Alligator (Relyve Remix);AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, UA, US, UY, VN, XK, ZA
2020-12-02;single;2EaPPTtyzX6gFRjaIISjHv;Alligator Remixes;2020-11-20;11;Effective Records;https://i.scdn.co/image/ab67616d0000b2735b58a59f780b962c22874456;3LVYHgfHgCTy3QSRt5kKQg;Rasster;1 Alligator (Honso Remix), 2 Alligator (Jakonda & Nejtrino Remix), 3 Alligator (Tekraw Remix), 4 Alligator (TRITICUM Remix), 5 Alligator (Relyve Remix);AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, UA, US, UY, VN, XK, ZA
2020-12-03;single;2EaPPTtyzX6gFRjaIISjHv;Alligator Remixes;2020-11-20;12;Effective Records;https://i.scdn.co/image/ab67616d0000b2735b58a59f780b962c22874456;3LVYHgfHgCTy3QSRt5kKQg;Rasster;1 Alligator (Honso Remix), 2 Alligator (Jakonda & Nejtrino Remix), 3 Alligator (Tekraw Remix), 4 Alligator (TRITICUM Remix), 5 Alligator (Relyve Remix);AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, UA, US, UY, VN, XK, ZA
