album_date_extract;album_type;album_id;album_name;album_release_date;album_popularity;album_label;album_image;artist_id;artist_name;tracks;available_markets
2020-11-30;single;2W5MxjwUZw1JewmdLdozAG;Christmas (Baby Please Come Home);2020-11-27;21;Dropkick Murphys;https://i.scdn.co/image/ab67616d0000b273ff9d74b8047ec375facd1e57;7w9jdhcgHNdiPeNPUoFSlx;Dropkick Murphys;1 Christmas (Baby Please Come Home);AU, CA, NZ, US
2020-12-01;single;2W5MxjwUZw1JewmdLdozAG;Christmas (Baby Please Come Home);2020-11-27;25;Dropkick Murphys;https://i.scdn.co/image/ab67616d0000b273ff9d74b8047ec375facd1e57;7w9jdhcgHNdiPeNPUoFSlx;Dropkick Murphys;1 Christmas (Baby Please Come Home);AU, CA, NZ, US
2020-12-02;single;2W5MxjwUZw1JewmdLdozAG;Christmas (Baby Please Come Home);2020-11-27;27;Dropkick Murphys;https://i.scdn.co/image/ab67616d0000b273ff9d74b8047ec375facd1e57;7w9jdhcgHNdiPeNPUoFSlx;Dropkick Murphys;1 Christmas (Baby Please Come Home);AU, CA, NZ, US
2020-12-03;single;2W5MxjwUZw1JewmdLdozAG;Christmas (Baby Please Come Home);2020-11-27;28;Dropkick Murphys;https://i.scdn.co/image/ab67616d0000b273ff9d74b8047ec375facd1e57;7w9jdhcgHNdiPeNPUoFSlx;Dropkick Murphys;1 Christmas (Baby Please Come Home);AU, CA, NZ, US
2020-12-04;single;2W5MxjwUZw1JewmdLdozAG;Christmas (Baby Please Come Home);2020-11-27;29;Dropkick Murphys;https://i.scdn.co/image/ab67616d0000b273ff9d74b8047ec375facd1e57;7w9jdhcgHNdiPeNPUoFSlx;Dropkick Murphys;1 Christmas (Baby Please Come Home);AU, CA, NZ, US
2020-12-05;single;2W5MxjwUZw1JewmdLdozAG;Christmas (Baby Please Come Home);2020-11-27;30;Dropkick Murphys;https://i.scdn.co/image/ab67616d0000b273ff9d74b8047ec375facd1e57;7w9jdhcgHNdiPeNPUoFSlx;Dropkick Murphys;1 Christmas (Baby Please Come Home);AU, CA, NZ, US
2020-12-06;single;2W5MxjwUZw1JewmdLdozAG;Christmas (Baby Please Come Home);2020-11-27;30;Dropkick Murphys;https://i.scdn.co/image/ab67616d0000b273ff9d74b8047ec375facd1e57;7w9jdhcgHNdiPeNPUoFSlx;Dropkick Murphys;1 Christmas (Baby Please Come Home);AU, CA, NZ, US
2020-12-07;single;2W5MxjwUZw1JewmdLdozAG;Christmas (Baby Please Come Home);2020-11-27;31;Dropkick Murphys;https://i.scdn.co/image/ab67616d0000b273ff9d74b8047ec375facd1e57;7w9jdhcgHNdiPeNPUoFSlx;Dropkick Murphys;1 Christmas (Baby Please Come Home);AU, CA, NZ, US
2020-12-08;single;2W5MxjwUZw1JewmdLdozAG;Christmas (Baby Please Come Home);2020-11-27;31;Dropkick Murphys;https://i.scdn.co/image/ab67616d0000b273ff9d74b8047ec375facd1e57;7w9jdhcgHNdiPeNPUoFSlx;Dropkick Murphys;1 Christmas (Baby Please Come Home);AU, CA, NZ, US
2020-12-09;single;2W5MxjwUZw1JewmdLdozAG;Christmas (Baby Please Come Home);2020-11-27;32;Dropkick Murphys;https://i.scdn.co/image/ab67616d0000b273ff9d74b8047ec375facd1e57;7w9jdhcgHNdiPeNPUoFSlx;Dropkick Murphys;1 Christmas (Baby Please Come Home);AU, CA, NZ, US
