album_date_extract;album_type;album_id;album_name;album_release_date;album_popularity;album_label;album_image;artist_id;artist_name;tracks;available_markets
2020-11-24;single;2Z8obYHLwLjNHoveX81UhI;Skin and Bones;2020-11-20;49;RCA Records Label;https://i.scdn.co/image/ab67616d0000b273a2f50bc4becf67b7e5cb6cb4;26T3LtbuGT1Fu9m0eRq5X3;Cage The Elephant;1 Skin and Bones - Mix 2020, 2 Skin and Bones - Live at The Moody Theater for Austin City Limits, 3 Skin and Bones - Live at WXPN for NPR's World Café;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-25;single;2Z8obYHLwLjNHoveX81UhI;Skin and Bones;2020-11-20;50;RCA Records Label;https://i.scdn.co/image/ab67616d0000b273a2f50bc4becf67b7e5cb6cb4;26T3LtbuGT1Fu9m0eRq5X3;Cage The Elephant;1 Skin and Bones - Mix 2020, 2 Skin and Bones - Live at The Moody Theater for Austin City Limits, 3 Skin and Bones - Live at WXPN for NPR's World Café;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-26;single;2Z8obYHLwLjNHoveX81UhI;Skin and Bones;2020-11-20;52;RCA Records Label;https://i.scdn.co/image/ab67616d0000b273a2f50bc4becf67b7e5cb6cb4;26T3LtbuGT1Fu9m0eRq5X3;Cage The Elephant;1 Skin and Bones - Mix 2020, 2 Skin and Bones - Live at The Moody Theater for Austin City Limits, 3 Skin and Bones - Live at WXPN for NPR's World Café;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-27;single;2Z8obYHLwLjNHoveX81UhI;Skin and Bones;2020-11-20;52;RCA Records Label;https://i.scdn.co/image/ab67616d0000b273a2f50bc4becf67b7e5cb6cb4;26T3LtbuGT1Fu9m0eRq5X3;Cage The Elephant;1 Skin and Bones - Mix 2020, 2 Skin and Bones - Live at The Moody Theater for Austin City Limits, 3 Skin and Bones - Live at WXPN for NPR's World Café;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-28;single;2Z8obYHLwLjNHoveX81UhI;Skin and Bones;2020-11-20;53;RCA Records Label;https://i.scdn.co/image/ab67616d0000b273a2f50bc4becf67b7e5cb6cb4;26T3LtbuGT1Fu9m0eRq5X3;Cage The Elephant;1 Skin and Bones - Mix 2020, 2 Skin and Bones - Live at The Moody Theater for Austin City Limits, 3 Skin and Bones - Live at WXPN for NPR's World Café;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-29;single;2Z8obYHLwLjNHoveX81UhI;Skin and Bones;2020-11-20;53;RCA Records Label;https://i.scdn.co/image/ab67616d0000b273a2f50bc4becf67b7e5cb6cb4;26T3LtbuGT1Fu9m0eRq5X3;Cage The Elephant;1 Skin and Bones - Mix 2020, 2 Skin and Bones - Live at The Moody Theater for Austin City Limits, 3 Skin and Bones - Live at WXPN for NPR's World Café;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-30;single;2Z8obYHLwLjNHoveX81UhI;Skin and Bones;2020-11-20;54;RCA Records Label;https://i.scdn.co/image/ab67616d0000b273a2f50bc4becf67b7e5cb6cb4;26T3LtbuGT1Fu9m0eRq5X3;Cage The Elephant;1 Skin and Bones - Mix 2020, 2 Skin and Bones - Live at The Moody Theater for Austin City Limits, 3 Skin and Bones - Live at WXPN for NPR's World Café;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-01;single;2Z8obYHLwLjNHoveX81UhI;Skin and Bones;2020-11-20;54;RCA Records Label;https://i.scdn.co/image/ab67616d0000b273a2f50bc4becf67b7e5cb6cb4;26T3LtbuGT1Fu9m0eRq5X3;Cage The Elephant;1 Skin and Bones - Mix 2020, 2 Skin and Bones - Live at The Moody Theater for Austin City Limits, 3 Skin and Bones - Live at WXPN for NPR's World Café;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-02;single;2Z8obYHLwLjNHoveX81UhI;Skin and Bones;2020-11-20;54;RCA Records Label;https://i.scdn.co/image/ab67616d0000b273a2f50bc4becf67b7e5cb6cb4;26T3LtbuGT1Fu9m0eRq5X3;Cage The Elephant;1 Skin and Bones - Mix 2020, 2 Skin and Bones - Live at The Moody Theater for Austin City Limits, 3 Skin and Bones - Live at WXPN for NPR's World Café;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-03;single;2Z8obYHLwLjNHoveX81UhI;Skin and Bones;2020-11-20;54;RCA Records Label;https://i.scdn.co/image/ab67616d0000b273a2f50bc4becf67b7e5cb6cb4;26T3LtbuGT1Fu9m0eRq5X3;Cage The Elephant;1 Skin and Bones - Mix 2020, 2 Skin and Bones - Live at The Moody Theater for Austin City Limits, 3 Skin and Bones - Live at WXPN for NPR's World Café;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
