album_date_extract;album_type;album_id;album_name;album_release_date;album_popularity;album_label;album_image;artist_id;artist_name;tracks;available_markets
2020-11-30;album;2cUlBp3RhoeKMQw8dXpUV0;Christmas Among the Trees with All-Time Classics and Forest Noises for Dreams;2020-11-25;0;T-Rel Music;https://i.scdn.co/image/ab67616d0000b273d8dbed0b49e60a6ccdc1768f;3LhW1K0Q3xRX4PzqLlEx0F;The Outdoor Library;1 Christmas Among the Trees with All-Time Classics and Forest Noises for Dreams, 2 Woods and Christmas Carols, 3 Winter Forest Sounds and Christmas Songs for Regeneration and Sweet Dreams, 4 Woods and Christmas Mood for Recharge and Sleep, 5 Winter Holidays Among the Trees with All-Time Classics and Nature Sounds for Sleep, 6 Christmas Holidays Among the Trees with Carols and Nature Sounds for Naps, 7 Christmas Among the Trees with Carols and All Woods Noises for Naps;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-01;album;2cUlBp3RhoeKMQw8dXpUV0;Christmas Among the Trees with All-Time Classics and Forest Noises for Dreams;2020-11-25;1;T-Rel Music;https://i.scdn.co/image/ab67616d0000b273d8dbed0b49e60a6ccdc1768f;3LhW1K0Q3xRX4PzqLlEx0F;The Outdoor Library;1 Christmas Among the Trees with All-Time Classics and Forest Noises for Dreams, 2 Woods and Christmas Carols, 3 Winter Forest Sounds and Christmas Songs for Regeneration and Sweet Dreams, 4 Woods and Christmas Mood for Recharge and Sleep, 5 Winter Holidays Among the Trees with All-Time Classics and Nature Sounds for Sleep, 6 Christmas Holidays Among the Trees with Carols and Nature Sounds for Naps, 7 Christmas Among the Trees with Carols and All Woods Noises for Naps;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-02;album;2cUlBp3RhoeKMQw8dXpUV0;Christmas Among the Trees with All-Time Classics and Forest Noises for Dreams;2020-11-25;1;T-Rel Music;https://i.scdn.co/image/ab67616d0000b273d8dbed0b49e60a6ccdc1768f;3LhW1K0Q3xRX4PzqLlEx0F;The Outdoor Library;1 Christmas Among the Trees with All-Time Classics and Forest Noises for Dreams, 2 Woods and Christmas Carols, 3 Winter Forest Sounds and Christmas Songs for Regeneration and Sweet Dreams, 4 Woods and Christmas Mood for Recharge and Sleep, 5 Winter Holidays Among the Trees with All-Time Classics and Nature Sounds for Sleep, 6 Christmas Holidays Among the Trees with Carols and Nature Sounds for Naps, 7 Christmas Among the Trees with Carols and All Woods Noises for Naps;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-03;album;2cUlBp3RhoeKMQw8dXpUV0;Christmas Among the Trees with All-Time Classics and Forest Noises for Dreams;2020-11-25;1;T-Rel Music;https://i.scdn.co/image/ab67616d0000b273d8dbed0b49e60a6ccdc1768f;3LhW1K0Q3xRX4PzqLlEx0F;The Outdoor Library;1 Christmas Among the Trees with All-Time Classics and Forest Noises for Dreams, 2 Woods and Christmas Carols, 3 Winter Forest Sounds and Christmas Songs for Regeneration and Sweet Dreams, 4 Woods and Christmas Mood for Recharge and Sleep, 5 Winter Holidays Among the Trees with All-Time Classics and Nature Sounds for Sleep, 6 Christmas Holidays Among the Trees with Carols and Nature Sounds for Naps, 7 Christmas Among the Trees with Carols and All Woods Noises for Naps;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-04;album;2cUlBp3RhoeKMQw8dXpUV0;Christmas Among the Trees with All-Time Classics and Forest Noises for Dreams;2020-11-25;1;T-Rel Music;https://i.scdn.co/image/ab67616d0000b273d8dbed0b49e60a6ccdc1768f;3LhW1K0Q3xRX4PzqLlEx0F;The Outdoor Library;1 Christmas Among the Trees with All-Time Classics and Forest Noises for Dreams, 2 Woods and Christmas Carols, 3 Winter Forest Sounds and Christmas Songs for Regeneration and Sweet Dreams, 4 Woods and Christmas Mood for Recharge and Sleep, 5 Winter Holidays Among the Trees with All-Time Classics and Nature Sounds for Sleep, 6 Christmas Holidays Among the Trees with Carols and Nature Sounds for Naps, 7 Christmas Among the Trees with Carols and All Woods Noises for Naps;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-05;album;2cUlBp3RhoeKMQw8dXpUV0;Christmas Among the Trees with All-Time Classics and Forest Noises for Dreams;2020-11-25;1;T-Rel Music;https://i.scdn.co/image/ab67616d0000b273d8dbed0b49e60a6ccdc1768f;3LhW1K0Q3xRX4PzqLlEx0F;The Outdoor Library;1 Christmas Among the Trees with All-Time Classics and Forest Noises for Dreams, 2 Woods and Christmas Carols, 3 Winter Forest Sounds and Christmas Songs for Regeneration and Sweet Dreams, 4 Woods and Christmas Mood for Recharge and Sleep, 5 Winter Holidays Among the Trees with All-Time Classics and Nature Sounds for Sleep, 6 Christmas Holidays Among the Trees with Carols and Nature Sounds for Naps, 7 Christmas Among the Trees with Carols and All Woods Noises for Naps;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-06;album;2cUlBp3RhoeKMQw8dXpUV0;Christmas Among the Trees with All-Time Classics and Forest Noises for Dreams;2020-11-25;1;T-Rel Music;https://i.scdn.co/image/ab67616d0000b273d8dbed0b49e60a6ccdc1768f;3LhW1K0Q3xRX4PzqLlEx0F;The Outdoor Library;1 Christmas Among the Trees with All-Time Classics and Forest Noises for Dreams, 2 Woods and Christmas Carols, 3 Winter Forest Sounds and Christmas Songs for Regeneration and Sweet Dreams, 4 Woods and Christmas Mood for Recharge and Sleep, 5 Winter Holidays Among the Trees with All-Time Classics and Nature Sounds for Sleep, 6 Christmas Holidays Among the Trees with Carols and Nature Sounds for Naps, 7 Christmas Among the Trees with Carols and All Woods Noises for Naps;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-07;album;2cUlBp3RhoeKMQw8dXpUV0;Christmas Among the Trees with All-Time Classics and Forest Noises for Dreams;2020-11-25;1;T-Rel Music;https://i.scdn.co/image/ab67616d0000b273d8dbed0b49e60a6ccdc1768f;3LhW1K0Q3xRX4PzqLlEx0F;The Outdoor Library;1 Christmas Among the Trees with All-Time Classics and Forest Noises for Dreams, 2 Woods and Christmas Carols, 3 Winter Forest Sounds and Christmas Songs for Regeneration and Sweet Dreams, 4 Woods and Christmas Mood for Recharge and Sleep, 5 Winter Holidays Among the Trees with All-Time Classics and Nature Sounds for Sleep, 6 Christmas Holidays Among the Trees with Carols and Nature Sounds for Naps, 7 Christmas Among the Trees with Carols and All Woods Noises for Naps;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-08;album;2cUlBp3RhoeKMQw8dXpUV0;Christmas Among the Trees with All-Time Classics and Forest Noises for Dreams;2020-11-25;2;T-Rel Music;https://i.scdn.co/image/ab67616d0000b273d8dbed0b49e60a6ccdc1768f;3LhW1K0Q3xRX4PzqLlEx0F;The Outdoor Library;1 Christmas Among the Trees with All-Time Classics and Forest Noises for Dreams, 2 Woods and Christmas Carols, 3 Winter Forest Sounds and Christmas Songs for Regeneration and Sweet Dreams, 4 Woods and Christmas Mood for Recharge and Sleep, 5 Winter Holidays Among the Trees with All-Time Classics and Nature Sounds for Sleep, 6 Christmas Holidays Among the Trees with Carols and Nature Sounds for Naps, 7 Christmas Among the Trees with Carols and All Woods Noises for Naps;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-09;album;2cUlBp3RhoeKMQw8dXpUV0;Christmas Among the Trees with All-Time Classics and Forest Noises for Dreams;2020-11-25;2;T-Rel Music;https://i.scdn.co/image/ab67616d0000b273d8dbed0b49e60a6ccdc1768f;3LhW1K0Q3xRX4PzqLlEx0F;The Outdoor Library;1 Christmas Among the Trees with All-Time Classics and Forest Noises for Dreams, 2 Woods and Christmas Carols, 3 Winter Forest Sounds and Christmas Songs for Regeneration and Sweet Dreams, 4 Woods and Christmas Mood for Recharge and Sleep, 5 Winter Holidays Among the Trees with All-Time Classics and Nature Sounds for Sleep, 6 Christmas Holidays Among the Trees with Carols and Nature Sounds for Naps, 7 Christmas Among the Trees with Carols and All Woods Noises for Naps;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
