album_date_extract;album_type;album_id;album_name;album_release_date;album_popularity;album_label;album_image;artist_id;artist_name;tracks;available_markets
2020-11-30;album;2f1uawfQboBFLxzJOLHqC7;Beethoven Piano Sonatas, Vol. 8 - Appassionata;2020-11-27;23;Deux-Elles Limited;https://i.scdn.co/image/ab67616d0000b273b3714313a5141c6a738c7139;2wOqMjp9TyABvtHdOSOTUS;Ludwig van Beethoven;1 Piano Sonata No. 23 in F Minor, Op. 57 'Appassionata': I. Allegro Assai, 2 Piano Sonata No. 23 in F minor, Op. 57 'Appassionata': II. Andante con moto, 3 Piano Sonata No. 23 in F minor, Op. 57 'Appassionata': III. Allegro ma non troppo, 4 Piano Sonata No. 26 in E-Flat Major, Op. 81a 'Les adieux': I. Das Lebewohl. Adagio - Allegro, 5 Piano Sonata No. 26 in E-Flat Major, Op. 81a 'Les adieux': II. Abwesenheit. Andante espressivo, 6 Piano Sonata No. 26 in E-Flat Major, Op. 81a 'Les adieux': III. Das Wiedersehen. Vivacissimamente, 7 Piano Sonata No. 28 in A Major, Op. 101: I. Etwas lebhaft und mit der innigsten Empfindung (Allegretto ma non troppo), 8 Piano Sonata No. 28 in A Major, Op. 101: II. Lebhaft, Marschmäßig (Vivace alla marcia), 9 Piano Sonata No. 28 in A Major, Op. 101: II. Langsam und sehnsuchtsvoll (Adagio, ma non troppo, con affetto), 10 Piano Sonata No. 28 in A Major, Op. 101: IV. Geschwind, doch nicht zu sehr, und mit Entschlossenheit (Allegro);AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-01;album;2f1uawfQboBFLxzJOLHqC7;Beethoven Piano Sonatas, Vol. 8 - Appassionata;2020-11-27;26;Deux-Elles Limited;https://i.scdn.co/image/ab67616d0000b273b3714313a5141c6a738c7139;2wOqMjp9TyABvtHdOSOTUS;Ludwig van Beethoven;1 Piano Sonata No. 23 in F Minor, Op. 57 'Appassionata': I. Allegro Assai, 2 Piano Sonata No. 23 in F minor, Op. 57 'Appassionata': II. Andante con moto, 3 Piano Sonata No. 23 in F minor, Op. 57 'Appassionata': III. Allegro ma non troppo, 4 Piano Sonata No. 26 in E-Flat Major, Op. 81a 'Les adieux': I. Das Lebewohl. Adagio - Allegro, 5 Piano Sonata No. 26 in E-Flat Major, Op. 81a 'Les adieux': II. Abwesenheit. Andante espressivo, 6 Piano Sonata No. 26 in E-Flat Major, Op. 81a 'Les adieux': III. Das Wiedersehen. Vivacissimamente, 7 Piano Sonata No. 28 in A Major, Op. 101: I. Etwas lebhaft und mit der innigsten Empfindung (Allegretto ma non troppo), 8 Piano Sonata No. 28 in A Major, Op. 101: II. Lebhaft, Marschmäßig (Vivace alla marcia), 9 Piano Sonata No. 28 in A Major, Op. 101: II. Langsam und sehnsuchtsvoll (Adagio, ma non troppo, con affetto), 10 Piano Sonata No. 28 in A Major, Op. 101: IV. Geschwind, doch nicht zu sehr, und mit Entschlossenheit (Allegro);AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-02;album;2f1uawfQboBFLxzJOLHqC7;Beethoven Piano Sonatas, Vol. 8 - Appassionata;2020-11-27;28;Deux-Elles Limited;https://i.scdn.co/image/ab67616d0000b273b3714313a5141c6a738c7139;2wOqMjp9TyABvtHdOSOTUS;Ludwig van Beethoven;1 Piano Sonata No. 23 in F Minor, Op. 57 'Appassionata': I. Allegro Assai, 2 Piano Sonata No. 23 in F minor, Op. 57 'Appassionata': II. Andante con moto, 3 Piano Sonata No. 23 in F minor, Op. 57 'Appassionata': III. Allegro ma non troppo, 4 Piano Sonata No. 26 in E-Flat Major, Op. 81a 'Les adieux': I. Das Lebewohl. Adagio - Allegro, 5 Piano Sonata No. 26 in E-Flat Major, Op. 81a 'Les adieux': II. Abwesenheit. Andante espressivo, 6 Piano Sonata No. 26 in E-Flat Major, Op. 81a 'Les adieux': III. Das Wiedersehen. Vivacissimamente, 7 Piano Sonata No. 28 in A Major, Op. 101: I. Etwas lebhaft und mit der innigsten Empfindung (Allegretto ma non troppo), 8 Piano Sonata No. 28 in A Major, Op. 101: II. Lebhaft, Marschmäßig (Vivace alla marcia), 9 Piano Sonata No. 28 in A Major, Op. 101: II. Langsam und sehnsuchtsvoll (Adagio, ma non troppo, con affetto), 10 Piano Sonata No. 28 in A Major, Op. 101: IV. Geschwind, doch nicht zu sehr, und mit Entschlossenheit (Allegro);AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-03;album;2f1uawfQboBFLxzJOLHqC7;Beethoven Piano Sonatas, Vol. 8 - Appassionata;2020-11-27;30;Deux-Elles Limited;https://i.scdn.co/image/ab67616d0000b273b3714313a5141c6a738c7139;2wOqMjp9TyABvtHdOSOTUS;Ludwig van Beethoven;1 Piano Sonata No. 23 in F Minor, Op. 57 'Appassionata': I. Allegro Assai, 2 Piano Sonata No. 23 in F minor, Op. 57 'Appassionata': II. Andante con moto, 3 Piano Sonata No. 23 in F minor, Op. 57 'Appassionata': III. Allegro ma non troppo, 4 Piano Sonata No. 26 in E-Flat Major, Op. 81a 'Les adieux': I. Das Lebewohl. Adagio - Allegro, 5 Piano Sonata No. 26 in E-Flat Major, Op. 81a 'Les adieux': II. Abwesenheit. Andante espressivo, 6 Piano Sonata No. 26 in E-Flat Major, Op. 81a 'Les adieux': III. Das Wiedersehen. Vivacissimamente, 7 Piano Sonata No. 28 in A Major, Op. 101: I. Etwas lebhaft und mit der innigsten Empfindung (Allegretto ma non troppo), 8 Piano Sonata No. 28 in A Major, Op. 101: II. Lebhaft, Marschmäßig (Vivace alla marcia), 9 Piano Sonata No. 28 in A Major, Op. 101: II. Langsam und sehnsuchtsvoll (Adagio, ma non troppo, con affetto), 10 Piano Sonata No. 28 in A Major, Op. 101: IV. Geschwind, doch nicht zu sehr, und mit Entschlossenheit (Allegro);AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-04;album;2f1uawfQboBFLxzJOLHqC7;Beethoven Piano Sonatas, Vol. 8 - Appassionata;2020-11-27;31;Deux-Elles Limited;https://i.scdn.co/image/ab67616d0000b273b3714313a5141c6a738c7139;2wOqMjp9TyABvtHdOSOTUS;Ludwig van Beethoven;1 Piano Sonata No. 23 in F Minor, Op. 57 'Appassionata': I. Allegro Assai, 2 Piano Sonata No. 23 in F minor, Op. 57 'Appassionata': II. Andante con moto, 3 Piano Sonata No. 23 in F minor, Op. 57 'Appassionata': III. Allegro ma non troppo, 4 Piano Sonata No. 26 in E-Flat Major, Op. 81a 'Les adieux': I. Das Lebewohl. Adagio - Allegro, 5 Piano Sonata No. 26 in E-Flat Major, Op. 81a 'Les adieux': II. Abwesenheit. Andante espressivo, 6 Piano Sonata No. 26 in E-Flat Major, Op. 81a 'Les adieux': III. Das Wiedersehen. Vivacissimamente, 7 Piano Sonata No. 28 in A Major, Op. 101: I. Etwas lebhaft und mit der innigsten Empfindung (Allegretto ma non troppo), 8 Piano Sonata No. 28 in A Major, Op. 101: II. Lebhaft, Marschmäßig (Vivace alla marcia), 9 Piano Sonata No. 28 in A Major, Op. 101: II. Langsam und sehnsuchtsvoll (Adagio, ma non troppo, con affetto), 10 Piano Sonata No. 28 in A Major, Op. 101: IV. Geschwind, doch nicht zu sehr, und mit Entschlossenheit (Allegro);AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-05;album;2f1uawfQboBFLxzJOLHqC7;Beethoven Piano Sonatas, Vol. 8 - Appassionata;2020-11-27;32;Deux-Elles Limited;https://i.scdn.co/image/ab67616d0000b273b3714313a5141c6a738c7139;2wOqMjp9TyABvtHdOSOTUS;Ludwig van Beethoven;1 Piano Sonata No. 23 in F Minor, Op. 57 'Appassionata': I. Allegro Assai, 2 Piano Sonata No. 23 in F minor, Op. 57 'Appassionata': II. Andante con moto, 3 Piano Sonata No. 23 in F minor, Op. 57 'Appassionata': III. Allegro ma non troppo, 4 Piano Sonata No. 26 in E-Flat Major, Op. 81a 'Les adieux': I. Das Lebewohl. Adagio - Allegro, 5 Piano Sonata No. 26 in E-Flat Major, Op. 81a 'Les adieux': II. Abwesenheit. Andante espressivo, 6 Piano Sonata No. 26 in E-Flat Major, Op. 81a 'Les adieux': III. Das Wiedersehen. Vivacissimamente, 7 Piano Sonata No. 28 in A Major, Op. 101: I. Etwas lebhaft und mit der innigsten Empfindung (Allegretto ma non troppo), 8 Piano Sonata No. 28 in A Major, Op. 101: II. Lebhaft, Marschmäßig (Vivace alla marcia), 9 Piano Sonata No. 28 in A Major, Op. 101: II. Langsam und sehnsuchtsvoll (Adagio, ma non troppo, con affetto), 10 Piano Sonata No. 28 in A Major, Op. 101: IV. Geschwind, doch nicht zu sehr, und mit Entschlossenheit (Allegro);AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-06;album;2f1uawfQboBFLxzJOLHqC7;Beethoven Piano Sonatas, Vol. 8 - Appassionata;2020-11-27;33;Deux-Elles Limited;https://i.scdn.co/image/ab67616d0000b273b3714313a5141c6a738c7139;2wOqMjp9TyABvtHdOSOTUS;Ludwig van Beethoven;1 Piano Sonata No. 23 in F Minor, Op. 57 'Appassionata': I. Allegro Assai, 2 Piano Sonata No. 23 in F minor, Op. 57 'Appassionata': II. Andante con moto, 3 Piano Sonata No. 23 in F minor, Op. 57 'Appassionata': III. Allegro ma non troppo, 4 Piano Sonata No. 26 in E-Flat Major, Op. 81a 'Les adieux': I. Das Lebewohl. Adagio - Allegro, 5 Piano Sonata No. 26 in E-Flat Major, Op. 81a 'Les adieux': II. Abwesenheit. Andante espressivo, 6 Piano Sonata No. 26 in E-Flat Major, Op. 81a 'Les adieux': III. Das Wiedersehen. Vivacissimamente, 7 Piano Sonata No. 28 in A Major, Op. 101: I. Etwas lebhaft und mit der innigsten Empfindung (Allegretto ma non troppo), 8 Piano Sonata No. 28 in A Major, Op. 101: II. Lebhaft, Marschmäßig (Vivace alla marcia), 9 Piano Sonata No. 28 in A Major, Op. 101: II. Langsam und sehnsuchtsvoll (Adagio, ma non troppo, con affetto), 10 Piano Sonata No. 28 in A Major, Op. 101: IV. Geschwind, doch nicht zu sehr, und mit Entschlossenheit (Allegro);AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-07;album;2f1uawfQboBFLxzJOLHqC7;Beethoven Piano Sonatas, Vol. 8 - Appassionata;2020-11-27;33;Deux-Elles Limited;https://i.scdn.co/image/ab67616d0000b273b3714313a5141c6a738c7139;2wOqMjp9TyABvtHdOSOTUS;Ludwig van Beethoven;1 Piano Sonata No. 23 in F Minor, Op. 57 'Appassionata': I. Allegro Assai, 2 Piano Sonata No. 23 in F minor, Op. 57 'Appassionata': II. Andante con moto, 3 Piano Sonata No. 23 in F minor, Op. 57 'Appassionata': III. Allegro ma non troppo, 4 Piano Sonata No. 26 in E-Flat Major, Op. 81a 'Les adieux': I. Das Lebewohl. Adagio - Allegro, 5 Piano Sonata No. 26 in E-Flat Major, Op. 81a 'Les adieux': II. Abwesenheit. Andante espressivo, 6 Piano Sonata No. 26 in E-Flat Major, Op. 81a 'Les adieux': III. Das Wiedersehen. Vivacissimamente, 7 Piano Sonata No. 28 in A Major, Op. 101: I. Etwas lebhaft und mit der innigsten Empfindung (Allegretto ma non troppo), 8 Piano Sonata No. 28 in A Major, Op. 101: II. Lebhaft, Marschmäßig (Vivace alla marcia), 9 Piano Sonata No. 28 in A Major, Op. 101: II. Langsam und sehnsuchtsvoll (Adagio, ma non troppo, con affetto), 10 Piano Sonata No. 28 in A Major, Op. 101: IV. Geschwind, doch nicht zu sehr, und mit Entschlossenheit (Allegro);AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-08;album;2f1uawfQboBFLxzJOLHqC7;Beethoven Piano Sonatas, Vol. 8 - Appassionata;2020-11-27;33;Deux-Elles Limited;https://i.scdn.co/image/ab67616d0000b273b3714313a5141c6a738c7139;2wOqMjp9TyABvtHdOSOTUS;Ludwig van Beethoven;1 Piano Sonata No. 23 in F Minor, Op. 57 'Appassionata': I. Allegro Assai, 2 Piano Sonata No. 23 in F minor, Op. 57 'Appassionata': II. Andante con moto, 3 Piano Sonata No. 23 in F minor, Op. 57 'Appassionata': III. Allegro ma non troppo, 4 Piano Sonata No. 26 in E-Flat Major, Op. 81a 'Les adieux': I. Das Lebewohl. Adagio - Allegro, 5 Piano Sonata No. 26 in E-Flat Major, Op. 81a 'Les adieux': II. Abwesenheit. Andante espressivo, 6 Piano Sonata No. 26 in E-Flat Major, Op. 81a 'Les adieux': III. Das Wiedersehen. Vivacissimamente, 7 Piano Sonata No. 28 in A Major, Op. 101: I. Etwas lebhaft und mit der innigsten Empfindung (Allegretto ma non troppo), 8 Piano Sonata No. 28 in A Major, Op. 101: II. Lebhaft, Marschmäßig (Vivace alla marcia), 9 Piano Sonata No. 28 in A Major, Op. 101: II. Langsam und sehnsuchtsvoll (Adagio, ma non troppo, con affetto), 10 Piano Sonata No. 28 in A Major, Op. 101: IV. Geschwind, doch nicht zu sehr, und mit Entschlossenheit (Allegro);AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-09;album;2f1uawfQboBFLxzJOLHqC7;Beethoven Piano Sonatas Vol 8 - Appassionata;2020-11-27;33;Deux-Elles Limited;https://i.scdn.co/image/ab67616d0000b273b3714313a5141c6a738c7139;2wOqMjp9TyABvtHdOSOTUS;Ludwig van Beethoven;1 Piano Sonata No. 23 in F Minor, Op. 57 'Appassionata': I. Allegro Assai, 2 Piano Sonata No. 23 in F minor, Op. 57 'Appassionata': II. Andante con moto, 3 Piano Sonata No. 23 in F minor, Op. 57 'Appassionata': III. Allegro ma non troppo, 4 Piano Sonata No. 26 in E-Flat Major, Op. 81a 'Les adieux': I. Das Lebewohl. Adagio - Allegro, 5 Piano Sonata No. 26 in E-Flat Major, Op. 81a 'Les adieux': II. Abwesenheit. Andante espressivo, 6 Piano Sonata No. 26 in E-Flat Major, Op. 81a 'Les adieux': III. Das Wiedersehen. Vivacissimamente, 7 Piano Sonata No. 28 in A Major, Op. 101: I. Etwas lebhaft und mit der innigsten Empfindung (Allegretto ma non troppo), 8 Piano Sonata No. 28 in A Major, Op. 101: II. Lebhaft, Marschmäßig (Vivace alla marcia), 9 Piano Sonata No. 28 in A Major, Op. 101: II. Langsam und sehnsuchtsvoll (Adagio, ma non troppo, con affetto), 10 Piano Sonata No. 28 in A Major, Op. 101: IV. Geschwind, doch nicht zu sehr, und mit Entschlossenheit (Allegro);AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
