album_date_extract;album_type;album_id;album_name;album_release_date;album_popularity;album_label;album_image;artist_id;artist_name;tracks;available_markets
2020-11-24;single;2hvcfyvZMQdw1ahsPN5s6w;Adventure Time Distant Lands - Obsidian (Original Soundtrack);2020-11-20;50;Cartoon Network / WaterTower Music;https://i.scdn.co/image/ab67616d0000b273502e2f83831153997b1a4d74;3Op7D6tFVJCOHW6EAV0ck1;Adventure Time;1 It's Funny (feat. Charlotte Nicdao, Aleks Sennwald & Pete Toms), 2 Woke Up (feat. Olivia Olson & Zuzu), 3 Red Light (feat. Audrey Bennett), 4 See Through (feat. Michaela Dietz), 5 Monster (feat. Olivia Olson & Half Shy), 6 Eternity With You (feat. Michaela Dietz & Zuzu);AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-25;single;2hvcfyvZMQdw1ahsPN5s6w;Adventure Time Distant Lands - Obsidian (Original Soundtrack);2020-11-20;53;Cartoon Network / WaterTower Music;https://i.scdn.co/image/ab67616d0000b273502e2f83831153997b1a4d74;3Op7D6tFVJCOHW6EAV0ck1;Adventure Time;1 It's Funny (feat. Charlotte Nicdao, Aleks Sennwald & Pete Toms), 2 Woke Up (feat. Olivia Olson & Zuzu), 3 Red Light (feat. Audrey Bennett), 4 See Through (feat. Michaela Dietz), 5 Monster (feat. Olivia Olson & Half Shy), 6 Eternity With You (feat. Michaela Dietz & Zuzu);AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-26;single;2hvcfyvZMQdw1ahsPN5s6w;Adventure Time Distant Lands - Obsidian (Original Soundtrack);2020-11-20;56;Cartoon Network / WaterTower Music;https://i.scdn.co/image/ab67616d0000b273502e2f83831153997b1a4d74;3Op7D6tFVJCOHW6EAV0ck1;Adventure Time;1 It's Funny (feat. Charlotte Nicdao, Aleks Sennwald & Pete Toms), 2 Woke Up (feat. Olivia Olson & Zuzu), 3 Red Light (feat. Audrey Bennett), 4 See Through (feat. Michaela Dietz), 5 Monster (feat. Olivia Olson & Half Shy), 6 Eternity With You (feat. Michaela Dietz & Zuzu);AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-27;single;2hvcfyvZMQdw1ahsPN5s6w;Adventure Time Distant Lands - Obsidian (Original Soundtrack);2020-11-20;57;Cartoon Network / WaterTower Music;https://i.scdn.co/image/ab67616d0000b273502e2f83831153997b1a4d74;3Op7D6tFVJCOHW6EAV0ck1;Adventure Time;1 It's Funny (feat. Charlotte Nicdao, Aleks Sennwald & Pete Toms), 2 Woke Up (feat. Olivia Olson & Zuzu), 3 Red Light (feat. Audrey Bennett), 4 See Through (feat. Michaela Dietz), 5 Monster (feat. Olivia Olson & Half Shy), 6 Eternity With You (feat. Michaela Dietz & Zuzu);AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-28;single;2hvcfyvZMQdw1ahsPN5s6w;Adventure Time Distant Lands - Obsidian (Original Soundtrack);2020-11-20;58;Cartoon Network / WaterTower Music;https://i.scdn.co/image/ab67616d0000b273502e2f83831153997b1a4d74;3Op7D6tFVJCOHW6EAV0ck1;Adventure Time;1 It's Funny (feat. Charlotte Nicdao, Aleks Sennwald & Pete Toms), 2 Woke Up (feat. Olivia Olson & Zuzu), 3 Red Light (feat. Audrey Bennett), 4 See Through (feat. Michaela Dietz), 5 Monster (feat. Olivia Olson & Half Shy), 6 Eternity With You (feat. Michaela Dietz & Zuzu);AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-29;single;2hvcfyvZMQdw1ahsPN5s6w;Adventure Time Distant Lands - Obsidian (Original Soundtrack);2020-11-20;59;Cartoon Network / WaterTower Music;https://i.scdn.co/image/ab67616d0000b273502e2f83831153997b1a4d74;3Op7D6tFVJCOHW6EAV0ck1;Adventure Time;1 It's Funny (feat. Charlotte Nicdao, Aleks Sennwald & Pete Toms), 2 Woke Up (feat. Olivia Olson & Zuzu), 3 Red Light (feat. Audrey Bennett), 4 See Through (feat. Michaela Dietz), 5 Monster (feat. Olivia Olson & Half Shy), 6 Eternity With You (feat. Michaela Dietz & Zuzu);AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-30;single;2hvcfyvZMQdw1ahsPN5s6w;Adventure Time Distant Lands - Obsidian (Original Soundtrack);2020-11-20;60;Cartoon Network / WaterTower Music;https://i.scdn.co/image/ab67616d0000b273502e2f83831153997b1a4d74;3Op7D6tFVJCOHW6EAV0ck1;Adventure Time;1 It's Funny (feat. Charlotte Nicdao, Aleks Sennwald & Pete Toms), 2 Woke Up (feat. Olivia Olson & Zuzu), 3 Red Light (feat. Audrey Bennett), 4 See Through (feat. Michaela Dietz), 5 Monster (feat. Olivia Olson & Half Shy), 6 Eternity With You (feat. Michaela Dietz & Zuzu);AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-01;single;2hvcfyvZMQdw1ahsPN5s6w;Adventure Time Distant Lands - Obsidian (Original Soundtrack);2020-11-20;60;Cartoon Network / WaterTower Music;https://i.scdn.co/image/ab67616d0000b273502e2f83831153997b1a4d74;3Op7D6tFVJCOHW6EAV0ck1;Adventure Time;1 It's Funny (feat. Charlotte Nicdao, Aleks Sennwald & Pete Toms), 2 Woke Up (feat. Olivia Olson & Zuzu), 3 Red Light (feat. Audrey Bennett), 4 See Through (feat. Michaela Dietz), 5 Monster (feat. Olivia Olson & Half Shy), 6 Eternity With You (feat. Michaela Dietz & Zuzu);AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-02;single;2hvcfyvZMQdw1ahsPN5s6w;Adventure Time Distant Lands - Obsidian (Original Soundtrack);2020-11-20;61;Cartoon Network / WaterTower Music;https://i.scdn.co/image/ab67616d0000b273502e2f83831153997b1a4d74;3Op7D6tFVJCOHW6EAV0ck1;Adventure Time;1 It's Funny (feat. Charlotte Nicdao, Aleks Sennwald & Pete Toms), 2 Woke Up (feat. Olivia Olson & Zuzu), 3 Red Light (feat. Audrey Bennett), 4 See Through (feat. Michaela Dietz), 5 Monster (feat. Olivia Olson & Half Shy), 6 Eternity With You (feat. Michaela Dietz & Zuzu);AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-03;single;2hvcfyvZMQdw1ahsPN5s6w;Adventure Time Distant Lands - Obsidian (Original Soundtrack);2020-11-20;61;Cartoon Network / WaterTower Music;https://i.scdn.co/image/ab67616d0000b273502e2f83831153997b1a4d74;3Op7D6tFVJCOHW6EAV0ck1;Adventure Time;1 It's Funny (feat. Charlotte Nicdao, Aleks Sennwald & Pete Toms), 2 Woke Up (feat. Olivia Olson & Zuzu), 3 Red Light (feat. Audrey Bennett), 4 See Through (feat. Michaela Dietz), 5 Monster (feat. Olivia Olson & Half Shy), 6 Eternity With You (feat. Michaela Dietz & Zuzu);AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
