album_date_extract;album_type;album_id;album_name;album_release_date;album_popularity;album_label;album_image;artist_id;artist_name;tracks;available_markets
2020-11-24;album;2tO7FJFQbTPHGAuvKEIRV0;Las Mejores Clásicas Con Los Nuevos Rebeldes;2020-11-19;8;Rebel Records;https://i.scdn.co/image/ab67616d0000b2736a240802c7b80860a9c53f0e;3OFZZxPrO2uYjDVglqTwEr;Los Nuevos Rebeldes;1 Risas y Llantos, 2 Atesoralo, 3 Lo Callare, 4 Playa Sola, 5 Bajo Mil Llaves, 6 Tu Naciste para Mi, 7 Tu Sonrisa, 8 Mi Borrachera, 9 Sin Recopenza Ni Espereranza, 10 Baraja de Oro, 11 Recuérdame y Ven a Mi, 12 Para Morir un Segundo, 13 Caros Empolvados, 14 El Jr, 15 El Amor Que Te Tenia;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-25;album;2tO7FJFQbTPHGAuvKEIRV0;Las Mejores Clásicas Con Los Nuevos Rebeldes;2020-11-19;9;Rebel Records;https://i.scdn.co/image/ab67616d0000b2736a240802c7b80860a9c53f0e;3OFZZxPrO2uYjDVglqTwEr;Los Nuevos Rebeldes;1 Risas y Llantos, 2 Atesoralo, 3 Lo Callare, 4 Playa Sola, 5 Bajo Mil Llaves, 6 Tu Naciste para Mi, 7 Tu Sonrisa, 8 Mi Borrachera, 9 Sin Recopenza Ni Espereranza, 10 Baraja de Oro, 11 Recuérdame y Ven a Mi, 12 Para Morir un Segundo, 13 Caros Empolvados, 14 El Jr, 15 El Amor Que Te Tenia;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-26;album;2tO7FJFQbTPHGAuvKEIRV0;Las Mejores Clásicas Con Los Nuevos Rebeldes;2020-11-19;9;Rebel Records;https://i.scdn.co/image/ab67616d0000b2736a240802c7b80860a9c53f0e;3OFZZxPrO2uYjDVglqTwEr;Los Nuevos Rebeldes;1 Risas y Llantos, 2 Atesoralo, 3 Lo Callare, 4 Playa Sola, 5 Bajo Mil Llaves, 6 Tu Naciste para Mi, 7 Tu Sonrisa, 8 Mi Borrachera, 9 Sin Recopenza Ni Espereranza, 10 Baraja de Oro, 11 Recuérdame y Ven a Mi, 12 Para Morir un Segundo, 13 Caros Empolvados, 14 El Jr, 15 El Amor Que Te Tenia;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-27;album;2tO7FJFQbTPHGAuvKEIRV0;Las Mejores Clásicas Con Los Nuevos Rebeldes;2020-11-19;10;Rebel Records;https://i.scdn.co/image/ab67616d0000b2736a240802c7b80860a9c53f0e;3OFZZxPrO2uYjDVglqTwEr;Los Nuevos Rebeldes;1 Risas y Llantos, 2 Atesoralo, 3 Lo Callare, 4 Playa Sola, 5 Bajo Mil Llaves, 6 Tu Naciste para Mi, 7 Tu Sonrisa, 8 Mi Borrachera, 9 Sin Recopenza Ni Espereranza, 10 Baraja de Oro, 11 Recuérdame y Ven a Mi, 12 Para Morir un Segundo, 13 Caros Empolvados, 14 El Jr, 15 El Amor Que Te Tenia;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-28;album;2tO7FJFQbTPHGAuvKEIRV0;Las Mejores Clásicas Con Los Nuevos Rebeldes;2020-11-19;10;Rebel Records;https://i.scdn.co/image/ab67616d0000b2736a240802c7b80860a9c53f0e;3OFZZxPrO2uYjDVglqTwEr;Los Nuevos Rebeldes;1 Risas y Llantos, 2 Atesoralo, 3 Lo Callare, 4 Playa Sola, 5 Bajo Mil Llaves, 6 Tu Naciste para Mi, 7 Tu Sonrisa, 8 Mi Borrachera, 9 Sin Recopenza Ni Espereranza, 10 Baraja de Oro, 11 Recuérdame y Ven a Mi, 12 Para Morir un Segundo, 13 Caros Empolvados, 14 El Jr, 15 El Amor Que Te Tenia;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-29;album;2tO7FJFQbTPHGAuvKEIRV0;Las Mejores Clásicas Con Los Nuevos Rebeldes;2020-11-19;10;Rebel Records;https://i.scdn.co/image/ab67616d0000b2736a240802c7b80860a9c53f0e;3OFZZxPrO2uYjDVglqTwEr;Los Nuevos Rebeldes;1 Risas y Llantos, 2 Atesoralo, 3 Lo Callare, 4 Playa Sola, 5 Bajo Mil Llaves, 6 Tu Naciste para Mi, 7 Tu Sonrisa, 8 Mi Borrachera, 9 Sin Recopenza Ni Espereranza, 10 Baraja de Oro, 11 Recuérdame y Ven a Mi, 12 Para Morir un Segundo, 13 Caros Empolvados, 14 El Jr, 15 El Amor Que Te Tenia;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-30;album;2tO7FJFQbTPHGAuvKEIRV0;Las Mejores Clásicas Con Los Nuevos Rebeldes;2020-11-19;10;Rebel Records;https://i.scdn.co/image/ab67616d0000b2736a240802c7b80860a9c53f0e;3OFZZxPrO2uYjDVglqTwEr;Los Nuevos Rebeldes;1 Risas y Llantos, 2 Atesoralo, 3 Lo Callare, 4 Playa Sola, 5 Bajo Mil Llaves, 6 Tu Naciste para Mi, 7 Tu Sonrisa, 8 Mi Borrachera, 9 Sin Recopenza Ni Espereranza, 10 Baraja de Oro, 11 Recuérdame y Ven a Mi, 12 Para Morir un Segundo, 13 Caros Empolvados, 14 El Jr, 15 El Amor Que Te Tenia;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-01;album;2tO7FJFQbTPHGAuvKEIRV0;Las Mejores Clásicas Con Los Nuevos Rebeldes;2020-11-19;10;Rebel Records;https://i.scdn.co/image/ab67616d0000b2736a240802c7b80860a9c53f0e;3OFZZxPrO2uYjDVglqTwEr;Los Nuevos Rebeldes;1 Risas y Llantos, 2 Atesoralo, 3 Lo Callare, 4 Playa Sola, 5 Bajo Mil Llaves, 6 Tu Naciste para Mi, 7 Tu Sonrisa, 8 Mi Borrachera, 9 Sin Recopenza Ni Espereranza, 10 Baraja de Oro, 11 Recuérdame y Ven a Mi, 12 Para Morir un Segundo, 13 Caros Empolvados, 14 El Jr, 15 El Amor Que Te Tenia;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-02;album;2tO7FJFQbTPHGAuvKEIRV0;Las Mejores Clásicas Con Los Nuevos Rebeldes;2020-11-19;10;Rebel Records;https://i.scdn.co/image/ab67616d0000b2736a240802c7b80860a9c53f0e;3OFZZxPrO2uYjDVglqTwEr;Los Nuevos Rebeldes;1 Risas y Llantos, 2 Atesoralo, 3 Lo Callare, 4 Playa Sola, 5 Bajo Mil Llaves, 6 Tu Naciste para Mi, 7 Tu Sonrisa, 8 Mi Borrachera, 9 Sin Recopenza Ni Espereranza, 10 Baraja de Oro, 11 Recuérdame y Ven a Mi, 12 Para Morir un Segundo, 13 Caros Empolvados, 14 El Jr, 15 El Amor Que Te Tenia;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-03;album;2tO7FJFQbTPHGAuvKEIRV0;Las Mejores Clásicas Con Los Nuevos Rebeldes;2020-11-19;10;Rebel Records;https://i.scdn.co/image/ab67616d0000b2736a240802c7b80860a9c53f0e;3OFZZxPrO2uYjDVglqTwEr;Los Nuevos Rebeldes;1 Risas y Llantos, 2 Atesoralo, 3 Lo Callare, 4 Playa Sola, 5 Bajo Mil Llaves, 6 Tu Naciste para Mi, 7 Tu Sonrisa, 8 Mi Borrachera, 9 Sin Recopenza Ni Espereranza, 10 Baraja de Oro, 11 Recuérdame y Ven a Mi, 12 Para Morir un Segundo, 13 Caros Empolvados, 14 El Jr, 15 El Amor Que Te Tenia;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
