album_date_extract;album_type;album_id;album_name;album_release_date;album_popularity;album_label;album_image;artist_id;artist_name;tracks;available_markets
2020-11-30;single;37vY3scs4ymxAWDoMIUUT5;All in (Korean Ver.);2020-11-26;40;JYP Entertainment;https://i.scdn.co/image/ab67616d0000b2739008981e291f46ab13d2637d;2dIgFjalVxs4ThymZ67YCE;Stray Kids;1 ALL IN (Korean Ver.);AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-01;single;37vY3scs4ymxAWDoMIUUT5;All in (Korean Ver.);2020-11-26;42;JYP Entertainment;https://i.scdn.co/image/ab67616d0000b2739008981e291f46ab13d2637d;2dIgFjalVxs4ThymZ67YCE;Stray Kids;1 ALL IN (Korean Ver.);AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-02;single;37vY3scs4ymxAWDoMIUUT5;All in (Korean Ver.);2020-11-26;43;JYP Entertainment;https://i.scdn.co/image/ab67616d0000b2739008981e291f46ab13d2637d;2dIgFjalVxs4ThymZ67YCE;Stray Kids;1 ALL IN (Korean Ver.);AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-03;single;37vY3scs4ymxAWDoMIUUT5;All in (Korean Ver.);2020-11-26;44;JYP Entertainment;https://i.scdn.co/image/ab67616d0000b2739008981e291f46ab13d2637d;2dIgFjalVxs4ThymZ67YCE;Stray Kids;1 ALL IN (Korean Ver.);AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-04;single;37vY3scs4ymxAWDoMIUUT5;ALL IN (Korean Ver.);2020-11-26;45;JYP Entertainment;https://i.scdn.co/image/ab67616d0000b2739008981e291f46ab13d2637d;2dIgFjalVxs4ThymZ67YCE;Stray Kids;1 ALL IN (Korean Ver.);AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-05;single;37vY3scs4ymxAWDoMIUUT5;ALL IN (Korean Ver.);2020-11-26;45;JYP Entertainment;https://i.scdn.co/image/ab67616d0000b2739008981e291f46ab13d2637d;2dIgFjalVxs4ThymZ67YCE;Stray Kids;1 ALL IN (Korean Ver.);AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-06;single;37vY3scs4ymxAWDoMIUUT5;ALL IN (Korean Ver.);2020-11-26;46;JYP Entertainment;https://i.scdn.co/image/ab67616d0000b2739008981e291f46ab13d2637d;2dIgFjalVxs4ThymZ67YCE;Stray Kids;1 ALL IN (Korean Ver.);AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-07;single;37vY3scs4ymxAWDoMIUUT5;ALL IN (Korean Ver.);2020-11-26;46;JYP Entertainment;https://i.scdn.co/image/ab67616d0000b2739008981e291f46ab13d2637d;2dIgFjalVxs4ThymZ67YCE;Stray Kids;1 ALL IN (Korean Ver.);AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-08;single;37vY3scs4ymxAWDoMIUUT5;ALL IN (Korean Ver.);2020-11-26;47;JYP Entertainment;https://i.scdn.co/image/ab67616d0000b2739008981e291f46ab13d2637d;2dIgFjalVxs4ThymZ67YCE;Stray Kids;1 ALL IN (Korean Ver.);AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-09;single;37vY3scs4ymxAWDoMIUUT5;ALL IN (Korean Ver);2020-11-26;47;JYP Entertainment;https://i.scdn.co/image/ab67616d0000b2739008981e291f46ab13d2637d;2dIgFjalVxs4ThymZ67YCE;Stray Kids;1 ALL IN (Korean Ver.);AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
