album_date_extract;album_type;album_id;album_name;album_release_date;album_popularity;album_label;album_image;artist_id;artist_name;tracks;available_markets
2020-11-24;album;3GiRcJJgyZH2lue6eP3wws;Belong;2020-11-20;47;Conteam;https://i.scdn.co/image/ab67616d0000b27333c3c35e46c08ca30d6411bb;6xutNVv1t39GdpK8eImxPU;Gabriel Conte;1 Belong, 2 Proud, 3 Be Somebody, 4 Me With You, 5 Boca To Brisbane, 6 I'm Not Sorry, 7 Rollercoaster, 8 Wrong With Me, 9 Belong - Where Your Heart Is, 10 Los Angeles;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-25;album;3GiRcJJgyZH2lue6eP3wws;Belong;2020-11-20;49;Conteam;https://i.scdn.co/image/ab67616d0000b27333c3c35e46c08ca30d6411bb;6xutNVv1t39GdpK8eImxPU;Gabriel Conte;1 Belong, 2 Proud, 3 Be Somebody, 4 Me With You, 5 Boca To Brisbane, 6 I'm Not Sorry, 7 Rollercoaster, 8 Wrong With Me, 9 Belong - Where Your Heart Is, 10 Los Angeles;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-26;album;3GiRcJJgyZH2lue6eP3wws;Belong;2020-11-20;50;Conteam;https://i.scdn.co/image/ab67616d0000b27333c3c35e46c08ca30d6411bb;6xutNVv1t39GdpK8eImxPU;Gabriel Conte;1 Belong, 2 Proud, 3 Be Somebody, 4 Me With You, 5 Boca To Brisbane, 6 I'm Not Sorry, 7 Rollercoaster, 8 Wrong With Me, 9 Belong - Where Your Heart Is, 10 Los Angeles;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-27;album;3GiRcJJgyZH2lue6eP3wws;Belong;2020-11-20;51;Conteam;https://i.scdn.co/image/ab67616d0000b27333c3c35e46c08ca30d6411bb;6xutNVv1t39GdpK8eImxPU;Gabriel Conte;1 Belong, 2 Proud, 3 Be Somebody, 4 Me With You, 5 Boca To Brisbane, 6 I'm Not Sorry, 7 Rollercoaster, 8 Wrong With Me, 9 Belong - Where Your Heart Is, 10 Los Angeles;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-28;album;3GiRcJJgyZH2lue6eP3wws;Belong;2020-11-20;51;Conteam;https://i.scdn.co/image/ab67616d0000b27333c3c35e46c08ca30d6411bb;6xutNVv1t39GdpK8eImxPU;Gabriel Conte;1 Belong, 2 Proud, 3 Be Somebody, 4 Me With You, 5 Boca To Brisbane, 6 I'm Not Sorry, 7 Rollercoaster, 8 Wrong With Me, 9 Belong - Where Your Heart Is, 10 Los Angeles;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-29;album;3GiRcJJgyZH2lue6eP3wws;Belong;2020-11-20;51;Conteam;https://i.scdn.co/image/ab67616d0000b27333c3c35e46c08ca30d6411bb;6xutNVv1t39GdpK8eImxPU;Gabriel Conte;1 Belong, 2 Proud, 3 Be Somebody, 4 Me With You, 5 Boca To Brisbane, 6 I'm Not Sorry, 7 Rollercoaster, 8 Wrong With Me, 9 Belong - Where Your Heart Is, 10 Los Angeles;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-30;album;3GiRcJJgyZH2lue6eP3wws;Belong;2020-11-20;52;Conteam;https://i.scdn.co/image/ab67616d0000b27333c3c35e46c08ca30d6411bb;6xutNVv1t39GdpK8eImxPU;Gabriel Conte;1 Belong, 2 Proud, 3 Be Somebody, 4 Me With You, 5 Boca To Brisbane, 6 I'm Not Sorry, 7 Rollercoaster, 8 Wrong With Me, 9 Belong - Where Your Heart Is, 10 Los Angeles;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-01;album;3GiRcJJgyZH2lue6eP3wws;Belong;2020-11-20;52;Conteam;https://i.scdn.co/image/ab67616d0000b27333c3c35e46c08ca30d6411bb;6xutNVv1t39GdpK8eImxPU;Gabriel Conte;1 Belong, 2 Proud, 3 Be Somebody, 4 Me With You, 5 Boca To Brisbane, 6 I'm Not Sorry, 7 Rollercoaster, 8 Wrong With Me, 9 Belong - Where Your Heart Is, 10 Los Angeles;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-02;album;3GiRcJJgyZH2lue6eP3wws;Belong;2020-11-20;52;Conteam;https://i.scdn.co/image/ab67616d0000b27333c3c35e46c08ca30d6411bb;6xutNVv1t39GdpK8eImxPU;Gabriel Conte;1 Belong, 2 Proud, 3 Be Somebody, 4 Me With You, 5 Boca To Brisbane, 6 I'm Not Sorry, 7 Rollercoaster, 8 Wrong With Me, 9 Belong - Where Your Heart Is, 10 Los Angeles;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-03;album;3GiRcJJgyZH2lue6eP3wws;Belong;2020-11-20;52;Conteam;https://i.scdn.co/image/ab67616d0000b27333c3c35e46c08ca30d6411bb;6xutNVv1t39GdpK8eImxPU;Gabriel Conte;1 Belong, 2 Proud, 3 Be Somebody, 4 Me With You, 5 Boca To Brisbane, 6 I'm Not Sorry, 7 Rollercoaster, 8 Wrong With Me, 9 Belong - Where Your Heart Is, 10 Los Angeles;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
