album_date_extract;album_type;album_id;album_name;album_release_date;album_popularity;album_label;album_image;artist_id;artist_name;tracks;available_markets
2020-11-24;single;3PIwQpIPs4FziyUcmsT9ZW;What Does Christmas Mean (feat. The Shindellas);2020-11-20;18;Stoney Creek Records;https://i.scdn.co/image/ab67616d0000b2736c9065b2d07185a3ffb15a7d;147nKr9upHZSSxqCzh9j7c;Jimmie Allen;1 What Does Christmas Mean (feat. The Shindellas);AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-25;single;3PIwQpIPs4FziyUcmsT9ZW;What Does Christmas Mean (feat. The Shindellas);2020-11-20;26;Stoney Creek Records;https://i.scdn.co/image/ab67616d0000b2736c9065b2d07185a3ffb15a7d;147nKr9upHZSSxqCzh9j7c;Jimmie Allen;1 What Does Christmas Mean (feat. The Shindellas);AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-26;single;3PIwQpIPs4FziyUcmsT9ZW;What Does Christmas Mean (feat. The Shindellas);2020-11-20;29;Stoney Creek Records;https://i.scdn.co/image/ab67616d0000b2736c9065b2d07185a3ffb15a7d;147nKr9upHZSSxqCzh9j7c;Jimmie Allen;1 What Does Christmas Mean (feat. The Shindellas);AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-27;single;3PIwQpIPs4FziyUcmsT9ZW;What Does Christmas Mean (feat. The Shindellas);2020-11-20;32;Stoney Creek Records;https://i.scdn.co/image/ab67616d0000b2736c9065b2d07185a3ffb15a7d;147nKr9upHZSSxqCzh9j7c;Jimmie Allen;1 What Does Christmas Mean (feat. The Shindellas);AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-28;single;3PIwQpIPs4FziyUcmsT9ZW;What Does Christmas Mean (feat. The Shindellas);2020-11-20;34;Stoney Creek Records;https://i.scdn.co/image/ab67616d0000b2736c9065b2d07185a3ffb15a7d;147nKr9upHZSSxqCzh9j7c;Jimmie Allen;1 What Does Christmas Mean (feat. The Shindellas);AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-29;single;3PIwQpIPs4FziyUcmsT9ZW;What Does Christmas Mean (feat. The Shindellas);2020-11-20;35;Stoney Creek Records;https://i.scdn.co/image/ab67616d0000b2736c9065b2d07185a3ffb15a7d;147nKr9upHZSSxqCzh9j7c;Jimmie Allen;1 What Does Christmas Mean (feat. The Shindellas);AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-30;single;3PIwQpIPs4FziyUcmsT9ZW;What Does Christmas Mean (feat. The Shindellas);2020-11-20;37;Stoney Creek Records;https://i.scdn.co/image/ab67616d0000b2736c9065b2d07185a3ffb15a7d;147nKr9upHZSSxqCzh9j7c;Jimmie Allen;1 What Does Christmas Mean (feat. The Shindellas);AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-01;single;3PIwQpIPs4FziyUcmsT9ZW;What Does Christmas Mean (feat. The Shindellas);2020-11-20;38;Stoney Creek Records;https://i.scdn.co/image/ab67616d0000b2736c9065b2d07185a3ffb15a7d;147nKr9upHZSSxqCzh9j7c;Jimmie Allen;1 What Does Christmas Mean (feat. The Shindellas);AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-02;single;3PIwQpIPs4FziyUcmsT9ZW;What Does Christmas Mean (feat. The Shindellas);2020-11-20;40;Stoney Creek Records;https://i.scdn.co/image/ab67616d0000b2736c9065b2d07185a3ffb15a7d;147nKr9upHZSSxqCzh9j7c;Jimmie Allen;1 What Does Christmas Mean (feat. The Shindellas);AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-03;single;3PIwQpIPs4FziyUcmsT9ZW;What Does Christmas Mean (feat. The Shindellas);2020-11-20;41;Stoney Creek Records;https://i.scdn.co/image/ab67616d0000b2736c9065b2d07185a3ffb15a7d;147nKr9upHZSSxqCzh9j7c;Jimmie Allen;1 What Does Christmas Mean (feat. The Shindellas);AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
