album_date_extract;album_type;album_id;album_name;album_release_date;album_popularity;album_label;album_image;artist_id;artist_name;tracks;available_markets
2020-11-24;single;3VjLGxjXX8CeW46EukRPNf;Cocktail remix;2020-11-19;23;Eat Parade;https://i.scdn.co/image/ab67616d0000b2730d019441fb1b213f1fa5795d;15A0nsl5AAoFs12cKay38P;Enrico Bsj Ferrari;1 Cocktail remix - Radio edit, 2 Cocktail remix - BSJ The BLACK LEGEND Radio edit, 3 Cocktail remix - Disco Ball'z Radio edit, 4 Cocktail remix - Rhythm Staircase Radio edit;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-25;single;3VjLGxjXX8CeW46EukRPNf;Cocktail remix;2020-11-19;25;Eat Parade;https://i.scdn.co/image/ab67616d0000b2730d019441fb1b213f1fa5795d;15A0nsl5AAoFs12cKay38P;Enrico Bsj Ferrari;1 Cocktail remix - Radio edit, 2 Cocktail remix - BSJ The BLACK LEGEND Radio edit, 3 Cocktail remix - Disco Ball'z Radio edit, 4 Cocktail remix - Rhythm Staircase Radio edit;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-26;single;3VjLGxjXX8CeW46EukRPNf;Cocktail remix;2020-11-19;26;Eat Parade;https://i.scdn.co/image/ab67616d0000b2730d019441fb1b213f1fa5795d;15A0nsl5AAoFs12cKay38P;Enrico Bsj Ferrari;1 Cocktail remix - Radio edit, 2 Cocktail remix - BSJ The BLACK LEGEND Radio edit, 3 Cocktail remix - Disco Ball'z Radio edit, 4 Cocktail remix - Rhythm Staircase Radio edit;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-27;single;3VjLGxjXX8CeW46EukRPNf;Cocktail remix;2020-11-19;29;Eat Parade;https://i.scdn.co/image/ab67616d0000b2730d019441fb1b213f1fa5795d;15A0nsl5AAoFs12cKay38P;Enrico Bsj Ferrari;1 Cocktail remix - Radio edit, 2 Cocktail remix - BSJ The BLACK LEGEND Radio edit, 3 Cocktail remix - Disco Ball'z Radio edit, 4 Cocktail remix - Rhythm Staircase Radio edit;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-28;single;3VjLGxjXX8CeW46EukRPNf;Cocktail remix;2020-11-19;31;Eat Parade;https://i.scdn.co/image/ab67616d0000b2730d019441fb1b213f1fa5795d;15A0nsl5AAoFs12cKay38P;Enrico Bsj Ferrari;1 Cocktail remix - Radio edit, 2 Cocktail remix - BSJ The BLACK LEGEND Radio edit, 3 Cocktail remix - Disco Ball'z Radio edit, 4 Cocktail remix - Rhythm Staircase Radio edit;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-29;single;3VjLGxjXX8CeW46EukRPNf;Cocktail remix;2020-11-19;32;Eat Parade;https://i.scdn.co/image/ab67616d0000b2730d019441fb1b213f1fa5795d;15A0nsl5AAoFs12cKay38P;Enrico Bsj Ferrari;1 Cocktail remix - Radio edit, 2 Cocktail remix - BSJ The BLACK LEGEND Radio edit, 3 Cocktail remix - Disco Ball'z Radio edit, 4 Cocktail remix - Rhythm Staircase Radio edit;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-30;single;3VjLGxjXX8CeW46EukRPNf;Cocktail remix;2020-11-19;33;Eat Parade;https://i.scdn.co/image/ab67616d0000b2730d019441fb1b213f1fa5795d;15A0nsl5AAoFs12cKay38P;Enrico Bsj Ferrari;1 Cocktail remix - Radio edit, 2 Cocktail remix - BSJ The BLACK LEGEND Radio edit, 3 Cocktail remix - Disco Ball'z Radio edit, 4 Cocktail remix - Rhythm Staircase Radio edit;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-01;single;3VjLGxjXX8CeW46EukRPNf;Cocktail remix;2020-11-19;34;Eat Parade;https://i.scdn.co/image/ab67616d0000b2730d019441fb1b213f1fa5795d;15A0nsl5AAoFs12cKay38P;Enrico Bsj Ferrari;1 Cocktail remix - Radio edit, 2 Cocktail remix - BSJ The BLACK LEGEND Radio edit, 3 Cocktail remix - Disco Ball'z Radio edit, 4 Cocktail remix - Rhythm Staircase Radio edit;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-02;single;3VjLGxjXX8CeW46EukRPNf;Cocktail remix;2020-11-19;35;Eat Parade;https://i.scdn.co/image/ab67616d0000b2730d019441fb1b213f1fa5795d;15A0nsl5AAoFs12cKay38P;Enrico Bsj Ferrari;1 Cocktail remix - Radio edit, 2 Cocktail remix - BSJ The BLACK LEGEND Radio edit, 3 Cocktail remix - Disco Ball'z Radio edit, 4 Cocktail remix - Rhythm Staircase Radio edit;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-03;single;3VjLGxjXX8CeW46EukRPNf;Cocktail remix;2020-11-19;36;Eat Parade;https://i.scdn.co/image/ab67616d0000b2730d019441fb1b213f1fa5795d;15A0nsl5AAoFs12cKay38P;Enrico Bsj Ferrari;1 Cocktail remix - Radio edit, 2 Cocktail remix - BSJ The BLACK LEGEND Radio edit, 3 Cocktail remix - Disco Ball'z Radio edit, 4 Cocktail remix - Rhythm Staircase Radio edit;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
