album_date_extract;album_type;album_id;album_name;album_release_date;album_popularity;album_label;album_image;artist_id;artist_name;tracks;available_markets
2020-11-30;single;3W4U97jnSg03nveHYdIpso;Can You Smell It in the Air It's Fishmas!;2020-11-27;6;Pinkfong;https://i.scdn.co/image/ab67616d0000b2734348e6e14e309f1f1fc9f5b3;7cTXfwpe9peK0UE1bZyIWZ;Pinkfong;1 Can You Smell It in the Air? It's Fishmas!;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HN, HR, HU, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TN, TR, UA, US, UY, XK, ZA
2020-12-01;single;3W4U97jnSg03nveHYdIpso;Can You Smell It in the Air It's Fishmas!;2020-11-27;12;Pinkfong;https://i.scdn.co/image/ab67616d0000b2734348e6e14e309f1f1fc9f5b3;7cTXfwpe9peK0UE1bZyIWZ;Pinkfong;1 Can You Smell It in the Air? It's Fishmas!;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HN, HR, HU, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TN, TR, UA, US, UY, XK, ZA
2020-12-02;single;3W4U97jnSg03nveHYdIpso;Can You Smell It in the Air It's Fishmas!;2020-11-27;15;Pinkfong;https://i.scdn.co/image/ab67616d0000b2734348e6e14e309f1f1fc9f5b3;7cTXfwpe9peK0UE1bZyIWZ;Pinkfong;1 Can You Smell It in the Air? It's Fishmas!;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HN, HR, HU, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TN, TR, UA, US, UY, XK, ZA
2020-12-03;single;3W4U97jnSg03nveHYdIpso;Can You Smell It in the Air It's Fishmas!;2020-11-27;16;Pinkfong;https://i.scdn.co/image/ab67616d0000b2734348e6e14e309f1f1fc9f5b3;7cTXfwpe9peK0UE1bZyIWZ;Pinkfong;1 Can You Smell It in the Air? It's Fishmas!;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HN, HR, HU, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TN, TR, UA, US, UY, XK, ZA
2020-12-04;single;3W4U97jnSg03nveHYdIpso;Can You Smell It in the Air It's Fishmas!;2020-11-27;18;Pinkfong;https://i.scdn.co/image/ab67616d0000b2734348e6e14e309f1f1fc9f5b3;7cTXfwpe9peK0UE1bZyIWZ;Pinkfong;1 Can You Smell It in the Air? It's Fishmas!;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HN, HR, HU, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TN, TR, UA, US, UY, XK, ZA
2020-12-05;single;3W4U97jnSg03nveHYdIpso;Can You Smell It in the Air It's Fishmas!;2020-11-27;19;Pinkfong;https://i.scdn.co/image/ab67616d0000b2734348e6e14e309f1f1fc9f5b3;7cTXfwpe9peK0UE1bZyIWZ;Pinkfong;1 Can You Smell It in the Air? It's Fishmas!;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HN, HR, HU, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TN, TR, UA, US, UY, XK, ZA
2020-12-06;single;3W4U97jnSg03nveHYdIpso;Can You Smell It in the Air It's Fishmas!;2020-11-27;20;Pinkfong;https://i.scdn.co/image/ab67616d0000b2734348e6e14e309f1f1fc9f5b3;7cTXfwpe9peK0UE1bZyIWZ;Pinkfong;1 Can You Smell It in the Air? It's Fishmas!;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HN, HR, HU, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TN, TR, UA, US, UY, XK, ZA
2020-12-07;single;3W4U97jnSg03nveHYdIpso;Can You Smell It in the Air It's Fishmas!;2020-11-27;20;Pinkfong;https://i.scdn.co/image/ab67616d0000b2734348e6e14e309f1f1fc9f5b3;7cTXfwpe9peK0UE1bZyIWZ;Pinkfong;1 Can You Smell It in the Air? It's Fishmas!;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HN, HR, HU, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TN, TR, UA, US, UY, XK, ZA
2020-12-08;single;3W4U97jnSg03nveHYdIpso;Can You Smell It in the Air It's Fishmas!;2020-11-27;21;Pinkfong;https://i.scdn.co/image/ab67616d0000b2734348e6e14e309f1f1fc9f5b3;7cTXfwpe9peK0UE1bZyIWZ;Pinkfong;1 Can You Smell It in the Air? It's Fishmas!;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HN, HR, HU, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TN, TR, UA, US, UY, XK, ZA
2020-12-09;single;3W4U97jnSg03nveHYdIpso;Can You Smell It in the Air It's Fishmas!;2020-11-27;21;Pinkfong;https://i.scdn.co/image/ab67616d0000b2734348e6e14e309f1f1fc9f5b3;7cTXfwpe9peK0UE1bZyIWZ;Pinkfong;1 Can You Smell It in the Air? It's Fishmas!;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HN, HR, HU, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TN, TR, UA, US, UY, XK, ZA
