album_date_extract;album_type;album_id;album_name;album_release_date;album_popularity;album_label;album_image;artist_id;artist_name;tracks;available_markets
2020-11-30;single;3bab9IovKQWPggPRGFNueq;Te Equivocaste;2020-11-24;41;Music VIP Entertainment Inc;https://i.scdn.co/image/ab67616d0000b27304be06b6a0bd7fc3bb06f8d6;7AUgYiThuW80zSOwY7Ub2g;El Mimoso Luis Antonio López;1 Te Equivocaste;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-01;single;3bab9IovKQWPggPRGFNueq;Te Equivocaste;2020-11-24;43;Music VIP Entertainment Inc;https://i.scdn.co/image/ab67616d0000b27304be06b6a0bd7fc3bb06f8d6;7AUgYiThuW80zSOwY7Ub2g;El Mimoso Luis Antonio López;1 Te Equivocaste;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-02;single;3bab9IovKQWPggPRGFNueq;Te Equivocaste;2020-11-24;45;Music VIP Entertainment Inc;https://i.scdn.co/image/ab67616d0000b27304be06b6a0bd7fc3bb06f8d6;7AUgYiThuW80zSOwY7Ub2g;El Mimoso Luis Antonio López;1 Te Equivocaste;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-03;single;3bab9IovKQWPggPRGFNueq;Te Equivocaste;2020-11-24;46;Music VIP Entertainment Inc;https://i.scdn.co/image/ab67616d0000b27304be06b6a0bd7fc3bb06f8d6;7AUgYiThuW80zSOwY7Ub2g;El Mimoso Luis Antonio López;1 Te Equivocaste;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-04;single;3bab9IovKQWPggPRGFNueq;Te Equivocaste;2020-11-24;47;Music VIP Entertainment Inc;https://i.scdn.co/image/ab67616d0000b27304be06b6a0bd7fc3bb06f8d6;7AUgYiThuW80zSOwY7Ub2g;El Mimoso Luis Antonio López;1 Te Equivocaste;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-05;single;3bab9IovKQWPggPRGFNueq;Te Equivocaste;2020-11-24;48;Music VIP Entertainment Inc;https://i.scdn.co/image/ab67616d0000b27304be06b6a0bd7fc3bb06f8d6;7AUgYiThuW80zSOwY7Ub2g;El Mimoso Luis Antonio López;1 Te Equivocaste;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-06;single;3bab9IovKQWPggPRGFNueq;Te Equivocaste;2020-11-24;49;Music VIP Entertainment Inc;https://i.scdn.co/image/ab67616d0000b27304be06b6a0bd7fc3bb06f8d6;7AUgYiThuW80zSOwY7Ub2g;El Mimoso Luis Antonio López;1 Te Equivocaste;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-07;single;3bab9IovKQWPggPRGFNueq;Te Equivocaste;2020-11-24;50;Music VIP Entertainment Inc;https://i.scdn.co/image/ab67616d0000b27304be06b6a0bd7fc3bb06f8d6;7AUgYiThuW80zSOwY7Ub2g;El Mimoso Luis Antonio López;1 Te Equivocaste;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-08;single;3bab9IovKQWPggPRGFNueq;Te Equivocaste;2020-11-24;51;Music VIP Entertainment Inc;https://i.scdn.co/image/ab67616d0000b27304be06b6a0bd7fc3bb06f8d6;7AUgYiThuW80zSOwY7Ub2g;El Mimoso Luis Antonio López;1 Te Equivocaste;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-09;single;3bab9IovKQWPggPRGFNueq;Te Equivocaste;2020-11-24;51;Music VIP Entertainment Inc;https://i.scdn.co/image/ab67616d0000b27304be06b6a0bd7fc3bb06f8d6;7AUgYiThuW80zSOwY7Ub2g;El Mimoso Luis Antonio López;1 Te Equivocaste;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
