album_date_extract;album_type;album_id;album_name;album_release_date;album_popularity;album_label;album_image;artist_id;artist_name;tracks;available_markets
2020-11-24;album;3pXlhyuRkiqEvZVhcTBxxL;Alive in Melbourne (Live);2020-11-20;27;Napalm Records;https://i.scdn.co/image/ab67616d0000b2737d58ee3d492d5b3c5fb01060;7o6cOczXTB8ioTAAJTbESf;Jinjer;1 Intro - Live, 2 Teacher, Teacher! - Live, 3 Sit Stay Roll Over - Live, 4 Ape - Live, 5 Judgement (& Punishment) - Live, 6 I Speak Astronomy - Live, 7 Who Is Gonna Be the One - Live, 8 Noah - Live, 9 Retrospection - Live, 10 Perennial - Live, 11 On The Top - Live, 12 Pit of Consciousness - Live, 13 Home Back - Live, 14 Words of Wisdom - Live, 15 Pisces - Live, 16 Captain Clock - Live, 17 Outro - Live;US
2020-11-25;album;3pXlhyuRkiqEvZVhcTBxxL;Alive in Melbourne (Live);2020-11-20;29;Napalm Records;https://i.scdn.co/image/ab67616d0000b2737d58ee3d492d5b3c5fb01060;7o6cOczXTB8ioTAAJTbESf;Jinjer;1 Intro - Live, 2 Teacher, Teacher! - Live, 3 Sit Stay Roll Over - Live, 4 Ape - Live, 5 Judgement (& Punishment) - Live, 6 I Speak Astronomy - Live, 7 Who Is Gonna Be the One - Live, 8 Noah - Live, 9 Retrospection - Live, 10 Perennial - Live, 11 On The Top - Live, 12 Pit of Consciousness - Live, 13 Home Back - Live, 14 Words of Wisdom - Live, 15 Pisces - Live, 16 Captain Clock - Live, 17 Outro - Live;US
2020-11-26;album;3pXlhyuRkiqEvZVhcTBxxL;Alive in Melbourne (Live);2020-11-20;31;Napalm Records;https://i.scdn.co/image/ab67616d0000b2737d58ee3d492d5b3c5fb01060;7o6cOczXTB8ioTAAJTbESf;Jinjer;1 Intro - Live, 2 Teacher, Teacher! - Live, 3 Sit Stay Roll Over - Live, 4 Ape - Live, 5 Judgement (& Punishment) - Live, 6 I Speak Astronomy - Live, 7 Who Is Gonna Be the One - Live, 8 Noah - Live, 9 Retrospection - Live, 10 Perennial - Live, 11 On The Top - Live, 12 Pit of Consciousness - Live, 13 Home Back - Live, 14 Words of Wisdom - Live, 15 Pisces - Live, 16 Captain Clock - Live, 17 Outro - Live;US
2020-11-27;album;3pXlhyuRkiqEvZVhcTBxxL;Alive in Melbourne (Live);2020-11-20;32;Napalm Records;https://i.scdn.co/image/ab67616d0000b2737d58ee3d492d5b3c5fb01060;7o6cOczXTB8ioTAAJTbESf;Jinjer;1 Intro - Live, 2 Teacher, Teacher! - Live, 3 Sit Stay Roll Over - Live, 4 Ape - Live, 5 Judgement (& Punishment) - Live, 6 I Speak Astronomy - Live, 7 Who Is Gonna Be the One - Live, 8 Noah - Live, 9 Retrospection - Live, 10 Perennial - Live, 11 On The Top - Live, 12 Pit of Consciousness - Live, 13 Home Back - Live, 14 Words of Wisdom - Live, 15 Pisces - Live, 16 Captain Clock - Live, 17 Outro - Live;US
2020-11-28;album;3pXlhyuRkiqEvZVhcTBxxL;Alive in Melbourne (Live);2020-11-20;33;Napalm Records;https://i.scdn.co/image/ab67616d0000b2737d58ee3d492d5b3c5fb01060;7o6cOczXTB8ioTAAJTbESf;Jinjer;1 Intro - Live, 2 Teacher, Teacher! - Live, 3 Sit Stay Roll Over - Live, 4 Ape - Live, 5 Judgement (& Punishment) - Live, 6 I Speak Astronomy - Live, 7 Who Is Gonna Be the One - Live, 8 Noah - Live, 9 Retrospection - Live, 10 Perennial - Live, 11 On The Top - Live, 12 Pit of Consciousness - Live, 13 Home Back - Live, 14 Words of Wisdom - Live, 15 Pisces - Live, 16 Captain Clock - Live, 17 Outro - Live;US
2020-11-29;album;3pXlhyuRkiqEvZVhcTBxxL;Alive in Melbourne (Live);2020-11-20;33;Napalm Records;https://i.scdn.co/image/ab67616d0000b2737d58ee3d492d5b3c5fb01060;7o6cOczXTB8ioTAAJTbESf;Jinjer;1 Intro - Live, 2 Teacher, Teacher! - Live, 3 Sit Stay Roll Over - Live, 4 Ape - Live, 5 Judgement (& Punishment) - Live, 6 I Speak Astronomy - Live, 7 Who Is Gonna Be the One - Live, 8 Noah - Live, 9 Retrospection - Live, 10 Perennial - Live, 11 On The Top - Live, 12 Pit of Consciousness - Live, 13 Home Back - Live, 14 Words of Wisdom - Live, 15 Pisces - Live, 16 Captain Clock - Live, 17 Outro - Live;US
2020-11-30;album;3pXlhyuRkiqEvZVhcTBxxL;Alive in Melbourne (Live);2020-11-20;34;Napalm Records;https://i.scdn.co/image/ab67616d0000b2737d58ee3d492d5b3c5fb01060;7o6cOczXTB8ioTAAJTbESf;Jinjer;1 Intro - Live, 2 Teacher, Teacher! - Live, 3 Sit Stay Roll Over - Live, 4 Ape - Live, 5 Judgement (& Punishment) - Live, 6 I Speak Astronomy - Live, 7 Who Is Gonna Be the One - Live, 8 Noah - Live, 9 Retrospection - Live, 10 Perennial - Live, 11 On The Top - Live, 12 Pit of Consciousness - Live, 13 Home Back - Live, 14 Words of Wisdom - Live, 15 Pisces - Live, 16 Captain Clock - Live, 17 Outro - Live;US
2020-12-01;album;3pXlhyuRkiqEvZVhcTBxxL;Alive in Melbourne (Live);2020-11-20;34;Napalm Records;https://i.scdn.co/image/ab67616d0000b2737d58ee3d492d5b3c5fb01060;7o6cOczXTB8ioTAAJTbESf;Jinjer;1 Intro - Live, 2 Teacher, Teacher! - Live, 3 Sit Stay Roll Over - Live, 4 Ape - Live, 5 Judgement (& Punishment) - Live, 6 I Speak Astronomy - Live, 7 Who Is Gonna Be the One - Live, 8 Noah - Live, 9 Retrospection - Live, 10 Perennial - Live, 11 On The Top - Live, 12 Pit of Consciousness - Live, 13 Home Back - Live, 14 Words of Wisdom - Live, 15 Pisces - Live, 16 Captain Clock - Live, 17 Outro - Live;US
2020-12-02;album;3pXlhyuRkiqEvZVhcTBxxL;Alive in Melbourne (Live);2020-11-20;34;Napalm Records;https://i.scdn.co/image/ab67616d0000b2737d58ee3d492d5b3c5fb01060;7o6cOczXTB8ioTAAJTbESf;Jinjer;1 Intro - Live, 2 Teacher, Teacher! - Live, 3 Sit Stay Roll Over - Live, 4 Ape - Live, 5 Judgement (& Punishment) - Live, 6 I Speak Astronomy - Live, 7 Who Is Gonna Be the One - Live, 8 Noah - Live, 9 Retrospection - Live, 10 Perennial - Live, 11 On The Top - Live, 12 Pit of Consciousness - Live, 13 Home Back - Live, 14 Words of Wisdom - Live, 15 Pisces - Live, 16 Captain Clock - Live, 17 Outro - Live;US
2020-12-03;album;3pXlhyuRkiqEvZVhcTBxxL;Alive in Melbourne (Live);2020-11-20;35;Napalm Records;https://i.scdn.co/image/ab67616d0000b2737d58ee3d492d5b3c5fb01060;7o6cOczXTB8ioTAAJTbESf;Jinjer;1 Intro - Live, 2 Teacher, Teacher! - Live, 3 Sit Stay Roll Over - Live, 4 Ape - Live, 5 Judgement (& Punishment) - Live, 6 I Speak Astronomy - Live, 7 Who Is Gonna Be the One - Live, 8 Noah - Live, 9 Retrospection - Live, 10 Perennial - Live, 11 On The Top - Live, 12 Pit of Consciousness - Live, 13 Home Back - Live, 14 Words of Wisdom - Live, 15 Pisces - Live, 16 Captain Clock - Live, 17 Outro - Live;US
2020-12-04;album;3pXlhyuRkiqEvZVhcTBxxL;Alive in Melbourne (Live);2020-11-20;35;Napalm Records;https://i.scdn.co/image/ab67616d0000b2737d58ee3d492d5b3c5fb01060;7o6cOczXTB8ioTAAJTbESf;Jinjer;1 Intro - Live, 2 Teacher, Teacher! - Live, 3 Sit Stay Roll Over - Live, 4 Ape - Live, 5 Judgement (& Punishment) - Live, 6 I Speak Astronomy - Live, 7 Who Is Gonna Be the One - Live, 8 Noah - Live, 9 Retrospection - Live, 10 Perennial - Live, 11 On The Top - Live, 12 Pit of Consciousness - Live, 13 Home Back - Live, 14 Words of Wisdom - Live, 15 Pisces - Live, 16 Captain Clock - Live, 17 Outro - Live;US
2020-12-05;album;3pXlhyuRkiqEvZVhcTBxxL;Alive in Melbourne (Live);2020-11-20;35;Napalm Records;https://i.scdn.co/image/ab67616d0000b2737d58ee3d492d5b3c5fb01060;7o6cOczXTB8ioTAAJTbESf;Jinjer;1 Intro - Live, 2 Teacher, Teacher! - Live, 3 Sit Stay Roll Over - Live, 4 Ape - Live, 5 Judgement (& Punishment) - Live, 6 I Speak Astronomy - Live, 7 Who Is Gonna Be the One - Live, 8 Noah - Live, 9 Retrospection - Live, 10 Perennial - Live, 11 On The Top - Live, 12 Pit of Consciousness - Live, 13 Home Back - Live, 14 Words of Wisdom - Live, 15 Pisces - Live, 16 Captain Clock - Live, 17 Outro - Live;US
2020-12-06;album;3pXlhyuRkiqEvZVhcTBxxL;Alive in Melbourne (Live);2020-11-20;35;Napalm Records;https://i.scdn.co/image/ab67616d0000b2737d58ee3d492d5b3c5fb01060;7o6cOczXTB8ioTAAJTbESf;Jinjer;1 Intro - Live, 2 Teacher, Teacher! - Live, 3 Sit Stay Roll Over - Live, 4 Ape - Live, 5 Judgement (& Punishment) - Live, 6 I Speak Astronomy - Live, 7 Who Is Gonna Be the One - Live, 8 Noah - Live, 9 Retrospection - Live, 10 Perennial - Live, 11 On The Top - Live, 12 Pit of Consciousness - Live, 13 Home Back - Live, 14 Words of Wisdom - Live, 15 Pisces - Live, 16 Captain Clock - Live, 17 Outro - Live;US
2020-12-07;album;3pXlhyuRkiqEvZVhcTBxxL;Alive in Melbourne (Live);2020-11-20;36;Napalm Records;https://i.scdn.co/image/ab67616d0000b2737d58ee3d492d5b3c5fb01060;7o6cOczXTB8ioTAAJTbESf;Jinjer;1 Intro - Live, 2 Teacher, Teacher! - Live, 3 Sit Stay Roll Over - Live, 4 Ape - Live, 5 Judgement (& Punishment) - Live, 6 I Speak Astronomy - Live, 7 Who Is Gonna Be the One - Live, 8 Noah - Live, 9 Retrospection - Live, 10 Perennial - Live, 11 On The Top - Live, 12 Pit of Consciousness - Live, 13 Home Back - Live, 14 Words of Wisdom - Live, 15 Pisces - Live, 16 Captain Clock - Live, 17 Outro - Live;US
2020-12-08;album;3pXlhyuRkiqEvZVhcTBxxL;Alive in Melbourne (Live);2020-11-20;36;Napalm Records;https://i.scdn.co/image/ab67616d0000b2737d58ee3d492d5b3c5fb01060;7o6cOczXTB8ioTAAJTbESf;Jinjer;1 Intro - Live, 2 Teacher, Teacher! - Live, 3 Sit Stay Roll Over - Live, 4 Ape - Live, 5 Judgement (& Punishment) - Live, 6 I Speak Astronomy - Live, 7 Who Is Gonna Be the One - Live, 8 Noah - Live, 9 Retrospection - Live, 10 Perennial - Live, 11 On The Top - Live, 12 Pit of Consciousness - Live, 13 Home Back - Live, 14 Words of Wisdom - Live, 15 Pisces - Live, 16 Captain Clock - Live, 17 Outro - Live;US
2020-12-09;album;3pXlhyuRkiqEvZVhcTBxxL;Alive in Melbourne (Live);2020-11-20;36;Napalm Records;https://i.scdn.co/image/ab67616d0000b2737d58ee3d492d5b3c5fb01060;7o6cOczXTB8ioTAAJTbESf;Jinjer;1 Intro - Live, 2 Teacher, Teacher! - Live, 3 Sit Stay Roll Over - Live, 4 Ape - Live, 5 Judgement (& Punishment) - Live, 6 I Speak Astronomy - Live, 7 Who Is Gonna Be the One - Live, 8 Noah - Live, 9 Retrospection - Live, 10 Perennial - Live, 11 On The Top - Live, 12 Pit of Consciousness - Live, 13 Home Back - Live, 14 Words of Wisdom - Live, 15 Pisces - Live, 16 Captain Clock - Live, 17 Outro - Live;US
