album_date_extract;album_type;album_id;album_name;album_release_date;album_popularity;album_label;album_image;artist_id;artist_name;tracks;available_markets
2020-11-30;single;498o00ziIIzjYZN8QuLam4;Pretty Little Roses;2020-11-27;21;Strange Fruits;https://i.scdn.co/image/ab67616d0000b2736e7a5e534aaf3626313ff89a;5k3Cw8TfLQt40L5dbqxJKD;Formal Chicken;1 Pretty Little Roses;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-01;single;498o00ziIIzjYZN8QuLam4;Pretty Little Roses;2020-11-27;26;Strange Fruits;https://i.scdn.co/image/ab67616d0000b2736e7a5e534aaf3626313ff89a;5k3Cw8TfLQt40L5dbqxJKD;Formal Chicken;1 Pretty Little Roses;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-02;single;498o00ziIIzjYZN8QuLam4;Pretty Little Roses;2020-11-27;30;Strange Fruits;https://i.scdn.co/image/ab67616d0000b2736e7a5e534aaf3626313ff89a;5k3Cw8TfLQt40L5dbqxJKD;Formal Chicken;1 Pretty Little Roses;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-03;single;498o00ziIIzjYZN8QuLam4;Pretty Little Roses;2020-11-27;32;Strange Fruits;https://i.scdn.co/image/ab67616d0000b2736e7a5e534aaf3626313ff89a;5k3Cw8TfLQt40L5dbqxJKD;Formal Chicken;1 Pretty Little Roses;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-04;single;498o00ziIIzjYZN8QuLam4;Pretty Little Roses;2020-11-27;34;Strange Fruits;https://i.scdn.co/image/ab67616d0000b2736e7a5e534aaf3626313ff89a;5k3Cw8TfLQt40L5dbqxJKD;Formal Chicken;1 Pretty Little Roses;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-05;single;498o00ziIIzjYZN8QuLam4;Pretty Little Roses;2020-11-27;36;Strange Fruits;https://i.scdn.co/image/ab67616d0000b2736e7a5e534aaf3626313ff89a;5k3Cw8TfLQt40L5dbqxJKD;Formal Chicken;1 Pretty Little Roses;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-06;single;498o00ziIIzjYZN8QuLam4;Pretty Little Roses;2020-11-27;37;Strange Fruits;https://i.scdn.co/image/ab67616d0000b2736e7a5e534aaf3626313ff89a;5k3Cw8TfLQt40L5dbqxJKD;Formal Chicken;1 Pretty Little Roses;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-07;single;498o00ziIIzjYZN8QuLam4;Pretty Little Roses;2020-11-27;38;Strange Fruits;https://i.scdn.co/image/ab67616d0000b2736e7a5e534aaf3626313ff89a;5k3Cw8TfLQt40L5dbqxJKD;Formal Chicken;1 Pretty Little Roses;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-08;single;498o00ziIIzjYZN8QuLam4;Pretty Little Roses;2020-11-27;38;Strange Fruits;https://i.scdn.co/image/ab67616d0000b2736e7a5e534aaf3626313ff89a;5k3Cw8TfLQt40L5dbqxJKD;Formal Chicken;1 Pretty Little Roses;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-09;single;498o00ziIIzjYZN8QuLam4;Pretty Little Roses;2020-11-27;39;Strange Fruits;https://i.scdn.co/image/ab67616d0000b2736e7a5e534aaf3626313ff89a;5k3Cw8TfLQt40L5dbqxJKD;Formal Chicken;1 Pretty Little Roses;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
