album_date_extract;album_type;album_id;album_name;album_release_date;album_popularity;album_label;album_image;artist_id;artist_name;tracks;available_markets
2020-11-24;album;4DifEg0usPQvzxk6K9H04Z;Q.E.D;2020-11-18;36;Sony Music Labels Inc.;https://i.scdn.co/image/ab67616d0000b273926909699c1214051c7a9937;1CWmF1EcrKoWIbZt9Ivfg2;BLUE ENCOUNT;1 STAY HOPE, 2 バッドパラドックス, 3 ポラリス, 4 FREEDOM, 5 棘, 6 VOLCANO DANCE, 7 HAPPY ENDING STORY, 8 あなたへ, 9 ユメミグサ, 10 ハミングバード, 11 喝采;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-25;album;4DifEg0usPQvzxk6K9H04Z;Q.E.D;2020-11-18;38;Sony Music Labels Inc.;https://i.scdn.co/image/ab67616d0000b273926909699c1214051c7a9937;1CWmF1EcrKoWIbZt9Ivfg2;BLUE ENCOUNT;1 STAY HOPE, 2 バッドパラドックス, 3 ポラリス, 4 FREEDOM, 5 棘, 6 VOLCANO DANCE, 7 HAPPY ENDING STORY, 8 あなたへ, 9 ユメミグサ, 10 ハミングバード, 11 喝采;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-26;album;4DifEg0usPQvzxk6K9H04Z;Q.E.D;2020-11-18;40;Sony Music Labels Inc.;https://i.scdn.co/image/ab67616d0000b273926909699c1214051c7a9937;1CWmF1EcrKoWIbZt9Ivfg2;BLUE ENCOUNT;1 STAY HOPE, 2 バッドパラドックス, 3 ポラリス, 4 FREEDOM, 5 棘, 6 VOLCANO DANCE, 7 HAPPY ENDING STORY, 8 あなたへ, 9 ユメミグサ, 10 ハミングバード, 11 喝采;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-27;album;4DifEg0usPQvzxk6K9H04Z;Q.E.D;2020-11-18;41;Sony Music Labels Inc.;https://i.scdn.co/image/ab67616d0000b273926909699c1214051c7a9937;1CWmF1EcrKoWIbZt9Ivfg2;BLUE ENCOUNT;1 STAY HOPE, 2 バッドパラドックス, 3 ポラリス, 4 FREEDOM, 5 棘, 6 VOLCANO DANCE, 7 HAPPY ENDING STORY, 8 あなたへ, 9 ユメミグサ, 10 ハミングバード, 11 喝采;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-28;album;4DifEg0usPQvzxk6K9H04Z;Q.E.D;2020-11-18;43;Sony Music Labels Inc.;https://i.scdn.co/image/ab67616d0000b273926909699c1214051c7a9937;1CWmF1EcrKoWIbZt9Ivfg2;BLUE ENCOUNT;1 STAY HOPE, 2 バッドパラドックス, 3 ポラリス, 4 FREEDOM, 5 棘, 6 VOLCANO DANCE, 7 HAPPY ENDING STORY, 8 あなたへ, 9 ユメミグサ, 10 ハミングバード, 11 喝采;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-29;album;4DifEg0usPQvzxk6K9H04Z;Q.E.D;2020-11-18;44;Sony Music Labels Inc.;https://i.scdn.co/image/ab67616d0000b273926909699c1214051c7a9937;1CWmF1EcrKoWIbZt9Ivfg2;BLUE ENCOUNT;1 STAY HOPE, 2 バッドパラドックス, 3 ポラリス, 4 FREEDOM, 5 棘, 6 VOLCANO DANCE, 7 HAPPY ENDING STORY, 8 あなたへ, 9 ユメミグサ, 10 ハミングバード, 11 喝采;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-30;album;4DifEg0usPQvzxk6K9H04Z;Q.E.D;2020-11-18;45;Sony Music Labels Inc.;https://i.scdn.co/image/ab67616d0000b273926909699c1214051c7a9937;1CWmF1EcrKoWIbZt9Ivfg2;BLUE ENCOUNT;1 STAY HOPE, 2 バッドパラドックス, 3 ポラリス, 4 FREEDOM, 5 棘, 6 VOLCANO DANCE, 7 HAPPY ENDING STORY, 8 あなたへ, 9 ユメミグサ, 10 ハミングバード, 11 喝采;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-01;album;4DifEg0usPQvzxk6K9H04Z;Q.E.D;2020-11-18;46;Sony Music Labels Inc.;https://i.scdn.co/image/ab67616d0000b273926909699c1214051c7a9937;1CWmF1EcrKoWIbZt9Ivfg2;BLUE ENCOUNT;1 STAY HOPE, 2 バッドパラドックス, 3 ポラリス, 4 FREEDOM, 5 棘, 6 VOLCANO DANCE, 7 HAPPY ENDING STORY, 8 あなたへ, 9 ユメミグサ, 10 ハミングバード, 11 喝采;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-02;album;4DifEg0usPQvzxk6K9H04Z;Q.E.D;2020-11-18;47;Sony Music Labels Inc.;https://i.scdn.co/image/ab67616d0000b273926909699c1214051c7a9937;1CWmF1EcrKoWIbZt9Ivfg2;BLUE ENCOUNT;1 STAY HOPE, 2 バッドパラドックス, 3 ポラリス, 4 FREEDOM, 5 棘, 6 VOLCANO DANCE, 7 HAPPY ENDING STORY, 8 あなたへ, 9 ユメミグサ, 10 ハミングバード, 11 喝采;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-03;album;4DifEg0usPQvzxk6K9H04Z;Q.E.D;2020-11-18;47;Sony Music Labels Inc.;https://i.scdn.co/image/ab67616d0000b273926909699c1214051c7a9937;1CWmF1EcrKoWIbZt9Ivfg2;BLUE ENCOUNT;1 STAY HOPE, 2 バッドパラドックス, 3 ポラリス, 4 FREEDOM, 5 棘, 6 VOLCANO DANCE, 7 HAPPY ENDING STORY, 8 あなたへ, 9 ユメミグサ, 10 ハミングバード, 11 喝采;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
