album_date_extract;album_type;album_id;album_name;album_release_date;album_popularity;album_label;album_image;artist_id;artist_name;tracks;available_markets
2020-11-30;single;4HbgSDhY7du72um4tmMpgc;'Tis The Season;2020-11-27;13;UMG Recordings, Inc.;https://i.scdn.co/image/ab67616d0000b273f1fb734f7dc74ff78c444aa5;4mxWe1mtYIYfP040G38yvS;Alan Jackson;1 Have Yourself A Merry Little Christmas, 2 The Christmas Song, 3 Jingle Bells, 4 Let It Be Christmas, 5 Winter Wonderland, 6 Santa Claus Is Comin' To Town;AE, AL, AR, AT, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JP, KW, LB, LT, LU, LV, MA, ME, MK, MT, MX, MY, NI, NL, NO, OM, PA, PE, PH, PL, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-01;single;4HbgSDhY7du72um4tmMpgc;'Tis The Season;2020-11-27;20;UMG Recordings, Inc.;https://i.scdn.co/image/ab67616d0000b273f1fb734f7dc74ff78c444aa5;4mxWe1mtYIYfP040G38yvS;Alan Jackson;1 Have Yourself A Merry Little Christmas, 2 The Christmas Song, 3 Jingle Bells, 4 Let It Be Christmas, 5 Winter Wonderland, 6 Santa Claus Is Comin' To Town;AE, AL, AR, AT, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JP, KW, LB, LT, LU, LV, MA, ME, MK, MT, MX, MY, NI, NL, NO, OM, PA, PE, PH, PL, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-02;single;4HbgSDhY7du72um4tmMpgc;'Tis The Season;2020-11-27;24;UMG Recordings, Inc.;https://i.scdn.co/image/ab67616d0000b273f1fb734f7dc74ff78c444aa5;4mxWe1mtYIYfP040G38yvS;Alan Jackson;1 Have Yourself A Merry Little Christmas, 2 The Christmas Song, 3 Jingle Bells, 4 Let It Be Christmas, 5 Winter Wonderland, 6 Santa Claus Is Comin' To Town;AE, AL, AR, AT, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JP, KW, LB, LT, LU, LV, MA, ME, MK, MT, MX, MY, NI, NL, NO, OM, PA, PE, PH, PL, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-03;single;4HbgSDhY7du72um4tmMpgc;'Tis The Season;2020-11-27;26;UMG Recordings, Inc.;https://i.scdn.co/image/ab67616d0000b273f1fb734f7dc74ff78c444aa5;4mxWe1mtYIYfP040G38yvS;Alan Jackson;1 Have Yourself A Merry Little Christmas, 2 The Christmas Song, 3 Jingle Bells, 4 Let It Be Christmas, 5 Winter Wonderland, 6 Santa Claus Is Comin' To Town;AE, AL, AR, AT, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JP, KW, LB, LT, LU, LV, MA, ME, MK, MT, MX, MY, NI, NL, NO, OM, PA, PE, PH, PL, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-04;single;4HbgSDhY7du72um4tmMpgc;'Tis The Season;2020-11-27;28;UMG Recordings, Inc.;https://i.scdn.co/image/ab67616d0000b273f1fb734f7dc74ff78c444aa5;4mxWe1mtYIYfP040G38yvS;Alan Jackson;1 Have Yourself A Merry Little Christmas, 2 The Christmas Song, 3 Jingle Bells, 4 Let It Be Christmas, 5 Winter Wonderland, 6 Santa Claus Is Comin' To Town;AE, AL, AR, AT, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JP, KW, LB, LT, LU, LV, MA, ME, MK, MT, MX, MY, NI, NL, NO, OM, PA, PE, PH, PL, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-05;single;4HbgSDhY7du72um4tmMpgc;'Tis The Season;2020-11-27;30;UMG Recordings, Inc.;https://i.scdn.co/image/ab67616d0000b273f1fb734f7dc74ff78c444aa5;4mxWe1mtYIYfP040G38yvS;Alan Jackson;1 Have Yourself A Merry Little Christmas, 2 The Christmas Song, 3 Jingle Bells, 4 Let It Be Christmas, 5 Winter Wonderland, 6 Santa Claus Is Comin' To Town;AE, AL, AR, AT, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JP, KW, LB, LT, LU, LV, MA, ME, MK, MT, MX, MY, NI, NL, NO, OM, PA, PE, PH, PL, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-06;single;4HbgSDhY7du72um4tmMpgc;'Tis The Season;2020-11-27;31;UMG Recordings, Inc.;https://i.scdn.co/image/ab67616d0000b273f1fb734f7dc74ff78c444aa5;4mxWe1mtYIYfP040G38yvS;Alan Jackson;1 Have Yourself A Merry Little Christmas, 2 The Christmas Song, 3 Jingle Bells, 4 Let It Be Christmas, 5 Winter Wonderland, 6 Santa Claus Is Comin' To Town;AE, AL, AR, AT, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JP, KW, LB, LT, LU, LV, MA, ME, MK, MT, MX, MY, NI, NL, NO, OM, PA, PE, PH, PL, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-07;single;4HbgSDhY7du72um4tmMpgc;'Tis The Season;2020-11-27;32;UMG Recordings, Inc.;https://i.scdn.co/image/ab67616d0000b273f1fb734f7dc74ff78c444aa5;4mxWe1mtYIYfP040G38yvS;Alan Jackson;1 Have Yourself A Merry Little Christmas, 2 The Christmas Song, 3 Jingle Bells, 4 Let It Be Christmas, 5 Winter Wonderland, 6 Santa Claus Is Comin' To Town;AE, AL, AR, AT, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JP, KW, LB, LT, LU, LV, MA, ME, MK, MT, MX, MY, NI, NL, NO, OM, PA, PE, PH, PL, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-08;single;4HbgSDhY7du72um4tmMpgc;'Tis The Season;2020-11-27;33;UMG Recordings, Inc.;https://i.scdn.co/image/ab67616d0000b273f1fb734f7dc74ff78c444aa5;4mxWe1mtYIYfP040G38yvS;Alan Jackson;1 Have Yourself A Merry Little Christmas, 2 The Christmas Song, 3 Jingle Bells, 4 Let It Be Christmas, 5 Winter Wonderland, 6 Santa Claus Is Comin' To Town;AE, AL, AR, AT, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JP, KW, LB, LT, LU, LV, MA, ME, MK, MT, MX, MY, NI, NL, NO, OM, PA, PE, PH, PL, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-09;single;4HbgSDhY7du72um4tmMpgc;'Tis The Season;2020-11-27;34;UMG Recordings, Inc.;https://i.scdn.co/image/ab67616d0000b273f1fb734f7dc74ff78c444aa5;4mxWe1mtYIYfP040G38yvS;Alan Jackson;1 Have Yourself A Merry Little Christmas, 2 The Christmas Song, 3 Jingle Bells, 4 Let It Be Christmas, 5 Winter Wonderland, 6 Santa Claus Is Comin' To Town;AE, AL, AR, AT, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JP, KW, LB, LT, LU, LV, MA, ME, MK, MT, MX, MY, NI, NL, NO, OM, PA, PE, PH, PL, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
