album_date_extract;album_type;album_id;album_name;album_release_date;album_popularity;album_label;album_image;artist_id;artist_name;tracks;available_markets
2020-11-24;album;4ViBd7m0LgwMQYnahRcjH1;Harmony;2020-11-20;51;Reprise;https://i.scdn.co/image/ab67616d0000b273511021dfcc2a0f967573a4bc;6cXMpsP9x0SH4kFfMyVezF;Josh Groban;1 The World We Knew (Over and Over), 2 Angels, 3 Celebrate Me Home, 4 Shape of My Heart (Duet with Leslie Odom Jr.), 5 Your Face, 6 Both Sides Now (Duet with Sara Bareilles), 7 She, 8 The Impossible Dream, 9 The First Time I Ever Saw Your Face, 10 It's Now or Never, 11 I Can't Make You Love Me, 12 The Fullest (feat. Kirk Franklin);AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-25;album;4ViBd7m0LgwMQYnahRcjH1;Harmony;2020-11-20;53;Reprise;https://i.scdn.co/image/ab67616d0000b273511021dfcc2a0f967573a4bc;6cXMpsP9x0SH4kFfMyVezF;Josh Groban;1 The World We Knew (Over and Over), 2 Angels, 3 Celebrate Me Home, 4 Shape of My Heart (Duet with Leslie Odom Jr.), 5 Your Face, 6 Both Sides Now (Duet with Sara Bareilles), 7 She, 8 The Impossible Dream, 9 The First Time I Ever Saw Your Face, 10 It's Now or Never, 11 I Can't Make You Love Me, 12 The Fullest (feat. Kirk Franklin);AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-26;album;4ViBd7m0LgwMQYnahRcjH1;Harmony;2020-11-20;54;Reprise;https://i.scdn.co/image/ab67616d0000b273511021dfcc2a0f967573a4bc;6cXMpsP9x0SH4kFfMyVezF;Josh Groban;1 The World We Knew (Over and Over), 2 Angels, 3 Celebrate Me Home, 4 Shape of My Heart (Duet with Leslie Odom Jr.), 5 Your Face, 6 Both Sides Now (Duet with Sara Bareilles), 7 She, 8 The Impossible Dream, 9 The First Time I Ever Saw Your Face, 10 It's Now or Never, 11 I Can't Make You Love Me, 12 The Fullest (feat. Kirk Franklin);AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-27;album;4ViBd7m0LgwMQYnahRcjH1;Harmony;2020-11-20;55;Reprise;https://i.scdn.co/image/ab67616d0000b273511021dfcc2a0f967573a4bc;6cXMpsP9x0SH4kFfMyVezF;Josh Groban;1 The World We Knew (Over and Over), 2 Angels, 3 Celebrate Me Home, 4 Shape of My Heart (Duet with Leslie Odom Jr.), 5 Your Face, 6 Both Sides Now (Duet with Sara Bareilles), 7 She, 8 The Impossible Dream, 9 The First Time I Ever Saw Your Face, 10 It's Now or Never, 11 I Can't Make You Love Me, 12 The Fullest (feat. Kirk Franklin);AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-28;album;4ViBd7m0LgwMQYnahRcjH1;Harmony;2020-11-20;55;Reprise;https://i.scdn.co/image/ab67616d0000b273511021dfcc2a0f967573a4bc;6cXMpsP9x0SH4kFfMyVezF;Josh Groban;1 The World We Knew (Over and Over), 2 Angels, 3 Celebrate Me Home, 4 Shape of My Heart (Duet with Leslie Odom Jr.), 5 Your Face, 6 Both Sides Now (Duet with Sara Bareilles), 7 She, 8 The Impossible Dream, 9 The First Time I Ever Saw Your Face, 10 It's Now or Never, 11 I Can't Make You Love Me, 12 The Fullest (feat. Kirk Franklin);AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-29;album;4ViBd7m0LgwMQYnahRcjH1;Harmony;2020-11-20;56;Reprise;https://i.scdn.co/image/ab67616d0000b273511021dfcc2a0f967573a4bc;6cXMpsP9x0SH4kFfMyVezF;Josh Groban;1 The World We Knew (Over and Over), 2 Angels, 3 Celebrate Me Home, 4 Shape of My Heart (Duet with Leslie Odom Jr.), 5 Your Face, 6 Both Sides Now (Duet with Sara Bareilles), 7 She, 8 The Impossible Dream, 9 The First Time I Ever Saw Your Face, 10 It's Now or Never, 11 I Can't Make You Love Me, 12 The Fullest (feat. Kirk Franklin);AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-30;album;4ViBd7m0LgwMQYnahRcjH1;Harmony;2020-11-20;56;Reprise;https://i.scdn.co/image/ab67616d0000b273511021dfcc2a0f967573a4bc;6cXMpsP9x0SH4kFfMyVezF;Josh Groban;1 The World We Knew (Over and Over), 2 Angels, 3 Celebrate Me Home, 4 Shape of My Heart (Duet with Leslie Odom Jr.), 5 Your Face, 6 Both Sides Now (Duet with Sara Bareilles), 7 She, 8 The Impossible Dream, 9 The First Time I Ever Saw Your Face, 10 It's Now or Never, 11 I Can't Make You Love Me, 12 The Fullest (feat. Kirk Franklin);AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-01;album;4ViBd7m0LgwMQYnahRcjH1;Harmony;2020-11-20;56;Reprise;https://i.scdn.co/image/ab67616d0000b273511021dfcc2a0f967573a4bc;6cXMpsP9x0SH4kFfMyVezF;Josh Groban;1 The World We Knew (Over and Over), 2 Angels, 3 Celebrate Me Home, 4 Shape of My Heart (Duet with Leslie Odom Jr.), 5 Your Face, 6 Both Sides Now (Duet with Sara Bareilles), 7 She, 8 The Impossible Dream, 9 The First Time I Ever Saw Your Face, 10 It's Now or Never, 11 I Can't Make You Love Me, 12 The Fullest (feat. Kirk Franklin);AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-02;album;4ViBd7m0LgwMQYnahRcjH1;Harmony;2020-11-20;57;Reprise;https://i.scdn.co/image/ab67616d0000b273511021dfcc2a0f967573a4bc;6cXMpsP9x0SH4kFfMyVezF;Josh Groban;1 The World We Knew (Over and Over), 2 Angels, 3 Celebrate Me Home, 4 Shape of My Heart (Duet with Leslie Odom Jr.), 5 Your Face, 6 Both Sides Now (Duet with Sara Bareilles), 7 She, 8 The Impossible Dream, 9 The First Time I Ever Saw Your Face, 10 It's Now or Never, 11 I Can't Make You Love Me, 12 The Fullest (feat. Kirk Franklin);AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-03;album;4ViBd7m0LgwMQYnahRcjH1;Harmony;2020-11-20;57;Reprise;https://i.scdn.co/image/ab67616d0000b273511021dfcc2a0f967573a4bc;6cXMpsP9x0SH4kFfMyVezF;Josh Groban;1 The World We Knew (Over and Over), 2 Angels, 3 Celebrate Me Home, 4 Shape of My Heart (Duet with Leslie Odom Jr.), 5 Your Face, 6 Both Sides Now (Duet with Sara Bareilles), 7 She, 8 The Impossible Dream, 9 The First Time I Ever Saw Your Face, 10 It's Now or Never, 11 I Can't Make You Love Me, 12 The Fullest (feat. Kirk Franklin);AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
