album_date_extract;album_type;album_id;album_name;album_release_date;album_popularity;album_label;album_image;artist_id;artist_name;tracks;available_markets
2020-11-30;album;4anvaclk265tHqBAmeiz2g;Freestyle Hip-Hop Beats (Type Beats);2020-11-27;15;Lofi HipHop;https://i.scdn.co/image/ab67616d0000b273490726d2a19f04973fdf97bb;7JFq5K4lQ8IBdsf9I7YYwB;Beats De Rap;1 Boom Bap Lo Fi, 2 A Boogie With No Hoodie, 3 Potugal Trap Beats, 4 Lil Tjay Style Beat, 5 Guitar Trap Warrior, 6 Bass Boosted HD, 7 Meek Mill Type Beat, 8 Trap Party Delights, 9 NLE Choppa Instrumental, 10 Lost In Trap;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-01;album;4anvaclk265tHqBAmeiz2g;Freestyle Hip-Hop Beats (Type Beats);2020-11-27;20;Lofi HipHop;https://i.scdn.co/image/ab67616d0000b273490726d2a19f04973fdf97bb;7JFq5K4lQ8IBdsf9I7YYwB;Beats De Rap;1 Boom Bap Lo Fi, 2 A Boogie With No Hoodie, 3 Potugal Trap Beats, 4 Lil Tjay Style Beat, 5 Guitar Trap Warrior, 6 Bass Boosted HD, 7 Meek Mill Type Beat, 8 Trap Party Delights, 9 NLE Choppa Instrumental, 10 Lost In Trap;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-02;album;4anvaclk265tHqBAmeiz2g;Freestyle Hip-Hop Beats (Type Beats);2020-11-27;22;Lofi HipHop;https://i.scdn.co/image/ab67616d0000b273490726d2a19f04973fdf97bb;7JFq5K4lQ8IBdsf9I7YYwB;Beats De Rap;1 Boom Bap Lo Fi, 2 A Boogie With No Hoodie, 3 Potugal Trap Beats, 4 Lil Tjay Style Beat, 5 Guitar Trap Warrior, 6 Bass Boosted HD, 7 Meek Mill Type Beat, 8 Trap Party Delights, 9 NLE Choppa Instrumental, 10 Lost In Trap;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-03;album;4anvaclk265tHqBAmeiz2g;Freestyle Hip-Hop Beats (Type Beats);2020-11-27;23;Lofi HipHop;https://i.scdn.co/image/ab67616d0000b273490726d2a19f04973fdf97bb;7JFq5K4lQ8IBdsf9I7YYwB;Beats De Rap;1 Boom Bap Lo Fi, 2 A Boogie With No Hoodie, 3 Potugal Trap Beats, 4 Lil Tjay Style Beat, 5 Guitar Trap Warrior, 6 Bass Boosted HD, 7 Meek Mill Type Beat, 8 Trap Party Delights, 9 NLE Choppa Instrumental, 10 Lost In Trap;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-04;album;4anvaclk265tHqBAmeiz2g;Freestyle Hip-Hop Beats (Type Beats);2020-11-27;24;Lofi HipHop;https://i.scdn.co/image/ab67616d0000b273490726d2a19f04973fdf97bb;7JFq5K4lQ8IBdsf9I7YYwB;Beats De Rap;1 Boom Bap Lo Fi, 2 A Boogie With No Hoodie, 3 Potugal Trap Beats, 4 Lil Tjay Style Beat, 5 Guitar Trap Warrior, 6 Bass Boosted HD, 7 Meek Mill Type Beat, 8 Trap Party Delights, 9 NLE Choppa Instrumental, 10 Lost In Trap;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-05;album;4anvaclk265tHqBAmeiz2g;Freestyle Hip-Hop Beats (Type Beats);2020-11-27;25;Lofi HipHop;https://i.scdn.co/image/ab67616d0000b273490726d2a19f04973fdf97bb;7JFq5K4lQ8IBdsf9I7YYwB;Beats De Rap;1 Boom Bap Lo Fi, 2 A Boogie With No Hoodie, 3 Potugal Trap Beats, 4 Lil Tjay Style Beat, 5 Guitar Trap Warrior, 6 Bass Boosted HD, 7 Meek Mill Type Beat, 8 Trap Party Delights, 9 NLE Choppa Instrumental, 10 Lost In Trap;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-06;album;4anvaclk265tHqBAmeiz2g;Freestyle Hip-Hop Beats (Type Beats);2020-11-27;25;Lofi HipHop;https://i.scdn.co/image/ab67616d0000b273490726d2a19f04973fdf97bb;7JFq5K4lQ8IBdsf9I7YYwB;Beats De Rap;1 Boom Bap Lo Fi, 2 A Boogie With No Hoodie, 3 Potugal Trap Beats, 4 Lil Tjay Style Beat, 5 Guitar Trap Warrior, 6 Bass Boosted HD, 7 Meek Mill Type Beat, 8 Trap Party Delights, 9 NLE Choppa Instrumental, 10 Lost In Trap;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-07;album;4anvaclk265tHqBAmeiz2g;Freestyle Hip-Hop Beats (Type Beats);2020-11-27;26;Lofi HipHop;https://i.scdn.co/image/ab67616d0000b273490726d2a19f04973fdf97bb;7JFq5K4lQ8IBdsf9I7YYwB;Beats De Rap;1 Boom Bap Lo Fi, 2 A Boogie With No Hoodie, 3 Potugal Trap Beats, 4 Lil Tjay Style Beat, 5 Guitar Trap Warrior, 6 Bass Boosted HD, 7 Meek Mill Type Beat, 8 Trap Party Delights, 9 NLE Choppa Instrumental, 10 Lost In Trap;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-08;album;4anvaclk265tHqBAmeiz2g;Freestyle Hip-Hop Beats (Type Beats);2020-11-27;26;Lofi HipHop;https://i.scdn.co/image/ab67616d0000b273490726d2a19f04973fdf97bb;7JFq5K4lQ8IBdsf9I7YYwB;Beats De Rap;1 Boom Bap Lo Fi, 2 A Boogie With No Hoodie, 3 Potugal Trap Beats, 4 Lil Tjay Style Beat, 5 Guitar Trap Warrior, 6 Bass Boosted HD, 7 Meek Mill Type Beat, 8 Trap Party Delights, 9 NLE Choppa Instrumental, 10 Lost In Trap;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-09;album;4anvaclk265tHqBAmeiz2g;Freestyle Hip-Hop Beats (Type Beats);2020-11-27;27;Lofi HipHop;https://i.scdn.co/image/ab67616d0000b273490726d2a19f04973fdf97bb;7JFq5K4lQ8IBdsf9I7YYwB;Beats De Rap;1 Boom Bap Lo Fi, 2 A Boogie With No Hoodie, 3 Potugal Trap Beats, 4 Lil Tjay Style Beat, 5 Guitar Trap Warrior, 6 Bass Boosted HD, 7 Meek Mill Type Beat, 8 Trap Party Delights, 9 NLE Choppa Instrumental, 10 Lost In Trap;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
