album_date_extract;album_type;album_id;album_name;album_release_date;album_popularity;album_label;album_image;artist_id;artist_name;tracks;available_markets
2020-11-24;album;4i6olxzWoJ27X15Cf8lmFD;McGraw Machine Hits 2013-2019;2020-11-20;43;Big Machine Records, LLC;https://i.scdn.co/image/ab67616d0000b27360f1cfb932cd837d15ee0adb;6roFdX1y5BYSbp60OTJWMd;Tim McGraw;1 How I'll Always Be, 2 Humble And Kind, 3 Top Of The World, 4 Diamond Rings And Old Barstools, 5 Shotgun Rider, 6 Nashville Without You, 7 Meanwhile Back At Mama's, 8 Southern Girl, 9 Highway Don't Care, 10 One Of Those Nights, 11 Truck Yeah, 12 Drive, 13 May We All, 14 Redneck Girl;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-25;album;4i6olxzWoJ27X15Cf8lmFD;McGraw Machine Hits 2013-2019;2020-11-20;44;Big Machine Records, LLC;https://i.scdn.co/image/ab67616d0000b27360f1cfb932cd837d15ee0adb;6roFdX1y5BYSbp60OTJWMd;Tim McGraw;1 How I'll Always Be, 2 Humble And Kind, 3 Top Of The World, 4 Diamond Rings And Old Barstools, 5 Shotgun Rider, 6 Nashville Without You, 7 Meanwhile Back At Mama's, 8 Southern Girl, 9 Highway Don't Care, 10 One Of Those Nights, 11 Truck Yeah, 12 Drive, 13 May We All, 14 Redneck Girl;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-26;compilation;4i6olxzWoJ27X15Cf8lmFD;McGraw Machine Hits 2013-2019;2020-11-20;45;Big Machine Records, LLC;https://i.scdn.co/image/ab67616d0000b27360f1cfb932cd837d15ee0adb;6roFdX1y5BYSbp60OTJWMd;Tim McGraw;1 How I'll Always Be, 2 Humble And Kind, 3 Top Of The World, 4 Diamond Rings And Old Barstools, 5 Shotgun Rider, 6 Nashville Without You, 7 Meanwhile Back At Mama's, 8 Southern Girl, 9 Highway Don't Care, 10 One Of Those Nights, 11 Truck Yeah, 12 Drive, 13 May We All, 14 Redneck Girl;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-27;compilation;4i6olxzWoJ27X15Cf8lmFD;McGraw Machine Hits 2013-2019;2020-11-20;46;Big Machine Records, LLC;https://i.scdn.co/image/ab67616d0000b27360f1cfb932cd837d15ee0adb;6roFdX1y5BYSbp60OTJWMd;Tim McGraw;1 How I'll Always Be, 2 Humble And Kind, 3 Top Of The World, 4 Diamond Rings And Old Barstools, 5 Shotgun Rider, 6 Nashville Without You, 7 Meanwhile Back At Mama's, 8 Southern Girl, 9 Highway Don't Care, 10 One Of Those Nights, 11 Truck Yeah, 12 Drive, 13 May We All, 14 Redneck Girl;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-28;compilation;4i6olxzWoJ27X15Cf8lmFD;McGraw Machine Hits 2013-2019;2020-11-20;47;Big Machine Records, LLC;https://i.scdn.co/image/ab67616d0000b27360f1cfb932cd837d15ee0adb;6roFdX1y5BYSbp60OTJWMd;Tim McGraw;1 How I'll Always Be, 2 Humble And Kind, 3 Top Of The World, 4 Diamond Rings And Old Barstools, 5 Shotgun Rider, 6 Nashville Without You, 7 Meanwhile Back At Mama's, 8 Southern Girl, 9 Highway Don't Care, 10 One Of Those Nights, 11 Truck Yeah, 12 Drive, 13 May We All, 14 Redneck Girl;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-29;compilation;4i6olxzWoJ27X15Cf8lmFD;McGraw Machine Hits 2013-2019;2020-11-20;47;Big Machine Records, LLC;https://i.scdn.co/image/ab67616d0000b27360f1cfb932cd837d15ee0adb;6roFdX1y5BYSbp60OTJWMd;Tim McGraw;1 How I'll Always Be, 2 Humble And Kind, 3 Top Of The World, 4 Diamond Rings And Old Barstools, 5 Shotgun Rider, 6 Nashville Without You, 7 Meanwhile Back At Mama's, 8 Southern Girl, 9 Highway Don't Care, 10 One Of Those Nights, 11 Truck Yeah, 12 Drive, 13 May We All, 14 Redneck Girl;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-30;compilation;4i6olxzWoJ27X15Cf8lmFD;McGraw Machine Hits 2013-2019;2020-11-20;47;Big Machine Records, LLC;https://i.scdn.co/image/ab67616d0000b27360f1cfb932cd837d15ee0adb;6roFdX1y5BYSbp60OTJWMd;Tim McGraw;1 How I'll Always Be, 2 Humble And Kind, 3 Top Of The World, 4 Diamond Rings And Old Barstools, 5 Shotgun Rider, 6 Nashville Without You, 7 Meanwhile Back At Mama's, 8 Southern Girl, 9 Highway Don't Care, 10 One Of Those Nights, 11 Truck Yeah, 12 Drive, 13 May We All, 14 Redneck Girl;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-01;compilation;4i6olxzWoJ27X15Cf8lmFD;McGraw Machine Hits 2013-2019;2020-11-20;48;Big Machine Records, LLC;https://i.scdn.co/image/ab67616d0000b27360f1cfb932cd837d15ee0adb;6roFdX1y5BYSbp60OTJWMd;Tim McGraw;1 How I'll Always Be, 2 Humble And Kind, 3 Top Of The World, 4 Diamond Rings And Old Barstools, 5 Shotgun Rider, 6 Nashville Without You, 7 Meanwhile Back At Mama's, 8 Southern Girl, 9 Highway Don't Care, 10 One Of Those Nights, 11 Truck Yeah, 12 Drive, 13 May We All, 14 Redneck Girl;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-02;compilation;4i6olxzWoJ27X15Cf8lmFD;McGraw Machine Hits 2013-2019;2020-11-20;48;Big Machine Records, LLC;https://i.scdn.co/image/ab67616d0000b27360f1cfb932cd837d15ee0adb;6roFdX1y5BYSbp60OTJWMd;Tim McGraw;1 How I'll Always Be, 2 Humble And Kind, 3 Top Of The World, 4 Diamond Rings And Old Barstools, 5 Shotgun Rider, 6 Nashville Without You, 7 Meanwhile Back At Mama's, 8 Southern Girl, 9 Highway Don't Care, 10 One Of Those Nights, 11 Truck Yeah, 12 Drive, 13 May We All, 14 Redneck Girl;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-03;compilation;4i6olxzWoJ27X15Cf8lmFD;McGraw Machine Hits 2013-2019;2020-11-20;48;Big Machine Records, LLC;https://i.scdn.co/image/ab67616d0000b27360f1cfb932cd837d15ee0adb;6roFdX1y5BYSbp60OTJWMd;Tim McGraw;1 How I'll Always Be, 2 Humble And Kind, 3 Top Of The World, 4 Diamond Rings And Old Barstools, 5 Shotgun Rider, 6 Nashville Without You, 7 Meanwhile Back At Mama's, 8 Southern Girl, 9 Highway Don't Care, 10 One Of Those Nights, 11 Truck Yeah, 12 Drive, 13 May We All, 14 Redneck Girl;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
