album_date_extract;album_type;album_id;album_name;album_release_date;album_popularity;album_label;album_image;artist_id;artist_name;tracks;available_markets
2020-11-30;album;4x62XoO9W0MfpYMujWG4Fu;Ocean Days, Vol 5;2020-11-27;0;The Nature Project;https://i.scdn.co/image/ab67616d0000b273daed516a2bf558d47c614e6c;1ZJbPwe4zKnUDRT7yi9dBC;Sounds of Nature Noise;1 Close Waves, 2 Beach Ocean Waves, 3 Pure Sandy Beach, 4 Slow Sea Waves, 5 Soft Ripples, 6 Soft Beach Splashing, 7 Beach Waves Against Rocks, 8 Sea Waves and Gentle Splashing, 9 Calm Waves and Rocks, 10 Ocean Nights;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-01;album;4x62XoO9W0MfpYMujWG4Fu;Ocean Days, Vol 5;2020-11-27;1;The Nature Project;https://i.scdn.co/image/ab67616d0000b273daed516a2bf558d47c614e6c;1ZJbPwe4zKnUDRT7yi9dBC;Sounds of Nature Noise;1 Close Waves, 2 Beach Ocean Waves, 3 Pure Sandy Beach, 4 Slow Sea Waves, 5 Soft Ripples, 6 Soft Beach Splashing, 7 Beach Waves Against Rocks, 8 Sea Waves and Gentle Splashing, 9 Calm Waves and Rocks, 10 Ocean Nights;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-02;album;4x62XoO9W0MfpYMujWG4Fu;Ocean Days, Vol 5;2020-11-27;1;The Nature Project;https://i.scdn.co/image/ab67616d0000b273daed516a2bf558d47c614e6c;1ZJbPwe4zKnUDRT7yi9dBC;Sounds of Nature Noise;1 Close Waves, 2 Beach Ocean Waves, 3 Pure Sandy Beach, 4 Slow Sea Waves, 5 Soft Ripples, 6 Soft Beach Splashing, 7 Beach Waves Against Rocks, 8 Sea Waves and Gentle Splashing, 9 Calm Waves and Rocks, 10 Ocean Nights;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-03;album;4x62XoO9W0MfpYMujWG4Fu;Ocean Days, Vol 5;2020-11-27;1;The Nature Project;https://i.scdn.co/image/ab67616d0000b273daed516a2bf558d47c614e6c;1ZJbPwe4zKnUDRT7yi9dBC;Sounds of Nature Noise;1 Close Waves, 2 Beach Ocean Waves, 3 Pure Sandy Beach, 4 Slow Sea Waves, 5 Soft Ripples, 6 Soft Beach Splashing, 7 Beach Waves Against Rocks, 8 Sea Waves and Gentle Splashing, 9 Calm Waves and Rocks, 10 Ocean Nights;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-04;album;4x62XoO9W0MfpYMujWG4Fu;Ocean Days, Vol 5;2020-11-27;2;The Nature Project;https://i.scdn.co/image/ab67616d0000b273daed516a2bf558d47c614e6c;1ZJbPwe4zKnUDRT7yi9dBC;Sounds of Nature Noise;1 Close Waves, 2 Beach Ocean Waves, 3 Pure Sandy Beach, 4 Slow Sea Waves, 5 Soft Ripples, 6 Soft Beach Splashing, 7 Beach Waves Against Rocks, 8 Sea Waves and Gentle Splashing, 9 Calm Waves and Rocks, 10 Ocean Nights;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-05;album;4x62XoO9W0MfpYMujWG4Fu;Ocean Days, Vol 5;2020-11-27;2;The Nature Project;https://i.scdn.co/image/ab67616d0000b273daed516a2bf558d47c614e6c;1ZJbPwe4zKnUDRT7yi9dBC;Sounds of Nature Noise;1 Close Waves, 2 Beach Ocean Waves, 3 Pure Sandy Beach, 4 Slow Sea Waves, 5 Soft Ripples, 6 Soft Beach Splashing, 7 Beach Waves Against Rocks, 8 Sea Waves and Gentle Splashing, 9 Calm Waves and Rocks, 10 Ocean Nights;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-06;album;4x62XoO9W0MfpYMujWG4Fu;Ocean Days, Vol 5;2020-11-27;2;The Nature Project;https://i.scdn.co/image/ab67616d0000b273daed516a2bf558d47c614e6c;1ZJbPwe4zKnUDRT7yi9dBC;Sounds of Nature Noise;1 Close Waves, 2 Beach Ocean Waves, 3 Pure Sandy Beach, 4 Slow Sea Waves, 5 Soft Ripples, 6 Soft Beach Splashing, 7 Beach Waves Against Rocks, 8 Sea Waves and Gentle Splashing, 9 Calm Waves and Rocks, 10 Ocean Nights;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-07;album;4x62XoO9W0MfpYMujWG4Fu;Ocean Days, Vol 5;2020-11-27;2;The Nature Project;https://i.scdn.co/image/ab67616d0000b273daed516a2bf558d47c614e6c;1ZJbPwe4zKnUDRT7yi9dBC;Sounds of Nature Noise;1 Close Waves, 2 Beach Ocean Waves, 3 Pure Sandy Beach, 4 Slow Sea Waves, 5 Soft Ripples, 6 Soft Beach Splashing, 7 Beach Waves Against Rocks, 8 Sea Waves and Gentle Splashing, 9 Calm Waves and Rocks, 10 Ocean Nights;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-08;album;4x62XoO9W0MfpYMujWG4Fu;Ocean Days, Vol 5;2020-11-27;3;The Nature Project;https://i.scdn.co/image/ab67616d0000b273daed516a2bf558d47c614e6c;1ZJbPwe4zKnUDRT7yi9dBC;Sounds of Nature Noise;1 Close Waves, 2 Beach Ocean Waves, 3 Pure Sandy Beach, 4 Slow Sea Waves, 5 Soft Ripples, 6 Soft Beach Splashing, 7 Beach Waves Against Rocks, 8 Sea Waves and Gentle Splashing, 9 Calm Waves and Rocks, 10 Ocean Nights;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-09;album;4x62XoO9W0MfpYMujWG4Fu;Ocean Days Vol 5;2020-11-27;6;The Nature Project;https://i.scdn.co/image/ab67616d0000b273daed516a2bf558d47c614e6c;1ZJbPwe4zKnUDRT7yi9dBC;Sounds of Nature Noise;1 Close Waves, 2 Beach Ocean Waves, 3 Pure Sandy Beach, 4 Slow Sea Waves, 5 Soft Ripples, 6 Soft Beach Splashing, 7 Beach Waves Against Rocks, 8 Sea Waves and Gentle Splashing, 9 Calm Waves and Rocks, 10 Ocean Nights;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
