album_date_extract;album_type;album_id;album_name;album_release_date;album_popularity;album_label;album_image;artist_id;artist_name;tracks;available_markets
2020-11-30;album;51CouDr0rCig14cWZFQ4KK;En Vivo Desde Casa Vol. 1;2020-11-27;22;Discos America;https://i.scdn.co/image/ab67616d0000b273b25a014397ad94009463273a;5IaAggho4F1gWHE5REe1e8;Los Rehenes;1 Mi Humilde Regalo - En Vivo, 2 Es una Lástima - En Vivo, 3 Pienso en Ti - En Vivo, 4 Limosnero de Cariño - En Vivo, 5 Corazones Rotos - En Vivo, 6 Cosas Buenas Que Parecen Malas - En Vivo, 7 Un Títere - En Vivo, 8 Pregúntame a Mí - En Vivo, 9 Para Ponerme a Llorar - En Vivo, 10 Vino Tinto - En Vivo, 11 Al Rumor del Viento - En Vivo, 12 Para Ti No Tengo Amor - En Vivo, 13 No Me Importa - En Vivo, 14 Ay Si Supieras - En Vivo;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-01;album;51CouDr0rCig14cWZFQ4KK;En Vivo Desde Casa Vol. 1;2020-11-27;27;Discos America;https://i.scdn.co/image/ab67616d0000b273b25a014397ad94009463273a;5IaAggho4F1gWHE5REe1e8;Los Rehenes;1 Mi Humilde Regalo - En Vivo, 2 Es una Lástima - En Vivo, 3 Pienso en Ti - En Vivo, 4 Limosnero de Cariño - En Vivo, 5 Corazones Rotos - En Vivo, 6 Cosas Buenas Que Parecen Malas - En Vivo, 7 Un Títere - En Vivo, 8 Pregúntame a Mí - En Vivo, 9 Para Ponerme a Llorar - En Vivo, 10 Vino Tinto - En Vivo, 11 Al Rumor del Viento - En Vivo, 12 Para Ti No Tengo Amor - En Vivo, 13 No Me Importa - En Vivo, 14 Ay Si Supieras - En Vivo;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-02;album;51CouDr0rCig14cWZFQ4KK;En Vivo Desde Casa Vol. 1;2020-11-27;29;Discos America;https://i.scdn.co/image/ab67616d0000b273b25a014397ad94009463273a;5IaAggho4F1gWHE5REe1e8;Los Rehenes;1 Mi Humilde Regalo - En Vivo, 2 Es una Lástima - En Vivo, 3 Pienso en Ti - En Vivo, 4 Limosnero de Cariño - En Vivo, 5 Corazones Rotos - En Vivo, 6 Cosas Buenas Que Parecen Malas - En Vivo, 7 Un Títere - En Vivo, 8 Pregúntame a Mí - En Vivo, 9 Para Ponerme a Llorar - En Vivo, 10 Vino Tinto - En Vivo, 11 Al Rumor del Viento - En Vivo, 12 Para Ti No Tengo Amor - En Vivo, 13 No Me Importa - En Vivo, 14 Ay Si Supieras - En Vivo;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-03;album;51CouDr0rCig14cWZFQ4KK;En Vivo Desde Casa Vol. 1;2020-11-27;30;Discos America;https://i.scdn.co/image/ab67616d0000b273b25a014397ad94009463273a;5IaAggho4F1gWHE5REe1e8;Los Rehenes;1 Mi Humilde Regalo - En Vivo, 2 Es una Lástima - En Vivo, 3 Pienso en Ti - En Vivo, 4 Limosnero de Cariño - En Vivo, 5 Corazones Rotos - En Vivo, 6 Cosas Buenas Que Parecen Malas - En Vivo, 7 Un Títere - En Vivo, 8 Pregúntame a Mí - En Vivo, 9 Para Ponerme a Llorar - En Vivo, 10 Vino Tinto - En Vivo, 11 Al Rumor del Viento - En Vivo, 12 Para Ti No Tengo Amor - En Vivo, 13 No Me Importa - En Vivo, 14 Ay Si Supieras - En Vivo;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-04;album;51CouDr0rCig14cWZFQ4KK;En Vivo Desde Casa Vol. 1;2020-11-27;32;Discos America;https://i.scdn.co/image/ab67616d0000b273b25a014397ad94009463273a;5IaAggho4F1gWHE5REe1e8;Los Rehenes;1 Mi Humilde Regalo - En Vivo, 2 Es una Lástima - En Vivo, 3 Pienso en Ti - En Vivo, 4 Limosnero de Cariño - En Vivo, 5 Corazones Rotos - En Vivo, 6 Cosas Buenas Que Parecen Malas - En Vivo, 7 Un Títere - En Vivo, 8 Pregúntame a Mí - En Vivo, 9 Para Ponerme a Llorar - En Vivo, 10 Vino Tinto - En Vivo, 11 Al Rumor del Viento - En Vivo, 12 Para Ti No Tengo Amor - En Vivo, 13 No Me Importa - En Vivo, 14 Ay Si Supieras - En Vivo;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-05;album;51CouDr0rCig14cWZFQ4KK;En Vivo Desde Casa Vol. 1;2020-11-27;33;Discos America;https://i.scdn.co/image/ab67616d0000b273b25a014397ad94009463273a;5IaAggho4F1gWHE5REe1e8;Los Rehenes;1 Mi Humilde Regalo - En Vivo, 2 Es una Lástima - En Vivo, 3 Pienso en Ti - En Vivo, 4 Limosnero de Cariño - En Vivo, 5 Corazones Rotos - En Vivo, 6 Cosas Buenas Que Parecen Malas - En Vivo, 7 Un Títere - En Vivo, 8 Pregúntame a Mí - En Vivo, 9 Para Ponerme a Llorar - En Vivo, 10 Vino Tinto - En Vivo, 11 Al Rumor del Viento - En Vivo, 12 Para Ti No Tengo Amor - En Vivo, 13 No Me Importa - En Vivo, 14 Ay Si Supieras - En Vivo;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-06;album;51CouDr0rCig14cWZFQ4KK;En Vivo Desde Casa Vol. 1;2020-11-27;33;Discos America;https://i.scdn.co/image/ab67616d0000b273b25a014397ad94009463273a;5IaAggho4F1gWHE5REe1e8;Los Rehenes;1 Mi Humilde Regalo - En Vivo, 2 Es una Lástima - En Vivo, 3 Pienso en Ti - En Vivo, 4 Limosnero de Cariño - En Vivo, 5 Corazones Rotos - En Vivo, 6 Cosas Buenas Que Parecen Malas - En Vivo, 7 Un Títere - En Vivo, 8 Pregúntame a Mí - En Vivo, 9 Para Ponerme a Llorar - En Vivo, 10 Vino Tinto - En Vivo, 11 Al Rumor del Viento - En Vivo, 12 Para Ti No Tengo Amor - En Vivo, 13 No Me Importa - En Vivo, 14 Ay Si Supieras - En Vivo;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-07;album;51CouDr0rCig14cWZFQ4KK;En Vivo Desde Casa Vol. 1;2020-11-27;35;Discos America;https://i.scdn.co/image/ab67616d0000b273b25a014397ad94009463273a;5IaAggho4F1gWHE5REe1e8;Los Rehenes;1 Mi Humilde Regalo - En Vivo, 2 Es una Lástima - En Vivo, 3 Pienso en Ti - En Vivo, 4 Limosnero de Cariño - En Vivo, 5 Corazones Rotos - En Vivo, 6 Cosas Buenas Que Parecen Malas - En Vivo, 7 Un Títere - En Vivo, 8 Pregúntame a Mí - En Vivo, 9 Para Ponerme a Llorar - En Vivo, 10 Vino Tinto - En Vivo, 11 Al Rumor del Viento - En Vivo, 12 Para Ti No Tengo Amor - En Vivo, 13 No Me Importa - En Vivo, 14 Ay Si Supieras - En Vivo;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-08;album;51CouDr0rCig14cWZFQ4KK;En Vivo Desde Casa Vol. 1;2020-11-27;36;Discos America;https://i.scdn.co/image/ab67616d0000b273b25a014397ad94009463273a;5IaAggho4F1gWHE5REe1e8;Los Rehenes;1 Mi Humilde Regalo - En Vivo, 2 Es una Lástima - En Vivo, 3 Pienso en Ti - En Vivo, 4 Limosnero de Cariño - En Vivo, 5 Corazones Rotos - En Vivo, 6 Cosas Buenas Que Parecen Malas - En Vivo, 7 Un Títere - En Vivo, 8 Pregúntame a Mí - En Vivo, 9 Para Ponerme a Llorar - En Vivo, 10 Vino Tinto - En Vivo, 11 Al Rumor del Viento - En Vivo, 12 Para Ti No Tengo Amor - En Vivo, 13 No Me Importa - En Vivo, 14 Ay Si Supieras - En Vivo;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-09;album;51CouDr0rCig14cWZFQ4KK;En Vivo Desde Casa Vol 1;2020-11-27;37;Discos America;https://i.scdn.co/image/ab67616d0000b273b25a014397ad94009463273a;5IaAggho4F1gWHE5REe1e8;Los Rehenes;1 Mi Humilde Regalo - En Vivo, 2 Es una Lástima - En Vivo, 3 Pienso en Ti - En Vivo, 4 Limosnero de Cariño - En Vivo, 5 Corazones Rotos - En Vivo, 6 Cosas Buenas Que Parecen Malas - En Vivo, 7 Un Títere - En Vivo, 8 Pregúntame a Mí - En Vivo, 9 Para Ponerme a Llorar - En Vivo, 10 Vino Tinto - En Vivo, 11 Al Rumor del Viento - En Vivo, 12 Para Ti No Tengo Amor - En Vivo, 13 No Me Importa - En Vivo, 14 Ay Si Supieras - En Vivo;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
