album_date_extract;album_type;album_id;album_name;album_release_date;album_popularity;album_label;album_image;artist_id;artist_name;tracks;available_markets
2020-11-24;single;55KfovHpHE74wmPZyjLmSA;Estrellas;2020-11-16;9;Firefly Entertainment AB;https://i.scdn.co/image/ab67616d0000b273dd9e664fd7013b0582a7151d;1Ww4X8PlwRBiocjYoAoQ4N;Universo;1 Estrellas, 2 Nebula, 3 Jupiter;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-25;single;55KfovHpHE74wmPZyjLmSA;Estrellas;2020-11-16;11;Firefly Entertainment AB;https://i.scdn.co/image/ab67616d0000b273dd9e664fd7013b0582a7151d;1Ww4X8PlwRBiocjYoAoQ4N;Universo;1 Estrellas, 2 Nebula, 3 Jupiter;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-26;single;55KfovHpHE74wmPZyjLmSA;Estrellas;2020-11-16;12;Firefly Entertainment AB;https://i.scdn.co/image/ab67616d0000b273dd9e664fd7013b0582a7151d;1Ww4X8PlwRBiocjYoAoQ4N;Universo;1 Estrellas, 2 Nebula, 3 Jupiter;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-27;single;55KfovHpHE74wmPZyjLmSA;Estrellas;2020-11-16;12;Firefly Entertainment AB;https://i.scdn.co/image/ab67616d0000b273dd9e664fd7013b0582a7151d;1Ww4X8PlwRBiocjYoAoQ4N;Universo;1 Estrellas, 2 Nebula, 3 Jupiter;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-28;single;55KfovHpHE74wmPZyjLmSA;Estrellas;2020-11-16;13;Firefly Entertainment AB;https://i.scdn.co/image/ab67616d0000b273dd9e664fd7013b0582a7151d;1Ww4X8PlwRBiocjYoAoQ4N;Universo;1 Estrellas, 2 Nebula, 3 Jupiter;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-29;single;55KfovHpHE74wmPZyjLmSA;Estrellas;2020-11-16;14;Firefly Entertainment AB;https://i.scdn.co/image/ab67616d0000b273dd9e664fd7013b0582a7151d;1Ww4X8PlwRBiocjYoAoQ4N;Universo;1 Estrellas, 2 Nebula, 3 Jupiter;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-30;single;55KfovHpHE74wmPZyjLmSA;Estrellas;2020-11-16;14;Firefly Entertainment AB;https://i.scdn.co/image/ab67616d0000b273dd9e664fd7013b0582a7151d;1Ww4X8PlwRBiocjYoAoQ4N;Universo;1 Estrellas, 2 Nebula, 3 Jupiter;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-01;single;55KfovHpHE74wmPZyjLmSA;Estrellas;2020-11-16;15;Firefly Entertainment AB;https://i.scdn.co/image/ab67616d0000b273dd9e664fd7013b0582a7151d;1Ww4X8PlwRBiocjYoAoQ4N;Universo;1 Estrellas, 2 Nebula, 3 Jupiter;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-02;single;55KfovHpHE74wmPZyjLmSA;Estrellas;2020-11-16;15;Firefly Entertainment AB;https://i.scdn.co/image/ab67616d0000b273dd9e664fd7013b0582a7151d;1Ww4X8PlwRBiocjYoAoQ4N;Universo;1 Estrellas, 2 Nebula, 3 Jupiter;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-03;single;55KfovHpHE74wmPZyjLmSA;Estrellas;2020-11-16;15;Firefly Entertainment AB;https://i.scdn.co/image/ab67616d0000b273dd9e664fd7013b0582a7151d;1Ww4X8PlwRBiocjYoAoQ4N;Universo;1 Estrellas, 2 Nebula, 3 Jupiter;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-04;single;55KfovHpHE74wmPZyjLmSA;Estrellas;2020-11-16;15;Firefly Entertainment AB;https://i.scdn.co/image/ab67616d0000b273dd9e664fd7013b0582a7151d;1Ww4X8PlwRBiocjYoAoQ4N;Universo;1 Estrellas, 2 Nebula, 3 Jupiter;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-05;single;55KfovHpHE74wmPZyjLmSA;Estrellas;2020-11-16;15;Firefly Entertainment AB;https://i.scdn.co/image/ab67616d0000b273dd9e664fd7013b0582a7151d;1Ww4X8PlwRBiocjYoAoQ4N;Universo;1 Estrellas, 2 Nebula, 3 Jupiter;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-06;single;55KfovHpHE74wmPZyjLmSA;Estrellas;2020-11-16;17;Firefly Entertainment AB;https://i.scdn.co/image/ab67616d0000b273dd9e664fd7013b0582a7151d;1Ww4X8PlwRBiocjYoAoQ4N;Universo;1 Estrellas, 2 Nebula, 3 Jupiter;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
