album_date_extract;album_type;album_id;album_name;album_release_date;album_popularity;album_label;album_image;artist_id;artist_name;tracks;available_markets
2020-11-30;album;55zI7fdLNKV7IvNmWc6x1E;Summer Chillout Melodies for Cats;2020-11-24;18;Calming Cat Music;https://i.scdn.co/image/ab67616d0000b273043e48b73305c1fffea24a30;10AsQHLlJg8MM4d5VQNTOy;Cat Music;1 Lullaby, 2 Sleepy, 3 Tides of Time, 4 Serenity Ocean, 5 Regain Energy, 6 Healing Spells, 7 Mind Connection, 8 Ultimate Relaxation, 9 Slumberland Snoozing, 10 Tranquil Binaural Sounds, 11 Unwind, 12 Lullabies for Sleep, 13 Reiki Healing, 14 Calm and Serene, 15 Awakening, 16 Gentle Sleep, 17 Floating on Air, 18 Breath of a Whisper, 19 Inner Calm, 20 Relax Yourself to Sleep, 21 Midnight, 22 Meditation Music, 23 Susurrations, 24 Background Music, 25 Music for Deep Sleep, 26 Tranquility, 27 Sleep Well, 28 Fantastic Relaxation, 29 Fading Twilight, 30 Peace and Tranquility, 31 Heaven on the Keys, 32 Drift Away into Dreams, 33 Calm Down, 34 Soothing Winds, 35 Massage Music, 36 Flowers in Bloom, 37 Bliss, 38 Spirit Awakening, 39 Relaxation Meditation, 40 Calm Seas, 41 Feeling Sheltered, 42 Stress Removal, 43 Find Yourself, 44 Ocean Air, 45 Healing Sounds, 46 Ocean Waves, 47 At Ease, 48 Spa Time, 49 Lake Reflection, 50 Evening Calm;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-01;album;55zI7fdLNKV7IvNmWc6x1E;Summer Chillout Melodies for Cats;2020-11-24;20;Calming Cat Music;https://i.scdn.co/image/ab67616d0000b273043e48b73305c1fffea24a30;10AsQHLlJg8MM4d5VQNTOy;Cat Music;1 Lullaby, 2 Sleepy, 3 Tides of Time, 4 Serenity Ocean, 5 Regain Energy, 6 Healing Spells, 7 Mind Connection, 8 Ultimate Relaxation, 9 Slumberland Snoozing, 10 Tranquil Binaural Sounds, 11 Unwind, 12 Lullabies for Sleep, 13 Reiki Healing, 14 Calm and Serene, 15 Awakening, 16 Gentle Sleep, 17 Floating on Air, 18 Breath of a Whisper, 19 Inner Calm, 20 Relax Yourself to Sleep, 21 Midnight, 22 Meditation Music, 23 Susurrations, 24 Background Music, 25 Music for Deep Sleep, 26 Tranquility, 27 Sleep Well, 28 Fantastic Relaxation, 29 Fading Twilight, 30 Peace and Tranquility, 31 Heaven on the Keys, 32 Drift Away into Dreams, 33 Calm Down, 34 Soothing Winds, 35 Massage Music, 36 Flowers in Bloom, 37 Bliss, 38 Spirit Awakening, 39 Relaxation Meditation, 40 Calm Seas, 41 Feeling Sheltered, 42 Stress Removal, 43 Find Yourself, 44 Ocean Air, 45 Healing Sounds, 46 Ocean Waves, 47 At Ease, 48 Spa Time, 49 Lake Reflection, 50 Evening Calm;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-02;album;55zI7fdLNKV7IvNmWc6x1E;Summer Chillout Melodies for Cats;2020-11-24;21;Calming Cat Music;https://i.scdn.co/image/ab67616d0000b273043e48b73305c1fffea24a30;10AsQHLlJg8MM4d5VQNTOy;Cat Music;1 Lullaby, 2 Sleepy, 3 Tides of Time, 4 Serenity Ocean, 5 Regain Energy, 6 Healing Spells, 7 Mind Connection, 8 Ultimate Relaxation, 9 Slumberland Snoozing, 10 Tranquil Binaural Sounds, 11 Unwind, 12 Lullabies for Sleep, 13 Reiki Healing, 14 Calm and Serene, 15 Awakening, 16 Gentle Sleep, 17 Floating on Air, 18 Breath of a Whisper, 19 Inner Calm, 20 Relax Yourself to Sleep, 21 Midnight, 22 Meditation Music, 23 Susurrations, 24 Background Music, 25 Music for Deep Sleep, 26 Tranquility, 27 Sleep Well, 28 Fantastic Relaxation, 29 Fading Twilight, 30 Peace and Tranquility, 31 Heaven on the Keys, 32 Drift Away into Dreams, 33 Calm Down, 34 Soothing Winds, 35 Massage Music, 36 Flowers in Bloom, 37 Bliss, 38 Spirit Awakening, 39 Relaxation Meditation, 40 Calm Seas, 41 Feeling Sheltered, 42 Stress Removal, 43 Find Yourself, 44 Ocean Air, 45 Healing Sounds, 46 Ocean Waves, 47 At Ease, 48 Spa Time, 49 Lake Reflection, 50 Evening Calm;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-03;album;55zI7fdLNKV7IvNmWc6x1E;Summer Chillout Melodies for Cats;2020-11-24;22;Calming Cat Music;https://i.scdn.co/image/ab67616d0000b273043e48b73305c1fffea24a30;10AsQHLlJg8MM4d5VQNTOy;Cat Music;1 Lullaby, 2 Sleepy, 3 Tides of Time, 4 Serenity Ocean, 5 Regain Energy, 6 Healing Spells, 7 Mind Connection, 8 Ultimate Relaxation, 9 Slumberland Snoozing, 10 Tranquil Binaural Sounds, 11 Unwind, 12 Lullabies for Sleep, 13 Reiki Healing, 14 Calm and Serene, 15 Awakening, 16 Gentle Sleep, 17 Floating on Air, 18 Breath of a Whisper, 19 Inner Calm, 20 Relax Yourself to Sleep, 21 Midnight, 22 Meditation Music, 23 Susurrations, 24 Background Music, 25 Music for Deep Sleep, 26 Tranquility, 27 Sleep Well, 28 Fantastic Relaxation, 29 Fading Twilight, 30 Peace and Tranquility, 31 Heaven on the Keys, 32 Drift Away into Dreams, 33 Calm Down, 34 Soothing Winds, 35 Massage Music, 36 Flowers in Bloom, 37 Bliss, 38 Spirit Awakening, 39 Relaxation Meditation, 40 Calm Seas, 41 Feeling Sheltered, 42 Stress Removal, 43 Find Yourself, 44 Ocean Air, 45 Healing Sounds, 46 Ocean Waves, 47 At Ease, 48 Spa Time, 49 Lake Reflection, 50 Evening Calm;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-04;album;55zI7fdLNKV7IvNmWc6x1E;Summer Chillout Melodies for Cats;2020-11-24;23;Calming Cat Music;https://i.scdn.co/image/ab67616d0000b273043e48b73305c1fffea24a30;10AsQHLlJg8MM4d5VQNTOy;Cat Music;1 Lullaby, 2 Sleepy, 3 Tides of Time, 4 Serenity Ocean, 5 Regain Energy, 6 Healing Spells, 7 Mind Connection, 8 Ultimate Relaxation, 9 Slumberland Snoozing, 10 Tranquil Binaural Sounds, 11 Unwind, 12 Lullabies for Sleep, 13 Reiki Healing, 14 Calm and Serene, 15 Awakening, 16 Gentle Sleep, 17 Floating on Air, 18 Breath of a Whisper, 19 Inner Calm, 20 Relax Yourself to Sleep, 21 Midnight, 22 Meditation Music, 23 Susurrations, 24 Background Music, 25 Music for Deep Sleep, 26 Tranquility, 27 Sleep Well, 28 Fantastic Relaxation, 29 Fading Twilight, 30 Peace and Tranquility, 31 Heaven on the Keys, 32 Drift Away into Dreams, 33 Calm Down, 34 Soothing Winds, 35 Massage Music, 36 Flowers in Bloom, 37 Bliss, 38 Spirit Awakening, 39 Relaxation Meditation, 40 Calm Seas, 41 Feeling Sheltered, 42 Stress Removal, 43 Find Yourself, 44 Ocean Air, 45 Healing Sounds, 46 Ocean Waves, 47 At Ease, 48 Spa Time, 49 Lake Reflection, 50 Evening Calm;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-05;album;55zI7fdLNKV7IvNmWc6x1E;Summer Chillout Melodies for Cats;2020-11-24;24;Calming Cat Music;https://i.scdn.co/image/ab67616d0000b273043e48b73305c1fffea24a30;10AsQHLlJg8MM4d5VQNTOy;Cat Music;1 Lullaby, 2 Sleepy, 3 Tides of Time, 4 Serenity Ocean, 5 Regain Energy, 6 Healing Spells, 7 Mind Connection, 8 Ultimate Relaxation, 9 Slumberland Snoozing, 10 Tranquil Binaural Sounds, 11 Unwind, 12 Lullabies for Sleep, 13 Reiki Healing, 14 Calm and Serene, 15 Awakening, 16 Gentle Sleep, 17 Floating on Air, 18 Breath of a Whisper, 19 Inner Calm, 20 Relax Yourself to Sleep, 21 Midnight, 22 Meditation Music, 23 Susurrations, 24 Background Music, 25 Music for Deep Sleep, 26 Tranquility, 27 Sleep Well, 28 Fantastic Relaxation, 29 Fading Twilight, 30 Peace and Tranquility, 31 Heaven on the Keys, 32 Drift Away into Dreams, 33 Calm Down, 34 Soothing Winds, 35 Massage Music, 36 Flowers in Bloom, 37 Bliss, 38 Spirit Awakening, 39 Relaxation Meditation, 40 Calm Seas, 41 Feeling Sheltered, 42 Stress Removal, 43 Find Yourself, 44 Ocean Air, 45 Healing Sounds, 46 Ocean Waves, 47 At Ease, 48 Spa Time, 49 Lake Reflection, 50 Evening Calm;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-06;album;55zI7fdLNKV7IvNmWc6x1E;Summer Chillout Melodies for Cats;2020-11-24;24;Calming Cat Music;https://i.scdn.co/image/ab67616d0000b273043e48b73305c1fffea24a30;10AsQHLlJg8MM4d5VQNTOy;Cat Music;1 Lullaby, 2 Sleepy, 3 Tides of Time, 4 Serenity Ocean, 5 Regain Energy, 6 Healing Spells, 7 Mind Connection, 8 Ultimate Relaxation, 9 Slumberland Snoozing, 10 Tranquil Binaural Sounds, 11 Unwind, 12 Lullabies for Sleep, 13 Reiki Healing, 14 Calm and Serene, 15 Awakening, 16 Gentle Sleep, 17 Floating on Air, 18 Breath of a Whisper, 19 Inner Calm, 20 Relax Yourself to Sleep, 21 Midnight, 22 Meditation Music, 23 Susurrations, 24 Background Music, 25 Music for Deep Sleep, 26 Tranquility, 27 Sleep Well, 28 Fantastic Relaxation, 29 Fading Twilight, 30 Peace and Tranquility, 31 Heaven on the Keys, 32 Drift Away into Dreams, 33 Calm Down, 34 Soothing Winds, 35 Massage Music, 36 Flowers in Bloom, 37 Bliss, 38 Spirit Awakening, 39 Relaxation Meditation, 40 Calm Seas, 41 Feeling Sheltered, 42 Stress Removal, 43 Find Yourself, 44 Ocean Air, 45 Healing Sounds, 46 Ocean Waves, 47 At Ease, 48 Spa Time, 49 Lake Reflection, 50 Evening Calm;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-07;album;55zI7fdLNKV7IvNmWc6x1E;Summer Chillout Melodies for Cats;2020-11-24;24;Calming Cat Music;https://i.scdn.co/image/ab67616d0000b273043e48b73305c1fffea24a30;10AsQHLlJg8MM4d5VQNTOy;Cat Music;1 Lullaby, 2 Sleepy, 3 Tides of Time, 4 Serenity Ocean, 5 Regain Energy, 6 Healing Spells, 7 Mind Connection, 8 Ultimate Relaxation, 9 Slumberland Snoozing, 10 Tranquil Binaural Sounds, 11 Unwind, 12 Lullabies for Sleep, 13 Reiki Healing, 14 Calm and Serene, 15 Awakening, 16 Gentle Sleep, 17 Floating on Air, 18 Breath of a Whisper, 19 Inner Calm, 20 Relax Yourself to Sleep, 21 Midnight, 22 Meditation Music, 23 Susurrations, 24 Background Music, 25 Music for Deep Sleep, 26 Tranquility, 27 Sleep Well, 28 Fantastic Relaxation, 29 Fading Twilight, 30 Peace and Tranquility, 31 Heaven on the Keys, 32 Drift Away into Dreams, 33 Calm Down, 34 Soothing Winds, 35 Massage Music, 36 Flowers in Bloom, 37 Bliss, 38 Spirit Awakening, 39 Relaxation Meditation, 40 Calm Seas, 41 Feeling Sheltered, 42 Stress Removal, 43 Find Yourself, 44 Ocean Air, 45 Healing Sounds, 46 Ocean Waves, 47 At Ease, 48 Spa Time, 49 Lake Reflection, 50 Evening Calm;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-08;album;55zI7fdLNKV7IvNmWc6x1E;Summer Chillout Melodies for Cats;2020-11-24;25;Calming Cat Music;https://i.scdn.co/image/ab67616d0000b273043e48b73305c1fffea24a30;10AsQHLlJg8MM4d5VQNTOy;Cat Music;1 Lullaby, 2 Sleepy, 3 Tides of Time, 4 Serenity Ocean, 5 Regain Energy, 6 Healing Spells, 7 Mind Connection, 8 Ultimate Relaxation, 9 Slumberland Snoozing, 10 Tranquil Binaural Sounds, 11 Unwind, 12 Lullabies for Sleep, 13 Reiki Healing, 14 Calm and Serene, 15 Awakening, 16 Gentle Sleep, 17 Floating on Air, 18 Breath of a Whisper, 19 Inner Calm, 20 Relax Yourself to Sleep, 21 Midnight, 22 Meditation Music, 23 Susurrations, 24 Background Music, 25 Music for Deep Sleep, 26 Tranquility, 27 Sleep Well, 28 Fantastic Relaxation, 29 Fading Twilight, 30 Peace and Tranquility, 31 Heaven on the Keys, 32 Drift Away into Dreams, 33 Calm Down, 34 Soothing Winds, 35 Massage Music, 36 Flowers in Bloom, 37 Bliss, 38 Spirit Awakening, 39 Relaxation Meditation, 40 Calm Seas, 41 Feeling Sheltered, 42 Stress Removal, 43 Find Yourself, 44 Ocean Air, 45 Healing Sounds, 46 Ocean Waves, 47 At Ease, 48 Spa Time, 49 Lake Reflection, 50 Evening Calm;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-09;album;55zI7fdLNKV7IvNmWc6x1E;Summer Chillout Melodies for Cats;2020-11-24;25;Calming Cat Music;https://i.scdn.co/image/ab67616d0000b273043e48b73305c1fffea24a30;10AsQHLlJg8MM4d5VQNTOy;Cat Music;1 Lullaby, 2 Sleepy, 3 Tides of Time, 4 Serenity Ocean, 5 Regain Energy, 6 Healing Spells, 7 Mind Connection, 8 Ultimate Relaxation, 9 Slumberland Snoozing, 10 Tranquil Binaural Sounds, 11 Unwind, 12 Lullabies for Sleep, 13 Reiki Healing, 14 Calm and Serene, 15 Awakening, 16 Gentle Sleep, 17 Floating on Air, 18 Breath of a Whisper, 19 Inner Calm, 20 Relax Yourself to Sleep, 21 Midnight, 22 Meditation Music, 23 Susurrations, 24 Background Music, 25 Music for Deep Sleep, 26 Tranquility, 27 Sleep Well, 28 Fantastic Relaxation, 29 Fading Twilight, 30 Peace and Tranquility, 31 Heaven on the Keys, 32 Drift Away into Dreams, 33 Calm Down, 34 Soothing Winds, 35 Massage Music, 36 Flowers in Bloom, 37 Bliss, 38 Spirit Awakening, 39 Relaxation Meditation, 40 Calm Seas, 41 Feeling Sheltered, 42 Stress Removal, 43 Find Yourself, 44 Ocean Air, 45 Healing Sounds, 46 Ocean Waves, 47 At Ease, 48 Spa Time, 49 Lake Reflection, 50 Evening Calm;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
