album_date_extract;album_type;album_id;album_name;album_release_date;album_popularity;album_label;album_image;artist_id;artist_name;tracks;available_markets
2020-11-24;album;59znAGeM6NNmzTkkV6MHrT;Famoso;2020-11-20;83;Universal Music Italia srL.;https://i.scdn.co/image/ab67616d0000b273b87df8229fc018a11bf61b89;23TFHmajVfBtlRx5MXqgoz;Sfera Ebbasta;1 Bottiglie Privè, 2 Abracadabra (feat. Future), 3 Baby (with J Balvin), 4 Macarena (feat. Offset), 5 Hollywood (feat. Diplo), 6 Tik Tok (feat. Marracash & Guè Pequeno), 7 Male, 8 Giovani Re, 9 Gelosi, 10 6 AM, 11 Salam Alaikum (feat. 7ari & Steve Aoki), 12 Gangang (feat. Lil Mosey), 13 $€ Freestyle;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-25;album;59znAGeM6NNmzTkkV6MHrT;Famoso;2020-11-20;85;Universal Music Italia srL.;https://i.scdn.co/image/ab67616d0000b273b87df8229fc018a11bf61b89;23TFHmajVfBtlRx5MXqgoz;Sfera Ebbasta;1 Bottiglie Privè, 2 Abracadabra (feat. Future), 3 Baby (with J Balvin), 4 Macarena (feat. Offset), 5 Hollywood (feat. Diplo), 6 Tik Tok (feat. Marracash & Guè Pequeno), 7 Male, 8 Giovani Re, 9 Gelosi, 10 6 AM, 11 Salam Alaikum (feat. 7ari & Steve Aoki), 12 Gangang (feat. Lil Mosey), 13 $€ Freestyle;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-26;album;59znAGeM6NNmzTkkV6MHrT;Famoso;2020-11-20;86;Universal Music Italia srL.;https://i.scdn.co/image/ab67616d0000b273b87df8229fc018a11bf61b89;23TFHmajVfBtlRx5MXqgoz;Sfera Ebbasta;1 Bottiglie Privè, 2 Abracadabra (feat. Future), 3 Baby (with J Balvin), 4 Macarena (feat. Offset), 5 Hollywood (feat. Diplo), 6 Tik Tok (feat. Marracash & Guè Pequeno), 7 Male, 8 Giovani Re, 9 Gelosi, 10 6 AM, 11 Salam Alaikum (feat. 7ari & Steve Aoki), 12 Gangang (feat. Lil Mosey), 13 $€ Freestyle;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-27;album;59znAGeM6NNmzTkkV6MHrT;Famoso;2020-11-20;87;Universal Music Italia srL.;https://i.scdn.co/image/ab67616d0000b273b87df8229fc018a11bf61b89;23TFHmajVfBtlRx5MXqgoz;Sfera Ebbasta;1 Bottiglie Privè, 2 Abracadabra (feat. Future), 3 Baby (with J Balvin), 4 Macarena (feat. Offset), 5 Hollywood (feat. Diplo), 6 Tik Tok (feat. Marracash & Guè Pequeno), 7 Male, 8 Giovani Re, 9 Gelosi, 10 6 AM, 11 Salam Alaikum (feat. 7ari & Steve Aoki), 12 Gangang (feat. Lil Mosey), 13 $€ Freestyle;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-28;album;59znAGeM6NNmzTkkV6MHrT;Famoso;2020-11-20;87;Universal Music Italia srL.;https://i.scdn.co/image/ab67616d0000b273b87df8229fc018a11bf61b89;23TFHmajVfBtlRx5MXqgoz;Sfera Ebbasta;1 Bottiglie Privè, 2 Abracadabra (feat. Future), 3 Baby (with J Balvin), 4 Macarena (feat. Offset), 5 Hollywood (feat. Diplo), 6 Tik Tok (feat. Marracash & Guè Pequeno), 7 Male, 8 Giovani Re, 9 Gelosi, 10 6 AM, 11 Salam Alaikum (feat. 7ari & Steve Aoki), 12 Gangang (feat. Lil Mosey), 13 $€ Freestyle;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-29;album;59znAGeM6NNmzTkkV6MHrT;Famoso;2020-11-20;88;Universal Music Italia srL.;https://i.scdn.co/image/ab67616d0000b273b87df8229fc018a11bf61b89;23TFHmajVfBtlRx5MXqgoz;Sfera Ebbasta;1 Bottiglie Privè, 2 Abracadabra (feat. Future), 3 Baby (with J Balvin), 4 Macarena (feat. Offset), 5 Hollywood (feat. Diplo), 6 Tik Tok (feat. Marracash & Guè Pequeno), 7 Male, 8 Giovani Re, 9 Gelosi, 10 6 AM, 11 Salam Alaikum (feat. 7ari & Steve Aoki), 12 Gangang (feat. Lil Mosey), 13 $€ Freestyle;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-30;album;59znAGeM6NNmzTkkV6MHrT;Famoso;2020-11-20;88;Universal Music Italia srL.;https://i.scdn.co/image/ab67616d0000b273b87df8229fc018a11bf61b89;23TFHmajVfBtlRx5MXqgoz;Sfera Ebbasta;1 Bottiglie Privè, 2 Abracadabra (feat. Future), 3 Baby (with J Balvin), 4 Macarena (feat. Offset), 5 Hollywood (feat. Diplo), 6 Tik Tok (feat. Marracash & Guè Pequeno), 7 Male, 8 Giovani Re, 9 Gelosi, 10 6 AM, 11 Salam Alaikum (feat. 7ari & Steve Aoki), 12 Gangang (feat. Lil Mosey), 13 $€ Freestyle;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-01;album;59znAGeM6NNmzTkkV6MHrT;Famoso;2020-11-20;88;Universal Music Italia srL.;https://i.scdn.co/image/ab67616d0000b273b87df8229fc018a11bf61b89;23TFHmajVfBtlRx5MXqgoz;Sfera Ebbasta;1 Bottiglie Privè, 2 Abracadabra (feat. Future), 3 Baby (with J Balvin), 4 Macarena (feat. Offset), 5 Hollywood (feat. Diplo), 6 Tik Tok (feat. Marracash & Guè Pequeno), 7 Male, 8 Giovani Re, 9 Gelosi, 10 6 AM, 11 Salam Alaikum (feat. 7ari & Steve Aoki), 12 Gangang (feat. Lil Mosey), 13 $€ Freestyle;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-02;album;59znAGeM6NNmzTkkV6MHrT;Famoso;2020-11-20;88;Universal Music Italia srL.;https://i.scdn.co/image/ab67616d0000b273b87df8229fc018a11bf61b89;23TFHmajVfBtlRx5MXqgoz;Sfera Ebbasta;1 Bottiglie Privè, 2 Abracadabra (feat. Future), 3 Baby (with J Balvin), 4 Macarena (feat. Offset), 5 Hollywood (feat. Diplo), 6 Tik Tok (feat. Marracash & Guè Pequeno), 7 Male, 8 Giovani Re, 9 Gelosi, 10 6 AM, 11 Salam Alaikum (feat. 7ari & Steve Aoki), 12 Gangang (feat. Lil Mosey), 13 $€ Freestyle;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-03;album;59znAGeM6NNmzTkkV6MHrT;Famoso;2020-11-20;89;Universal Music Italia srL.;https://i.scdn.co/image/ab67616d0000b273b87df8229fc018a11bf61b89;23TFHmajVfBtlRx5MXqgoz;Sfera Ebbasta;1 Bottiglie Privè, 2 Abracadabra (feat. Future), 3 Baby (with J Balvin), 4 Macarena (feat. Offset), 5 Hollywood (feat. Diplo), 6 Tik Tok (feat. Marracash & Guè Pequeno), 7 Male, 8 Giovani Re, 9 Gelosi, 10 6 AM, 11 Salam Alaikum (feat. 7ari & Steve Aoki), 12 Gangang (feat. Lil Mosey), 13 $€ Freestyle;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
