album_date_extract;album_type;album_id;album_name;album_release_date;album_popularity;album_label;album_image;artist_id;artist_name;tracks;available_markets
2020-11-30;album;5FwwdclcmWdXKxOn4akFlg;Rachmaninoff Piano Concerto No. 2;2020-11-23;30;Brilliant Classics;https://i.scdn.co/image/ab67616d0000b2737d91db2c565906e17eae2542;0Kekt6CKSo0m5mivKcoH51;Sergei Rachmaninoff;1 Piano Concerto No. 2 in C Minor, Op. 18: I. Moderato (1), 2 Piano Concerto No. 2 in C Minor, Op. 18: I. Moderato (2), 3 Piano Concerto No. 2 in C Minor, Op. 18: I. Moderato (3), 4 Piano Concerto No. 2 in C Minor, Op. 18: I. Moderato (4), 5 Piano Concerto No. 2 in C Minor, Op. 18: II. Adagio sostenuto (1), 6 Piano Concerto No. 2 in C Minor, Op. 18: II. Adagio sostenuto (2), 7 Piano Concerto No. 2 in C Minor, Op. 18: II. Adagio sostenuto (3), 8 Piano Concerto No. 2 in C Minor, Op. 18: II. Adagio sostenuto (4), 9 Piano Concerto No. 2 in C Minor, Op. 18: III. Allegro scherzando (1), 10 Piano Concerto No. 2 in C Minor, Op. 18: III. Allegro scherzando (2), 11 Piano Concerto No. 2 in C Minor, Op. 18: III. Allegro scherzando (3), 12 Piano Concerto No. 2 in C Minor, Op. 18: III. Allegro scherzando (4);AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-01;album;5FwwdclcmWdXKxOn4akFlg;Rachmaninoff Piano Concerto No. 2;2020-11-23;30;Brilliant Classics;https://i.scdn.co/image/ab67616d0000b2737d91db2c565906e17eae2542;0Kekt6CKSo0m5mivKcoH51;Sergei Rachmaninoff;1 Piano Concerto No. 2 in C Minor, Op. 18: I. Moderato (1), 2 Piano Concerto No. 2 in C Minor, Op. 18: I. Moderato (2), 3 Piano Concerto No. 2 in C Minor, Op. 18: I. Moderato (3), 4 Piano Concerto No. 2 in C Minor, Op. 18: I. Moderato (4), 5 Piano Concerto No. 2 in C Minor, Op. 18: II. Adagio sostenuto (1), 6 Piano Concerto No. 2 in C Minor, Op. 18: II. Adagio sostenuto (2), 7 Piano Concerto No. 2 in C Minor, Op. 18: II. Adagio sostenuto (3), 8 Piano Concerto No. 2 in C Minor, Op. 18: II. Adagio sostenuto (4), 9 Piano Concerto No. 2 in C Minor, Op. 18: III. Allegro scherzando (1), 10 Piano Concerto No. 2 in C Minor, Op. 18: III. Allegro scherzando (2), 11 Piano Concerto No. 2 in C Minor, Op. 18: III. Allegro scherzando (3), 12 Piano Concerto No. 2 in C Minor, Op. 18: III. Allegro scherzando (4);AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-02;album;5FwwdclcmWdXKxOn4akFlg;Rachmaninoff Piano Concerto No. 2;2020-11-23;31;Brilliant Classics;https://i.scdn.co/image/ab67616d0000b2737d91db2c565906e17eae2542;0Kekt6CKSo0m5mivKcoH51;Sergei Rachmaninoff;1 Piano Concerto No. 2 in C Minor, Op. 18: I. Moderato (1), 2 Piano Concerto No. 2 in C Minor, Op. 18: I. Moderato (2), 3 Piano Concerto No. 2 in C Minor, Op. 18: I. Moderato (3), 4 Piano Concerto No. 2 in C Minor, Op. 18: I. Moderato (4), 5 Piano Concerto No. 2 in C Minor, Op. 18: II. Adagio sostenuto (1), 6 Piano Concerto No. 2 in C Minor, Op. 18: II. Adagio sostenuto (2), 7 Piano Concerto No. 2 in C Minor, Op. 18: II. Adagio sostenuto (3), 8 Piano Concerto No. 2 in C Minor, Op. 18: II. Adagio sostenuto (4), 9 Piano Concerto No. 2 in C Minor, Op. 18: III. Allegro scherzando (1), 10 Piano Concerto No. 2 in C Minor, Op. 18: III. Allegro scherzando (2), 11 Piano Concerto No. 2 in C Minor, Op. 18: III. Allegro scherzando (3), 12 Piano Concerto No. 2 in C Minor, Op. 18: III. Allegro scherzando (4);AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-03;album;5FwwdclcmWdXKxOn4akFlg;Rachmaninoff Piano Concerto No. 2;2020-11-23;31;Brilliant Classics;https://i.scdn.co/image/ab67616d0000b2737d91db2c565906e17eae2542;0Kekt6CKSo0m5mivKcoH51;Sergei Rachmaninoff;1 Piano Concerto No. 2 in C Minor, Op. 18: I. Moderato (1), 2 Piano Concerto No. 2 in C Minor, Op. 18: I. Moderato (2), 3 Piano Concerto No. 2 in C Minor, Op. 18: I. Moderato (3), 4 Piano Concerto No. 2 in C Minor, Op. 18: I. Moderato (4), 5 Piano Concerto No. 2 in C Minor, Op. 18: II. Adagio sostenuto (1), 6 Piano Concerto No. 2 in C Minor, Op. 18: II. Adagio sostenuto (2), 7 Piano Concerto No. 2 in C Minor, Op. 18: II. Adagio sostenuto (3), 8 Piano Concerto No. 2 in C Minor, Op. 18: II. Adagio sostenuto (4), 9 Piano Concerto No. 2 in C Minor, Op. 18: III. Allegro scherzando (1), 10 Piano Concerto No. 2 in C Minor, Op. 18: III. Allegro scherzando (2), 11 Piano Concerto No. 2 in C Minor, Op. 18: III. Allegro scherzando (3), 12 Piano Concerto No. 2 in C Minor, Op. 18: III. Allegro scherzando (4);AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-04;album;5FwwdclcmWdXKxOn4akFlg;Rachmaninoff Piano Concerto No. 2;2020-11-23;31;Brilliant Classics;https://i.scdn.co/image/ab67616d0000b2737d91db2c565906e17eae2542;0Kekt6CKSo0m5mivKcoH51;Sergei Rachmaninoff;1 Piano Concerto No. 2 in C Minor, Op. 18: I. Moderato (1), 2 Piano Concerto No. 2 in C Minor, Op. 18: I. Moderato (2), 3 Piano Concerto No. 2 in C Minor, Op. 18: I. Moderato (3), 4 Piano Concerto No. 2 in C Minor, Op. 18: I. Moderato (4), 5 Piano Concerto No. 2 in C Minor, Op. 18: II. Adagio sostenuto (1), 6 Piano Concerto No. 2 in C Minor, Op. 18: II. Adagio sostenuto (2), 7 Piano Concerto No. 2 in C Minor, Op. 18: II. Adagio sostenuto (3), 8 Piano Concerto No. 2 in C Minor, Op. 18: II. Adagio sostenuto (4), 9 Piano Concerto No. 2 in C Minor, Op. 18: III. Allegro scherzando (1), 10 Piano Concerto No. 2 in C Minor, Op. 18: III. Allegro scherzando (2), 11 Piano Concerto No. 2 in C Minor, Op. 18: III. Allegro scherzando (3), 12 Piano Concerto No. 2 in C Minor, Op. 18: III. Allegro scherzando (4);AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-05;album;5FwwdclcmWdXKxOn4akFlg;Rachmaninoff Piano Concerto No. 2;2020-11-23;31;Brilliant Classics;https://i.scdn.co/image/ab67616d0000b2737d91db2c565906e17eae2542;0Kekt6CKSo0m5mivKcoH51;Sergei Rachmaninoff;1 Piano Concerto No. 2 in C Minor, Op. 18: I. Moderato (1), 2 Piano Concerto No. 2 in C Minor, Op. 18: I. Moderato (2), 3 Piano Concerto No. 2 in C Minor, Op. 18: I. Moderato (3), 4 Piano Concerto No. 2 in C Minor, Op. 18: I. Moderato (4), 5 Piano Concerto No. 2 in C Minor, Op. 18: II. Adagio sostenuto (1), 6 Piano Concerto No. 2 in C Minor, Op. 18: II. Adagio sostenuto (2), 7 Piano Concerto No. 2 in C Minor, Op. 18: II. Adagio sostenuto (3), 8 Piano Concerto No. 2 in C Minor, Op. 18: II. Adagio sostenuto (4), 9 Piano Concerto No. 2 in C Minor, Op. 18: III. Allegro scherzando (1), 10 Piano Concerto No. 2 in C Minor, Op. 18: III. Allegro scherzando (2), 11 Piano Concerto No. 2 in C Minor, Op. 18: III. Allegro scherzando (3), 12 Piano Concerto No. 2 in C Minor, Op. 18: III. Allegro scherzando (4);AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-06;album;5FwwdclcmWdXKxOn4akFlg;Rachmaninoff Piano Concerto No. 2;2020-11-23;31;Brilliant Classics;https://i.scdn.co/image/ab67616d0000b2737d91db2c565906e17eae2542;0Kekt6CKSo0m5mivKcoH51;Sergei Rachmaninoff;1 Piano Concerto No. 2 in C Minor, Op. 18: I. Moderato (1), 2 Piano Concerto No. 2 in C Minor, Op. 18: I. Moderato (2), 3 Piano Concerto No. 2 in C Minor, Op. 18: I. Moderato (3), 4 Piano Concerto No. 2 in C Minor, Op. 18: I. Moderato (4), 5 Piano Concerto No. 2 in C Minor, Op. 18: II. Adagio sostenuto (1), 6 Piano Concerto No. 2 in C Minor, Op. 18: II. Adagio sostenuto (2), 7 Piano Concerto No. 2 in C Minor, Op. 18: II. Adagio sostenuto (3), 8 Piano Concerto No. 2 in C Minor, Op. 18: II. Adagio sostenuto (4), 9 Piano Concerto No. 2 in C Minor, Op. 18: III. Allegro scherzando (1), 10 Piano Concerto No. 2 in C Minor, Op. 18: III. Allegro scherzando (2), 11 Piano Concerto No. 2 in C Minor, Op. 18: III. Allegro scherzando (3), 12 Piano Concerto No. 2 in C Minor, Op. 18: III. Allegro scherzando (4);AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-07;album;5FwwdclcmWdXKxOn4akFlg;Rachmaninoff Piano Concerto No. 2;2020-11-23;32;Brilliant Classics;https://i.scdn.co/image/ab67616d0000b2737d91db2c565906e17eae2542;0Kekt6CKSo0m5mivKcoH51;Sergei Rachmaninoff;1 Piano Concerto No. 2 in C Minor, Op. 18: I. Moderato (1), 2 Piano Concerto No. 2 in C Minor, Op. 18: I. Moderato (2), 3 Piano Concerto No. 2 in C Minor, Op. 18: I. Moderato (3), 4 Piano Concerto No. 2 in C Minor, Op. 18: I. Moderato (4), 5 Piano Concerto No. 2 in C Minor, Op. 18: II. Adagio sostenuto (1), 6 Piano Concerto No. 2 in C Minor, Op. 18: II. Adagio sostenuto (2), 7 Piano Concerto No. 2 in C Minor, Op. 18: II. Adagio sostenuto (3), 8 Piano Concerto No. 2 in C Minor, Op. 18: II. Adagio sostenuto (4), 9 Piano Concerto No. 2 in C Minor, Op. 18: III. Allegro scherzando (1), 10 Piano Concerto No. 2 in C Minor, Op. 18: III. Allegro scherzando (2), 11 Piano Concerto No. 2 in C Minor, Op. 18: III. Allegro scherzando (3), 12 Piano Concerto No. 2 in C Minor, Op. 18: III. Allegro scherzando (4);AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-08;album;5FwwdclcmWdXKxOn4akFlg;Rachmaninoff Piano Concerto No. 2;2020-11-23;32;Brilliant Classics;https://i.scdn.co/image/ab67616d0000b2737d91db2c565906e17eae2542;0Kekt6CKSo0m5mivKcoH51;Sergei Rachmaninoff;1 Piano Concerto No. 2 in C Minor, Op. 18: I. Moderato (1), 2 Piano Concerto No. 2 in C Minor, Op. 18: I. Moderato (2), 3 Piano Concerto No. 2 in C Minor, Op. 18: I. Moderato (3), 4 Piano Concerto No. 2 in C Minor, Op. 18: I. Moderato (4), 5 Piano Concerto No. 2 in C Minor, Op. 18: II. Adagio sostenuto (1), 6 Piano Concerto No. 2 in C Minor, Op. 18: II. Adagio sostenuto (2), 7 Piano Concerto No. 2 in C Minor, Op. 18: II. Adagio sostenuto (3), 8 Piano Concerto No. 2 in C Minor, Op. 18: II. Adagio sostenuto (4), 9 Piano Concerto No. 2 in C Minor, Op. 18: III. Allegro scherzando (1), 10 Piano Concerto No. 2 in C Minor, Op. 18: III. Allegro scherzando (2), 11 Piano Concerto No. 2 in C Minor, Op. 18: III. Allegro scherzando (3), 12 Piano Concerto No. 2 in C Minor, Op. 18: III. Allegro scherzando (4);AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-09;album;5FwwdclcmWdXKxOn4akFlg;Rachmaninoff Piano Concerto No 2;2020-11-23;32;Brilliant Classics;https://i.scdn.co/image/ab67616d0000b2737d91db2c565906e17eae2542;0Kekt6CKSo0m5mivKcoH51;Sergei Rachmaninoff;1 Piano Concerto No. 2 in C Minor, Op. 18: I. Moderato (1), 2 Piano Concerto No. 2 in C Minor, Op. 18: I. Moderato (2), 3 Piano Concerto No. 2 in C Minor, Op. 18: I. Moderato (3), 4 Piano Concerto No. 2 in C Minor, Op. 18: I. Moderato (4), 5 Piano Concerto No. 2 in C Minor, Op. 18: II. Adagio sostenuto (1), 6 Piano Concerto No. 2 in C Minor, Op. 18: II. Adagio sostenuto (2), 7 Piano Concerto No. 2 in C Minor, Op. 18: II. Adagio sostenuto (3), 8 Piano Concerto No. 2 in C Minor, Op. 18: II. Adagio sostenuto (4), 9 Piano Concerto No. 2 in C Minor, Op. 18: III. Allegro scherzando (1), 10 Piano Concerto No. 2 in C Minor, Op. 18: III. Allegro scherzando (2), 11 Piano Concerto No. 2 in C Minor, Op. 18: III. Allegro scherzando (3), 12 Piano Concerto No. 2 in C Minor, Op. 18: III. Allegro scherzando (4);AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
