album_date_extract;album_type;album_id;album_name;album_release_date;album_popularity;album_label;album_image;artist_id;artist_name;tracks;available_markets
2020-11-24;album;5s3SqoM2Url1gIZMJg03oq;ENERGY (Deluxe);2020-11-20;51;Universal-Island Records Ltd.;https://i.scdn.co/image/ab67616d0000b2739eaf17e9851e9e2a8717c73f;6nS5roXSAGhTGr34W6n7Et;Disclosure;1 Watch Your Step, 2 Lavender, 3 My High, 4 Who Knew?, 5 Douha (Mali Mali), 6 Fractal (Interlude), 7 Ce n'est pas, 8 ENERGY, 9 Thinking 'Bout You (Interlude), 10 Birthday, 11 Reverie, 1 Ecstasy, 2 Tondo, 3 Expressing What Matters, 4 Etran, 5 Get Close, 6 Know Your Worth, 7 Talk, 8 Birthday (Disclosure VIP Remix), 9 Birthday (MJ Cole Remix), 10 Who Knew? (Wookie Remix), 11 Watch Your Step (Denis Sulta Remix), 12 Ce n'est pas (Axel Boman Remix), 13 Douha (Mali Mali) (Theo Kottis Remix), 14 Douha (Mali Mali) (Joe Goddard Remix / Edit), 15 Watch Your Step (Harvey Sutherland Remix), 16 Who Knew? (DJ Seinfeld Remix);AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-25;album;5s3SqoM2Url1gIZMJg03oq;ENERGY (Deluxe);2020-11-20;52;Universal-Island Records Ltd.;https://i.scdn.co/image/ab67616d0000b2739eaf17e9851e9e2a8717c73f;6nS5roXSAGhTGr34W6n7Et;Disclosure;1 Watch Your Step, 2 Lavender, 3 My High, 4 Who Knew?, 5 Douha (Mali Mali), 6 Fractal (Interlude), 7 Ce n'est pas, 8 ENERGY, 9 Thinking 'Bout You (Interlude), 10 Birthday, 11 Reverie, 1 Ecstasy, 2 Tondo, 3 Expressing What Matters, 4 Etran, 5 Get Close, 6 Know Your Worth, 7 Talk, 8 Birthday (Disclosure VIP Remix), 9 Birthday (MJ Cole Remix), 10 Who Knew? (Wookie Remix), 11 Watch Your Step (Denis Sulta Remix), 12 Ce n'est pas (Axel Boman Remix), 13 Douha (Mali Mali) (Theo Kottis Remix), 14 Douha (Mali Mali) (Joe Goddard Remix / Edit), 15 Watch Your Step (Harvey Sutherland Remix), 16 Who Knew? (DJ Seinfeld Remix);AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-26;album;5s3SqoM2Url1gIZMJg03oq;ENERGY (Deluxe);2020-11-20;54;Universal-Island Records Ltd.;https://i.scdn.co/image/ab67616d0000b2739eaf17e9851e9e2a8717c73f;6nS5roXSAGhTGr34W6n7Et;Disclosure;1 Watch Your Step, 2 Lavender, 3 My High, 4 Who Knew?, 5 Douha (Mali Mali), 6 Fractal (Interlude), 7 Ce n'est pas, 8 ENERGY, 9 Thinking 'Bout You (Interlude), 10 Birthday, 11 Reverie, 1 Ecstasy, 2 Tondo, 3 Expressing What Matters, 4 Etran, 5 Get Close, 6 Know Your Worth, 7 Talk, 8 Birthday (Disclosure VIP Remix), 9 Birthday (MJ Cole Remix), 10 Who Knew? (Wookie Remix), 11 Watch Your Step (Denis Sulta Remix), 12 Ce n'est pas (Axel Boman Remix), 13 Douha (Mali Mali) (Theo Kottis Remix), 14 Douha (Mali Mali) (Joe Goddard Remix / Edit), 15 Watch Your Step (Harvey Sutherland Remix), 16 Who Knew? (DJ Seinfeld Remix);AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-27;album;5s3SqoM2Url1gIZMJg03oq;ENERGY (Deluxe);2020-11-20;55;Universal-Island Records Ltd.;https://i.scdn.co/image/ab67616d0000b2739eaf17e9851e9e2a8717c73f;6nS5roXSAGhTGr34W6n7Et;Disclosure;1 Watch Your Step, 2 Lavender, 3 My High, 4 Who Knew?, 5 Douha (Mali Mali), 6 Fractal (Interlude), 7 Ce n'est pas, 8 ENERGY, 9 Thinking 'Bout You (Interlude), 10 Birthday, 11 Reverie, 1 Ecstasy, 2 Tondo, 3 Expressing What Matters, 4 Etran, 5 Get Close, 6 Know Your Worth, 7 Talk, 8 Birthday (Disclosure VIP Remix), 9 Birthday (MJ Cole Remix), 10 Who Knew? (Wookie Remix), 11 Watch Your Step (Denis Sulta Remix), 12 Ce n'est pas (Axel Boman Remix), 13 Douha (Mali Mali) (Theo Kottis Remix), 14 Douha (Mali Mali) (Joe Goddard Remix / Edit), 15 Watch Your Step (Harvey Sutherland Remix), 16 Who Knew? (DJ Seinfeld Remix);AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-28;album;5s3SqoM2Url1gIZMJg03oq;ENERGY (Deluxe);2020-11-20;55;Universal-Island Records Ltd.;https://i.scdn.co/image/ab67616d0000b2739eaf17e9851e9e2a8717c73f;6nS5roXSAGhTGr34W6n7Et;Disclosure;1 Watch Your Step, 2 Lavender, 3 My High, 4 Who Knew?, 5 Douha (Mali Mali), 6 Fractal (Interlude), 7 Ce n'est pas, 8 ENERGY, 9 Thinking 'Bout You (Interlude), 10 Birthday, 11 Reverie, 1 Ecstasy, 2 Tondo, 3 Expressing What Matters, 4 Etran, 5 Get Close, 6 Know Your Worth, 7 Talk, 8 Birthday (Disclosure VIP Remix), 9 Birthday (MJ Cole Remix), 10 Who Knew? (Wookie Remix), 11 Watch Your Step (Denis Sulta Remix), 12 Ce n'est pas (Axel Boman Remix), 13 Douha (Mali Mali) (Theo Kottis Remix), 14 Douha (Mali Mali) (Joe Goddard Remix / Edit), 15 Watch Your Step (Harvey Sutherland Remix), 16 Who Knew? (DJ Seinfeld Remix);AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-29;album;5s3SqoM2Url1gIZMJg03oq;ENERGY (Deluxe);2020-11-20;56;Universal-Island Records Ltd.;https://i.scdn.co/image/ab67616d0000b2739eaf17e9851e9e2a8717c73f;6nS5roXSAGhTGr34W6n7Et;Disclosure;1 Watch Your Step, 2 Lavender, 3 My High, 4 Who Knew?, 5 Douha (Mali Mali), 6 Fractal (Interlude), 7 Ce n'est pas, 8 ENERGY, 9 Thinking 'Bout You (Interlude), 10 Birthday, 11 Reverie, 1 Ecstasy, 2 Tondo, 3 Expressing What Matters, 4 Etran, 5 Get Close, 6 Know Your Worth, 7 Talk, 8 Birthday (Disclosure VIP Remix), 9 Birthday (MJ Cole Remix), 10 Who Knew? (Wookie Remix), 11 Watch Your Step (Denis Sulta Remix), 12 Ce n'est pas (Axel Boman Remix), 13 Douha (Mali Mali) (Theo Kottis Remix), 14 Douha (Mali Mali) (Joe Goddard Remix / Edit), 15 Watch Your Step (Harvey Sutherland Remix), 16 Who Knew? (DJ Seinfeld Remix);AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-30;album;5s3SqoM2Url1gIZMJg03oq;ENERGY (Deluxe);2020-11-20;57;Universal-Island Records Ltd.;https://i.scdn.co/image/ab67616d0000b2739eaf17e9851e9e2a8717c73f;6nS5roXSAGhTGr34W6n7Et;Disclosure;1 Watch Your Step, 2 Lavender, 3 My High, 4 Who Knew?, 5 Douha (Mali Mali), 6 Fractal (Interlude), 7 Ce n'est pas, 8 ENERGY, 9 Thinking 'Bout You (Interlude), 10 Birthday, 11 Reverie, 1 Ecstasy, 2 Tondo, 3 Expressing What Matters, 4 Etran, 5 Get Close, 6 Know Your Worth, 7 Talk, 8 Birthday (Disclosure VIP Remix), 9 Birthday (MJ Cole Remix), 10 Who Knew? (Wookie Remix), 11 Watch Your Step (Denis Sulta Remix), 12 Ce n'est pas (Axel Boman Remix), 13 Douha (Mali Mali) (Theo Kottis Remix), 14 Douha (Mali Mali) (Joe Goddard Remix / Edit), 15 Watch Your Step (Harvey Sutherland Remix), 16 Who Knew? (DJ Seinfeld Remix);AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-01;album;5s3SqoM2Url1gIZMJg03oq;ENERGY (Deluxe);2020-11-20;57;Universal-Island Records Ltd.;https://i.scdn.co/image/ab67616d0000b2739eaf17e9851e9e2a8717c73f;6nS5roXSAGhTGr34W6n7Et;Disclosure;1 Watch Your Step, 2 Lavender, 3 My High, 4 Who Knew?, 5 Douha (Mali Mali), 6 Fractal (Interlude), 7 Ce n'est pas, 8 ENERGY, 9 Thinking 'Bout You (Interlude), 10 Birthday, 11 Reverie, 1 Ecstasy, 2 Tondo, 3 Expressing What Matters, 4 Etran, 5 Get Close, 6 Know Your Worth, 7 Talk, 8 Birthday (Disclosure VIP Remix), 9 Birthday (MJ Cole Remix), 10 Who Knew? (Wookie Remix), 11 Watch Your Step (Denis Sulta Remix), 12 Ce n'est pas (Axel Boman Remix), 13 Douha (Mali Mali) (Theo Kottis Remix), 14 Douha (Mali Mali) (Joe Goddard Remix / Edit), 15 Watch Your Step (Harvey Sutherland Remix), 16 Who Knew? (DJ Seinfeld Remix);AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-02;album;5s3SqoM2Url1gIZMJg03oq;ENERGY (Deluxe);2020-11-20;58;Universal-Island Records Ltd.;https://i.scdn.co/image/ab67616d0000b2739eaf17e9851e9e2a8717c73f;6nS5roXSAGhTGr34W6n7Et;Disclosure;1 Watch Your Step, 2 Lavender, 3 My High, 4 Who Knew?, 5 Douha (Mali Mali), 6 Fractal (Interlude), 7 Ce n'est pas, 8 ENERGY, 9 Thinking 'Bout You (Interlude), 10 Birthday, 11 Reverie, 1 Ecstasy, 2 Tondo, 3 Expressing What Matters, 4 Etran, 5 Get Close, 6 Know Your Worth, 7 Talk, 8 Birthday (Disclosure VIP Remix), 9 Birthday (MJ Cole Remix), 10 Who Knew? (Wookie Remix), 11 Watch Your Step (Denis Sulta Remix), 12 Ce n'est pas (Axel Boman Remix), 13 Douha (Mali Mali) (Theo Kottis Remix), 14 Douha (Mali Mali) (Joe Goddard Remix / Edit), 15 Watch Your Step (Harvey Sutherland Remix), 16 Who Knew? (DJ Seinfeld Remix);AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-03;album;5s3SqoM2Url1gIZMJg03oq;ENERGY (Deluxe);2020-11-20;58;Universal-Island Records Ltd.;https://i.scdn.co/image/ab67616d0000b2739eaf17e9851e9e2a8717c73f;6nS5roXSAGhTGr34W6n7Et;Disclosure;1 Watch Your Step, 2 Lavender, 3 My High, 4 Who Knew?, 5 Douha (Mali Mali), 6 Fractal (Interlude), 7 Ce n'est pas, 8 ENERGY, 9 Thinking 'Bout You (Interlude), 10 Birthday, 11 Reverie, 1 Ecstasy, 2 Tondo, 3 Expressing What Matters, 4 Etran, 5 Get Close, 6 Know Your Worth, 7 Talk, 8 Birthday (Disclosure VIP Remix), 9 Birthday (MJ Cole Remix), 10 Who Knew? (Wookie Remix), 11 Watch Your Step (Denis Sulta Remix), 12 Ce n'est pas (Axel Boman Remix), 13 Douha (Mali Mali) (Theo Kottis Remix), 14 Douha (Mali Mali) (Joe Goddard Remix / Edit), 15 Watch Your Step (Harvey Sutherland Remix), 16 Who Knew? (DJ Seinfeld Remix);AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
