album_date_extract;album_type;album_id;album_name;album_release_date;album_popularity;album_label;album_image;artist_id;artist_name;tracks;available_markets
2020-11-24;single;5stR2YT6kaCj8dOe6VjGvo;Holidays;2020-11-20;30;UMG Recordings, Inc.;https://i.scdn.co/image/ab67616d0000b2739b01ff6b1eac09ddec7811ed;4STHEaNw4mPZ2tzheohgXB;Paul McCartney;1 Wonderful Christmastime [Edited Version] - Remastered 2011 / Edited Version, 2 Coming Up - Live At Glasgow / 1979 / Remastered 2011, 3 Pipes Of Peace - Remastered 2015, 4 The Christmas Song (Chestnuts Roasting On An Open Fire), 5 Hosanna, 6 Lady Madonna - Live / Remastered;AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JP, KW, LB, LT, LU, LV, MA, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-25;single;5stR2YT6kaCj8dOe6VjGvo;Holidays;2020-11-20;32;UMG Recordings, Inc.;https://i.scdn.co/image/ab67616d0000b2739b01ff6b1eac09ddec7811ed;4STHEaNw4mPZ2tzheohgXB;Paul McCartney;1 Wonderful Christmastime [Edited Version] - Remastered 2011 / Edited Version, 2 Coming Up - Live At Glasgow / 1979 / Remastered 2011, 3 Pipes Of Peace - Remastered 2015, 4 The Christmas Song (Chestnuts Roasting On An Open Fire), 5 Hosanna, 6 Lady Madonna - Live / Remastered;AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JP, KW, LB, LT, LU, LV, MA, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-26;single;5stR2YT6kaCj8dOe6VjGvo;Holidays;2020-11-20;33;UMG Recordings, Inc.;https://i.scdn.co/image/ab67616d0000b2739b01ff6b1eac09ddec7811ed;4STHEaNw4mPZ2tzheohgXB;Paul McCartney;1 Wonderful Christmastime [Edited Version] - Remastered 2011 / Edited Version, 2 Coming Up - Live At Glasgow / 1979 / Remastered 2011, 3 Pipes Of Peace - Remastered 2015, 4 The Christmas Song (Chestnuts Roasting On An Open Fire), 5 Hosanna, 6 Lady Madonna - Live / Remastered;AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JP, KW, LB, LT, LU, LV, MA, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-27;single;5stR2YT6kaCj8dOe6VjGvo;Holidays;2020-11-20;34;UMG Recordings, Inc.;https://i.scdn.co/image/ab67616d0000b2739b01ff6b1eac09ddec7811ed;4STHEaNw4mPZ2tzheohgXB;Paul McCartney;1 Wonderful Christmastime [Edited Version] - Remastered 2011 / Edited Version, 2 Coming Up - Live At Glasgow / 1979 / Remastered 2011, 3 Pipes Of Peace - Remastered 2015, 4 The Christmas Song (Chestnuts Roasting On An Open Fire), 5 Hosanna, 6 Lady Madonna - Live / Remastered;AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JP, KW, LB, LT, LU, LV, MA, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-28;single;5stR2YT6kaCj8dOe6VjGvo;Holidays;2020-11-20;35;UMG Recordings, Inc.;https://i.scdn.co/image/ab67616d0000b2739b01ff6b1eac09ddec7811ed;4STHEaNw4mPZ2tzheohgXB;Paul McCartney;1 Wonderful Christmastime [Edited Version] - Remastered 2011 / Edited Version, 2 Coming Up - Live At Glasgow / 1979 / Remastered 2011, 3 Pipes Of Peace - Remastered 2015, 4 The Christmas Song (Chestnuts Roasting On An Open Fire), 5 Hosanna, 6 Lady Madonna - Live / Remastered;AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JP, KW, LB, LT, LU, LV, MA, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-29;single;5stR2YT6kaCj8dOe6VjGvo;Holidays;2020-11-20;35;UMG Recordings, Inc.;https://i.scdn.co/image/ab67616d0000b2739b01ff6b1eac09ddec7811ed;4STHEaNw4mPZ2tzheohgXB;Paul McCartney;1 Wonderful Christmastime [Edited Version] - Remastered 2011 / Edited Version, 2 Coming Up - Live At Glasgow / 1979 / Remastered 2011, 3 Pipes Of Peace - Remastered 2015, 4 The Christmas Song (Chestnuts Roasting On An Open Fire), 5 Hosanna, 6 Lady Madonna - Live / Remastered;AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JP, KW, LB, LT, LU, LV, MA, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-30;single;5stR2YT6kaCj8dOe6VjGvo;Holidays;2020-11-20;36;UMG Recordings, Inc.;https://i.scdn.co/image/ab67616d0000b2739b01ff6b1eac09ddec7811ed;4STHEaNw4mPZ2tzheohgXB;Paul McCartney;1 Wonderful Christmastime [Edited Version] - Remastered 2011 / Edited Version, 2 Coming Up - Live At Glasgow / 1979 / Remastered 2011, 3 Pipes Of Peace - Remastered 2015, 4 The Christmas Song (Chestnuts Roasting On An Open Fire), 5 Hosanna, 6 Lady Madonna - Live / Remastered;AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JP, KW, LB, LT, LU, LV, MA, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-01;single;5stR2YT6kaCj8dOe6VjGvo;Holidays;2020-11-20;36;UMG Recordings, Inc.;https://i.scdn.co/image/ab67616d0000b2739b01ff6b1eac09ddec7811ed;4STHEaNw4mPZ2tzheohgXB;Paul McCartney;1 Wonderful Christmastime [Edited Version] - Remastered 2011 / Edited Version, 2 Coming Up - Live At Glasgow / 1979 / Remastered 2011, 3 Pipes Of Peace - Remastered 2015, 4 The Christmas Song (Chestnuts Roasting On An Open Fire), 5 Hosanna, 6 Lady Madonna - Live / Remastered;AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JP, KW, LB, LT, LU, LV, MA, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-02;single;5stR2YT6kaCj8dOe6VjGvo;Holidays;2020-11-20;37;UMG Recordings, Inc.;https://i.scdn.co/image/ab67616d0000b2739b01ff6b1eac09ddec7811ed;4STHEaNw4mPZ2tzheohgXB;Paul McCartney;1 Wonderful Christmastime [Edited Version] - Remastered 2011 / Edited Version, 2 Coming Up - Live At Glasgow / 1979 / Remastered 2011, 3 Pipes Of Peace - Remastered 2015, 4 The Christmas Song (Chestnuts Roasting On An Open Fire), 5 Hosanna, 6 Lady Madonna - Live / Remastered;AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JP, KW, LB, LT, LU, LV, MA, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-03;single;5stR2YT6kaCj8dOe6VjGvo;Holidays;2020-11-20;38;UMG Recordings, Inc.;https://i.scdn.co/image/ab67616d0000b2739b01ff6b1eac09ddec7811ed;4STHEaNw4mPZ2tzheohgXB;Paul McCartney;1 Wonderful Christmastime [Edited Version] - Remastered 2011 / Edited Version, 2 Coming Up - Live At Glasgow / 1979 / Remastered 2011, 3 Pipes Of Peace - Remastered 2015, 4 The Christmas Song (Chestnuts Roasting On An Open Fire), 5 Hosanna, 6 Lady Madonna - Live / Remastered;AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JP, KW, LB, LT, LU, LV, MA, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
