album_date_extract;album_type;album_id;album_name;album_release_date;album_popularity;album_label;album_image;artist_id;artist_name;tracks;available_markets
2020-11-30;single;60UqJ4MBK5pQgPy08B7fLn;All I Want for Christmas Is You;2020-11-27;15;Dylan Matthew & Danny Olson Music;https://i.scdn.co/image/ab67616d0000b273bd232193032cf61eda84f3b8;6d0ZjIp5L7Ygy2l02HskRX;Dylan Matthew;1 All I Want for Christmas Is You;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-01;single;60UqJ4MBK5pQgPy08B7fLn;All I Want for Christmas Is You;2020-11-27;20;Dylan Matthew & Danny Olson Music;https://i.scdn.co/image/ab67616d0000b273bd232193032cf61eda84f3b8;6d0ZjIp5L7Ygy2l02HskRX;Dylan Matthew;1 All I Want for Christmas Is You;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-02;single;60UqJ4MBK5pQgPy08B7fLn;All I Want for Christmas Is You;2020-11-27;23;Dylan Matthew & Danny Olson Music;https://i.scdn.co/image/ab67616d0000b273bd232193032cf61eda84f3b8;6d0ZjIp5L7Ygy2l02HskRX;Dylan Matthew;1 All I Want for Christmas Is You;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-03;single;60UqJ4MBK5pQgPy08B7fLn;All I Want for Christmas Is You;2020-11-27;25;Dylan Matthew & Danny Olson Music;https://i.scdn.co/image/ab67616d0000b273bd232193032cf61eda84f3b8;6d0ZjIp5L7Ygy2l02HskRX;Dylan Matthew;1 All I Want for Christmas Is You;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-04;single;60UqJ4MBK5pQgPy08B7fLn;All I Want for Christmas Is You;2020-11-27;26;Dylan Matthew & Danny Olson Music;https://i.scdn.co/image/ab67616d0000b273bd232193032cf61eda84f3b8;6d0ZjIp5L7Ygy2l02HskRX;Dylan Matthew;1 All I Want for Christmas Is You;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-05;single;60UqJ4MBK5pQgPy08B7fLn;All I Want for Christmas Is You;2020-11-27;27;Dylan Matthew & Danny Olson Music;https://i.scdn.co/image/ab67616d0000b273bd232193032cf61eda84f3b8;6d0ZjIp5L7Ygy2l02HskRX;Dylan Matthew;1 All I Want for Christmas Is You;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-06;single;60UqJ4MBK5pQgPy08B7fLn;All I Want for Christmas Is You;2020-11-27;29;Dylan Matthew & Danny Olson Music;https://i.scdn.co/image/ab67616d0000b273bd232193032cf61eda84f3b8;6d0ZjIp5L7Ygy2l02HskRX;Dylan Matthew;1 All I Want for Christmas Is You;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-07;single;60UqJ4MBK5pQgPy08B7fLn;All I Want for Christmas Is You;2020-11-27;31;Dylan Matthew & Danny Olson Music;https://i.scdn.co/image/ab67616d0000b273bd232193032cf61eda84f3b8;6d0ZjIp5L7Ygy2l02HskRX;Dylan Matthew;1 All I Want for Christmas Is You;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-08;single;60UqJ4MBK5pQgPy08B7fLn;All I Want for Christmas Is You;2020-11-27;32;Dylan Matthew & Danny Olson Music;https://i.scdn.co/image/ab67616d0000b273bd232193032cf61eda84f3b8;6d0ZjIp5L7Ygy2l02HskRX;Dylan Matthew;1 All I Want for Christmas Is You;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-09;single;60UqJ4MBK5pQgPy08B7fLn;All I Want for Christmas Is You;2020-11-27;33;Dylan Matthew & Danny Olson Music;https://i.scdn.co/image/ab67616d0000b273bd232193032cf61eda84f3b8;6d0ZjIp5L7Ygy2l02HskRX;Dylan Matthew;1 All I Want for Christmas Is You;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
