album_date_extract;album_type;album_id;album_name;album_release_date;album_popularity;album_label;album_image;artist_id;artist_name;tracks;available_markets
2020-11-30;single;61fqowPL9h1FKwGMz3VWLa;Traveling in Binaural;2020-11-27;14;Epidemic Sound;https://i.scdn.co/image/ab67616d0000b2739bdbc7b82f67d0f32eefdf1d;2N40EmjIUVBHidajBVs3Px;Joseph Beg;1 Traveling in Binaural, 2 Etyde in Gamma, 3 Emos of Binaural, 4 Binaural Overlay, 5 Tiramisu;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-01;single;61fqowPL9h1FKwGMz3VWLa;Traveling in Binaural;2020-11-27;18;Epidemic Sound;https://i.scdn.co/image/ab67616d0000b2739bdbc7b82f67d0f32eefdf1d;2N40EmjIUVBHidajBVs3Px;Joseph Beg;1 Traveling in Binaural, 2 Etyde in Gamma, 3 Emos of Binaural, 4 Binaural Overlay, 5 Tiramisu;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-02;single;61fqowPL9h1FKwGMz3VWLa;Traveling in Binaural;2020-11-27;20;Epidemic Sound;https://i.scdn.co/image/ab67616d0000b2739bdbc7b82f67d0f32eefdf1d;2N40EmjIUVBHidajBVs3Px;Joseph Beg;1 Traveling in Binaural, 2 Etyde in Gamma, 3 Emos of Binaural, 4 Binaural Overlay, 5 Tiramisu;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-03;single;61fqowPL9h1FKwGMz3VWLa;Traveling in Binaural;2020-11-27;21;Epidemic Sound;https://i.scdn.co/image/ab67616d0000b2739bdbc7b82f67d0f32eefdf1d;2N40EmjIUVBHidajBVs3Px;Joseph Beg;1 Traveling in Binaural, 2 Etyde in Gamma, 3 Emos of Binaural, 4 Binaural Overlay, 5 Tiramisu;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-04;single;61fqowPL9h1FKwGMz3VWLa;Traveling in Binaural;2020-11-27;22;Epidemic Sound;https://i.scdn.co/image/ab67616d0000b2739bdbc7b82f67d0f32eefdf1d;2N40EmjIUVBHidajBVs3Px;Joseph Beg;1 Traveling in Binaural, 2 Etyde in Gamma, 3 Emos of Binaural, 4 Binaural Overlay, 5 Tiramisu;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-05;single;61fqowPL9h1FKwGMz3VWLa;Traveling in Binaural;2020-11-27;23;Epidemic Sound;https://i.scdn.co/image/ab67616d0000b2739bdbc7b82f67d0f32eefdf1d;2N40EmjIUVBHidajBVs3Px;Joseph Beg;1 Traveling in Binaural, 2 Etyde in Gamma, 3 Emos of Binaural, 4 Binaural Overlay, 5 Tiramisu;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-06;single;61fqowPL9h1FKwGMz3VWLa;Traveling in Binaural;2020-11-27;23;Epidemic Sound;https://i.scdn.co/image/ab67616d0000b2739bdbc7b82f67d0f32eefdf1d;2N40EmjIUVBHidajBVs3Px;Joseph Beg;1 Traveling in Binaural, 2 Etyde in Gamma, 3 Emos of Binaural, 4 Binaural Overlay, 5 Tiramisu;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-07;single;61fqowPL9h1FKwGMz3VWLa;Traveling in Binaural;2020-11-27;24;Epidemic Sound;https://i.scdn.co/image/ab67616d0000b2739bdbc7b82f67d0f32eefdf1d;2N40EmjIUVBHidajBVs3Px;Joseph Beg;1 Traveling in Binaural, 2 Etyde in Gamma, 3 Emos of Binaural, 4 Binaural Overlay, 5 Tiramisu;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-08;single;61fqowPL9h1FKwGMz3VWLa;Traveling in Binaural;2020-11-27;24;Epidemic Sound;https://i.scdn.co/image/ab67616d0000b2739bdbc7b82f67d0f32eefdf1d;2N40EmjIUVBHidajBVs3Px;Joseph Beg;1 Traveling in Binaural, 2 Etyde in Gamma, 3 Emos of Binaural, 4 Binaural Overlay, 5 Tiramisu;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-09;single;61fqowPL9h1FKwGMz3VWLa;Traveling in Binaural;2020-11-27;24;Epidemic Sound;https://i.scdn.co/image/ab67616d0000b2739bdbc7b82f67d0f32eefdf1d;2N40EmjIUVBHidajBVs3Px;Joseph Beg;1 Traveling in Binaural, 2 Etyde in Gamma, 3 Emos of Binaural, 4 Binaural Overlay, 5 Tiramisu;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
