album_date_extract;album_type;album_id;album_name;album_release_date;album_popularity;album_label;album_image;artist_id;artist_name;tracks;available_markets
2020-11-30;album;7naqgpQKuVMIleZDQ1KnTo;Extinction Level Event 2 The Wrath of God (The Deluxe Edition);2020-11-27;23;The Conglomerate Entertainment, Inc. / EMPIRE;https://i.scdn.co/image/ab67616d0000b273af841df097e3004e214f787b;1YfEcTuGvBQ8xSD1f53UnK;Busta Rhymes;1 E.L.E. 2 Intro, 2 The Purge, 3 Strap Yourself Down, 4 Czar, 5 Outta My Mind (feat. Bell Biv Devoe), 6 E.L.E. 2 The Wrath of God (feat. Minister Louis Farrakhan), 7 Slow Flow, 8 Don't Go, 9 Boomp!, 10 True Indeed, 11 Master Fard Muhammad, 12 YUUUU, 13 Oh No, 14 The Don & The Boss, 15 Best I Can, 16 Where I Belong (feat. Mariah Carey), 17 Deep Thought, 18 The Young God Speaks, 19 Look Over Your Shoulder (feat. Kendrick Lamar), 20 You Will Never Find Another Me (feat. Mary J. Blige), 21 Freedom? (feat. Nikki Grier), 22 Satanic, 23 Blowing The Speakers, 24 Who Are You, 25 Hope Your Dreams Come True, 26 Calm Down (feat. Eminem), 27 Czar (feat. M.O.P. & CJ) - Remix, 28 Follow the Wave (feat. Flipmode Squad, Rampage, Rah Digga & Spliff Star), 29 Blow A Million Racks, 30 Hey You (feat. TRILLIAN);AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-01;album;7naqgpQKuVMIleZDQ1KnTo;Extinction Level Event 2 The Wrath of God (The Deluxe Edition);2020-11-27;27;The Conglomerate Entertainment, Inc. / EMPIRE;https://i.scdn.co/image/ab67616d0000b273af841df097e3004e214f787b;1YfEcTuGvBQ8xSD1f53UnK;Busta Rhymes;1 E.L.E. 2 Intro, 2 The Purge, 3 Strap Yourself Down, 4 Czar, 5 Outta My Mind (feat. Bell Biv Devoe), 6 E.L.E. 2 The Wrath of God (feat. Minister Louis Farrakhan), 7 Slow Flow, 8 Don't Go, 9 Boomp!, 10 True Indeed, 11 Master Fard Muhammad, 12 YUUUU, 13 Oh No, 14 The Don & The Boss, 15 Best I Can, 16 Where I Belong (feat. Mariah Carey), 17 Deep Thought, 18 The Young God Speaks, 19 Look Over Your Shoulder (feat. Kendrick Lamar), 20 You Will Never Find Another Me (feat. Mary J. Blige), 21 Freedom? (feat. Nikki Grier), 22 Satanic, 23 Blowing The Speakers, 24 Who Are You, 25 Hope Your Dreams Come True, 26 Calm Down (feat. Eminem), 27 Czar (feat. M.O.P. & CJ) - Remix, 28 Follow the Wave (feat. Flipmode Squad, Rampage, Rah Digga & Spliff Star), 29 Blow A Million Racks, 30 Hey You (feat. TRILLIAN);AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-02;album;7naqgpQKuVMIleZDQ1KnTo;Extinction Level Event 2 The Wrath of God (The Deluxe Edition);2020-11-27;29;The Conglomerate Entertainment, Inc. / EMPIRE;https://i.scdn.co/image/ab67616d0000b273af841df097e3004e214f787b;1YfEcTuGvBQ8xSD1f53UnK;Busta Rhymes;1 E.L.E. 2 Intro, 2 The Purge, 3 Strap Yourself Down, 4 Czar, 5 Outta My Mind (feat. Bell Biv Devoe), 6 E.L.E. 2 The Wrath of God (feat. Minister Louis Farrakhan), 7 Slow Flow, 8 Don't Go, 9 Boomp!, 10 True Indeed, 11 Master Fard Muhammad, 12 YUUUU, 13 Oh No, 14 The Don & The Boss, 15 Best I Can, 16 Where I Belong (feat. Mariah Carey), 17 Deep Thought, 18 The Young God Speaks, 19 Look Over Your Shoulder (feat. Kendrick Lamar), 20 You Will Never Find Another Me (feat. Mary J. Blige), 21 Freedom? (feat. Nikki Grier), 22 Satanic, 23 Blowing The Speakers, 24 Who Are You, 25 Hope Your Dreams Come True, 26 Calm Down (feat. Eminem), 27 Czar (feat. M.O.P. & CJ) - Remix, 28 Follow the Wave (feat. Flipmode Squad, Rampage, Rah Digga & Spliff Star), 29 Blow A Million Racks, 30 Hey You (feat. TRILLIAN);AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-03;album;7naqgpQKuVMIleZDQ1KnTo;Extinction Level Event 2 The Wrath of God (The Deluxe Edition);2020-11-27;30;The Conglomerate Entertainment, Inc. / EMPIRE;https://i.scdn.co/image/ab67616d0000b273af841df097e3004e214f787b;1YfEcTuGvBQ8xSD1f53UnK;Busta Rhymes;1 E.L.E. 2 Intro, 2 The Purge, 3 Strap Yourself Down, 4 Czar, 5 Outta My Mind (feat. Bell Biv Devoe), 6 E.L.E. 2 The Wrath of God (feat. Minister Louis Farrakhan), 7 Slow Flow, 8 Don't Go, 9 Boomp!, 10 True Indeed, 11 Master Fard Muhammad, 12 YUUUU, 13 Oh No, 14 The Don & The Boss, 15 Best I Can, 16 Where I Belong (feat. Mariah Carey), 17 Deep Thought, 18 The Young God Speaks, 19 Look Over Your Shoulder (feat. Kendrick Lamar), 20 You Will Never Find Another Me (feat. Mary J. Blige), 21 Freedom? (feat. Nikki Grier), 22 Satanic, 23 Blowing The Speakers, 24 Who Are You, 25 Hope Your Dreams Come True, 26 Calm Down (feat. Eminem), 27 Czar (feat. M.O.P. & CJ) - Remix, 28 Follow the Wave (feat. Flipmode Squad, Rampage, Rah Digga & Spliff Star), 29 Blow A Million Racks, 30 Hey You (feat. TRILLIAN);AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-04;album;7naqgpQKuVMIleZDQ1KnTo;Extinction Level Event 2 The Wrath of God (The Deluxe Edition);2020-11-27;32;The Conglomerate Entertainment, Inc. / EMPIRE;https://i.scdn.co/image/ab67616d0000b273af841df097e3004e214f787b;1YfEcTuGvBQ8xSD1f53UnK;Busta Rhymes;1 E.L.E. 2 Intro, 2 The Purge, 3 Strap Yourself Down, 4 Czar, 5 Outta My Mind (feat. Bell Biv Devoe), 6 E.L.E. 2 The Wrath of God (feat. Minister Louis Farrakhan), 7 Slow Flow, 8 Don't Go, 9 Boomp!, 10 True Indeed, 11 Master Fard Muhammad, 12 YUUUU, 13 Oh No, 14 The Don & The Boss, 15 Best I Can, 16 Where I Belong (feat. Mariah Carey), 17 Deep Thought, 18 The Young God Speaks, 19 Look Over Your Shoulder (feat. Kendrick Lamar), 20 You Will Never Find Another Me (feat. Mary J. Blige), 21 Freedom? (feat. Nikki Grier), 22 Satanic, 23 Blowing The Speakers, 24 Who Are You, 25 Hope Your Dreams Come True, 26 Calm Down (feat. Eminem), 27 Czar (feat. M.O.P. & CJ) - Remix, 28 Follow the Wave (feat. Flipmode Squad, Rampage, Rah Digga & Spliff Star), 29 Blow A Million Racks, 30 Hey You (feat. TRILLIAN);AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-05;album;7naqgpQKuVMIleZDQ1KnTo;Extinction Level Event 2 The Wrath of God (The Deluxe Edition);2020-11-27;33;The Conglomerate Entertainment, Inc. / EMPIRE;https://i.scdn.co/image/ab67616d0000b273af841df097e3004e214f787b;1YfEcTuGvBQ8xSD1f53UnK;Busta Rhymes;1 E.L.E. 2 Intro, 2 The Purge, 3 Strap Yourself Down, 4 Czar, 5 Outta My Mind (feat. Bell Biv Devoe), 6 E.L.E. 2 The Wrath of God (feat. Minister Louis Farrakhan), 7 Slow Flow, 8 Don't Go, 9 Boomp!, 10 True Indeed, 11 Master Fard Muhammad, 12 YUUUU, 13 Oh No, 14 The Don & The Boss, 15 Best I Can, 16 Where I Belong (feat. Mariah Carey), 17 Deep Thought, 18 The Young God Speaks, 19 Look Over Your Shoulder (feat. Kendrick Lamar), 20 You Will Never Find Another Me (feat. Mary J. Blige), 21 Freedom? (feat. Nikki Grier), 22 Satanic, 23 Blowing The Speakers, 24 Who Are You, 25 Hope Your Dreams Come True, 26 Calm Down (feat. Eminem), 27 Czar (feat. M.O.P. & CJ) - Remix, 28 Follow the Wave (feat. Flipmode Squad, Rampage, Rah Digga & Spliff Star), 29 Blow A Million Racks, 30 Hey You (feat. TRILLIAN);AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-06;album;7naqgpQKuVMIleZDQ1KnTo;Extinction Level Event 2 The Wrath of God (The Deluxe Edition);2020-11-27;35;The Conglomerate Entertainment, Inc. / EMPIRE;https://i.scdn.co/image/ab67616d0000b273af841df097e3004e214f787b;1YfEcTuGvBQ8xSD1f53UnK;Busta Rhymes;1 E.L.E. 2 Intro, 2 The Purge, 3 Strap Yourself Down, 4 Czar, 5 Outta My Mind (feat. Bell Biv Devoe), 6 E.L.E. 2 The Wrath of God (feat. Minister Louis Farrakhan), 7 Slow Flow, 8 Don't Go, 9 Boomp!, 10 True Indeed, 11 Master Fard Muhammad, 12 YUUUU, 13 Oh No, 14 The Don & The Boss, 15 Best I Can, 16 Where I Belong (feat. Mariah Carey), 17 Deep Thought, 18 The Young God Speaks, 19 Look Over Your Shoulder (feat. Kendrick Lamar), 20 You Will Never Find Another Me (feat. Mary J. Blige), 21 Freedom? (feat. Nikki Grier), 22 Satanic, 23 Blowing The Speakers, 24 Who Are You, 25 Hope Your Dreams Come True, 26 Calm Down (feat. Eminem), 27 Czar (feat. M.O.P. & CJ) - Remix, 28 Follow the Wave (feat. Flipmode Squad, Rampage, Rah Digga & Spliff Star), 29 Blow A Million Racks, 30 Hey You (feat. TRILLIAN);AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-07;album;7naqgpQKuVMIleZDQ1KnTo;Extinction Level Event 2 The Wrath of God (The Deluxe Edition);2020-11-27;38;The Conglomerate Entertainment, Inc. / EMPIRE;https://i.scdn.co/image/ab67616d0000b273af841df097e3004e214f787b;1YfEcTuGvBQ8xSD1f53UnK;Busta Rhymes;1 E.L.E. 2 Intro, 2 The Purge, 3 Strap Yourself Down, 4 Czar, 5 Outta My Mind (feat. Bell Biv Devoe), 6 E.L.E. 2 The Wrath of God (feat. Minister Louis Farrakhan), 7 Slow Flow, 8 Don't Go, 9 Boomp!, 10 True Indeed, 11 Master Fard Muhammad, 12 YUUUU, 13 Oh No, 14 The Don & The Boss, 15 Best I Can, 16 Where I Belong (feat. Mariah Carey), 17 Deep Thought, 18 The Young God Speaks, 19 Look Over Your Shoulder (feat. Kendrick Lamar), 20 You Will Never Find Another Me (feat. Mary J. Blige), 21 Freedom? (feat. Nikki Grier), 22 Satanic, 23 Blowing The Speakers, 24 Who Are You, 25 Hope Your Dreams Come True, 26 Calm Down (feat. Eminem), 27 Czar (feat. M.O.P. & CJ) - Remix, 28 Follow the Wave (feat. Flipmode Squad, Rampage, Rah Digga & Spliff Star), 29 Blow A Million Racks, 30 Hey You (feat. TRILLIAN);AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-08;album;7naqgpQKuVMIleZDQ1KnTo;Extinction Level Event 2 The Wrath of God (The Deluxe Edition);2020-11-27;39;The Conglomerate Entertainment, Inc. / EMPIRE;https://i.scdn.co/image/ab67616d0000b273af841df097e3004e214f787b;1YfEcTuGvBQ8xSD1f53UnK;Busta Rhymes;1 E.L.E. 2 Intro, 2 The Purge, 3 Strap Yourself Down, 4 Czar, 5 Outta My Mind (feat. Bell Biv Devoe), 6 E.L.E. 2 The Wrath of God (feat. Minister Louis Farrakhan), 7 Slow Flow, 8 Don't Go, 9 Boomp!, 10 True Indeed, 11 Master Fard Muhammad, 12 YUUUU, 13 Oh No, 14 The Don & The Boss, 15 Best I Can, 16 Where I Belong (feat. Mariah Carey), 17 Deep Thought, 18 The Young God Speaks, 19 Look Over Your Shoulder (feat. Kendrick Lamar), 20 You Will Never Find Another Me (feat. Mary J. Blige), 21 Freedom? (feat. Nikki Grier), 22 Satanic, 23 Blowing The Speakers, 24 Who Are You, 25 Hope Your Dreams Come True, 26 Calm Down (feat. Eminem), 27 Czar (feat. M.O.P. & CJ) - Remix, 28 Follow the Wave (feat. Flipmode Squad, Rampage, Rah Digga & Spliff Star), 29 Blow A Million Racks, 30 Hey You (feat. TRILLIAN);AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-09;album;7naqgpQKuVMIleZDQ1KnTo;Extinction Level Event 2 The Wrath of God (The Deluxe Edition);2020-11-27;40;The Conglomerate Entertainment, Inc. / EMPIRE;https://i.scdn.co/image/ab67616d0000b273af841df097e3004e214f787b;1YfEcTuGvBQ8xSD1f53UnK;Busta Rhymes;1 E.L.E. 2 Intro, 2 The Purge, 3 Strap Yourself Down, 4 Czar, 5 Outta My Mind (feat. Bell Biv Devoe), 6 E.L.E. 2 The Wrath of God (feat. Minister Louis Farrakhan), 7 Slow Flow, 8 Don't Go, 9 Boomp!, 10 True Indeed, 11 Master Fard Muhammad, 12 YUUUU, 13 Oh No, 14 The Don & The Boss, 15 Best I Can, 16 Where I Belong (feat. Mariah Carey), 17 Deep Thought, 18 The Young God Speaks, 19 Look Over Your Shoulder (feat. Kendrick Lamar), 20 You Will Never Find Another Me (feat. Mary J. Blige), 21 Freedom? (feat. Nikki Grier), 22 Satanic, 23 Blowing The Speakers, 24 Who Are You, 25 Hope Your Dreams Come True, 26 Calm Down (feat. Eminem), 27 Czar (feat. M.O.P. & CJ) - Remix, 28 Follow the Wave (feat. Flipmode Squad, Rampage, Rah Digga & Spliff Star), 29 Blow A Million Racks, 30 Hey You (feat. TRILLIAN);AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
