album_date_extract;album_type;album_id;album_name;album_release_date;album_popularity;album_label;album_image;artist_id;artist_name;tracks;available_markets
2020-11-30;album;6pjuzPdAkJPdNBiKzcloXL;No Fun Mondays;2020-11-27;50;Reprise;https://i.scdn.co/image/ab67616d0000b273f625b5ead463ba98f532aad8;1MrEurzLcL8ugfP1PrUPWG;Billie Joe Armstrong;1 I Think We're Alone Now, 2 War Stories, 3 Manic Monday, 4 Corpus Christi, 5 That Thing You Do!, 6 Amico, 7 You Can't Put Your Arms Round a Memory, 8 Kids in America, 9 Not That Way Anymore, 10 That's Rock 'n' Roll, 11 Gimme Some Truth, 12 Whole Wide World, 13 Police on My Back, 14 A New England;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-01;album;6pjuzPdAkJPdNBiKzcloXL;No Fun Mondays;2020-11-27;53;Reprise;https://i.scdn.co/image/ab67616d0000b273f625b5ead463ba98f532aad8;1MrEurzLcL8ugfP1PrUPWG;Billie Joe Armstrong;1 I Think We're Alone Now, 2 War Stories, 3 Manic Monday, 4 Corpus Christi, 5 That Thing You Do!, 6 Amico, 7 You Can't Put Your Arms Round a Memory, 8 Kids in America, 9 Not That Way Anymore, 10 That's Rock 'n' Roll, 11 Gimme Some Truth, 12 Whole Wide World, 13 Police on My Back, 14 A New England;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-02;album;6pjuzPdAkJPdNBiKzcloXL;No Fun Mondays;2020-11-27;55;Reprise;https://i.scdn.co/image/ab67616d0000b273f625b5ead463ba98f532aad8;1MrEurzLcL8ugfP1PrUPWG;Billie Joe Armstrong;1 I Think We're Alone Now, 2 War Stories, 3 Manic Monday, 4 Corpus Christi, 5 That Thing You Do!, 6 Amico, 7 You Can't Put Your Arms Round a Memory, 8 Kids in America, 9 Not That Way Anymore, 10 That's Rock 'n' Roll, 11 Gimme Some Truth, 12 Whole Wide World, 13 Police on My Back, 14 A New England;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-03;album;6pjuzPdAkJPdNBiKzcloXL;No Fun Mondays;2020-11-27;57;Reprise;https://i.scdn.co/image/ab67616d0000b273f625b5ead463ba98f532aad8;1MrEurzLcL8ugfP1PrUPWG;Billie Joe Armstrong;1 I Think We're Alone Now, 2 War Stories, 3 Manic Monday, 4 Corpus Christi, 5 That Thing You Do!, 6 Amico, 7 You Can't Put Your Arms Round a Memory, 8 Kids in America, 9 Not That Way Anymore, 10 That's Rock 'n' Roll, 11 Gimme Some Truth, 12 Whole Wide World, 13 Police on My Back, 14 A New England;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-04;album;6pjuzPdAkJPdNBiKzcloXL;No Fun Mondays;2020-11-27;58;Reprise;https://i.scdn.co/image/ab67616d0000b273f625b5ead463ba98f532aad8;1MrEurzLcL8ugfP1PrUPWG;Billie Joe Armstrong;1 I Think We're Alone Now, 2 War Stories, 3 Manic Monday, 4 Corpus Christi, 5 That Thing You Do!, 6 Amico, 7 You Can't Put Your Arms Round a Memory, 8 Kids in America, 9 Not That Way Anymore, 10 That's Rock 'n' Roll, 11 Gimme Some Truth, 12 Whole Wide World, 13 Police on My Back, 14 A New England;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-05;album;6pjuzPdAkJPdNBiKzcloXL;No Fun Mondays;2020-11-27;59;Reprise;https://i.scdn.co/image/ab67616d0000b273f625b5ead463ba98f532aad8;1MrEurzLcL8ugfP1PrUPWG;Billie Joe Armstrong;1 I Think We're Alone Now, 2 War Stories, 3 Manic Monday, 4 Corpus Christi, 5 That Thing You Do!, 6 Amico, 7 You Can't Put Your Arms Round a Memory, 8 Kids in America, 9 Not That Way Anymore, 10 That's Rock 'n' Roll, 11 Gimme Some Truth, 12 Whole Wide World, 13 Police on My Back, 14 A New England;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-06;album;6pjuzPdAkJPdNBiKzcloXL;No Fun Mondays;2020-11-27;59;Reprise;https://i.scdn.co/image/ab67616d0000b273f625b5ead463ba98f532aad8;1MrEurzLcL8ugfP1PrUPWG;Billie Joe Armstrong;1 I Think We're Alone Now, 2 War Stories, 3 Manic Monday, 4 Corpus Christi, 5 That Thing You Do!, 6 Amico, 7 You Can't Put Your Arms Round a Memory, 8 Kids in America, 9 Not That Way Anymore, 10 That's Rock 'n' Roll, 11 Gimme Some Truth, 12 Whole Wide World, 13 Police on My Back, 14 A New England;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-07;album;6pjuzPdAkJPdNBiKzcloXL;No Fun Mondays;2020-11-27;60;Reprise;https://i.scdn.co/image/ab67616d0000b273f625b5ead463ba98f532aad8;1MrEurzLcL8ugfP1PrUPWG;Billie Joe Armstrong;1 I Think We're Alone Now, 2 War Stories, 3 Manic Monday, 4 Corpus Christi, 5 That Thing You Do!, 6 Amico, 7 You Can't Put Your Arms Round a Memory, 8 Kids in America, 9 Not That Way Anymore, 10 That's Rock 'n' Roll, 11 Gimme Some Truth, 12 Whole Wide World, 13 Police on My Back, 14 A New England;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-08;album;6pjuzPdAkJPdNBiKzcloXL;No Fun Mondays;2020-11-27;60;Reprise;https://i.scdn.co/image/ab67616d0000b273f625b5ead463ba98f532aad8;1MrEurzLcL8ugfP1PrUPWG;Billie Joe Armstrong;1 I Think We're Alone Now, 2 War Stories, 3 Manic Monday, 4 Corpus Christi, 5 That Thing You Do!, 6 Amico, 7 You Can't Put Your Arms Round a Memory, 8 Kids in America, 9 Not That Way Anymore, 10 That's Rock 'n' Roll, 11 Gimme Some Truth, 12 Whole Wide World, 13 Police on My Back, 14 A New England;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-09;album;6pjuzPdAkJPdNBiKzcloXL;No Fun Mondays;2020-11-27;60;Reprise;https://i.scdn.co/image/ab67616d0000b273f625b5ead463ba98f532aad8;1MrEurzLcL8ugfP1PrUPWG;Billie Joe Armstrong;1 I Think We're Alone Now, 2 War Stories, 3 Manic Monday, 4 Corpus Christi, 5 That Thing You Do!, 6 Amico, 7 You Can't Put Your Arms Round a Memory, 8 Kids in America, 9 Not That Way Anymore, 10 That's Rock 'n' Roll, 11 Gimme Some Truth, 12 Whole Wide World, 13 Police on My Back, 14 A New England;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
