album_date_extract;album_type;album_id;album_name;album_release_date;album_popularity;album_label;album_image;artist_id;artist_name;tracks;available_markets
2020-11-30;single;6q9TTDlYw8iXwe56Pdaho5;Delta Waves Binaural Beats for Sleep;2020-11-27;16;Filtr;https://i.scdn.co/image/ab67616d0000b273cbdede0aa90e086d8a6070f5;4rXABp4A7KjG9elWFNAbO4;Miracle Tones;1 Binaural Beats Delta Waves for Sleep - 3.2 Hz, 2 Delta Waves Healing Sleep - 3 Hz, 3 Binaural Delta Sleep Music - 2 Hz, 4 Delta Sleep Brainwaves - 1 Hz, 5 Binaural Beats for Deep Sleep - 0.5 Hz;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-01;single;6q9TTDlYw8iXwe56Pdaho5;Delta Waves Binaural Beats for Sleep;2020-11-27;20;Filtr;https://i.scdn.co/image/ab67616d0000b273cbdede0aa90e086d8a6070f5;4rXABp4A7KjG9elWFNAbO4;Miracle Tones;1 Binaural Beats Delta Waves for Sleep - 3.2 Hz, 2 Delta Waves Healing Sleep - 3 Hz, 3 Binaural Delta Sleep Music - 2 Hz, 4 Delta Sleep Brainwaves - 1 Hz, 5 Binaural Beats for Deep Sleep - 0.5 Hz;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-02;single;6q9TTDlYw8iXwe56Pdaho5;Delta Waves Binaural Beats for Sleep;2020-11-27;24;Filtr;https://i.scdn.co/image/ab67616d0000b273cbdede0aa90e086d8a6070f5;4rXABp4A7KjG9elWFNAbO4;Miracle Tones;1 Binaural Beats Delta Waves for Sleep - 3.2 Hz, 2 Delta Waves Healing Sleep - 3 Hz, 3 Binaural Delta Sleep Music - 2 Hz, 4 Delta Sleep Brainwaves - 1 Hz, 5 Binaural Beats for Deep Sleep - 0.5 Hz;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-03;single;6q9TTDlYw8iXwe56Pdaho5;Delta Waves Binaural Beats for Sleep;2020-11-27;26;Filtr;https://i.scdn.co/image/ab67616d0000b273cbdede0aa90e086d8a6070f5;4rXABp4A7KjG9elWFNAbO4;Miracle Tones;1 Binaural Beats Delta Waves for Sleep - 3.2 Hz, 2 Delta Waves Healing Sleep - 3 Hz, 3 Binaural Delta Sleep Music - 2 Hz, 4 Delta Sleep Brainwaves - 1 Hz, 5 Binaural Beats for Deep Sleep - 0.5 Hz;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-04;single;6q9TTDlYw8iXwe56Pdaho5;Delta Waves Binaural Beats for Sleep;2020-11-27;28;Filtr;https://i.scdn.co/image/ab67616d0000b273cbdede0aa90e086d8a6070f5;4rXABp4A7KjG9elWFNAbO4;Miracle Tones;1 Binaural Beats Delta Waves for Sleep - 3.2 Hz, 2 Delta Waves Healing Sleep - 3 Hz, 3 Binaural Delta Sleep Music - 2 Hz, 4 Delta Sleep Brainwaves - 1 Hz, 5 Binaural Beats for Deep Sleep - 0.5 Hz;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-05;single;6q9TTDlYw8iXwe56Pdaho5;Delta Waves Binaural Beats for Sleep;2020-11-27;29;Filtr;https://i.scdn.co/image/ab67616d0000b273cbdede0aa90e086d8a6070f5;4rXABp4A7KjG9elWFNAbO4;Miracle Tones;1 Binaural Beats Delta Waves for Sleep - 3.2 Hz, 2 Delta Waves Healing Sleep - 3 Hz, 3 Binaural Delta Sleep Music - 2 Hz, 4 Delta Sleep Brainwaves - 1 Hz, 5 Binaural Beats for Deep Sleep - 0.5 Hz;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-06;single;6q9TTDlYw8iXwe56Pdaho5;Delta Waves Binaural Beats for Sleep;2020-11-27;31;Filtr;https://i.scdn.co/image/ab67616d0000b273cbdede0aa90e086d8a6070f5;4rXABp4A7KjG9elWFNAbO4;Miracle Tones;1 Binaural Beats Delta Waves for Sleep - 3.2 Hz, 2 Delta Waves Healing Sleep - 3 Hz, 3 Binaural Delta Sleep Music - 2 Hz, 4 Delta Sleep Brainwaves - 1 Hz, 5 Binaural Beats for Deep Sleep - 0.5 Hz;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-07;single;6q9TTDlYw8iXwe56Pdaho5;Delta Waves Binaural Beats for Sleep;2020-11-27;31;Filtr;https://i.scdn.co/image/ab67616d0000b273cbdede0aa90e086d8a6070f5;4rXABp4A7KjG9elWFNAbO4;Miracle Tones;1 Binaural Beats Delta Waves for Sleep - 3.2 Hz, 2 Delta Waves Healing Sleep - 3 Hz, 3 Binaural Delta Sleep Music - 2 Hz, 4 Delta Sleep Brainwaves - 1 Hz, 5 Binaural Beats for Deep Sleep - 0.5 Hz;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-08;single;6q9TTDlYw8iXwe56Pdaho5;Delta Waves Binaural Beats for Sleep;2020-11-27;32;Filtr;https://i.scdn.co/image/ab67616d0000b273cbdede0aa90e086d8a6070f5;4rXABp4A7KjG9elWFNAbO4;Miracle Tones;1 Binaural Beats Delta Waves for Sleep - 3.2 Hz, 2 Delta Waves Healing Sleep - 3 Hz, 3 Binaural Delta Sleep Music - 2 Hz, 4 Delta Sleep Brainwaves - 1 Hz, 5 Binaural Beats for Deep Sleep - 0.5 Hz;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-09;single;6q9TTDlYw8iXwe56Pdaho5;Delta Waves Binaural Beats for Sleep;2020-11-27;32;Filtr;https://i.scdn.co/image/ab67616d0000b273cbdede0aa90e086d8a6070f5;4rXABp4A7KjG9elWFNAbO4;Miracle Tones;1 Binaural Beats Delta Waves for Sleep - 3.2 Hz, 2 Delta Waves Healing Sleep - 3 Hz, 3 Binaural Delta Sleep Music - 2 Hz, 4 Delta Sleep Brainwaves - 1 Hz, 5 Binaural Beats for Deep Sleep - 0.5 Hz;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
