album_date_extract;album_type;album_id;album_name;album_release_date;album_popularity;album_label;album_image;artist_id;artist_name;tracks;available_markets
2020-11-30;album;6x21W5JpojtaGaQZ4cG3ug;Tchaikovsky Two;2020-11-27;11;Editions Audiovisuel Beulah;https://i.scdn.co/image/ab67616d0000b273909e5f61a898a640da944ef8;3MKCzCnpzw3TjUYs2v7vDA;Pyotr Ilyich Tchaikovsky;"1 Piano Concerto No.2 in G major, Op.44: 1. Allegro brillante e molto vivace, 2 Piano Concerto No.2 in G major, Op.44: 2. Andante non troppo, 3 Piano Concerto No.2 in G major, Op.44: 3. Allegro con fuoco, 4 Symphony No.2 in C minor, ""Little Russian"", Op.17: 1. Andante sostenuto - Allegro vivo, 5 Symphony No.2 in C minor, ""Little Russian"", Op.17: 2. Andantino marciale quasi Moderato, 6 Symphony No.2 in C minor, ""Little Russian"", Op.17: 3. Scherzo. Allegro molto vivace, 7 Symphony No.2 in C minor, ""Little Russian"", Op.17: 4. Moderato assai - Allegro vivo";AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-01;album;6x21W5JpojtaGaQZ4cG3ug;Tchaikovsky Two;2020-11-27;13;Editions Audiovisuel Beulah;https://i.scdn.co/image/ab67616d0000b273909e5f61a898a640da944ef8;3MKCzCnpzw3TjUYs2v7vDA;Pyotr Ilyich Tchaikovsky;"1 Piano Concerto No.2 in G major, Op.44: 1. Allegro brillante e molto vivace, 2 Piano Concerto No.2 in G major, Op.44: 2. Andante non troppo, 3 Piano Concerto No.2 in G major, Op.44: 3. Allegro con fuoco, 4 Symphony No.2 in C minor, ""Little Russian"", Op.17: 1. Andante sostenuto - Allegro vivo, 5 Symphony No.2 in C minor, ""Little Russian"", Op.17: 2. Andantino marciale quasi Moderato, 6 Symphony No.2 in C minor, ""Little Russian"", Op.17: 3. Scherzo. Allegro molto vivace, 7 Symphony No.2 in C minor, ""Little Russian"", Op.17: 4. Moderato assai - Allegro vivo";AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-02;album;6x21W5JpojtaGaQZ4cG3ug;Tchaikovsky Two;2020-11-27;14;Editions Audiovisuel Beulah;https://i.scdn.co/image/ab67616d0000b273909e5f61a898a640da944ef8;3MKCzCnpzw3TjUYs2v7vDA;Pyotr Ilyich Tchaikovsky;"1 Piano Concerto No.2 in G major, Op.44: 1. Allegro brillante e molto vivace, 2 Piano Concerto No.2 in G major, Op.44: 2. Andante non troppo, 3 Piano Concerto No.2 in G major, Op.44: 3. Allegro con fuoco, 4 Symphony No.2 in C minor, ""Little Russian"", Op.17: 1. Andante sostenuto - Allegro vivo, 5 Symphony No.2 in C minor, ""Little Russian"", Op.17: 2. Andantino marciale quasi Moderato, 6 Symphony No.2 in C minor, ""Little Russian"", Op.17: 3. Scherzo. Allegro molto vivace, 7 Symphony No.2 in C minor, ""Little Russian"", Op.17: 4. Moderato assai - Allegro vivo";AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-03;album;6x21W5JpojtaGaQZ4cG3ug;Tchaikovsky Two;2020-11-27;15;Editions Audiovisuel Beulah;https://i.scdn.co/image/ab67616d0000b273909e5f61a898a640da944ef8;3MKCzCnpzw3TjUYs2v7vDA;Pyotr Ilyich Tchaikovsky;"1 Piano Concerto No.2 in G major, Op.44: 1. Allegro brillante e molto vivace, 2 Piano Concerto No.2 in G major, Op.44: 2. Andante non troppo, 3 Piano Concerto No.2 in G major, Op.44: 3. Allegro con fuoco, 4 Symphony No.2 in C minor, ""Little Russian"", Op.17: 1. Andante sostenuto - Allegro vivo, 5 Symphony No.2 in C minor, ""Little Russian"", Op.17: 2. Andantino marciale quasi Moderato, 6 Symphony No.2 in C minor, ""Little Russian"", Op.17: 3. Scherzo. Allegro molto vivace, 7 Symphony No.2 in C minor, ""Little Russian"", Op.17: 4. Moderato assai - Allegro vivo";AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-04;album;6x21W5JpojtaGaQZ4cG3ug;Tchaikovsky Two;2020-11-27;16;Editions Audiovisuel Beulah;https://i.scdn.co/image/ab67616d0000b273909e5f61a898a640da944ef8;3MKCzCnpzw3TjUYs2v7vDA;Pyotr Ilyich Tchaikovsky;"1 Piano Concerto No.2 in G major, Op.44: 1. Allegro brillante e molto vivace, 2 Piano Concerto No.2 in G major, Op.44: 2. Andante non troppo, 3 Piano Concerto No.2 in G major, Op.44: 3. Allegro con fuoco, 4 Symphony No.2 in C minor, ""Little Russian"", Op.17: 1. Andante sostenuto - Allegro vivo, 5 Symphony No.2 in C minor, ""Little Russian"", Op.17: 2. Andantino marciale quasi Moderato, 6 Symphony No.2 in C minor, ""Little Russian"", Op.17: 3. Scherzo. Allegro molto vivace, 7 Symphony No.2 in C minor, ""Little Russian"", Op.17: 4. Moderato assai - Allegro vivo";AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-05;album;6x21W5JpojtaGaQZ4cG3ug;Tchaikovsky Two;2020-11-27;17;Editions Audiovisuel Beulah;https://i.scdn.co/image/ab67616d0000b273909e5f61a898a640da944ef8;3MKCzCnpzw3TjUYs2v7vDA;Pyotr Ilyich Tchaikovsky;"1 Piano Concerto No.2 in G major, Op.44: 1. Allegro brillante e molto vivace, 2 Piano Concerto No.2 in G major, Op.44: 2. Andante non troppo, 3 Piano Concerto No.2 in G major, Op.44: 3. Allegro con fuoco, 4 Symphony No.2 in C minor, ""Little Russian"", Op.17: 1. Andante sostenuto - Allegro vivo, 5 Symphony No.2 in C minor, ""Little Russian"", Op.17: 2. Andantino marciale quasi Moderato, 6 Symphony No.2 in C minor, ""Little Russian"", Op.17: 3. Scherzo. Allegro molto vivace, 7 Symphony No.2 in C minor, ""Little Russian"", Op.17: 4. Moderato assai - Allegro vivo";AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-06;album;6x21W5JpojtaGaQZ4cG3ug;Tchaikovsky Two;2020-11-27;18;Editions Audiovisuel Beulah;https://i.scdn.co/image/ab67616d0000b273909e5f61a898a640da944ef8;3MKCzCnpzw3TjUYs2v7vDA;Pyotr Ilyich Tchaikovsky;"1 Piano Concerto No.2 in G major, Op.44: 1. Allegro brillante e molto vivace, 2 Piano Concerto No.2 in G major, Op.44: 2. Andante non troppo, 3 Piano Concerto No.2 in G major, Op.44: 3. Allegro con fuoco, 4 Symphony No.2 in C minor, ""Little Russian"", Op.17: 1. Andante sostenuto - Allegro vivo, 5 Symphony No.2 in C minor, ""Little Russian"", Op.17: 2. Andantino marciale quasi Moderato, 6 Symphony No.2 in C minor, ""Little Russian"", Op.17: 3. Scherzo. Allegro molto vivace, 7 Symphony No.2 in C minor, ""Little Russian"", Op.17: 4. Moderato assai - Allegro vivo";AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-07;album;6x21W5JpojtaGaQZ4cG3ug;Tchaikovsky Two;2020-11-27;18;Editions Audiovisuel Beulah;https://i.scdn.co/image/ab67616d0000b273909e5f61a898a640da944ef8;3MKCzCnpzw3TjUYs2v7vDA;Pyotr Ilyich Tchaikovsky;"1 Piano Concerto No.2 in G major, Op.44: 1. Allegro brillante e molto vivace, 2 Piano Concerto No.2 in G major, Op.44: 2. Andante non troppo, 3 Piano Concerto No.2 in G major, Op.44: 3. Allegro con fuoco, 4 Symphony No.2 in C minor, ""Little Russian"", Op.17: 1. Andante sostenuto - Allegro vivo, 5 Symphony No.2 in C minor, ""Little Russian"", Op.17: 2. Andantino marciale quasi Moderato, 6 Symphony No.2 in C minor, ""Little Russian"", Op.17: 3. Scherzo. Allegro molto vivace, 7 Symphony No.2 in C minor, ""Little Russian"", Op.17: 4. Moderato assai - Allegro vivo";AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-08;album;6x21W5JpojtaGaQZ4cG3ug;Tchaikovsky Two;2020-11-27;18;Editions Audiovisuel Beulah;https://i.scdn.co/image/ab67616d0000b273909e5f61a898a640da944ef8;3MKCzCnpzw3TjUYs2v7vDA;Pyotr Ilyich Tchaikovsky;"1 Piano Concerto No.2 in G major, Op.44: 1. Allegro brillante e molto vivace, 2 Piano Concerto No.2 in G major, Op.44: 2. Andante non troppo, 3 Piano Concerto No.2 in G major, Op.44: 3. Allegro con fuoco, 4 Symphony No.2 in C minor, ""Little Russian"", Op.17: 1. Andante sostenuto - Allegro vivo, 5 Symphony No.2 in C minor, ""Little Russian"", Op.17: 2. Andantino marciale quasi Moderato, 6 Symphony No.2 in C minor, ""Little Russian"", Op.17: 3. Scherzo. Allegro molto vivace, 7 Symphony No.2 in C minor, ""Little Russian"", Op.17: 4. Moderato assai - Allegro vivo";AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-09;album;6x21W5JpojtaGaQZ4cG3ug;Tchaikovsky Two;2020-11-27;18;Editions Audiovisuel Beulah;https://i.scdn.co/image/ab67616d0000b273909e5f61a898a640da944ef8;3MKCzCnpzw3TjUYs2v7vDA;Pyotr Ilyich Tchaikovsky;"1 Piano Concerto No.2 in G major, Op.44: 1. Allegro brillante e molto vivace, 2 Piano Concerto No.2 in G major, Op.44: 2. Andante non troppo, 3 Piano Concerto No.2 in G major, Op.44: 3. Allegro con fuoco, 4 Symphony No.2 in C minor, ""Little Russian"", Op.17: 1. Andante sostenuto - Allegro vivo, 5 Symphony No.2 in C minor, ""Little Russian"", Op.17: 2. Andantino marciale quasi Moderato, 6 Symphony No.2 in C minor, ""Little Russian"", Op.17: 3. Scherzo. Allegro molto vivace, 7 Symphony No.2 in C minor, ""Little Russian"", Op.17: 4. Moderato assai - Allegro vivo";AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
