album_date_extract;album_type;album_id;album_name;album_release_date;album_popularity;album_label;album_image;artist_id;artist_name;tracks;available_markets
2020-11-24;album;72wApQi4p9ODYXB8XObGGl;Todxs Somos Pxndx;2020-11-20;48;Movic Records;https://i.scdn.co/image/ab67616d0000b273ff951c444e6e8cb9d3b90a1f;5NNlkZBrBpOJ7C11JwVxIj;PXNDX;1 3 + 1, 2 Abigail, 3 Adheridos Separados, 4 Buen Día, 5 Cita en el Quirófano, 6 Claro Que No, 7 Cuándo No Es Como Debiera Ser, 8 Disculpa los Malos Pensamientos, 9 Procedimientos para Llegar a un Común Acuerdo, 10 Hasta el Final, 11 Hola!, 12 La Noche de la Mesa Triste, 13 Los Malaventurados No Lloran, 14 Maracas, 15 Mi Huracán Llevaba Tu Nombre, 16 Miércoles, 17 Muñeca, 18 Narcisista por Excelencia, 19 Nuestra Aflicción, 20 Nunca Nadie Nos Podrá Parar - En Vivo, 21 Pathetica, 22 Promesas / Decepciones, 23 Quisiera No Pensar, 24 Romance en Re Sostenido, 25 Si Supieras, 26 So Violento so Macabro, 27 Solo a Terceros, 28 Tripulación Armar Toboganes, 29 ...y de la Gasolina Renació el Amor, 30 Ya No Jalaba;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-25;album;72wApQi4p9ODYXB8XObGGl;Todxs Somos Pxndx;2020-11-20;49;Movic Records;https://i.scdn.co/image/ab67616d0000b273ff951c444e6e8cb9d3b90a1f;5NNlkZBrBpOJ7C11JwVxIj;PXNDX;1 3 + 1, 2 Abigail, 3 Adheridos Separados, 4 Buen Día, 5 Cita en el Quirófano, 6 Claro Que No, 7 Cuándo No Es Como Debiera Ser, 8 Disculpa los Malos Pensamientos, 9 Procedimientos para Llegar a un Común Acuerdo, 10 Hasta el Final, 11 Hola!, 12 La Noche de la Mesa Triste, 13 Los Malaventurados No Lloran, 14 Maracas, 15 Mi Huracán Llevaba Tu Nombre, 16 Miércoles, 17 Muñeca, 18 Narcisista por Excelencia, 19 Nuestra Aflicción, 20 Nunca Nadie Nos Podrá Parar - En Vivo, 21 Pathetica, 22 Promesas / Decepciones, 23 Quisiera No Pensar, 24 Romance en Re Sostenido, 25 Si Supieras, 26 So Violento so Macabro, 27 Solo a Terceros, 28 Tripulación Armar Toboganes, 29 ...y de la Gasolina Renació el Amor, 30 Ya No Jalaba;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-26;album;72wApQi4p9ODYXB8XObGGl;Todxs Somos Pxndx;2020-11-20;50;Movic Records;https://i.scdn.co/image/ab67616d0000b273ff951c444e6e8cb9d3b90a1f;5NNlkZBrBpOJ7C11JwVxIj;PXNDX;1 3 + 1, 2 Abigail, 3 Adheridos Separados, 4 Buen Día, 5 Cita en el Quirófano, 6 Claro Que No, 7 Cuándo No Es Como Debiera Ser, 8 Disculpa los Malos Pensamientos, 9 Procedimientos para Llegar a un Común Acuerdo, 10 Hasta el Final, 11 Hola!, 12 La Noche de la Mesa Triste, 13 Los Malaventurados No Lloran, 14 Maracas, 15 Mi Huracán Llevaba Tu Nombre, 16 Miércoles, 17 Muñeca, 18 Narcisista por Excelencia, 19 Nuestra Aflicción, 20 Nunca Nadie Nos Podrá Parar - En Vivo, 21 Pathetica, 22 Promesas / Decepciones, 23 Quisiera No Pensar, 24 Romance en Re Sostenido, 25 Si Supieras, 26 So Violento so Macabro, 27 Solo a Terceros, 28 Tripulación Armar Toboganes, 29 ...y de la Gasolina Renació el Amor, 30 Ya No Jalaba;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-27;album;72wApQi4p9ODYXB8XObGGl;Todxs Somos Pxndx;2020-11-20;51;Movic Records;https://i.scdn.co/image/ab67616d0000b273ff951c444e6e8cb9d3b90a1f;5NNlkZBrBpOJ7C11JwVxIj;PXNDX;1 3 + 1, 2 Abigail, 3 Adheridos Separados, 4 Buen Día, 5 Cita en el Quirófano, 6 Claro Que No, 7 Cuándo No Es Como Debiera Ser, 8 Disculpa los Malos Pensamientos, 9 Procedimientos para Llegar a un Común Acuerdo, 10 Hasta el Final, 11 Hola!, 12 La Noche de la Mesa Triste, 13 Los Malaventurados No Lloran, 14 Maracas, 15 Mi Huracán Llevaba Tu Nombre, 16 Miércoles, 17 Muñeca, 18 Narcisista por Excelencia, 19 Nuestra Aflicción, 20 Nunca Nadie Nos Podrá Parar - En Vivo, 21 Pathetica, 22 Promesas / Decepciones, 23 Quisiera No Pensar, 24 Romance en Re Sostenido, 25 Si Supieras, 26 So Violento so Macabro, 27 Solo a Terceros, 28 Tripulación Armar Toboganes, 29 ...y de la Gasolina Renació el Amor, 30 Ya No Jalaba;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-28;album;72wApQi4p9ODYXB8XObGGl;Todxs Somos Pxndx;2020-11-20;51;Movic Records;https://i.scdn.co/image/ab67616d0000b273ff951c444e6e8cb9d3b90a1f;5NNlkZBrBpOJ7C11JwVxIj;PXNDX;1 3 + 1, 2 Abigail, 3 Adheridos Separados, 4 Buen Día, 5 Cita en el Quirófano, 6 Claro Que No, 7 Cuándo No Es Como Debiera Ser, 8 Disculpa los Malos Pensamientos, 9 Procedimientos para Llegar a un Común Acuerdo, 10 Hasta el Final, 11 Hola!, 12 La Noche de la Mesa Triste, 13 Los Malaventurados No Lloran, 14 Maracas, 15 Mi Huracán Llevaba Tu Nombre, 16 Miércoles, 17 Muñeca, 18 Narcisista por Excelencia, 19 Nuestra Aflicción, 20 Nunca Nadie Nos Podrá Parar - En Vivo, 21 Pathetica, 22 Promesas / Decepciones, 23 Quisiera No Pensar, 24 Romance en Re Sostenido, 25 Si Supieras, 26 So Violento so Macabro, 27 Solo a Terceros, 28 Tripulación Armar Toboganes, 29 ...y de la Gasolina Renació el Amor, 30 Ya No Jalaba;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-29;album;72wApQi4p9ODYXB8XObGGl;Todxs Somos Pxndx;2020-11-20;51;Movic Records;https://i.scdn.co/image/ab67616d0000b273ff951c444e6e8cb9d3b90a1f;5NNlkZBrBpOJ7C11JwVxIj;PXNDX;1 3 + 1, 2 Abigail, 3 Adheridos Separados, 4 Buen Día, 5 Cita en el Quirófano, 6 Claro Que No, 7 Cuándo No Es Como Debiera Ser, 8 Disculpa los Malos Pensamientos, 9 Procedimientos para Llegar a un Común Acuerdo, 10 Hasta el Final, 11 Hola!, 12 La Noche de la Mesa Triste, 13 Los Malaventurados No Lloran, 14 Maracas, 15 Mi Huracán Llevaba Tu Nombre, 16 Miércoles, 17 Muñeca, 18 Narcisista por Excelencia, 19 Nuestra Aflicción, 20 Nunca Nadie Nos Podrá Parar - En Vivo, 21 Pathetica, 22 Promesas / Decepciones, 23 Quisiera No Pensar, 24 Romance en Re Sostenido, 25 Si Supieras, 26 So Violento so Macabro, 27 Solo a Terceros, 28 Tripulación Armar Toboganes, 29 ...y de la Gasolina Renació el Amor, 30 Ya No Jalaba;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-30;album;72wApQi4p9ODYXB8XObGGl;Todxs Somos Pxndx;2020-11-20;52;Movic Records;https://i.scdn.co/image/ab67616d0000b273ff951c444e6e8cb9d3b90a1f;5NNlkZBrBpOJ7C11JwVxIj;PXNDX;1 3 + 1, 2 Abigail, 3 Adheridos Separados, 4 Buen Día, 5 Cita en el Quirófano, 6 Claro Que No, 7 Cuándo No Es Como Debiera Ser, 8 Disculpa los Malos Pensamientos, 9 Procedimientos para Llegar a un Común Acuerdo, 10 Hasta el Final, 11 Hola!, 12 La Noche de la Mesa Triste, 13 Los Malaventurados No Lloran, 14 Maracas, 15 Mi Huracán Llevaba Tu Nombre, 16 Miércoles, 17 Muñeca, 18 Narcisista por Excelencia, 19 Nuestra Aflicción, 20 Nunca Nadie Nos Podrá Parar - En Vivo, 21 Pathetica, 22 Promesas / Decepciones, 23 Quisiera No Pensar, 24 Romance en Re Sostenido, 25 Si Supieras, 26 So Violento so Macabro, 27 Solo a Terceros, 28 Tripulación Armar Toboganes, 29 ...y de la Gasolina Renació el Amor, 30 Ya No Jalaba;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-01;album;72wApQi4p9ODYXB8XObGGl;Todxs Somos Pxndx;2020-11-20;52;Movic Records;https://i.scdn.co/image/ab67616d0000b273ff951c444e6e8cb9d3b90a1f;5NNlkZBrBpOJ7C11JwVxIj;PXNDX;1 3 + 1, 2 Abigail, 3 Adheridos Separados, 4 Buen Día, 5 Cita en el Quirófano, 6 Claro Que No, 7 Cuándo No Es Como Debiera Ser, 8 Disculpa los Malos Pensamientos, 9 Procedimientos para Llegar a un Común Acuerdo, 10 Hasta el Final, 11 Hola!, 12 La Noche de la Mesa Triste, 13 Los Malaventurados No Lloran, 14 Maracas, 15 Mi Huracán Llevaba Tu Nombre, 16 Miércoles, 17 Muñeca, 18 Narcisista por Excelencia, 19 Nuestra Aflicción, 20 Nunca Nadie Nos Podrá Parar - En Vivo, 21 Pathetica, 22 Promesas / Decepciones, 23 Quisiera No Pensar, 24 Romance en Re Sostenido, 25 Si Supieras, 26 So Violento so Macabro, 27 Solo a Terceros, 28 Tripulación Armar Toboganes, 29 ...y de la Gasolina Renació el Amor, 30 Ya No Jalaba;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-02;album;72wApQi4p9ODYXB8XObGGl;Todxs Somos Pxndx;2020-11-20;52;Movic Records;https://i.scdn.co/image/ab67616d0000b273ff951c444e6e8cb9d3b90a1f;5NNlkZBrBpOJ7C11JwVxIj;PXNDX;1 3 + 1, 2 Abigail, 3 Adheridos Separados, 4 Buen Día, 5 Cita en el Quirófano, 6 Claro Que No, 7 Cuándo No Es Como Debiera Ser, 8 Disculpa los Malos Pensamientos, 9 Procedimientos para Llegar a un Común Acuerdo, 10 Hasta el Final, 11 Hola!, 12 La Noche de la Mesa Triste, 13 Los Malaventurados No Lloran, 14 Maracas, 15 Mi Huracán Llevaba Tu Nombre, 16 Miércoles, 17 Muñeca, 18 Narcisista por Excelencia, 19 Nuestra Aflicción, 20 Nunca Nadie Nos Podrá Parar - En Vivo, 21 Pathetica, 22 Promesas / Decepciones, 23 Quisiera No Pensar, 24 Romance en Re Sostenido, 25 Si Supieras, 26 So Violento so Macabro, 27 Solo a Terceros, 28 Tripulación Armar Toboganes, 29 ...y de la Gasolina Renació el Amor, 30 Ya No Jalaba;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-03;album;72wApQi4p9ODYXB8XObGGl;Todxs Somos Pxndx;2020-11-20;52;Movic Records;https://i.scdn.co/image/ab67616d0000b273ff951c444e6e8cb9d3b90a1f;5NNlkZBrBpOJ7C11JwVxIj;PXNDX;1 3 + 1, 2 Abigail, 3 Adheridos Separados, 4 Buen Día, 5 Cita en el Quirófano, 6 Claro Que No, 7 Cuándo No Es Como Debiera Ser, 8 Disculpa los Malos Pensamientos, 9 Procedimientos para Llegar a un Común Acuerdo, 10 Hasta el Final, 11 Hola!, 12 La Noche de la Mesa Triste, 13 Los Malaventurados No Lloran, 14 Maracas, 15 Mi Huracán Llevaba Tu Nombre, 16 Miércoles, 17 Muñeca, 18 Narcisista por Excelencia, 19 Nuestra Aflicción, 20 Nunca Nadie Nos Podrá Parar - En Vivo, 21 Pathetica, 22 Promesas / Decepciones, 23 Quisiera No Pensar, 24 Romance en Re Sostenido, 25 Si Supieras, 26 So Violento so Macabro, 27 Solo a Terceros, 28 Tripulación Armar Toboganes, 29 ...y de la Gasolina Renació el Amor, 30 Ya No Jalaba;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
