album_date_extract;album_type;album_id;album_name;album_release_date;album_popularity;album_label;album_image;artist_id;artist_name;tracks;available_markets
2020-11-24;album;77uDIlDKkHhZ0clFoYb0q8;Accompanying Kids Playlist;2020-11-20;24;Kids Club;https://i.scdn.co/image/ab67616d0000b273bf3bc311506d8bb38473a28a;2JcB0D3GGG5BhIJDkdtXi7;Baby Lullaby;1 Tired Dream, 2 Old Macdonald Had A Farm, 3 Eternal Serenity, 4 Background Sleep, 5 Hushed Comforter, 6 Blissful Slumber, 7 Nursey Bedtime, 8 Gentle Music Box, 9 Tiny Tot Peace, 10 Wheels On The Bus, 11 Distant Clarity, 12 Ring A Ring A Roses, 13 Restful Sleep, 14 The Muffin Man, 15 Mulberry Bush;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-25;album;77uDIlDKkHhZ0clFoYb0q8;Accompanying Kids Playlist;2020-11-20;28;Kids Club;https://i.scdn.co/image/ab67616d0000b273bf3bc311506d8bb38473a28a;2JcB0D3GGG5BhIJDkdtXi7;Baby Lullaby;1 Tired Dream, 2 Old Macdonald Had A Farm, 3 Eternal Serenity, 4 Background Sleep, 5 Hushed Comforter, 6 Blissful Slumber, 7 Nursey Bedtime, 8 Gentle Music Box, 9 Tiny Tot Peace, 10 Wheels On The Bus, 11 Distant Clarity, 12 Ring A Ring A Roses, 13 Restful Sleep, 14 The Muffin Man, 15 Mulberry Bush;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-26;album;77uDIlDKkHhZ0clFoYb0q8;Accompanying Kids Playlist;2020-11-20;29;Kids Club;https://i.scdn.co/image/ab67616d0000b273bf3bc311506d8bb38473a28a;2JcB0D3GGG5BhIJDkdtXi7;Baby Lullaby;1 Tired Dream, 2 Old Macdonald Had A Farm, 3 Eternal Serenity, 4 Background Sleep, 5 Hushed Comforter, 6 Blissful Slumber, 7 Nursey Bedtime, 8 Gentle Music Box, 9 Tiny Tot Peace, 10 Wheels On The Bus, 11 Distant Clarity, 12 Ring A Ring A Roses, 13 Restful Sleep, 14 The Muffin Man, 15 Mulberry Bush;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-27;album;77uDIlDKkHhZ0clFoYb0q8;Accompanying Kids Playlist;2020-11-20;30;Kids Club;https://i.scdn.co/image/ab67616d0000b273bf3bc311506d8bb38473a28a;2JcB0D3GGG5BhIJDkdtXi7;Baby Lullaby;1 Tired Dream, 2 Old Macdonald Had A Farm, 3 Eternal Serenity, 4 Background Sleep, 5 Hushed Comforter, 6 Blissful Slumber, 7 Nursey Bedtime, 8 Gentle Music Box, 9 Tiny Tot Peace, 10 Wheels On The Bus, 11 Distant Clarity, 12 Ring A Ring A Roses, 13 Restful Sleep, 14 The Muffin Man, 15 Mulberry Bush;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-28;album;77uDIlDKkHhZ0clFoYb0q8;Accompanying Kids Playlist;2020-11-20;30;Kids Club;https://i.scdn.co/image/ab67616d0000b273bf3bc311506d8bb38473a28a;2JcB0D3GGG5BhIJDkdtXi7;Baby Lullaby;1 Tired Dream, 2 Old Macdonald Had A Farm, 3 Eternal Serenity, 4 Background Sleep, 5 Hushed Comforter, 6 Blissful Slumber, 7 Nursey Bedtime, 8 Gentle Music Box, 9 Tiny Tot Peace, 10 Wheels On The Bus, 11 Distant Clarity, 12 Ring A Ring A Roses, 13 Restful Sleep, 14 The Muffin Man, 15 Mulberry Bush;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-29;album;77uDIlDKkHhZ0clFoYb0q8;Accompanying Kids Playlist;2020-11-20;30;Kids Club;https://i.scdn.co/image/ab67616d0000b273bf3bc311506d8bb38473a28a;2JcB0D3GGG5BhIJDkdtXi7;Baby Lullaby;1 Tired Dream, 2 Old Macdonald Had A Farm, 3 Eternal Serenity, 4 Background Sleep, 5 Hushed Comforter, 6 Blissful Slumber, 7 Nursey Bedtime, 8 Gentle Music Box, 9 Tiny Tot Peace, 10 Wheels On The Bus, 11 Distant Clarity, 12 Ring A Ring A Roses, 13 Restful Sleep, 14 The Muffin Man, 15 Mulberry Bush;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-30;album;77uDIlDKkHhZ0clFoYb0q8;Accompanying Kids Playlist;2020-11-20;30;Kids Club;https://i.scdn.co/image/ab67616d0000b273bf3bc311506d8bb38473a28a;2JcB0D3GGG5BhIJDkdtXi7;Baby Lullaby;1 Tired Dream, 2 Old Macdonald Had A Farm, 3 Eternal Serenity, 4 Background Sleep, 5 Hushed Comforter, 6 Blissful Slumber, 7 Nursey Bedtime, 8 Gentle Music Box, 9 Tiny Tot Peace, 10 Wheels On The Bus, 11 Distant Clarity, 12 Ring A Ring A Roses, 13 Restful Sleep, 14 The Muffin Man, 15 Mulberry Bush;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-01;album;77uDIlDKkHhZ0clFoYb0q8;Accompanying Kids Playlist;2020-11-20;30;Kids Club;https://i.scdn.co/image/ab67616d0000b273bf3bc311506d8bb38473a28a;2JcB0D3GGG5BhIJDkdtXi7;Baby Lullaby;1 Tired Dream, 2 Old Macdonald Had A Farm, 3 Eternal Serenity, 4 Background Sleep, 5 Hushed Comforter, 6 Blissful Slumber, 7 Nursey Bedtime, 8 Gentle Music Box, 9 Tiny Tot Peace, 10 Wheels On The Bus, 11 Distant Clarity, 12 Ring A Ring A Roses, 13 Restful Sleep, 14 The Muffin Man, 15 Mulberry Bush;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-02;album;77uDIlDKkHhZ0clFoYb0q8;Accompanying Kids Playlist;2020-11-20;31;Kids Club;https://i.scdn.co/image/ab67616d0000b273bf3bc311506d8bb38473a28a;2JcB0D3GGG5BhIJDkdtXi7;Baby Lullaby;1 Tired Dream, 2 Old Macdonald Had A Farm, 3 Eternal Serenity, 4 Background Sleep, 5 Hushed Comforter, 6 Blissful Slumber, 7 Nursey Bedtime, 8 Gentle Music Box, 9 Tiny Tot Peace, 10 Wheels On The Bus, 11 Distant Clarity, 12 Ring A Ring A Roses, 13 Restful Sleep, 14 The Muffin Man, 15 Mulberry Bush;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-03;album;77uDIlDKkHhZ0clFoYb0q8;Accompanying Kids Playlist;2020-11-20;31;Kids Club;https://i.scdn.co/image/ab67616d0000b273bf3bc311506d8bb38473a28a;2JcB0D3GGG5BhIJDkdtXi7;Baby Lullaby;1 Tired Dream, 2 Old Macdonald Had A Farm, 3 Eternal Serenity, 4 Background Sleep, 5 Hushed Comforter, 6 Blissful Slumber, 7 Nursey Bedtime, 8 Gentle Music Box, 9 Tiny Tot Peace, 10 Wheels On The Bus, 11 Distant Clarity, 12 Ring A Ring A Roses, 13 Restful Sleep, 14 The Muffin Man, 15 Mulberry Bush;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
