album_date_extract;album_type;album_id;album_name;album_release_date;album_popularity;album_label;album_image;artist_id;artist_name;tracks;available_markets
2020-11-30;single;7AGeOW2kxWBqcyOpo1AMnH;Tea For The Tillerman;2020-11-26;39;UMC (Universal Music Catalogue);https://i.scdn.co/image/ab67616d0000b2732ea37e5f3418f013f3ca73f8;08F3Y3SctIlsOEmKd6dnH8;Yusuf  Cat Stevens;1 If You Want To Sing Out, Sing Out - Demo, 2 Father And Son - Live At The Troubadour, Los Angeles, USA / 1970, 3 Can This Be Love?;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-01;single;7AGeOW2kxWBqcyOpo1AMnH;Tea For The Tillerman;2020-11-26;42;UMC (Universal Music Catalogue);https://i.scdn.co/image/ab67616d0000b2732ea37e5f3418f013f3ca73f8;08F3Y3SctIlsOEmKd6dnH8;Yusuf  Cat Stevens;1 If You Want To Sing Out, Sing Out - Demo, 2 Father And Son - Live At The Troubadour, Los Angeles, USA / 1970, 3 Can This Be Love?;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-02;single;7AGeOW2kxWBqcyOpo1AMnH;Tea For The Tillerman;2020-11-26;43;UMC (Universal Music Catalogue);https://i.scdn.co/image/ab67616d0000b2732ea37e5f3418f013f3ca73f8;08F3Y3SctIlsOEmKd6dnH8;Yusuf  Cat Stevens;1 If You Want To Sing Out, Sing Out - Demo, 2 Father And Son - Live At The Troubadour, Los Angeles, USA / 1970, 3 Can This Be Love?;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-03;single;7AGeOW2kxWBqcyOpo1AMnH;Tea For The Tillerman;2020-11-26;44;UMC (Universal Music Catalogue);https://i.scdn.co/image/ab67616d0000b2732ea37e5f3418f013f3ca73f8;08F3Y3SctIlsOEmKd6dnH8;Yusuf  Cat Stevens;1 If You Want To Sing Out, Sing Out - Demo, 2 Father And Son - Live At The Troubadour, Los Angeles, USA / 1970, 3 Can This Be Love?;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-04;single;7AGeOW2kxWBqcyOpo1AMnH;Tea For The Tillerman;2020-11-26;45;UMC (Universal Music Catalogue);https://i.scdn.co/image/ab67616d0000b2732ea37e5f3418f013f3ca73f8;08F3Y3SctIlsOEmKd6dnH8;Yusuf  Cat Stevens;1 If You Want To Sing Out, Sing Out - Demo, 2 Father And Son - Live At The Troubadour, Los Angeles, USA / 1970, 3 Can This Be Love?;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-05;single;7AGeOW2kxWBqcyOpo1AMnH;Tea For The Tillerman;2020-11-26;45;UMC (Universal Music Catalogue);https://i.scdn.co/image/ab67616d0000b2732ea37e5f3418f013f3ca73f8;08F3Y3SctIlsOEmKd6dnH8;Yusuf  Cat Stevens;1 If You Want To Sing Out, Sing Out - Demo, 2 Father And Son - Live At The Troubadour, Los Angeles, USA / 1970, 3 Can This Be Love?;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-06;single;7AGeOW2kxWBqcyOpo1AMnH;Tea For The Tillerman;2020-11-26;46;UMC (Universal Music Catalogue);https://i.scdn.co/image/ab67616d0000b2732ea37e5f3418f013f3ca73f8;08F3Y3SctIlsOEmKd6dnH8;Yusuf  Cat Stevens;1 If You Want To Sing Out, Sing Out - Demo, 2 Father And Son - Live At The Troubadour, Los Angeles, USA / 1970, 3 Can This Be Love?;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-07;single;7AGeOW2kxWBqcyOpo1AMnH;Tea For The Tillerman;2020-11-26;46;UMC (Universal Music Catalogue);https://i.scdn.co/image/ab67616d0000b2732ea37e5f3418f013f3ca73f8;08F3Y3SctIlsOEmKd6dnH8;Yusuf  Cat Stevens;1 If You Want To Sing Out, Sing Out - Demo, 2 Father And Son - Live At The Troubadour, Los Angeles, USA / 1970, 3 Can This Be Love?;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-08;single;7AGeOW2kxWBqcyOpo1AMnH;Tea For The Tillerman;2020-11-26;46;UMC (Universal Music Catalogue);https://i.scdn.co/image/ab67616d0000b2732ea37e5f3418f013f3ca73f8;08F3Y3SctIlsOEmKd6dnH8;Yusuf  Cat Stevens;1 If You Want To Sing Out, Sing Out - Demo, 2 Father And Son - Live At The Troubadour, Los Angeles, USA / 1970, 3 Can This Be Love?;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-09;single;7AGeOW2kxWBqcyOpo1AMnH;Tea For The Tillerman;2020-11-26;45;UMC (Universal Music Catalogue);https://i.scdn.co/image/ab67616d0000b2732ea37e5f3418f013f3ca73f8;08F3Y3SctIlsOEmKd6dnH8;Yusuf  Cat Stevens;1 If You Want To Sing Out, Sing Out - Demo, 2 Father And Son - Live At The Troubadour, Los Angeles, USA / 1970, 3 Can This Be Love?;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
