album_date_extract;album_type;album_id;album_name;album_release_date;album_popularity;album_label;album_image;artist_id;artist_name;tracks;available_markets
2020-11-30;single;7a2Yl8GQrT7Zmo5uYLoK8h;Mil Gracias;2020-11-26;24;Uncion Producciones;https://i.scdn.co/image/ab67616d0000b2730013e8b867334775ebe59728;7zpvy5B9gb5KprNUzNCOEE;Miel San Marcos;1 Mil Gracias, 2 Mil Gracias (Pista);AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-01;single;7a2Yl8GQrT7Zmo5uYLoK8h;Mil Gracias;2020-11-26;28;Uncion Producciones;https://i.scdn.co/image/ab67616d0000b2730013e8b867334775ebe59728;7zpvy5B9gb5KprNUzNCOEE;Miel San Marcos;1 Mil Gracias, 2 Mil Gracias (Pista);AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-02;single;7a2Yl8GQrT7Zmo5uYLoK8h;Mil Gracias;2020-11-26;29;Uncion Producciones;https://i.scdn.co/image/ab67616d0000b2730013e8b867334775ebe59728;7zpvy5B9gb5KprNUzNCOEE;Miel San Marcos;1 Mil Gracias, 2 Mil Gracias (Pista);AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-03;single;7a2Yl8GQrT7Zmo5uYLoK8h;Mil Gracias;2020-11-26;31;Uncion Producciones;https://i.scdn.co/image/ab67616d0000b2730013e8b867334775ebe59728;7zpvy5B9gb5KprNUzNCOEE;Miel San Marcos;1 Mil Gracias, 2 Mil Gracias (Pista);AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-04;single;7a2Yl8GQrT7Zmo5uYLoK8h;Mil Gracias;2020-11-26;32;Uncion Producciones;https://i.scdn.co/image/ab67616d0000b2730013e8b867334775ebe59728;7zpvy5B9gb5KprNUzNCOEE;Miel San Marcos;1 Mil Gracias, 2 Mil Gracias (Pista);AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-05;single;7a2Yl8GQrT7Zmo5uYLoK8h;Mil Gracias;2020-11-26;33;Uncion Producciones;https://i.scdn.co/image/ab67616d0000b2730013e8b867334775ebe59728;7zpvy5B9gb5KprNUzNCOEE;Miel San Marcos;1 Mil Gracias, 2 Mil Gracias (Pista);AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-06;single;7a2Yl8GQrT7Zmo5uYLoK8h;Mil Gracias;2020-11-26;33;Uncion Producciones;https://i.scdn.co/image/ab67616d0000b2730013e8b867334775ebe59728;7zpvy5B9gb5KprNUzNCOEE;Miel San Marcos;1 Mil Gracias, 2 Mil Gracias (Pista);AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-07;single;7a2Yl8GQrT7Zmo5uYLoK8h;Mil Gracias;2020-11-26;34;Uncion Producciones;https://i.scdn.co/image/ab67616d0000b2730013e8b867334775ebe59728;7zpvy5B9gb5KprNUzNCOEE;Miel San Marcos;1 Mil Gracias, 2 Mil Gracias (Pista);AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-08;single;7a2Yl8GQrT7Zmo5uYLoK8h;Mil Gracias;2020-11-26;34;Uncion Producciones;https://i.scdn.co/image/ab67616d0000b2730013e8b867334775ebe59728;7zpvy5B9gb5KprNUzNCOEE;Miel San Marcos;1 Mil Gracias, 2 Mil Gracias (Pista);AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-09;single;7a2Yl8GQrT7Zmo5uYLoK8h;Mil Gracias;2020-11-26;35;Uncion Producciones;https://i.scdn.co/image/ab67616d0000b2730013e8b867334775ebe59728;7zpvy5B9gb5KprNUzNCOEE;Miel San Marcos;1 Mil Gracias, 2 Mil Gracias (Pista);AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
