album_date_extract;album_type;album_id;album_name;album_release_date;album_popularity;album_label;album_image;artist_id;artist_name;tracks;available_markets
2020-11-24;album;7eZZlsYMARf2T5cpUJa0eM;Ridge2rock!;2020-11-21;27;The Sugar Dumplings Inc.;https://i.scdn.co/image/ab67616d0000b273c174181cc523284a2e948ca1;7arQA31aZVS8yS6zUveWzb;CJ;1 B&M&W, 2 Notice Me, 3 Dumb n Crazy, 4 Main 1, 5 SummerJam, 6 4-3 times, 7 WASSUP WASSUP;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-25;album;7eZZlsYMARf2T5cpUJa0eM;Ridge2rock!;2020-11-21;34;The Sugar Dumplings Inc.;https://i.scdn.co/image/ab67616d0000b273c174181cc523284a2e948ca1;7JEPOO62UBdZcbwpyKAVWP;CJ;1 B&M&W, 2 Notice Me, 3 Dumb n Crazy, 4 Main 1, 5 SummerJam, 6 4-3 times, 7 WASSUP WASSUP;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-26;album;7eZZlsYMARf2T5cpUJa0eM;Ridge2rock!;2020-11-21;39;The Sugar Dumplings Inc.;https://i.scdn.co/image/ab67616d0000b273c174181cc523284a2e948ca1;7JEPOO62UBdZcbwpyKAVWP;CJ;1 B&M&W, 2 Notice Me, 3 Dumb n Crazy, 4 Main 1, 5 SummerJam, 6 4-3 times, 7 WASSUP WASSUP;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-27;album;7eZZlsYMARf2T5cpUJa0eM;Ridge2rock!;2020-11-21;40;The Sugar Dumplings Inc.;https://i.scdn.co/image/ab67616d0000b273c174181cc523284a2e948ca1;7JEPOO62UBdZcbwpyKAVWP;CJ;1 B&M&W, 2 Notice Me, 3 Dumb n Crazy, 4 Main 1, 5 SummerJam, 6 4-3 times, 7 WASSUP WASSUP;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-28;album;7eZZlsYMARf2T5cpUJa0eM;Ridge2rock!;2020-11-21;40;The Sugar Dumplings Inc.;https://i.scdn.co/image/ab67616d0000b273c174181cc523284a2e948ca1;7JEPOO62UBdZcbwpyKAVWP;CJ;1 B&M&W, 2 Notice Me, 3 Dumb n Crazy, 4 Main 1, 5 SummerJam, 6 4-3 times, 7 WASSUP WASSUP;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-29;album;7eZZlsYMARf2T5cpUJa0eM;Ridge2rock!;2020-11-21;40;The Sugar Dumplings Inc.;https://i.scdn.co/image/ab67616d0000b273c174181cc523284a2e948ca1;7JEPOO62UBdZcbwpyKAVWP;CJ;1 B&M&W, 2 Notice Me, 3 Dumb n Crazy, 4 Main 1, 5 SummerJam, 6 4-3 times, 7 WASSUP WASSUP;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-30;album;7eZZlsYMARf2T5cpUJa0eM;Ridge2rock!;2020-11-21;40;The Sugar Dumplings Inc.;https://i.scdn.co/image/ab67616d0000b273c174181cc523284a2e948ca1;7JEPOO62UBdZcbwpyKAVWP;CJ;1 B&M&W, 2 Notice Me, 3 Dumb n Crazy, 4 Main 1, 5 SummerJam, 6 4-3 times, 7 WASSUP WASSUP;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-01;album;7eZZlsYMARf2T5cpUJa0eM;Ridge2rock!;2020-11-21;40;The Sugar Dumplings Inc.;https://i.scdn.co/image/ab67616d0000b273c174181cc523284a2e948ca1;7JEPOO62UBdZcbwpyKAVWP;CJ;1 B&M&W, 2 Notice Me, 3 Dumb n Crazy, 4 Main 1, 5 SummerJam, 6 4-3 times, 7 WASSUP WASSUP;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-02;album;7eZZlsYMARf2T5cpUJa0eM;Ridge2rock!;2020-11-21;40;The Sugar Dumplings Inc.;https://i.scdn.co/image/ab67616d0000b273c174181cc523284a2e948ca1;7JEPOO62UBdZcbwpyKAVWP;CJ;1 B&M&W, 2 Notice Me, 3 Dumb n Crazy, 4 Main 1, 5 SummerJam, 6 4-3 times, 7 WASSUP WASSUP;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-03;album;7eZZlsYMARf2T5cpUJa0eM;Ridge2rock!;2020-11-21;39;The Sugar Dumplings Inc.;https://i.scdn.co/image/ab67616d0000b273c174181cc523284a2e948ca1;7JEPOO62UBdZcbwpyKAVWP;CJ;1 B&M&W, 2 Notice Me, 3 Dumb n Crazy, 4 Main 1, 5 SummerJam, 6 4-3 times, 7 WASSUP WASSUP;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
