album_date_extract;album_type;album_id;album_name;album_release_date;album_popularity;album_label;album_image;artist_id;artist_name;tracks;available_markets
2020-11-24;album;7oogc2HscinoahzGe8INuf;L.O.V.E. (Deluxe);2020-11-20;47;Cinematic Music Group;https://i.scdn.co/image/ab67616d0000b273e78b15741e3f142cf9ff54ab;24CgJHK6T7C5OmUbiLLMjJ;Luh Kel;1 All in You, 2 Want You, 3 Real, 4 Back, 5 Promise, 6 Who You Are, 7 How To Love, 8 Perfect Time, 9 Need Me, 10 Trips, 11 Ecstasy, 12 Different, 13 Y.O.U., 14 Wrong - Remix, 15 Feen, 16 N.A.S.A., 17 Need It, 18 Let Me Know;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-25;album;7oogc2HscinoahzGe8INuf;L.O.V.E. (Deluxe);2020-11-20;50;Cinematic Music Group;https://i.scdn.co/image/ab67616d0000b273e78b15741e3f142cf9ff54ab;24CgJHK6T7C5OmUbiLLMjJ;Luh Kel;1 All in You, 2 Want You, 3 Real, 4 Back, 5 Promise, 6 Who You Are, 7 How To Love, 8 Perfect Time, 9 Need Me, 10 Trips, 11 Ecstasy, 12 Different, 13 Y.O.U., 14 Wrong - Remix, 15 Feen, 16 N.A.S.A., 17 Need It, 18 Let Me Know;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-26;album;7oogc2HscinoahzGe8INuf;L.O.V.E. (Deluxe);2020-11-20;52;Cinematic Music Group;https://i.scdn.co/image/ab67616d0000b273e78b15741e3f142cf9ff54ab;24CgJHK6T7C5OmUbiLLMjJ;Luh Kel;1 All in You, 2 Want You, 3 Real, 4 Back, 5 Promise, 6 Who You Are, 7 How To Love, 8 Perfect Time, 9 Need Me, 10 Trips, 11 Ecstasy, 12 Different, 13 Y.O.U., 14 Wrong - Remix, 15 Feen, 16 N.A.S.A., 17 Need It, 18 Let Me Know;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-27;album;7oogc2HscinoahzGe8INuf;L.O.V.E. (Deluxe);2020-11-20;53;Cinematic Music Group;https://i.scdn.co/image/ab67616d0000b273e78b15741e3f142cf9ff54ab;24CgJHK6T7C5OmUbiLLMjJ;Luh Kel;1 All in You, 2 Want You, 3 Real, 4 Back, 5 Promise, 6 Who You Are, 7 How To Love, 8 Perfect Time, 9 Need Me, 10 Trips, 11 Ecstasy, 12 Different, 13 Y.O.U., 14 Wrong - Remix, 15 Feen, 16 N.A.S.A., 17 Need It, 18 Let Me Know;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-28;album;7oogc2HscinoahzGe8INuf;L.O.V.E. (Deluxe);2020-11-20;54;Cinematic Music Group;https://i.scdn.co/image/ab67616d0000b273e78b15741e3f142cf9ff54ab;24CgJHK6T7C5OmUbiLLMjJ;Luh Kel;1 All in You, 2 Want You, 3 Real, 4 Back, 5 Promise, 6 Who You Are, 7 How To Love, 8 Perfect Time, 9 Need Me, 10 Trips, 11 Ecstasy, 12 Different, 13 Y.O.U., 14 Wrong - Remix, 15 Feen, 16 N.A.S.A., 17 Need It, 18 Let Me Know;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-29;album;7oogc2HscinoahzGe8INuf;L.O.V.E. (Deluxe);2020-11-20;55;Cinematic Music Group;https://i.scdn.co/image/ab67616d0000b273e78b15741e3f142cf9ff54ab;24CgJHK6T7C5OmUbiLLMjJ;Luh Kel;1 All in You, 2 Want You, 3 Real, 4 Back, 5 Promise, 6 Who You Are, 7 How To Love, 8 Perfect Time, 9 Need Me, 10 Trips, 11 Ecstasy, 12 Different, 13 Y.O.U., 14 Wrong - Remix, 15 Feen, 16 N.A.S.A., 17 Need It, 18 Let Me Know;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-30;album;7oogc2HscinoahzGe8INuf;L.O.V.E. (Deluxe);2020-11-20;56;Cinematic Music Group;https://i.scdn.co/image/ab67616d0000b273e78b15741e3f142cf9ff54ab;24CgJHK6T7C5OmUbiLLMjJ;Luh Kel;1 All in You, 2 Want You, 3 Real, 4 Back, 5 Promise, 6 Who You Are, 7 How To Love, 8 Perfect Time, 9 Need Me, 10 Trips, 11 Ecstasy, 12 Different, 13 Y.O.U., 14 Wrong - Remix, 15 Feen, 16 N.A.S.A., 17 Need It, 18 Let Me Know;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-01;album;7oogc2HscinoahzGe8INuf;L.O.V.E. (Deluxe);2020-11-20;57;Cinematic Music Group;https://i.scdn.co/image/ab67616d0000b273e78b15741e3f142cf9ff54ab;24CgJHK6T7C5OmUbiLLMjJ;Luh Kel;1 All in You, 2 Want You, 3 Real, 4 Back, 5 Promise, 6 Who You Are, 7 How To Love, 8 Perfect Time, 9 Need Me, 10 Trips, 11 Ecstasy, 12 Different, 13 Y.O.U., 14 Wrong - Remix, 15 Feen, 16 N.A.S.A., 17 Need It, 18 Let Me Know;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-02;album;7oogc2HscinoahzGe8INuf;L.O.V.E. (Deluxe);2020-11-20;57;Cinematic Music Group;https://i.scdn.co/image/ab67616d0000b273e78b15741e3f142cf9ff54ab;24CgJHK6T7C5OmUbiLLMjJ;Luh Kel;1 All in You, 2 Want You, 3 Real, 4 Back, 5 Promise, 6 Who You Are, 7 How To Love, 8 Perfect Time, 9 Need Me, 10 Trips, 11 Ecstasy, 12 Different, 13 Y.O.U., 14 Wrong - Remix, 15 Feen, 16 N.A.S.A., 17 Need It, 18 Let Me Know;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-03;album;7oogc2HscinoahzGe8INuf;L.O.V.E. (Deluxe);2020-11-20;57;Cinematic Music Group;https://i.scdn.co/image/ab67616d0000b273e78b15741e3f142cf9ff54ab;24CgJHK6T7C5OmUbiLLMjJ;Luh Kel;1 All in You, 2 Want You, 3 Real, 4 Back, 5 Promise, 6 Who You Are, 7 How To Love, 8 Perfect Time, 9 Need Me, 10 Trips, 11 Ecstasy, 12 Different, 13 Y.O.U., 14 Wrong - Remix, 15 Feen, 16 N.A.S.A., 17 Need It, 18 Let Me Know;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
