album_date_extract;album_type;album_id;album_name;album_release_date;album_popularity;album_label;album_image;artist_id;artist_name;tracks;available_markets
2020-11-30;album;7phIvzVMKnCXjLbRKdGk1l;Comfort & Joy;2020-11-25;47;Tinashe Music LLC;https://i.scdn.co/image/ab67616d0000b273b1d8cf4e86db65fcef8e87a1;0NIIxcxNHmOoyBx03SfTCD;Tinashe;1 Comfort & Joy (intro), 2 God Rest Ye Merry Gentlemen, 3 Angels we Have Heard on High, 4 Last Christmas, 5 The Christmas song, 6 O Holy night, 7 Have Yourself a Merry Little Christmas;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-01;album;7phIvzVMKnCXjLbRKdGk1l;Comfort & Joy;2020-11-25;48;Tinashe Music LLC;https://i.scdn.co/image/ab67616d0000b273b1d8cf4e86db65fcef8e87a1;0NIIxcxNHmOoyBx03SfTCD;Tinashe;1 Comfort & Joy (intro), 2 God Rest Ye Merry Gentlemen, 3 Angels we Have Heard on High, 4 Last Christmas, 5 The Christmas song, 6 O Holy night, 7 Have Yourself a Merry Little Christmas;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-02;album;7phIvzVMKnCXjLbRKdGk1l;Comfort & Joy;2020-11-25;49;Tinashe Music LLC;https://i.scdn.co/image/ab67616d0000b273b1d8cf4e86db65fcef8e87a1;0NIIxcxNHmOoyBx03SfTCD;Tinashe;1 Comfort & Joy (intro), 2 God Rest Ye Merry Gentlemen, 3 Angels we Have Heard on High, 4 Last Christmas, 5 The Christmas song, 6 O Holy night, 7 Have Yourself a Merry Little Christmas;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-03;album;7phIvzVMKnCXjLbRKdGk1l;Comfort & Joy;2020-11-25;50;Tinashe Music LLC;https://i.scdn.co/image/ab67616d0000b273b1d8cf4e86db65fcef8e87a1;0NIIxcxNHmOoyBx03SfTCD;Tinashe;1 Comfort & Joy (intro), 2 God Rest Ye Merry Gentlemen, 3 Angels we Have Heard on High, 4 Last Christmas, 5 The Christmas song, 6 O Holy night, 7 Have Yourself a Merry Little Christmas;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-04;album;7phIvzVMKnCXjLbRKdGk1l;Comfort & Joy;2020-11-25;50;Tinashe Music LLC;https://i.scdn.co/image/ab67616d0000b273b1d8cf4e86db65fcef8e87a1;0NIIxcxNHmOoyBx03SfTCD;Tinashe;1 Comfort & Joy (intro), 2 God Rest Ye Merry Gentlemen, 3 Angels we Have Heard on High, 4 Last Christmas, 5 The Christmas song, 6 O Holy night, 7 Have Yourself a Merry Little Christmas;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-05;album;7phIvzVMKnCXjLbRKdGk1l;Comfort & Joy;2020-11-25;51;Tinashe Music LLC;https://i.scdn.co/image/ab67616d0000b273b1d8cf4e86db65fcef8e87a1;0NIIxcxNHmOoyBx03SfTCD;Tinashe;1 Comfort & Joy (intro), 2 God Rest Ye Merry Gentlemen, 3 Angels we Have Heard on High, 4 Last Christmas, 5 The Christmas song, 6 O Holy night, 7 Have Yourself a Merry Little Christmas;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-06;album;7phIvzVMKnCXjLbRKdGk1l;Comfort & Joy;2020-11-25;51;Tinashe Music LLC;https://i.scdn.co/image/ab67616d0000b273b1d8cf4e86db65fcef8e87a1;0NIIxcxNHmOoyBx03SfTCD;Tinashe;1 Comfort & Joy (intro), 2 God Rest Ye Merry Gentlemen, 3 Angels we Have Heard on High, 4 Last Christmas, 5 The Christmas song, 6 O Holy night, 7 Have Yourself a Merry Little Christmas;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-07;album;7phIvzVMKnCXjLbRKdGk1l;Comfort & Joy;2020-11-25;52;Tinashe Music LLC;https://i.scdn.co/image/ab67616d0000b273b1d8cf4e86db65fcef8e87a1;0NIIxcxNHmOoyBx03SfTCD;Tinashe;1 Comfort & Joy (intro), 2 God Rest Ye Merry Gentlemen, 3 Angels we Have Heard on High, 4 Last Christmas, 5 The Christmas song, 6 O Holy night, 7 Have Yourself a Merry Little Christmas;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-08;album;7phIvzVMKnCXjLbRKdGk1l;Comfort & Joy;2020-11-25;52;Tinashe Music LLC;https://i.scdn.co/image/ab67616d0000b273b1d8cf4e86db65fcef8e87a1;0NIIxcxNHmOoyBx03SfTCD;Tinashe;1 Comfort & Joy (intro), 2 God Rest Ye Merry Gentlemen, 3 Angels we Have Heard on High, 4 Last Christmas, 5 The Christmas song, 6 O Holy night, 7 Have Yourself a Merry Little Christmas;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-09;album;7phIvzVMKnCXjLbRKdGk1l;Comfort & Joy;2020-11-25;52;Tinashe Music LLC;https://i.scdn.co/image/ab67616d0000b273b1d8cf4e86db65fcef8e87a1;0NIIxcxNHmOoyBx03SfTCD;Tinashe;1 Comfort & Joy (intro), 2 God Rest Ye Merry Gentlemen, 3 Angels we Have Heard on High, 4 Last Christmas, 5 The Christmas song, 6 O Holy night, 7 Have Yourself a Merry Little Christmas;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
