album_date_extract;album_type;album_id;album_name;album_release_date;album_popularity;album_label;album_image;artist_id;artist_name;tracks;available_markets
2020-11-24;single;1Xg8xbDB8HZX3LfMKctPYC;As Long As Life;2020-11-20;16;Short Boss Muzik/Vybz Kartel Muzik;https://i.scdn.co/image/ab67616d0000b273d275d59f6d369737308f4439;2NUz5P42WqkxilbI8ocN76;Vybz Kartel;1 As Long As Life, 2 As Long As Life;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-25;single;1Xg8xbDB8HZX3LfMKctPYC;As Long As Life;2020-11-20;19;Short Boss Muzik/Vybz Kartel Muzik;https://i.scdn.co/image/ab67616d0000b273d275d59f6d369737308f4439;2NUz5P42WqkxilbI8ocN76;Vybz Kartel;1 As Long As Life, 2 As Long As Life;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-26;single;1Xg8xbDB8HZX3LfMKctPYC;As Long As Life;2020-11-20;21;Short Boss Muzik/Vybz Kartel Muzik;https://i.scdn.co/image/ab67616d0000b273d275d59f6d369737308f4439;2NUz5P42WqkxilbI8ocN76;Vybz Kartel;1 As Long As Life, 2 As Long As Life;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-27;single;1Xg8xbDB8HZX3LfMKctPYC;As Long As Life;2020-11-20;23;Short Boss Muzik/Vybz Kartel Muzik;https://i.scdn.co/image/ab67616d0000b273d275d59f6d369737308f4439;2NUz5P42WqkxilbI8ocN76;Vybz Kartel;1 As Long As Life, 2 As Long As Life;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-28;single;1Xg8xbDB8HZX3LfMKctPYC;As Long As Life;2020-11-20;24;Short Boss Muzik/Vybz Kartel Muzik;https://i.scdn.co/image/ab67616d0000b273d275d59f6d369737308f4439;2NUz5P42WqkxilbI8ocN76;Vybz Kartel;1 As Long As Life, 2 As Long As Life;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-29;single;1Xg8xbDB8HZX3LfMKctPYC;As Long As Life;2020-11-20;25;Short Boss Muzik/Vybz Kartel Muzik;https://i.scdn.co/image/ab67616d0000b273d275d59f6d369737308f4439;2NUz5P42WqkxilbI8ocN76;Vybz Kartel;1 As Long As Life, 2 As Long As Life;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-30;single;1Xg8xbDB8HZX3LfMKctPYC;As Long As Life;2020-11-20;26;Short Boss Muzik/Vybz Kartel Muzik;https://i.scdn.co/image/ab67616d0000b273d275d59f6d369737308f4439;2NUz5P42WqkxilbI8ocN76;Vybz Kartel;1 As Long As Life, 2 As Long As Life;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-01;single;1Xg8xbDB8HZX3LfMKctPYC;As Long As Life;2020-11-20;26;Short Boss Muzik/Vybz Kartel Muzik;https://i.scdn.co/image/ab67616d0000b273d275d59f6d369737308f4439;2NUz5P42WqkxilbI8ocN76;Vybz Kartel;1 As Long As Life, 2 As Long As Life;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-02;single;1Xg8xbDB8HZX3LfMKctPYC;As Long As Life;2020-11-20;27;Short Boss Muzik/Vybz Kartel Muzik;https://i.scdn.co/image/ab67616d0000b273d275d59f6d369737308f4439;2NUz5P42WqkxilbI8ocN76;Vybz Kartel;1 As Long As Life, 2 As Long As Life;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-03;single;1Xg8xbDB8HZX3LfMKctPYC;As Long As Life;2020-11-20;27;Short Boss Muzik/Vybz Kartel Muzik;https://i.scdn.co/image/ab67616d0000b273d275d59f6d369737308f4439;2NUz5P42WqkxilbI8ocN76;Vybz Kartel;1 As Long As Life, 2 As Long As Life;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-04;single;1Xg8xbDB8HZX3LfMKctPYC;As Long As Life;2020-11-20;27;Short Boss Muzik/Vybz Kartel Muzik;https://i.scdn.co/image/ab67616d0000b273d275d59f6d369737308f4439;2NUz5P42WqkxilbI8ocN76;Vybz Kartel;1 As Long As Life, 2 As Long As Life;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-05;single;1Xg8xbDB8HZX3LfMKctPYC;As Long As Life;2020-11-20;28;Short Boss Muzik/Vybz Kartel Muzik;https://i.scdn.co/image/ab67616d0000b273d275d59f6d369737308f4439;2NUz5P42WqkxilbI8ocN76;Vybz Kartel;1 As Long As Life, 2 As Long As Life;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-06;single;1Xg8xbDB8HZX3LfMKctPYC;As Long As Life;2020-11-20;28;Short Boss Muzik/Vybz Kartel Muzik;https://i.scdn.co/image/ab67616d0000b273d275d59f6d369737308f4439;2NUz5P42WqkxilbI8ocN76;Vybz Kartel;1 As Long As Life, 2 As Long As Life;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-07;single;1Xg8xbDB8HZX3LfMKctPYC;As Long As Life;2020-11-20;28;Short Boss Muzik/Vybz Kartel Muzik;https://i.scdn.co/image/ab67616d0000b273d275d59f6d369737308f4439;2NUz5P42WqkxilbI8ocN76;Vybz Kartel;1 As Long As Life, 2 As Long As Life;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-08;single;1Xg8xbDB8HZX3LfMKctPYC;As Long As Life;2020-11-20;29;Short Boss Muzik/Vybz Kartel Muzik;https://i.scdn.co/image/ab67616d0000b273d275d59f6d369737308f4439;2NUz5P42WqkxilbI8ocN76;Vybz Kartel;1 As Long As Life, 2 As Long As Life;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
