album_date_extract;album_type;album_id;album_name;album_release_date;album_popularity;album_label;album_image;artist_id;artist_name;tracks;available_markets
2020-11-24;single;2xOUnTpb8hfcyPRrZOIVus;BETTER;2020-11-18;50;WM Japan;https://i.scdn.co/image/ab67616d0000b273fc5ffa6bb519a8ac7a154fc5;7n2Ycct7Beij7Dj7meI4X0;TWICE;1 BETTER, 2 Scorpion, 3 BETTER - Instrumental, 4 Scorpion - Instrumental;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-25;single;2xOUnTpb8hfcyPRrZOIVus;BETTER;2020-11-18;51;WM Japan;https://i.scdn.co/image/ab67616d0000b273fc5ffa6bb519a8ac7a154fc5;7n2Ycct7Beij7Dj7meI4X0;TWICE;1 BETTER, 2 Scorpion, 3 BETTER - Instrumental, 4 Scorpion - Instrumental;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-26;single;2xOUnTpb8hfcyPRrZOIVus;BETTER;2020-11-18;52;WM Japan;https://i.scdn.co/image/ab67616d0000b273fc5ffa6bb519a8ac7a154fc5;7n2Ycct7Beij7Dj7meI4X0;TWICE;1 BETTER, 2 Scorpion, 3 BETTER - Instrumental, 4 Scorpion - Instrumental;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-27;single;2xOUnTpb8hfcyPRrZOIVus;BETTER;2020-11-18;53;WM Japan;https://i.scdn.co/image/ab67616d0000b273fc5ffa6bb519a8ac7a154fc5;7n2Ycct7Beij7Dj7meI4X0;TWICE;1 BETTER, 2 Scorpion, 3 BETTER - Instrumental, 4 Scorpion - Instrumental;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-28;single;2xOUnTpb8hfcyPRrZOIVus;BETTER;2020-11-18;53;WM Japan;https://i.scdn.co/image/ab67616d0000b273fc5ffa6bb519a8ac7a154fc5;7n2Ycct7Beij7Dj7meI4X0;TWICE;1 BETTER, 2 Scorpion, 3 BETTER - Instrumental, 4 Scorpion - Instrumental;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-29;single;2xOUnTpb8hfcyPRrZOIVus;BETTER;2020-11-18;54;WM Japan;https://i.scdn.co/image/ab67616d0000b273fc5ffa6bb519a8ac7a154fc5;7n2Ycct7Beij7Dj7meI4X0;TWICE;1 BETTER, 2 Scorpion, 3 BETTER - Instrumental, 4 Scorpion - Instrumental;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-30;single;2xOUnTpb8hfcyPRrZOIVus;BETTER;2020-11-18;54;WM Japan;https://i.scdn.co/image/ab67616d0000b273fc5ffa6bb519a8ac7a154fc5;7n2Ycct7Beij7Dj7meI4X0;TWICE;1 BETTER, 2 Scorpion, 3 BETTER - Instrumental, 4 Scorpion - Instrumental;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-01;single;2xOUnTpb8hfcyPRrZOIVus;BETTER;2020-11-18;55;WM Japan;https://i.scdn.co/image/ab67616d0000b273fc5ffa6bb519a8ac7a154fc5;7n2Ycct7Beij7Dj7meI4X0;TWICE;1 BETTER, 2 Scorpion, 3 BETTER - Instrumental, 4 Scorpion - Instrumental;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-02;single;2xOUnTpb8hfcyPRrZOIVus;BETTER;2020-11-18;55;WM Japan;https://i.scdn.co/image/ab67616d0000b273fc5ffa6bb519a8ac7a154fc5;7n2Ycct7Beij7Dj7meI4X0;TWICE;1 BETTER, 2 Scorpion, 3 BETTER - Instrumental, 4 Scorpion - Instrumental;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-03;single;2xOUnTpb8hfcyPRrZOIVus;BETTER;2020-11-18;55;WM Japan;https://i.scdn.co/image/ab67616d0000b273fc5ffa6bb519a8ac7a154fc5;7n2Ycct7Beij7Dj7meI4X0;TWICE;1 BETTER, 2 Scorpion, 3 BETTER - Instrumental, 4 Scorpion - Instrumental;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
