album_date_extract;album_type;album_id;album_name;album_release_date;album_popularity;album_label;album_image;artist_id;artist_name;tracks;available_markets
2020-11-24;single;4kS9OnqOFnu9m27RvfoodH;Breaking the Habit;2020-11-16;2;Caleb Hyles Music;https://i.scdn.co/image/ab67616d0000b2736523f9d830bd7513aee4a019;6jDwZUFYUH1dC4xWzOd8QU;Caleb Hyles;1 Breaking the Habit;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-25;single;4kS9OnqOFnu9m27RvfoodH;Breaking the Habit;2020-11-16;3;Caleb Hyles Music;https://i.scdn.co/image/ab67616d0000b2736523f9d830bd7513aee4a019;6jDwZUFYUH1dC4xWzOd8QU;Caleb Hyles;1 Breaking the Habit;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-26;single;4kS9OnqOFnu9m27RvfoodH;Breaking the Habit;2020-11-16;4;Caleb Hyles Music;https://i.scdn.co/image/ab67616d0000b2736523f9d830bd7513aee4a019;6jDwZUFYUH1dC4xWzOd8QU;Caleb Hyles;1 Breaking the Habit;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-27;single;4kS9OnqOFnu9m27RvfoodH;Breaking the Habit;2020-11-16;5;Caleb Hyles Music;https://i.scdn.co/image/ab67616d0000b2736523f9d830bd7513aee4a019;6jDwZUFYUH1dC4xWzOd8QU;Caleb Hyles;1 Breaking the Habit;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-28;single;4kS9OnqOFnu9m27RvfoodH;Breaking the Habit;2020-11-16;6;Caleb Hyles Music;https://i.scdn.co/image/ab67616d0000b2736523f9d830bd7513aee4a019;6jDwZUFYUH1dC4xWzOd8QU;Caleb Hyles;1 Breaking the Habit;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-29;single;4kS9OnqOFnu9m27RvfoodH;Breaking the Habit;2020-11-16;7;Caleb Hyles Music;https://i.scdn.co/image/ab67616d0000b2736523f9d830bd7513aee4a019;6jDwZUFYUH1dC4xWzOd8QU;Caleb Hyles;1 Breaking the Habit;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-30;single;4kS9OnqOFnu9m27RvfoodH;Breaking the Habit;2020-11-16;7;Caleb Hyles Music;https://i.scdn.co/image/ab67616d0000b2736523f9d830bd7513aee4a019;6jDwZUFYUH1dC4xWzOd8QU;Caleb Hyles;1 Breaking the Habit;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-01;single;4kS9OnqOFnu9m27RvfoodH;Breaking the Habit;2020-11-16;8;Caleb Hyles Music;https://i.scdn.co/image/ab67616d0000b2736523f9d830bd7513aee4a019;6jDwZUFYUH1dC4xWzOd8QU;Caleb Hyles;1 Breaking the Habit;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-02;single;4kS9OnqOFnu9m27RvfoodH;Breaking the Habit;2020-11-16;8;Caleb Hyles Music;https://i.scdn.co/image/ab67616d0000b2736523f9d830bd7513aee4a019;6jDwZUFYUH1dC4xWzOd8QU;Caleb Hyles;1 Breaking the Habit;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-03;single;4kS9OnqOFnu9m27RvfoodH;Breaking the Habit;2020-11-16;8;Caleb Hyles Music;https://i.scdn.co/image/ab67616d0000b2736523f9d830bd7513aee4a019;6jDwZUFYUH1dC4xWzOd8QU;Caleb Hyles;1 Breaking the Habit;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
