album_date_extract;album_type;album_id;album_name;album_release_date;album_popularity;album_label;album_image;artist_id;artist_name;tracks;available_markets
2020-11-24;album;2wNOuwAfi4Sr68ruDu000a;Christmas Worship;2020-11-20;26;Prodigy;https://i.scdn.co/image/ab67616d0000b27318bfbec9237fb113f97affbc;7l0sphz32GV0AjjEhECpVg;Caleb and Kelsey;1 Away in a Manger (Our Humble King), 2 Angels We Have Heard on High (Glory to God), 3 O Come O Come Emmanuel (Jesus, We Will Wait on You), 4 Hark! the Herald Angels Sing (In Excelsis Deo), 5 Joy to the World (The Savior Is Here), 6 What Child Is This? (Love Has Come to Us), 7 Silent Night (Holy Child), 8 It Came Upon a Midnight Clear (Jesus Messiah), 9 Here I Am to Worship / O Come Let Us Adore Him, 10 Light of the World, 11 The Prayer, 12 Christmas Amazing Grace, 13 Christmas Amazing Grace (Radio Version), 14 The Blessing (Christmas Version), 15 Noel;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-25;album;2wNOuwAfi4Sr68ruDu000a;Christmas Worship;2020-11-20;29;Prodigy;https://i.scdn.co/image/ab67616d0000b27318bfbec9237fb113f97affbc;7l0sphz32GV0AjjEhECpVg;Caleb and Kelsey;1 Away in a Manger (Our Humble King), 2 Angels We Have Heard on High (Glory to God), 3 O Come O Come Emmanuel (Jesus, We Will Wait on You), 4 Hark! the Herald Angels Sing (In Excelsis Deo), 5 Joy to the World (The Savior Is Here), 6 What Child Is This? (Love Has Come to Us), 7 Silent Night (Holy Child), 8 It Came Upon a Midnight Clear (Jesus Messiah), 9 Here I Am to Worship / O Come Let Us Adore Him, 10 Light of the World, 11 The Prayer, 12 Christmas Amazing Grace, 13 Christmas Amazing Grace (Radio Version), 14 The Blessing (Christmas Version), 15 Noel;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-26;album;2wNOuwAfi4Sr68ruDu000a;Christmas Worship;2020-11-20;31;Prodigy;https://i.scdn.co/image/ab67616d0000b27318bfbec9237fb113f97affbc;7l0sphz32GV0AjjEhECpVg;Caleb and Kelsey;1 Away in a Manger (Our Humble King), 2 Angels We Have Heard on High (Glory to God), 3 O Come O Come Emmanuel (Jesus, We Will Wait on You), 4 Hark! the Herald Angels Sing (In Excelsis Deo), 5 Joy to the World (The Savior Is Here), 6 What Child Is This? (Love Has Come to Us), 7 Silent Night (Holy Child), 8 It Came Upon a Midnight Clear (Jesus Messiah), 9 Here I Am to Worship / O Come Let Us Adore Him, 10 Light of the World, 11 The Prayer, 12 Christmas Amazing Grace, 13 Christmas Amazing Grace (Radio Version), 14 The Blessing (Christmas Version), 15 Noel;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-27;album;2wNOuwAfi4Sr68ruDu000a;Christmas Worship;2020-11-20;32;Prodigy;https://i.scdn.co/image/ab67616d0000b27318bfbec9237fb113f97affbc;7l0sphz32GV0AjjEhECpVg;Caleb and Kelsey;1 Away in a Manger (Our Humble King), 2 Angels We Have Heard on High (Glory to God), 3 O Come O Come Emmanuel (Jesus, We Will Wait on You), 4 Hark! the Herald Angels Sing (In Excelsis Deo), 5 Joy to the World (The Savior Is Here), 6 What Child Is This? (Love Has Come to Us), 7 Silent Night (Holy Child), 8 It Came Upon a Midnight Clear (Jesus Messiah), 9 Here I Am to Worship / O Come Let Us Adore Him, 10 Light of the World, 11 The Prayer, 12 Christmas Amazing Grace, 13 Christmas Amazing Grace (Radio Version), 14 The Blessing (Christmas Version), 15 Noel;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-28;album;2wNOuwAfi4Sr68ruDu000a;Christmas Worship;2020-11-20;33;Prodigy;https://i.scdn.co/image/ab67616d0000b27318bfbec9237fb113f97affbc;7l0sphz32GV0AjjEhECpVg;Caleb and Kelsey;1 Away in a Manger (Our Humble King), 2 Angels We Have Heard on High (Glory to God), 3 O Come O Come Emmanuel (Jesus, We Will Wait on You), 4 Hark! the Herald Angels Sing (In Excelsis Deo), 5 Joy to the World (The Savior Is Here), 6 What Child Is This? (Love Has Come to Us), 7 Silent Night (Holy Child), 8 It Came Upon a Midnight Clear (Jesus Messiah), 9 Here I Am to Worship / O Come Let Us Adore Him, 10 Light of the World, 11 The Prayer, 12 Christmas Amazing Grace, 13 Christmas Amazing Grace (Radio Version), 14 The Blessing (Christmas Version), 15 Noel;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-29;album;2wNOuwAfi4Sr68ruDu000a;Christmas Worship;2020-11-20;34;Prodigy;https://i.scdn.co/image/ab67616d0000b27318bfbec9237fb113f97affbc;7l0sphz32GV0AjjEhECpVg;Caleb and Kelsey;1 Away in a Manger (Our Humble King), 2 Angels We Have Heard on High (Glory to God), 3 O Come O Come Emmanuel (Jesus, We Will Wait on You), 4 Hark! the Herald Angels Sing (In Excelsis Deo), 5 Joy to the World (The Savior Is Here), 6 What Child Is This? (Love Has Come to Us), 7 Silent Night (Holy Child), 8 It Came Upon a Midnight Clear (Jesus Messiah), 9 Here I Am to Worship / O Come Let Us Adore Him, 10 Light of the World, 11 The Prayer, 12 Christmas Amazing Grace, 13 Christmas Amazing Grace (Radio Version), 14 The Blessing (Christmas Version), 15 Noel;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-30;album;2wNOuwAfi4Sr68ruDu000a;Christmas Worship;2020-11-20;35;Prodigy;https://i.scdn.co/image/ab67616d0000b27318bfbec9237fb113f97affbc;7l0sphz32GV0AjjEhECpVg;Caleb and Kelsey;1 Away in a Manger (Our Humble King), 2 Angels We Have Heard on High (Glory to God), 3 O Come O Come Emmanuel (Jesus, We Will Wait on You), 4 Hark! the Herald Angels Sing (In Excelsis Deo), 5 Joy to the World (The Savior Is Here), 6 What Child Is This? (Love Has Come to Us), 7 Silent Night (Holy Child), 8 It Came Upon a Midnight Clear (Jesus Messiah), 9 Here I Am to Worship / O Come Let Us Adore Him, 10 Light of the World, 11 The Prayer, 12 Christmas Amazing Grace, 13 Christmas Amazing Grace (Radio Version), 14 The Blessing (Christmas Version), 15 Noel;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-01;album;2wNOuwAfi4Sr68ruDu000a;Christmas Worship;2020-11-20;36;Prodigy;https://i.scdn.co/image/ab67616d0000b27318bfbec9237fb113f97affbc;7l0sphz32GV0AjjEhECpVg;Caleb and Kelsey;1 Away in a Manger (Our Humble King), 2 Angels We Have Heard on High (Glory to God), 3 O Come O Come Emmanuel (Jesus, We Will Wait on You), 4 Hark! the Herald Angels Sing (In Excelsis Deo), 5 Joy to the World (The Savior Is Here), 6 What Child Is This? (Love Has Come to Us), 7 Silent Night (Holy Child), 8 It Came Upon a Midnight Clear (Jesus Messiah), 9 Here I Am to Worship / O Come Let Us Adore Him, 10 Light of the World, 11 The Prayer, 12 Christmas Amazing Grace, 13 Christmas Amazing Grace (Radio Version), 14 The Blessing (Christmas Version), 15 Noel;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-02;album;2wNOuwAfi4Sr68ruDu000a;Christmas Worship;2020-11-20;37;Prodigy;https://i.scdn.co/image/ab67616d0000b27318bfbec9237fb113f97affbc;7l0sphz32GV0AjjEhECpVg;Caleb and Kelsey;1 Away in a Manger (Our Humble King), 2 Angels We Have Heard on High (Glory to God), 3 O Come O Come Emmanuel (Jesus, We Will Wait on You), 4 Hark! the Herald Angels Sing (In Excelsis Deo), 5 Joy to the World (The Savior Is Here), 6 What Child Is This? (Love Has Come to Us), 7 Silent Night (Holy Child), 8 It Came Upon a Midnight Clear (Jesus Messiah), 9 Here I Am to Worship / O Come Let Us Adore Him, 10 Light of the World, 11 The Prayer, 12 Christmas Amazing Grace, 13 Christmas Amazing Grace (Radio Version), 14 The Blessing (Christmas Version), 15 Noel;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-03;album;2wNOuwAfi4Sr68ruDu000a;Christmas Worship;2020-11-20;38;Prodigy;https://i.scdn.co/image/ab67616d0000b27318bfbec9237fb113f97affbc;7l0sphz32GV0AjjEhECpVg;Caleb and Kelsey;1 Away in a Manger (Our Humble King), 2 Angels We Have Heard on High (Glory to God), 3 O Come O Come Emmanuel (Jesus, We Will Wait on You), 4 Hark! the Herald Angels Sing (In Excelsis Deo), 5 Joy to the World (The Savior Is Here), 6 What Child Is This? (Love Has Come to Us), 7 Silent Night (Holy Child), 8 It Came Upon a Midnight Clear (Jesus Messiah), 9 Here I Am to Worship / O Come Let Us Adore Him, 10 Light of the World, 11 The Prayer, 12 Christmas Amazing Grace, 13 Christmas Amazing Grace (Radio Version), 14 The Blessing (Christmas Version), 15 Noel;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
